8/p1P4p/7k/Pp6/2npB3/3K4/8/8 b - -,c4d6
1rbq1rk1/2n1b1pp/3p1n2/1ppPp2P/4P3/2N1BPN1/1PPQ4/R3KB1R w KQ -,f1h3
5k2/5p2/2Qp1npp/p2Pp3/2N5/q1P4P/P4PP1/6K1 b - -,a3c3
r4r2/p1q1ppkp/1p1p1np1/2p5/2PPb3/5NP1/PP1QPPBP/2RR2K1 w - -,b2b3
r2r2k1/2qN1p1p/2P3p1/p4n2/2P5/P5P1/2Q2PBP/4R1K1 b - -,a8c8
r3b3/4k3/1rpb2p1/p1Np1p1p/3Pp2P/PPR1P1P1/1K2BP2/R7 w - -,c3c1
r1bq1rk1/1pp3bp/1n1p2p1/p1nPp3/2P1Pp2/1PN3PP/P1QN1PB1/R1B2RK1 w - -,g3g4
r3k2r/pp1n1pb1/1qp1p1p1/3pPn1p/3P1P2/2N2B2/PPP2BPP/1R1Q1RK1 w kq -,g2g3
6k1/1p1rqpn1/2p1p1pp/2Q1P3/3P4/R5P1/5P1P/R5K1 w - -,a3a8
7R/4kp2/p4rpp/1p1p4/5PPP/1P2P3/P2K4/8 b - -,d5d4
1r6/3n1p2/3Rk1p1/ppp1P1Pp/P3R3/1P2K1P1/8/8 b - -,e6e7
6B1/7p/5k1P/5P2/1p1K2pr/8/2P5/8 b - -,g4g3
2rr2k1/1p3pp1/p1qpn3/4p1p1/P3P3/N1P3P1/1P2QP1P/R2R2K1 b - -,c6a4
7k/p5p1/1p5p/8/1PPqp3/7P/P3Q1P1/6K1 w - -,g1f1
8/7p/4pk2/5p2/2N1n1P1/bB2P1P1/P1K4P/8 b - -,a3c5
2q2rk1/4pnb1/p1P3pp/3r4/1p2N2P/2P1Q3/PPN3P1/1K2RR2 b - -,b4c3
8/2p3pp/p1nbk3/Pr4P1/1p1PbP1P/4P3/1P2K3/R2RB3 w - -,d1c1
r3rbk1/1b3p2/2p2npp/ppn1p3/4P3/P1NBBN1P/1PPR1PP1/R5K1 b - -,g8g7
3k4/r1p1qp2/1p1n1Np1/p2PQ3/P7/1P1bP1P1/5PB1/2R3K1 w - -,e5d4
r2k1b2/pb1p2p1/5p2/2q4r/Q1P1nn2/P1B2NP1/3N1P1P/R3KB1R w KQ -,c3d4
6r1/8/8/6pp/1P6/2R3PP/1K4k1/8 w - -,g3g4
r1b1rbk1/ppqn1ppp/2pp1n2/4p3/2PP4/1PN2NP1/PBQ1PPBP/2R2RK1 b - -,a7a6
8/1p6/4k3/2P3K1/1B6/P4r2/8/8 w - -,g5g4
6R1/8/5p2/8/8/4K1kp/8/5r2 b - -,g3h2
2r2rk1/pp2R2p/6p1/2pP1p2/2P5/2bn3P/PP2RPP1/6K1 w - -,b2c3
8/8/4p3/1p2r3/8/3K4/1R4pk/8 w - -,d3d4
8/3r1pkp/4q1p1/8/p2r2P1/1P3Q1P/P3B1P1/5R1K w - -,e2c4
r2q1rk1/1pnnppbp/p2p2p1/2pP4/P1B1PP2/2N2Q1P/1PP3P1/R1B2RK1 w - -,a4a5
r1bqn1k1/1pp1n1b1/3P2r1/1p1Pp1pp/4Pp2/5P1P/PP2BBP1/2RQNRK1 w - -,d6e7
r1b1kb1r/1pq2ppp/p1nppn2/8/4P1P1/1NN5/PPPBQP1P/2KR1B1R b kq g3,h7h6
r3kbnr/pp3ppp/2n1p3/1B1qP3/3p4/NQ3P1P/PP1P1P2/R1B2RK1 b kq -,d5e5
r1b1k2r/pp1n1ppp/2p1pn2/6B1/P1BP4/2q1PN2/5PPP/R2Q1RK1 w kq -,a1c1
r3r1k1/pbq2ppp/1pn1pn2/1B2N3/3P4/BQP5/P4PPP/R3R1K1 b - -,e8c8
r1b1kbN1/5p2/1pp4p/5r2/qPBP4/1R2P3/6PP/3Q1RK1 w - -,d1d3
r2qk1n1/1b1nppb1/p1pp2p1/1p5r/3PP2P/4BP2/PPPQN3/2KR1BNR b q -,d8c7
rn1qkb1r/pp2pppp/2p1bn2/8/2p5/5NP1/PPQPPPBP/RNB2RK1 b kq -,b8d7
r7/8/2p3pk/p1Np1n1p/3P1P2/3KP2R/PP6/8 w - -,c5d7
4r2k/6p1/4qbpp/2Qn4/8/5RBP/6P1/5R1K b - -,g6g5
1r5r/2k1np2/4p1pq/pp1pP2p/b1pP1P2/P1P3PB/1NPQ3P/2R2RK1 b - -,e7g8:b8g8
1q2r1k1/pr3pbp/2p1n1p1/2B1p3/2Q1P3/1PN5/P4PPP/2RR2K1 w - -,c5d6
2r3kr/1RP5/4N3/2P5/1P6/8/P5qP/6KB w - -,h1g2
4rrk1/2q4p/6p1/1pPp4/pP5P/Q2PbB2/6K1/1R3R2 w - -,f3d5
6r1/8/1p3R2/1PpP1b2/2P5/P3k3/7K/8 b - -,g8g5
2b1rbk1/1p3p1p/2pp2p1/p1n2P2/P3P3/2N4P/1P3RB1/3R3K w - -,f5g6
1nrqkb1r/3n1ppp/3pp3/2p5/Bp2P3/2P4P/1P1PQPP1/RNB1R1K1 w k -,d2d4
2rr2k1/1pq1bppp/p2pp3/2n1nP2/2P1P3/2N1BN1P/PP2Q1P1/2R2RK1 w - -,f5e6
8/Q3p1k1/3qP1p1/3p1P1p/2nPp2K/6P1/7P/8 b - -,g6f5
n7/P7/3n1P2/3k4/3B2Pp/1N1K4/8/8 b - -,h4h3
8/4pk1p/3p4/6p1/R2P4/3r1P2/5K1P/8 b - -,f7f6
8/6pQ/2pk4/P6P/3q1P2/4p1P1/4P2K/8 w - -,h7g6
2kr1b1r/1p3ppp/p3b1n1/2p1N3/1n1p4/NP1P2PP/PBP2PB1/R2KR3 w - -,a3c4
r1bqnrk1/1p1nbp1p/p2p2pB/2pPp3/P1P1P3/2N2NP1/1P3PBP/R2Q1RK1 b - -,e8g7
r3kb1r/pp3pp1/1qpp1n2/4p1Bp/4P1b1/1BNP1PQ1/PPP3PP/R3K2R b KQkq -,g4d7
8/P2R4/1P4k1/2K5/7p/5bP1/8/1r6 b - -,h4g3
1r2r1k1/1ppn1p2/pb1p1np1/3P3p/4PP2/1PB2NNP/1P2R1P1/3R3K b - -,e8e7
r1b2rk1/pp2bppp/1qnppn2/8/3P4/P1NBPN2/1P1B1PPP/R2QK2R w KQ -,e1g1
r4rk1/5p1p/1q1p1bp1/3P4/1p2p3/3B4/PP2QPPP/R1R3K1 w - -,d3e4
r5k1/pp1bb2p/1qp1p3/2PpBrp1/3Pp3/4Q1P1/PP2PPBP/R4RK1 b - -,b6d8
8/R6p/1pp1n1p1/2k1P3/2P2b2/5K2/7P/8 w - -,a7e7
