8/8/4B2b/4p3/2p1P3/1k6/3K4/8 w - -,d2e2
2r5/b5kp/p3p1p1/q2b4/1p1R1PN1/8/1P3QPP/3R2K1 w - -,h2h3
4rrk1/bp2q1pp/p1pp4/5P2/4nP2/1P2P3/PBQ3BP/R4R1K w - -,f1g1
r2qk2r/p2bppbp/2p2np1/6B1/3Q4/2N5/PPP2PPP/R3KB1R b KQkq -,d8b6
r2r4/2q2pbk/ppn2npp/2p1p3/4P3/2PPBNPP/P4P2/1R1QRBK1 w - -,d1c2
r2q1rk1/pbp2ppp/1p2p3/3n4/2Q5/2PP4/P1PBNPPP/R4RK1 w - -,c4g4
2r2r1k/p2bp1bp/2pp1nq1/5p2/1PNP1np1/P3PPP1/1B2Q1BP/2R2RK1 w - -,e3f4
6r1/p1k2br1/1p1bp3/2p4p/2P1pP2/1P2B1PP/P5RK/3B3N b - -,f7g6
3rk2r/2p2pp1/p3p3/7p/PpP4P/3q2P1/4QP2/2B1K2R b k -,d3e2
2rb1rk1/1p3ppb/p1p1pn1p/B1Pp4/1P1PP3/2N2PP1/1P4BP/3RR1K1 b - -,d8a5
1r2r3/3k2pp/1q1b1p2/3Pn3/2B3PP/2B5/RPP1Q3/2KR4 w - -,a2a6
r7/2r1k2p/1p2pbpP/1B1p1n2/P2P1P2/1KP2N2/1P6/4RR2 b - -,e7d6
r1bk3r/1p2q1pp/p1nNpp2/2npP3/3p1P2/3B1N2/PPP1Q1PP/R4RK1 b - -,c5d3
4b3/5p2/4k1p1/4P1P1/pp2Pn2/4KP2/1P6/2N2B2 b - -,e6e5
3r3r/p1pk4/1p3bpp/P4p2/2PN4/4PPP1/R4KP1/1R6 b - -,h6h5
8/1p1q4/2p5/2P5/3rk3/P4n1P/Q4R1K/8 w - -,f2f3
r1bq1rk1/ppp1np1p/6pb/3p4/2BP4/PPN1PN2/2P1Q1PP/R3K2R w KQ -,c4d3
8/6k1/R6p/8/2N5/8/5r2/3K4 w - -,c4d6
