8/P1K5/8/1kp1N2p/6p1/6P1/6bP/8 w - -,e5f7
8/4p3/3kP2p/p1p3p1/B1K1P1P1/7P/1b6/8 w - -,a4d7
6k1/p3bp2/3Np1p1/2pbP3/5P1q/1PB1Q3/P1K5/8 w - -,c3d2
r3rnk1/p1p3pp/1p2pq2/7Q/4R3/3B4/PPP2PPP/5RK1 w - -,e4h4
3r4/P4pp1/4pk1p/4b3/4Q3/B1q2P2/4KP1P/R7 w - -,a1d1
1R3b2/r4pkp/p1r1p1p1/2p1P3/5P2/2P1B1PP/P7/3R2K1 w - -,f4f5
2r1r1k1/5p1p/6p1/4P3/p2P1B2/1pnKP3/1R4PP/R7 w - -,e3e4
r3k1r1/pp1q2p1/2n1b1Pp/3pPp2/2pP1P2/P1P3RB/2PBK1Q1/1R6 w q -,g2h1
8/pr1B1p2/5k1p/2BR1p2/5P1P/2b3P1/P1n5/6K1 w - -,d7f5
6r1/pprbk3/3ppp2/8/2P1PbNp/1P3B2/P3R1PP/1K1R4 w - -,h2h3
3r4/p1k4p/1pp1p1p1/8/2P1Pp2/2R2P2/PP3P1P/5K2 w - -,f1e2
3rr1k1/pp4b1/7p/q1pPpPp1/6P1/1PP1Q3/P2R2B1/R5K1 b - -,g7f6
5k2/1p4p1/p3N2p/8/8/3b3P/P1r2PP1/R5K1 b - -,f8g8
2r3k1/1b5p/3P2p1/2p5/4pr2/3q4/PbR3BP/Q1R4K w - -,a1b2
r1bq1rk1/p1pnbppp/1p2pn2/3p2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,e1g1
rnb2rk1/pp2ppbp/6p1/2q1P1N1/2B1p3/2P4P/PP2QPP1/R1B1K2R b KQ -,c5e5
3r4/1pq2pk1/3p2p1/4p3/2P1P1P1/1P2Q3/5P2/R5K1 w - -,g1g2
r4rk1/pp4pp/1q1n1b2/3P1b2/2B1pp2/BP6/P2N1PPP/2RQ1RK1 b - -,e4e3
6k1/4b2p/3p2p1/NP2p3/4P3/2P2P2/2r5/K4R2 b - -,c2c3
rnbqkb1r/ppp1pppp/1n6/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,g1f3:a2a3:b1c3:c4c5
8/1B3p1k/p2p3p/5p2/5P2/P6P/1b1B2K1/8 w - -,a3a4
r3kbnr/pppq1ppp/2n1p3/3p4/3P4/P1N2bP1/1PP1PPBP/R1BQK2R w KQkq -,g2f3
8/8/6R1/1KP5/4krp1/8/8/8 b - -,e4f3
3r3k/6p1/p1Q2pq1/4b2p/8/4B1P1/PP3P1P/2R3K1 w - -,c6a6
8/2p2rk1/1p2p1p1/p3P3/2P2Q2/P7/1P4RK/8 b - -,f7f4
8/p6p/3Qb1k1/P1P2p2/1Pr5/3K1B2/7P/8 b - -,g6f6
8/8/1p2Q1k1/p1q3p1/P6p/7P/6PK/8 b - -,g6g7
4r1k1/6B1/p3p2p/1ppq1rpP/3P4/2PQ4/4RPP1/2K1R3 b - -,g8g7
8/p1r3k1/P2b2p1/3B1p2/2R2P2/3KP3/5P2/8 w - -,d5c6
1q2r3/Rb4bk/1P3npp/4p3/1Q2P3/4B1NP/5P1K/5B2 b - -,e8e6
8/pQ6/4k1p1/2p1n3/6P1/2q1N2P/2P2K2/8 w - -,b7a6
3k4/8/8/8/3PP1P1/4K3/8/8 b - -,d8e7
r1bqk2r/pp3pp1/1b1p1n1p/2p1p3/2BnP3/3PBN1P/PPPQNPP1/R3K2R w KQkq c6,c2c3
