8/2R5/1kn5/3p4/8/1K6/2P5/8 w - -,c7d7
6k1/pp2r3/3b3p/2pPr3/2PpB3/6R1/PP3P2/3KR3 b - -,g8f8
8/p4p2/8/4k2p/PPpR4/4K1P1/6PP/5r2 w - -,d4c4
8/1Q1b1k1p/3p3q/1N1P4/2P5/6r1/P5B1/4R1K1 b - -,g3g2
r1bq1rk1/pp2pp1p/1n3bp1/3P4/3P4/1BN2N2/PP3PPP/R2QK2R b KQ -,c8g4
2r1k3/bp3ppp/p5b1/4p3/1B2n1P1/1N2PB2/PP3P1P/3R2K1 w - -,b3d2
r5k1/1b4pp/p1q5/1pbp3r/5P2/P2Q4/1PPBN2P/2KR1R2 b - -,h5h2
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/P1Q1PPBP/R1B2RK1 w - -,c4d5:f1d1:e2e4
r3kb1r/1b1n1ppp/pqn1p3/1pppP3/3P1P2/2NBBN2/PPP2QPP/R4RK1 b kq -,c5d4
r2q1rk1/1p2Bpp1/p2pb2p/2p4n/4P3/2P2N2/PP1NQPPP/3RR1K1 b - -,d8e7
rqbr2k1/1p2bppp/p1n2n2/3p1P2/P7/N1N5/1PP1B1PP/R1B1QR1K b - -,h7h6
8/8/2q3k1/3p1p2/K2P4/1P1QP3/8/8 w - -,a4a5
8/4k3/2R5/4Pp1r/1ppB4/5K1P/PP1b1P2/8 b - -,c4c3
rqb2rk1/2n4p/3pp1p1/4P3/2np1P2/P2N2PP/1P2N1B1/1R1QR1K1 b - -,c7d5
r3k2r/1p1qbp1p/p1n1p1p1/8/3PQ2P/2P2P2/P3BP2/1RB2KR1 w kq -,c1h6
8/3kpp2/p1r3p1/2PK3p/5P1P/6P1/R7/8 w - -,a2a3
8/1b5R/1k2p3/8/5K2/6N1/3r3P/8 b - -,b7d5
8/8/4K2r/4R3/3k1P2/8/8/8 w - -,e6e7
r4rk1/1pq1bppp/1np5/p1n1pP2/P3P3/1PN4P/1BP2P2/R2QRBK1 b - -,a8d8
8/4K1k1/5n2/5P2/1pB5/6P1/7P/8 w - -,h2h3
RQ6/5p2/3Pb1pk/4r3/1p1qp3/5B2/1PP3PK/8 w - -,c2c3
rn1qkb1r/1p3ppp/p1p1pn2/3pP2b/3P4/2NB1N1P/PPPB1PP1/R2QK2R b KQkq -,f6d7
r3k2r/pp1qn1b1/2npb1p1/2p1pp1p/4PP1P/2NPB1P1/PPPQ1NB1/R4RK1 b kq -,b7b6
2rq1rk1/1b2bppp/pn1ppn2/1p6/3NP1P1/P1N1BP2/1PP1B2P/3RQRK1 w - -,g4g5
2b1r3/q4r1k/4pQpP/1p3pP1/7P/1B6/PP6/1KR1R3 w - -,f6e5
2r5/3k4/4p3/p3b1P1/4B1KP/2nP4/2R2P2/2R5 w - a6,f2f4
1r4k1/p2b2q1/1p3r2/2pPp1p1/2P1PpPp/1P3K1P/P3BR2/3Q1R2 w - -,e2d3
3r1r2/pB3kpp/4b3/8/8/1P3P2/P5PP/2RR2K1 b - -,f7f6
3r1bk1/1p5p/2p3p1/4pp2/1N2p3/Pbn3P1/3BPPBP/R3K3 b - -,c3b5
6r1/p2qnrpk/1pn4p/1RP4P/4pp1Q/2B5/P1P2PP1/1R3BK1 b - -,g7g5
5k2/2r2p1p/p7/2rpPP2/1p3Pp1/1P1R2P1/P2R4/6K1 w - -,d3d5
2kr1b1r/1pp3pp/p1nqbp2/4p3/8/2NPP1PP/PPPQN1B1/2KR3R b - -,f8e7
r2qk2r/1p4pp/p1npbN2/4pp2/4P3/N2B4/PPP2PPP/R2QK2R b KQkq -,d8f6
3r4/5pkp/p1p1p1n1/4P3/1q2N3/1P2Q3/2P3P1/3KR3 w - -,e4d6
rn1qkb1r/pp2ppp1/2p2np1/8/P1pP2P1/2N4P/1P2PP2/R1BQKB1R w KQkq -,e2e3:e2e4
3r2k1/pp2b2p/1n2p2p/5p2/2P5/3B2P1/P2N1P1P/3R2K1 w - -,d3e2
r5k1/4rppb/p1p2b1p/1pP1qP2/4p3/1P2P1PB/P1QB1R1P/4R1K1 b - -,a8d8
r1bqk2r/pp1npp1p/2pp1npb/8/2PPP3/5P2/PP1Q2PP/RN2KBNR w KQkq -,d2h6
8/2b2p2/8/5Pk1/2N1P3/4K3/8/8 b - -,c7f4
r3r1k1/5pp1/2p5/1PPp3p/5q2/7P/1Q6/1R1N2K1 w - -,d1f2
1rr3k1/pp1qb1pp/2n1bp2/4p3/2PpB3/PN1P2P1/1BR1PP1P/RQ4K1 b - -,c6d8
6k1/R4pp1/1p5p/8/8/6P1/1P2rrK1/3R4 w - -,g2h3
8/1p4p1/2p1k2p/8/PPP2R2/4r2P/6P1/6K1 b - -,e3b3
r7/3k3p/2pNr1p1/2PbBp1P/5P2/P5R1/5KP1/8 w - -,g3h3
8/5p2/6k1/8/r6P/5RPK/8/8 b - -,a4b4
r1bqk2r/1pp2pbp/p1np1np1/4p3/B3P3/3P1N1P/PPP2PP1/RNBQ1RK1 w kq -,b1c3
r1b2rk1/p1ppnppp/1pn5/1N2q3/8/2PBP3/PP1Q2PP/RN3RK1 w - -,d2c2
rnb2rk1/3n2pp/p3pp2/1pqpP3/5P2/P1NB1N2/1PPQ2PP/R3K2R w KQ -,e5f6
r1bq1rk1/pp2bppp/2n1pn2/2p5/2B1P3/3P1N2/PBPN1PPP/R2Q1RK1 b - -,d8c7
8/2pn2kp/1p1p2p1/p2Pp1P1/2P4P/PP2P1K1/2B5/8 w - -,b3b4
3r2k1/p4pp1/1pR1p1n1/1P2P3/2P2P1p/1Q3NP1/P4K1P/2q5 w - -,c6d6
2kr1b1r/pp3ppp/n1p1pn2/5b2/3P1B2/PB6/1PPNNPPP/R3K2R w KQ -,d2f3
r1b2rk1/ppq3bp/1np2pp1/3p4/3P1P1B/1PNN4/1PP3PP/R2Q1RK1 w - -,g1h1
8/4K2R/2k3P1/4pp2/7P/4P3/6r1/8 w - -,h4h5
r4rk1/pp1b1ppp/2n1p3/7n/4BP2/2N3P1/P1P1N2P/2KR3R b - -,f8d8
2r5/8/3k3p/1p1pn3/pN1N2P1/7P/3K4/8 b - g3,d6c5
1R6/p3kp2/P4p2/6p1/6P1/8/5n1K/8 w - -,b8b7
2r5/8/1n5p/R2pBk2/2pP3K/2P2P2/8/8 w - -,a5a6
1rb2rk1/p4ppp/5n2/2q5/2B5/2P2PN1/P2Q1KPP/3R3R w - -,d2d4
6Q1/1q4k1/4B1p1/1r3p1p/5P1P/6P1/5P1K/8 b - -,g7f6
2rq1rk1/3nppbp/pp1p1np1/8/2PN4/1PN1P1P1/PB3PKP/2RQ1R2 w - -,d1e2
4n2k/1p2q2p/p1n2p1Q/3ppB2/8/5P2/PPP4P/2K3R1 w - -,f5h7
8/6pk/2PQ3p/1p6/pP6/q6P/6PK/8 w - -,d6c5
2R1r3/5pkp/1p1RbNp1/p3P3/5PP1/1P5P/P7/2K5 b - -,e8c8
r3kb1r/ppqn1pp1/2p2nbp/4p3/4P3/1P3NP1/P1PNQPBP/R1B1R1K1 b kq -,f8c5
r4rk1/pp2ppbp/2np2p1/2q5/2P3n1/1PN1PPPb/PBN4P/R2QR1KB b - -,g4f6
r1b1rbn1/5pk1/p5pp/qp2p3/3pP1P1/1B1P1NNP/PP2QP2/2R1R1K1 w - -,e2c2
r2r2k1/p2q1ppp/4pn2/1pP5/1p1P4/3Q2P1/P2NPPKP/R4R2 w - -,d2f3
r4rk1/2qn1pbp/p3p1p1/1pppPn2/3P1Pb1/2P2N2/PPN1BBPP/R2Q1RK1 b - -,f8c8
r1bq1rk1/5ppp/p2pn3/1p1Np1b1/PP2P3/3B4/2P2PPP/R1BQ1RK1 b - a3,g5c1
r5k1/pp2r2p/2p2pp1/3p4/3Pn3/1P2PN1P/P1R2PP1/2R3K1 w - -,g2g3
8/1R3pk1/p5r1/P7/5r1p/7P/1PR2P2/5K2 w - -,c2c3:b7c7
