8/8/1R6/3p3P/3kp3/8/r3K3/8 w - -,e2d1
8/2k5/7R/8/3n4/P7/KP6/3r4 w - -,h6f6
r3k2r/p1p1qppp/2p1b3/3pP3/N3p1nP/PP2P3/1BPQ1PP1/R3K2R b KQkq -,e8g8
2r1k3/3bn1pp/p4p2/3Bp3/P3P3/B7/4NPPP/1R4K1 w - -,a4a5
r1bq1rk1/1p1n1pbn/p2p2p1/3Pp3/4P1Pp/2N1BP1P/PP1QN3/2KR1BR1 b - -,b7b5
4r1k1/1b3ppp/p2pr3/2p5/1p2P3/PPNPR2P/5PP1/4R1K1 w - -,a3b4
1rq2rk1/p3bppp/b3pn2/2pp4/1nP5/P1Q1PNP1/1P1N1PBP/R1BR2K1 b - -,b4c6
8/2p3R1/2Bp4/P1p5/6bk/4K3/7p/5r2 w - -,a5a6
r3r1k1/1pq1pnbp/3p2p1/1P1P1pP1/nBP2P2/1Q3B2/P6P/1N1RR2K b - -,a4b2
7r/5p2/5k1P/6R1/5p1P/5P1K/8/8 w - -,g5h5
2r2r1k/2q1p1bp/p2p1n2/3B4/1p1BP3/5P1R/PPPQ4/2KR4 b - -,e7e5
r6k/1q2p2p/3p1r1b/2pPp3/2N1P3/PP3R1Q/5PP1/R5K1 b - -,f6g6
8/8/1ppn1p2/7P/p1kP1p2/P1P5/1BK5/8 b - -,d6f7
5rk1/rpn1bppp/2p1p3/1p2N3/2PP4/PR3N2/1P3PPP/2R3K1 b - -,f8d8
8/r4kpp/1p3p2/2pp1b2/p2P1P1P/P1P2P2/1P1R1K2/3B4 b - -,c5c4
4Rqk1/2p3pp/b7/1rpp4/3B4/5PQ1/1P4PP/6K1 b - -,c5d4
K7/2p2p2/2pb2k1/2p5/2P4B/1P6/8/8 b - -,g6f5
4rk2/5p1p/1K4pb/8/1P5Q/8/2P1p1PP/8 w - -,h4h6
2KQ2q1/8/1P6/8/6k1/8/8/8 b - -,g8c4
4rrk1/pbn1b2p/4pp2/2pP4/2B2P2/P2N4/1P1N2PP/4RRK1 b - -,e6d5
8/7p/3PQ1p1/4p3/1p2Pk2/2P4P/6PK/3q4 b - -,b4c3
6k1/6p1/Q2b4/7p/2N2p2/1P1p1q1P/P7/2B2K2 w - -,f1g1
1kq4r/pp6/8/P3p1Q1/2NpP3/3P1P1p/1P2KP2/8 b - -,h3h2
3rr2k/6bp/2R1B1p1/5p2/3P1B2/4P2q/Q4P2/2R3K1 w - -,a2e2
