8/p4B1p/5p2/8/3k1P2/4bKP1/P3P2P/8 w - -,f7b3
4qrk1/np1bbppp/1n2p3/Bp1pP3/P2P4/1B3N2/3N1PPP/R1rQ2K1 w - -,d1c1
4r3/p4k2/2Np1P2/PP1P4/1P6/4b1K1/4p3/4B3 w - -,g3f3
rn2r1k1/p4p2/1p1p2p1/8/5b1R/2PB1P2/PPQN1P2/2K5 b - -,e8e1
7r/2q1kp2/pr1b1p2/1p1PpP2/2p1Q2p/P1P2B1P/1P4P1/R2R2K1 b - -,c7c5
8/6p1/R2pk3/2p5/2Pp4/5nrP/PPN1K3/8 b - -,d4d3
r3r1k1/3n1pbp/p1p3p1/1pP2q2/1P1pn3/5PP1/PB1QP1BP/R4RK1 w - -,f3e4
6k1/3b1pp1/7p/3p3n/1ppN4/5P2/6PP/5RK1 b - -,h5f4
r2q1rk1/pppb3p/2n1p1pb/3p1p2/2PPn3/1P3NP1/PBQNPPBP/R2R2K1 b - -,d8f6
4r3/5pkp/6p1/3p4/2bN4/4PB2/1r1n1PPP/R2R2K1 w - -,h2h4
2r2rk1/pp1Rppb1/2n3pp/8/1q2bB2/1B2P2P/PP1NQPP1/3R2K1 b - -,e4f5
r3r3/1p2pk2/1q1P3p/p4p2/P1Bbn3/BP5P/4QP2/2R1R1K1 b - -,e7e6
6R1/p4r2/1p1p1k2/8/P1P1b3/1P2K3/8/8 w - -,e3e4
2bqrrk1/pp2p1bp/3n1np1/2pP1pN1/2P5/2NB4/PPQ2PPP/R1B1R1K1 b - -,e7e5
r3r1k1/1bq1bppp/2nppn2/p7/1p2PP2/1NPB4/PP1BQ1PP/3NRR1K w - -,e4e5
8/4kB2/2p2p2/p1p4p/1p2PPbP/P1P1K3/1P6/8 w - -,f7c4
1r4k1/p4p1p/5qp1/2p5/2n5/1P5P/P3QPP1/3R2K1 w - -,e2c4
4r1k1/1pp3pp/pnnb4/5N2/4B3/PP1P2P1/1B4KP/2R5 w - -,f5g7
r3r2k/2pb2bp/2p2pp1/pqPP4/3Q1N2/2B2P2/PP4PP/3R1RK1 b - -,a8c8
1b6/5pk1/4p1pp/8/4N3/1B3P1P/4K3/8 w - -,e2d3
r1b2rk1/pp2n1p1/2p4p/3pN1q1/3P4/P7/BP3PPP/2RQ1RK1 w - -,g2g3
5rk1/pr2ppbp/6p1/2qp4/1p3B2/8/PPP2PPP/1K1RQ2R w - -,f4e5
1r2r3/p1kq1p2/bp1p1np1/n1pPp2p/P1P1P2P/1NPB1PB1/1R4P1/R2Q2K1 w - -,d1e2
8/r5N1/7p/3k1p2/5P1P/2n1RKP1/8/8 w - -,g7f5
r5k1/5pp1/4p2p/3nB3/1b1P4/2r2N1P/2R2PP1/2R3K1 w - -,c2c3
2r5/1R3b1p/4k1p1/5pP1/p4P2/7P/1P1nP1B1/6K1 b - -,d2e4
r3nkr1/p2q1p2/1p1p4/7p/4b3/Q4PN1/PP4PP/R3R1K1 w - -,e1e4
8/6n1/2p5/1pPp2k1/1P1Pp3/4Pp1P/5B2/6K1 w - -,g1h2
2R3k1/p2bq2p/Pp2pn2/3p1p2/3Pn1p1/1Q1BP3/1P2NPPP/4N1K1 b - -,d7c8
r7/1p1bpNbk/2p3pp/1n5q/1PBPPQ2/8/1B3P2/4K1R1 w - -,f7e5
r2q2k1/1pn3bp/1P1p3r/3Pp3/4PpB1/1P1N4/5Q1P/2R2R1K b - -,c7b5
6k1/5rp1/3qp2p/3p4/2pQ1P1P/2P5/5RP1/6K1 b - -,d6d8
7r/4k1p1/1p2p3/pPb1p2n/P3P3/2PB2KP/1R6/3N4 w - -,g3h2
r4rk1/ppp3bp/3p2p1/3PnbB1/4N3/8/PP2BPPP/R4RK1 w - -,e4c3
1r2k3/1p2bp2/p3p1p1/4P2p/P1R5/3NP1PP/1P2K3/8 b - -,e8d7:b8d8
r1bR4/2p2pk1/pp5p/4p3/2P1P3/2P2B2/P5P1/6K1 w - -,g1f2
2rq1rk1/1p3ppp/1p6/3Pnpb1/8/1QN4B/PP3P1P/2KR2R1 w - -,c1c2
r1b2rk1/p4pb1/q2p1npp/2pP4/1nN5/P1N1B2P/1P3PP1/RB1QK2R w KQ -,a3b4
5rk1/3n4/2p4p/2bpp1Pb/8/PqNP2BP/1P1Q2PK/5R2 w - -,f1f8
r1b1kb1r/ppq4p/2n1p1pn/3pP3/8/2PB1N2/5PPP/RNBQR1K1 w kq -,b1a3
2rq1rk1/1b1nbppp/pp1ppn2/8/1PP5/P1N1PN2/1BQ1BPPP/R2R2K1 w - -,a1c1
8/8/2k5/8/2P5/3K4/8/8 w - -,d3d4
8/2k3p1/4np2/2p2P1b/2PpP2p/7P/rBK2P2/5RN1 b - -,e6f4
8/3kr3/p6R/1p6/5K2/Pn1P4/8/7R b - -,b3c5
1r6/1br2pbk/3pp2p/p1q1n3/1p1NPQ1P/6P1/PPP1N1B1/1KRR4 b - -,b7a6
2rqk2r/p2pppb1/1pn3pp/2p5/2P5/2NP1PP1/PP1Q1PBP/R4RK1 w k -,f3f4
5k2/6pp/Q7/2pB1p2/8/PP4P1/4K2P/2q5 b - -,c1b2
r2qr1k1/pp2bppp/1np2nb1/4R1B1/3P4/1BN2N2/PP3PPP/R3Q1K1 b - -,h7h6
2r2rk1/3bqppp/4pn2/Npb1B3/3p4/P5P1/1PQ1PPBP/2RR2K1 b - -,f6g4
r1bqk2r/ppp1bp1p/1nn5/4p3/6p1/2NPB1P1/PP1NPPBP/R2Q1RK1 b kq -,c8e6
8/1p2r1k1/2pR2b1/p2p3p/3P3P/PP3K2/8/8 w - -,b3b4
r1bq1rk1/1p2ppbp/3p1np1/2p2P2/N3P3/1P1P1N2/PP4PP/R1B1QRK1 b - -,b7b5
r2qr1k1/5pnp/6p1/1pPp4/bP1Qp3/4N3/5PPP/R1R1N1K1 b - -,g7e6
r2r2k1/2q2pp1/1pp1pbp1/p7/PnPP3P/BP3NP1/3RQP2/3R2K1 w - -,e2e4
2b2rk1/R1p2pp1/1n1p3p/1P1Pp1q1/4P3/2B3Pn/2QN1P1P/5BK1 w - -,f1h3
2k3n1/ppp3rr/5p2/4p2p/1PB1P1p1/P3B3/2P2PPP/R2R2K1 w - -,c4e6
rn3rk1/pp2ppbp/1q4p1/2Q5/3PP1b1/4BN2/PP2BPPP/3R1RK1 b - -,b6c5
8/3R3p/5ppk/p7/P1p1Pp2/5P2/2n1K1PP/8 b - -,c2e3
r5k1/1b2q2p/1Q2p3/1N3p2/PP1Nr1p1/4b1P1/4PR1P/3R2K1 b - -,a8a6
rn3rk1/1p2qpp1/p4n1p/3p4/2pP1B2/2N2NPb/PPP2P1P/R3R1K1 w - -,e1e7
8/8/4k1pp/1pp1Pp2/p4PP1/P1P3KP/1P6/8 b - -,e6d5
2r3k1/5p1p/3pq1pb/8/r3PP2/2P2Q1P/1PR3PK/2R2N2 w - -,c2e2
3q1r2/pb3ppk/1p1bp3/3pN3/3P1P2/PP3Q2/2PN2PP/2R3K1 b - -,g7g6
5b2/p3k3/2p1Pp1p/1p3Pp1/4N1P1/1P2K2P/P1R5/3r4 w - -,c2c6
r2r1n1k/pp3qb1/2p1b2p/P3p3/1PP1Bp2/5P2/2Q1NBPP/2R2RK1 b - -,a7a6
r1b1k2r/p2n1ppp/2N1p3/1p4n1/2pP4/2P1P3/P4PPP/3RKB1R w Kkq -,d1b1
2rr2k1/1p3pp1/4p1p1/3b4/8/4P3/PP1N1RPP/1K1B4 b - -,d5e4
rr4k1/3nq2p/4p1p1/2p3P1/2pPQ3/5NR1/Pp3P2/1K5R w - -,g3h3
4k3/7p/p1b3r1/P3p3/1BP1npr1/8/1P4PP/3RRBK1 w - -,d1d3
r2q1rk1/pp1nppbp/1np3p1/8/3P2b1/1QN1PN2/PP2BPPP/R1BR2K1 w - -,a2a4
r2q1rk1/pb1p2pp/1p1bppn1/2pP4/1PP1P3/3Q1N2/P2BNPPP/R4RK1 w - c6,b4b5
r4bk1/1pp2p2/p3rnpp/4p3/q3P3/3PB1NP/PP2QPP1/R2R2K1 w - -,a1c1
r3r1k1/pppbn1p1/3p1q1p/3P1p2/4PP2/3B2R1/PP1QN1PP/2R4K b - -,f5e4
1r4k1/r2q1p1p/2n1b1p1/2b1p3/1PN3P1/3PP2P/1BQ2PB1/2RR2K1 b - -,c6b4
r2q1rk1/2p4p/p1n2pp1/1pbpP3/5B2/1BP2Q2/PP3PPP/R4RK1 b - -,c6e7
1q2nn1k/p4r1p/3p1pp1/P1pPp3/1rP1P1NN/5R1P/5PP1/2Q1R1K1 b - -,b8d8
1k1q4/p2P1pp1/1pQ1p1p1/8/4P3/7P/PP1r4/1KR5 w - -,c6c8
4k3/8/p5p1/2PKPpN1/5P1p/7P/6r1/8 b - -,e8e7
4R3/8/6Bp/2b3pP/r5P1/2k2K2/8/8 w - -,g6e4
4r3/1b1n2kp/pprqp1p1/3p4/N2P4/1P2RN1P/P3QPP1/4R1K1 b - -,d6c7
4kb1r/Nr3ppp/n2Pp3/2p5/2P5/8/5PPP/R3R1K1 w k -,a1a6
4kr2/ppp3p1/4p3/2p1Pn2/4R2p/2P2P1P/PP3KPB/8 w - -,h2f4
8/8/1b4pp/5p2/1p3k2/1N3P1P/4K1P1/8 w - -,b3c1
2R5/8/8/pBn5/1kP5/4K3/8/r7 w - -,e3d4
r3br2/4q1kp/2p1p1p1/1p3pP1/1P1P4/1BP3Q1/7P/1K1R1R2 w - -,b1b2
4k3/4p2p/n5pb/1p1pN3/p2P1P2/P3B2P/1P3KP1/8 b - -,h6g7
r4rk1/ppp2ppp/2nq1n2/3p4/3P1Nb1/2PB2Q1/PP3PPP/RN3RK1 b - -,a8e8
2R5/3b1pk1/p5p1/6P1/1r2PK1P/R7/8/8 w - -,c8c7
r4rk1/1p1n1pbp/pn4p1/1N2p3/2P5/1B2B1P1/PP2RP1P/R5K1 w - -,b5d6
r2rb1k1/2q2ppp/3pp3/p5QP/1p1NP3/5P2/PPP4P/1K1RR3 b - -,h7h6
r1r2bk1/1p1b1p1p/p1nBp1p1/8/3P4/1PPB1N2/5PPP/R3R1K1 w - -,d6f8
8/5k1p/p5p1/b1n5/P2NPP2/2N3P1/6P1/5K2 w - -,d4e2
r3rbk1/1p3p2/1np3p1/2n1P1Pp/2P2Pb1/1pN5/P3NBBP/3R2RK w - -,a2b3
r1bqkb1r/pp3ppp/2p1pn2/n2PN3/2p1P3/2N5/PP3PPP/R1BQKB1R w KQkq -,d5c6
r3k3/pppR1p2/4bB2/4P2r/5p2/2P5/P1P3PP/2K2B1R b - -,e8d7
2r2rk1/1pq1ppbp/p1npbnp1/6B1/P3P3/1NN5/1PP1BPPP/R2QR1K1 w - -,c3d5
5r1k/8/p5Qp/1p1p1p2/5P1P/P1P3PK/1q6/8 w - -,g6h6
rnbq1rkn/pp2bpp1/2p1pN1p/4P1NQ/8/3B4/PPP2PPP/R1B2RK1 b - -,g7f6
1k1rr3/pp3p1p/2n5/3N1qp1/1bP5/1Q1P2Pb/PB3PBP/1R3K1R w - -,d5b4
1rr4k/3bqpp1/p3p2p/3pP3/3nnP2/2P1Q3/RP2N1PP/R2B2K1 w - -,e2d4
r5k1/pr3pbp/5np1/4p3/3p4/3B1P2/qPPQ1BPP/2R2RK1 w - -,b2b3
3rr1k1/pb3qp1/1p3bp1/2pp4/4n1B1/2P1BN2/PPP2P2/1K1RRQ2 w - -,f1h3
4rrk1/p3b1pp/nqp1p3/3n4/1P2N3/P5P1/1B2QPBP/R2R2K1 b - -,a6c7
r1bq1rk1/bpp1npp1/p2p1n1p/4p3/4P3/1BPP1N1P/PP3PP1/R1BQRNK1 b - -,e7g6
4r3/K4p2/P1R5/1P6/4p1k1/5b1p/7P/5R2 b - -,f7f5
rn1q1rk1/p3bppp/bpp1pn2/8/2pPP3/2N2N2/PPQ1BPPP/R1B2RK1 w - -,f1d1
8/2k5/R7/1K6/3B4/8/8/7r w - -,d4e5
r2qr1k1/bppb1pp1/p2p1n1p/4p3/2P1P3/P2P2PP/1P2NPBK/1RBQ1R2 b - -,c7c6
5K2/2k2P2/8/8/8/8/3R4/5r2 b - -,f1f3
3rr1k1/pp2q1bp/2ppbpp1/4n1B1/4P3/P1N4P/1PPQBPP1/1R2R1K1 w - -,g5e3
3r4/1pR1bpkp/4p3/1p2N1p1/r2P2P1/P4N1P/1P2KP2/8 b - -,d8e8
r2qkb1r/pp3ppp/2n1bn2/8/8/1QN2N2/PP2PPPP/R1B1KB1R w KQkq -,b3c2
8/1N6/KBn3pp/p2k4/P7/n5PP/8/8 b - -,c6b8
rn1q1rk1/pb1pbppp/1p2pn2/2p1P3/2PP4/P1NB4/1P2NPPP/R1BQK2R b KQ -,f6e8
6k1/pp3p1p/6p1/2b2p2/P7/1P2P2P/1B3PP1/6K1 w - -,g1f1
8/4kp2/p3pp1p/1p6/5P2/P4N2/2P3PP/3n1K2 w - -,f3d4
rq3rk1/1b1nbppp/1p1pp3/pP6/P1P1PP2/2N1B1P1/4R1BP/2RQ2K1 w - -,e4e5
rnb1k2r/pp3p1p/4pp2/N7/3P4/P3P3/5PPP/R2qKB1R w KQkq -,a1d1
rnbqk1nr/pp3ppp/2pb4/3pp3/8/1P4P1/PBPPPPBP/RN1QK1NR w KQkq -,e2e3:c2c4
r1b2rk1/pp3q1p/2n1pp2/3p4/5bP1/1NP2N2/PPQ2P1P/2KR1B1R w - -,c1b1
8/1kr3p1/pp3n2/8/2q4P/2N3Q1/PP4P1/1K1R4 b - -,b7a7
1r4k1/4pp1p/3p1qp1/2p1b1P1/7K/P4P2/1P1Q1R1P/3R4 b - -,f6f5
8/5pb1/1p2p1p1/pk1nP2p/3P4/1K4PP/1N1B1P2/8 b - -,g7f8
1b5r/3nkpp1/2q1p3/p1p3P1/1pP5/1P1QBP1p/P3PN1P/3R3K w - -,d3e4
8/2B5/2p5/1pPb1k1p/p7/P1P2P2/5KP1/8 b - -,d5c4
8/p1pr1k1p/8/8/2n5/1pPrR1P1/1B3P1P/2K1R3 w - -,e3d3
3rr1k1/2q2pp1/3b1n1p/p3p3/P3B3/1QP2N1P/5PP1/3RR1K1 w - -,g2g4
2rq1rk1/3b1ppp/p2P4/np1pP3/1Q6/3B1N2/PP3PPP/2R2RK1 b - -,f8e8
rnbq1rk1/pp2p1b1/4n1pp/3pPp2/2pP1P1B/1NN1Q2P/PPP3P1/2KR1B1R w - -,b3c5
6k1/5p2/3p4/6p1/pP1RPbPp/5P1P/r7/3B3K w - -,b4b5
