8/8/5kp1/3R4/8/2r1b1P1/R5KP/8 b - -,c3c6
4k2r/1r1qppbp/pB1p1np1/3P1P2/1R6/2P2P1B/PP3Q1P/1K4R1 w k -,h3f1
4rr1k/3q4/bn1b1ppN/p1nPp3/1pp1P3/4B1N1/PP1QBPP1/2R2RK1 w - -,d2d1
r1b2r2/p1p2p1n/1p1ppk2/6RP/3PP3/2NP1q2/PP1QN3/1K5R w - -,e2g3
6k1/2n1p3/3p3p/2pP2pq/2QbP3/8/1P3RP1/2B3K1 b - -,h5d1
6k1/q4pp1/4p3/2rpP2p/1Q5P/6P1/1n2RPK1/8 w - -,e2b2
4r1k1/p5bp/q1p2p2/2pp4/4rB1P/1P3QP1/P1P2P2/R4RK1 w - -,a1c1
3r4/pp4p1/3r1kPp/5P2/3pRK2/1P1R3P/P7/8 b - -,b7b6
8/8/2R3p1/1p2p1b1/pBk5/P2b1P2/6K1/8 b - -,c4d5
8/p7/1p2rRk1/2p3P1/P7/2P4P/3K4/8 b - -,e6f6
8/5k2/2p1n3/8/1b4P1/1P1n1P2/1BB4P/1K1r4 w - -,c2d1
2rq1rk1/1p1bbppp/pn2pn2/4N1B1/P2P4/1BN5/1P3PPP/R2QR1K1 b - -,d7e8
1r1N1q2/pp6/5n2/3B1Qpk/2p3n1/6P1/1P3PK1/4R3 b - -,g4f2
8/kpp1bp2/p1n2qpR/3p1r2/1P1P1P2/P2QP1P1/3B2K1/2R5 b - -,f6e6
8/1p2P3/p1k5/4KP2/1r6/1p6/8/3R4 b - -,b4b5
1kb2r2/pp2n2p/2n2pr1/3pp2N/q1pP2B1/P1P3R1/2PB1PPP/R2Q2K1 w - -,g4c8
r4r2/1pkb1pb1/1pn1p2p/2pPP2P/2P2P1N/8/P2KNBB1/R7 b - -,c6a5
r1bq1rk1/pp2nppp/2p5/3n4/2BPN3/1Q3N2/PP3PPP/R3R1K1 b - -,d8b6
2kr1b1r/ppp1pppp/1n3n2/3P1q2/4P3/1B6/PPPP2PP/R1B1K1NR w KQ -,e4f5
1r4k1/p4p2/1r4pp/2pR4/2p2q2/P1P4P/1P2QPP1/5RK1 b - -,b6b2
8/5pp1/4k2p/2p1p2P/1P2K1P1/5P2/8/8 w - -,b4c5
8/8/8/5R2/3r3p/3kpP2/6P1/4K3 w - -,f5a5
3r1qkb/pb1rpp1p/np1p2p1/1N1N3n/2P1PP2/4B2Q/PP1RB1PP/3R2K1 b - -,e7e6
