8/1R3B2/5kp1/8/r4bP1/8/8/3K4 w - -,f7e8
2b1r1k1/2q2p1p/3pp1p1/8/2BbP3/1R2N3/P4PPP/2B2RK1 w - -,c4b5
r1b2rk1/pp1nppbp/q2p2p1/3P4/P2N4/2B3P1/1P2PPBP/2RQ1RK1 b - a3,d7c5
r3r1k1/1p2ppbp/2p2np1/p4b2/2P5/1P4P1/PB1N1PBP/1R3RK1 w - -,b1c1
4k3/5p1p/8/3bP3/3K4/8/7P/8 w - -,d4d5
r2r2k1/p1pnqppp/1p1ppn2/8/1PPPb3/P1B2NP1/4PPBP/R2QR1K1 w - -,g2f1
5k2/R3p2p/3p4/3K4/2P2P2/P1r5/8/8 b - -,f8f7
5R2/pp3p1k/5npp/5B2/3b4/1P4P1/r4PKP/2B5 w - -,f8f7
8/3r2k1/p4ppn/3Pp3/2P3b1/4RP2/P7/1R4K1 b - -,g4f5
3r4/p1r1ppkp/1p4p1/4nb2/3RN3/1BP1KP2/PP4PP/3R4 b - -,d8d4
8/1p3k1p/2b1Rp2/5P2/2P4P/2r3P1/4BK2/8 w - -,e2h5
r1b1k2r/ppq1bppp/3pp3/4n3/2P5/1P4P1/P3QPBP/RNB2RK1 w kq -,b1c3
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/5N2/PP1NPPPP/R1BQKB1R w KQkq -,f3h4:e2e3:g2g3
r1bq1rk1/5ppp/p1p1pn2/2bp4/2B1P3/P1N2P2/1PPBQ1PP/R3K2R w KQ d6,c4a2
8/6pp/3N2k1/2Rn4/3r4/6P1/5P1P/6K1 w - -,d6c4
1rbqk1nr/2pnppbp/p2p2p1/8/Pp1PP3/4BP2/1PPQ2PP/R2NKBNR w KQk -,f1c4
rnbqkb1r/5ppp/p3pn2/1p1p4/3P1B2/2N1PN2/PP3PPP/2RQKB1R b Kkq -,f8e7
5k2/p5Rp/3b4/2pP1q2/PpP5/1P3p2/1BN2P1P/5K2 w - -,c2e1
2r5/p2rk3/1p1pp1p1/5p1p/nRPB1P1P/P2PP1P1/2R1K3/8 b - -,a4c5
r5k1/1r3pp1/2qP4/4P2p/p4P2/B1R4P/3Q2P1/7K b - -,c6d7
r1bqkbnr/pp3p1p/2np2p1/2p1p3/2P5/1P2PN2/PB1PBPPP/RN1QK2R b KQkq -,f8g7
8/1b4k1/5rp1/pqPp1p1p/1n3N1P/1BQ2P2/PP4P1/2K1R3 w - -,e1e7
5bk1/3q1p1p/3p1np1/pBpn4/Pr1P4/QN2P2P/5PPB/2R3K1 b - -,d7a7
2b1r1k1/r3qpnn/3p2p1/p1pPp1b1/PpP1P3/1P1BNPN1/R6P/2BQ2RK w - -,d3f1
r1b1k2r/2q1bppp/pn1pp3/6P1/1p2PP2/1P2B3/1PP2Q1P/2KR1B1R w kq -,e3b6
4R3/7p/2B3p1/1p2Pk2/1r6/8/7P/4K3 b - -,f5f4
3r4/4R1kp/1p1p2p1/p1p5/P1P2P1P/1bR2B2/1r4P1/7K b - -,g7f8
r1bqr1k1/1p1n1nbp/3p1pp1/2pPp3/1PP1P3/2N2N2/3BBPPP/2RQ1RK1 w - c6,d5c6
8/p2B2k1/1p1p1bp1/3Pp2p/1P2Pp1P/5PP1/P1b2K2/2B5 b - -,g6g5
1r6/2rbk1bp/Bp2n1p1/4pp2/8/1NP1BP1P/1P4P1/3RR1K1 w - -,d1a1
6k1/ppB2p2/2n1r1bp/2PN2p1/4p3/2P1P3/5PPP/1R4K1 b - -,g8g7
1q1r4/6k1/1pPpnnp1/4pp2/1PP4p/2Q2P2/4B1PP/R2R3K w - -,a1a6
r4rk1/3n1ppp/pq2pb2/1pp5/2P5/1PNPBQP1/P4PKP/2R2R2 b - -,d7e5
r1b2rk1/pp1np1bp/2p5/3Pp2q/2P2p2/2NBBP2/PPQ3PP/4RRK1 w - -,g2g4
r1bqkb1r/p4pp1/2p4p/n2np3/4N3/3B4/PPPP1PPP/RNBQK2R w KQkq -,e1g1
5rk1/pb3pbp/1p2p1p1/3q4/2rPNB2/P1P1QP1P/6P1/2R1R1K1 w - -,f4h6
8/5k2/8/5P2/5K2/R7/8/4r3 b - -,e1f1
8/8/1pPk4/pB2b2p/P2pP2P/1P3K2/8/8 b - -,d6c5
rnb2rk1/p1q3bp/2p2p2/6p1/1p1PpPP1/4B2P/PPPQN2N/R3K2R b KQ -,b8d7
