8/2R2p1p/4p1k1/Nn2P3/4nP2/4K3/7P/8 w - -,c7b7
8/p1p1k3/1p2p3/2p1P1P1/3n3R/P6P/1P4PK/5r2 b - -,e7f8
5rk1/1p3ppp/pqp5/3r1PQ1/8/1P5P/1PP3P1/1R3R1K b - -,h7h6
1r3rk1/3bqpbp/p2p1np1/2pPn3/1p2P3/2N4P/PPQNBPPB/4RRK1 w - -,c3d1
3r1nk1/1p2p1b1/p2p2pp/4p3/2PnN2P/6PB/PP2PP2/2RR1K2 b - -,g8f7
6k1/2b2p1p/1pBqpp2/2p5/2P5/PQN1P2P/5PP1/7K w - -,f2f4
8/8/7k/8/5RK1/7P/6P1/4r3 b - -,e1g1
7k/1R6/1p5K/5Nr1/8/5nP1/P7/8 w - -,f5e7
r2qbrk1/pp2nppp/1n2p3/4N3/3P4/1BN5/PP2QPPP/3R1RK1 w - -,e2e4
r7/4bkpp/p1r1pp2/1p1n4/3B4/2P3PP/PP3P2/1KRRN3 b - -,g7g5
8/2r2kp1/3b2pp/p1p5/P1R5/4P3/2R2PPP/1r2BK2 b - -,g6g5
8/8/4p3/1P1p1kpp/1r6/1rNK2PP/1P1R4/8 w - -,d3e3
r3rbk1/p4p2/7p/3p2p1/5Bq1/3Q2P1/PP3P2/3R2KR w - g6,f4c1
r1b3k1/1pq1n1pp/2pp1r2/p3pp2/2PP4/4P1P1/PP1QNPBP/R4RK1 w - -,f2f4
2r3k1/1p3pbp/3np1p1/1N6/PqrPQ3/5N2/1P3PPP/R2R2K1 w - -,b5d6
rn1qk2r/pbp2ppp/1p1bpn2/3P4/3P4/3BPN2/PP3PPP/RNBQ1RK1 b kq -,e6d5
r2R2k1/4ppbp/4n1p1/2p5/4P2P/1PN1P3/P3N1K1/5R2 b - -,e6d8
1R6/6k1/1P6/8/5Kp1/6P1/1r6/8 w - -,f4g4
2r1r1k1/5pbp/p4np1/2pP4/1p2P3/3N1P2/P1n2NPP/2R2RK1 w - -,c1c2
8/1p2rpkp/2p3p1/p7/PpBbP3/1P3RPP/3r1P2/4RK2 b - -,f7f6
8/5k1p/6p1/3n1p2/1pR5/1Pb4P/5PP1/3N2K1 w - -,d1c3
R7/8/3p1k2/8/P1n1p3/8/1r6/3BK3 b - -,b2b1
3r4/4pk1p/5n2/1RR3p1/3p1nP1/2p4P/2K5/3N4 b - -,d4d3
5rk1/p3r1pp/5p2/1p3P2/3P2R1/5Q1P/q5P1/5RK1 w - -,f3c6
2rq1rk1/pb2bppp/1pn1p3/3n4/3PN3/P2B1N2/1P1B1PPP/R2Q1RK1 w - -,a1c1
rnbq1rk1/pp2ppbp/5np1/2pP4/5P2/1P2PN2/PB1P2PP/RN1QKB1R b KQ -,f6d5
4r3/4k3/5R2/3P4/p2K4/3B1p2/5r2/8 w - -,f6e6
2r4k/3b2qP/p3p3/p2p2N1/P3p1P1/1PP1Q1R1/5r1P/7K w - -,e3f2
r1bq1rk1/pp2ppbp/2np1np1/8/Q3P3/2PB1N1P/PP3PP1/RNB2RK1 b - -,c8d7
5k2/3p3p/8/5p2/2pQ1P1p/2Nn3K/1q6/8 b - -,d3f4
r3r1k1/p2n1ppp/bp1q1n2/2pp4/P2P4/1PN2NP1/3QPPBP/R1R3K1 w - -,c3b5
8/8/4ppn1/6p1/3kP3/1r3P2/5K2/5BR1 w - -,f1h3
3r2k1/p2rqpbp/bpp3p1/8/3pP1P1/5BP1/PPP2PK1/R1B1Q2R b - -,g7e5
5R2/8/2P1pk2/7P/2r5/4PBK1/2b5/8 b - -,f6g7
3rr1k1/1pp2pn1/p2p1qp1/7p/1P2PP1P/PbP1R1P1/Q4N1K/4R3 w - -,a2b3
1r1r2k1/5pp1/1p1P2p1/p5q1/6P1/Q6P/P4P2/2RR2K1 b - -,d8d7
r2q1rk1/1p2npbp/2npb1p1/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -,d1c1:f3g5
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/8/2NP2P1/PPPNPPBP/R1BQ1RK1 b kq -,f8c5
1rbqnrk1/2p1npbp/3pp1p1/1p2P3/3P4/2N1BNPP/PP3PB1/2RQ1RK1 w - -,e3g5
2r3k1/N4p1p/n2B2pb/5b2/2p5/8/NP3PPP/2KR4 w - -,f2f4
1qk3rr/pp2bp2/1n2pnp1/1Npp1b2/P4P1p/B1PPP3/2N1B1PP/RQ3RK1 b - -,b6d7
r2r2k1/pp1qbppp/2p2n2/8/3P1P2/7Q/PPBB2PP/R4RK1 w - -,c2f5
r1b1n1k1/p1q1pp1p/2p3p1/3pb3/N7/5P2/PPPQB1PP/1R2K2R w K -,g2g3
5r1k/1N5p/8/1BP5/Pp1r4/1R3p2/5P2/4K3 w - -,b5c6
2r2rk1/5pbp/2n1p1p1/pR6/8/4B1PB/P3PP1P/3R2K1 b - -,f8d8
r4rk1/1pqn1ppp/2p1pn2/p4b2/PbBP4/1QN1PN2/1P1B1PPP/2R1R1K1 b - -,f5g4
r3qrk1/1p2b1p1/1nn1p2p/p2pPp2/3P1P2/PP2B2P/4N1PN/R2Q1RK1 w - a6,f1f3
4k3/8/1p1p4/p1pPbp2/P5p1/2PPB1P1/1P3K2/8 b - -,e8d7
8/1P4r1/2K4p/3pk3/1R6/8/7P/8 b - -,g7g6
8/3nB1k1/3P3p/4p2P/3r2P1/2R3K1/5P2/8 b - -,g7f7
