8/5B2/3k3p/6p1/3nP1P1/Kp5P/8/8 w - -,a3b2
5rk1/pp3pb1/1qr1pn1p/3p1bp1/3P4/2N1P1PP/PP3PK1/R1BQRB2 b - -,f8c8
8/8/5kp1/6R1/3p1P1p/4P2P/3r2P1/5K2 w - -,e3e4
r4kn1/2p2qr1/n2p3p/pR1Pp2P/2P1Pp1Q/P1NN1P2/8/4K2R b K -,g8f6
8/4ppk1/3p2p1/pB1P3p/P3PP2/7P/4K1P1/6b1 b - -,g1d4
r4r1k/ppn3pp/2pb4/7q/1PN1P1n1/2P2NP1/PBQ3KP/R4R2 w - -,h2h3
r7/4qr1k/p3p2p/1p2Pp1Q/P1pR1P2/2P3Rp/4B1b1/6K1 w - -,g3g6
r1bq1rk1/pp2bppp/4p3/P7/1PBn4/5N2/5PPP/R2Q1RK1 w - -,f3d4
b4rk1/2q2pp1/p3p3/3n2b1/Pp4Q1/1R6/2P2BBP/5RK1 b - -,g5h6
4kr2/2q1n3/p5pp/1p3b2/8/4Q2P/PP3PP1/3RR1K1 w - -,g2g4
r1bq1rk1/pp2p1bp/2pp1np1/6N1/3P4/2P2NP1/PP3PBP/R2Q1RK1 w - -,f1e1
1R6/8/8/1pk5/7r/1K6/8/8 w - -,b8c8
8/6k1/3R3p/5P2/r5K1/8/8/8 w - -,g4g3
2r3k1/2r5/1p1b1p2/p5pp/P2pPpP1/1q1P3P/1P1N1P2/1R3RK1 w - -,d2b3
2rr2k1/1b1nbpp1/pqp1pn1p/1p2N3/P2P1B2/2NBP2P/1P2QPP1/R2R2K1 b - -,d7e5
2n1q2r/5rk1/1pRp2p1/pP1Pp3/N3PnQp/4B2P/P5PK/2R5 b - -,c8e7
r3r3/1b3p1p/3p2k1/p1nP4/1pPN4/1P5P/P5B1/4RRK1 w - -,d4b5
r1bqk2r/pp1pppbp/2n3pn/8/2Pp4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,c1h6
2q1rk1r/pp2bp1p/5p2/2p5/2P5/2NR4/PP2QPPP/4R1K1 b - -,f6f5
r2qkbnr/1p1b1ppp/p1npp3/8/3NP3/2NBB3/PPP2PPP/R2QK2R w KQkq -,e1g1
r1bq1rk1/p3b1pp/2p5/3p1p2/N3n3/1P4P1/PB2PPBP/R2Q1RK1 b - -,e7f6
5B2/7p/7P/7k/5bp1/p7/P5K1/8 w - -,f8a3
r3k2r/pppq1pp1/2npbb1p/8/5B1P/2P2N2/PPPQBPP1/R3K2R w KQkq -,f3d4
1rq2r2/1p4bk/3p2pp/p1p1pp2/P1PNPP2/2NP2KB/1P3Q2/R4R2 b - -,e5f4
3r4/nb1qbrpk/p4p1p/3p1P1N/1p1P2R1/4B1P1/PPQ3BP/R6K w - -,g4g6
8/7p/4bkp1/p7/3nB3/P3N3/5K1P/8 w - -,e4d3
8/R1p3k1/8/2pp2Pp/P1K5/1P3rP1/8/8 w - d6,c4d5
7k/5p1p/R3p3/pP1p4/3r4/8/P4PP1/6K1 w - -,a6a5
5q1k/3r3p/1pbp3r/p1n2p2/2PbpP2/1PN1Q3/P2RB1PP/5RK1 w - -,d2d4
b4rk1/p2BRp1p/1r4p1/8/2P5/1P4P1/1K5P/5R2 w - -,d7e8
2q3k1/Q4pp1/4p3/3n4/8/6B1/5PKP/8 w - -,a7d4
rnb1k1nr/ppp1qppp/3pp3/8/2PPP3/5N2/PP1N1PPP/R2QKB1R b KQkq e3,e6e5
r3k2r/pp2nppp/1qn1p3/3pP3/bP1p1P2/P2B1N2/1BP1Q1PP/R4RK1 b kq -,a4b5
r2q1r2/1bpn1pbk/ppn3pp/4p3/P3P3/1BN1BN1P/1PPRQPP1/4R1K1 b - -,d8c8
r1bq1rk1/1pp1b1pp/2n2n2/p2ppp2/8/PP1PP1P1/2PNNPBP/R1BQK2R w KQ -,c1b2
6k1/3n1p1p/2RPp1p1/8/8/r1NR2PP/5b1K/8 w - -,c6c7
6Q1/p1R3n1/1p2k1p1/1P5q/3p1r2/P7/6BP/7K b - -,e6f5
r4r2/4Npkp/3p2p1/8/6P1/1n5P/1P1K4/1B3R2 w - -,d2c3
5rk1/1B3pbp/p3b1p1/1p2P3/1P1R1B2/6P1/5P1P/6K1 b - -,e6c8
r4rk1/1pbb1ppp/p3pn2/8/8/1BP2N1P/PP3PP1/R1BR2K1 w - -,c1g5
8/1R4pk/3Rp2p/p3r3/6r1/8/P1P2P2/2K5 w - -,b7f7
1k2r3/1pp1rpp1/p5q1/2pP4/3QPP2/1P4Pp/P3R2P/4R1K1 w - -,d4c4
8/k1p2p2/pq5p/2Nb2pP/8/1PQ2P2/PKP3P1/8 w - -,c3d4
2n5/p3b3/7k/2P3p1/1P3pN1/8/P2BK3/8 b - -,h6g6
5rk1/p2q3p/1p2p1p1/3pb3/3P1P2/6P1/PP2b1KP/RNQ5 w - -,d4e5
2r3k1/3r1pbp/3np1p1/1p2P3/p1p2BP1/P1PB3P/1P2RPK1/4R3 w - -,e5d6
rnb1kb1r/3pppp1/pq3n1p/1ppP2B1/4P3/2N2N2/PPP2PPP/R2QKB1R w KQkq -,g5f6
1q3rk1/pbr1ppbp/1p4p1/n2nN3/3PN3/B1P4P/B3QPP1/2R1R1K1 b - -,b8e8
