3n4/3k4/3P1p2/3K1B2/1P4P1/8/5b2/8 b - -,d7e8
8/8/p1r1k3/4P2p/5K2/2p5/P1R5/8 b - -,c6c4
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/1BN2N2/PP3PPP/R1BQR1K1 b kq -,c5d4
r1b1r1k1/1pp1qpbp/3p1np1/p1nPp3/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,b2b3
3q1rk1/rb1nbppp/p2pp3/1pp5/P1P5/1PB1PNP1/2QP1PBP/2R1R1K1 b - -,d8a8
3rr1k1/p2n2bp/1p4p1/1Np2p2/q1PPnB2/1R1B1Q1P/P4PP1/3R2K1 w - f6,b3a3
r1b2rk1/1p2q1pp/3p1n2/4p1N1/1P6/2R3P1/4PPBP/3Q1RK1 b - -,h7h6
r3nrk1/1p4b1/p2pq1pp/2p2p2/P4P2/2N1PB1P/1P1Q2P1/3R1RK1 b - -,e8f6
r1bq1rk1/pp3pbp/4pnp1/1B6/3Bp1P1/2N2P2/PPPQ3P/2KR3R w - -,g4g5
8/p3k3/1p2p1p1/1Pp1p1p1/4B3/1PP3P1/2n2P1P/6K1 b - -,c2a1
rn1q1rk1/p1p2ppp/8/3Pp3/2P1P1b1/P3BNb1/1PQ1K1P1/R4B1R w - -,e2d2
r1bq1r1k/pp1nb1pp/2p5/2P1pp2/2BP4/1P2PQ2/PB1N2PP/R3K2R w KQ -,e1c1
6k1/pB3p2/q3b1pp/1R6/1Q6/4P1P1/PPr2K1P/8 w - -,f2f3
r5k1/1p3pp1/1q2N2p/3pPp2/2r2P2/P7/2P3PP/RR4K1 w - -,b1b6
8/1p6/5k2/1p4p1/nK3p2/5P2/5P2/2B5 b - -,b7b6
r1b1kb1r/5ppp/p2p1n2/1pq1p3/4PPn1/PBN2N2/1PP3PP/R1BQ1R1K b kq -,g4f2
2b2rk1/pp4p1/2p5/6p1/3P4/N5P1/P3rP1P/R3R1K1 b - -,e2f2
3r2k1/7p/3b1n2/3P1Pq1/4R3/1P4P1/P3Q1KP/5R2 b - -,f6e4
6k1/1p3pp1/p1p5/2P2P2/1P1nr1pP/P7/5RK1/5R2 w - -,f2f4
r1b2rk1/1p1n2pp/4pqn1/pP6/N3P3/P3Q1P1/4B2P/2R1K1NR b K -,g6e5
1r2n1k1/1q3ppp/p1R1p3/r2p4/3P4/3Q2P1/1P2PPBP/2R3K1 w - -,e2e4
8/7k/8/P7/1P2Q3/1K6/6P1/5q2 b - -,h7h8
r5k1/p4p1p/2b1p1p1/3qP3/3b1P2/6R1/1Pr3PP/R2NQB1K b - -,a8b8
2r1r1k1/1p4bp/p2pp1pn/8/P1BpPP1q/R7/1PP1Q1PP/2B2RK1 b - -,d6d5
r4rk1/5ppp/p3b3/qpp5/3bP1N1/P2P4/1PQ1B2P/1RK2R2 w - b6,g4f2
4r1k1/p1q3pp/1pN2p2/3P4/1Q1PnP2/8/P3r1PP/2B2RK1 b - -,c7d7
4k2r/1b2bppp/p2p4/1p1PpP2/1N2P3/1Pr5/P5PP/R1B2R1K w k -,c1d2
1rbqk2r/p2pppbp/5np1/2p5/2P5/2N3P1/PP2PPBP/R1BQ1RK1 w k -,d1a4
2r3nr/p2qp1k1/1p1p1pp1/7p/1QPPP3/P5P1/5PBP/1R3RK1 b - -,h5h4
nrr3k1/pp1b1p2/4p2p/2NpP1p1/8/2R1P1P1/PP2BPP1/2R3K1 b - -,d7c6
r3qnk1/6p1/p1p1r2p/1pp1P3/2P2R2/6RP/P3Q1P1/B6K w - -,f4g4
5R2/8/4p1k1/3nP2p/3P4/2p1BKP1/r4P2/8 w - -,f3e4
2k1r3/1pp5/p1prnRp1/4p2p/4P3/1P1PN1PP/P1P3K1/5R2 w - -,e3c4
1rq3k1/3p2bp/2b1n3/NpP1pQ2/1B1P4/6P1/5P1P/1R2R1K1 w - -,a5c6
2r3k1/1r1bqp1p/n2p2pb/1pnPp3/pN2P1P1/P2N1P1P/1PB1Q1K1/3RBR2 b - -,b7c7
5bk1/8/3p2q1/3Pp1pp/4Pr2/3Q2P1/5B1P/4R1K1 b - -,f4f7
r1b1r1k1/pp3pb1/2p2npp/6q1/3B4/1BN5/PPP3PP/R2Q1RK1 w - -,d1c1
r3r1k1/5ppn/pq1p3p/1pbP1b2/2p1P1P1/5P2/PP2B2P/R1B1QR1K w - -,g4f5
7k/8/6K1/1q6/4Q2P/5P2/8/8 b - -,b5a6
3r1rk1/1p5p/1Q4p1/3q1b2/P3p3/2P1R1P1/1P4BP/4R1K1 b - -,f8e8
5bk1/1r1n2r1/1PQp4/p1pPp2p/P1NqPp2/2N2P2/3KB2P/1R6 w - -,d2c2
