8/3R2p1/1R3bkp/p7/P3KP2/4P2r/8/8 w - -,d7d5
rnbqkb1r/pp1ppppp/5n2/8/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,g7g6:d7d5
8/8/2p2kp1/p4p1p/2P1p2P/3r2PN/1K5R/8 w - -,h2g2
8/3b1k2/3p2p1/3PbpP1/1qP5/1P1R1Q2/r1B1K3/4N3 w - -,e2f1
r1b1kb1r/1pqp1pp1/p1n1pn2/7p/2PNP3/P1N1BP2/1P4PP/R2QKB1R b KQkq -,f8e7
r4rk1/pp1nqpp1/2p2n2/3pNQB1/1b1P4/2N1P3/PP3PPP/R4RK1 w - -,c3e2
2bqk2r/r3bppp/p4p2/2pB3n/5B2/5N2/PP1Q1PPP/2KR3R w k -,f4b8
r4rk1/4q1pp/3pb3/1Pp1p2n/p3Pp2/1PQP1P2/PB1KN1PP/3R3R b - -,a4b3
1rq2rnk/2pb1pb1/p1np2pp/P3p3/2B1P3/2PP1NB1/5PPP/R2QRNK1 w - -,d3d4
5r1k/p5p1/5q2/8/8/3p2P1/1n1Q2BP/2R4K w - -,d2b4
5r2/p4P1R/1p2k3/4p3/P7/2p1P3/1r4PP/5RK1 w - -,h7h6
1r3r2/1p4bk/pPbp3p/2pNp1pq/2PBP1p1/P2P2P1/4QPNP/1R3RK1 b - -,e5d4
r4rk1/1p2ppbp/1q1pbnp1/p5B1/2P1P3/1PN5/P2QBPPP/2R2RK1 b - -,f8c8
8/5pk1/1b2p1p1/3nN3/5P2/6PK/8/1R6 b - -,b6d4
3r2k1/pp2b1p1/4Qp2/3q4/2pNb3/2P1PNP1/PP2KPP1/7R b - -,d5e6
6k1/5r2/p2p3p/1p1Pn3/1P1pB3/4b1PP/P1R5/4R2K w - -,c2e2
8/8/8/6q1/8/4PQK1/3k2P1/8 w - -,g3f2
rnbqkbnr/ppp2ppp/3p4/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq -,d1d4
8/p7/8/2p1kp1P/R7/1P6/P5K1/3r4 w - -,a4h4
8/8/5p1k/P6p/2q4P/6P1/6QK/8 w - -,h2g1
4k3/2R4p/6p1/p2Pr1P1/p3P3/3K4/1P6/8 b - -,e5g5
rn3rk1/ppq2ppp/2p2nb1/5N2/2BP4/6P1/PPP1N2b/R1BQ1R1K b - -,g6f5
5rk1/pp2p3/2p3P1/4PpK1/8/6RQ/PP2q2P/R1Brn3 b - -,f8f7
rn2Rbk1/p4qpp/2p5/1p2N1B1/3P2b1/1QP5/P4PPP/6K1 b - -,f7b3
r1bqkb1r/3pnppp/p1n1p3/1p6/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,c6d4
2Q5/r5kp/3p1pp1/3Pq3/4P3/5P1P/6P1/2R4K w - -,c1c7
q5k1/6b1/2nQ2p1/4p3/2b5/4BP2/P5PP/4NRK1 b - -,c4f1
1r3rk1/3qnbp1/1p1p3p/1P1Pp3/3bP3/1QN3P1/3B2BP/4RR1K b - -,f7g6
4k3/R7/5P2/4P3/8/4K3/8/5r2 w - -,e3e4
8/8/5K2/5P2/3k4/8/3p2r1/5R2 w - -,f1d1
r1bq1rk1/p3pp1p/2p3p1/8/8/4QP2/PPP3PP/2KR1B1R b - -,d8b6
rn4k1/p3qpp1/1p2p2p/2rb4/8/4PN2/PP2BPPP/2RQ1RK1 w - -,c1c5
3r1r1k/pp4qp/4b3/2p2p2/2Pn4/2N2B1P/PP3QP1/3R1RK1 b - -,e6c4
8/3R1pkp/8/1ppB4/p5P1/8/1P3K1P/4r3 b - -,e1d1
2r2rk1/p4pp1/5n1p/1p2p3/2pnN3/5BPP/PP2PP2/R4RK1 w - -,e4f6
5r2/p4rqk/1p1p2b1/1PpP1pBp/2Pbp2P/R5PB/P2Q1P2/6RK w - -,g5f4
8/8/1r4pp/3k4/5P1P/3BK1P1/8/8 w - -,d3e4
2r2rk1/pp1n1p1p/q3p1p1/n2p4/3P1PPP/1P2P3/P3N1Q1/RB2R1K1 w - -,e1d1
r3r1k1/1bp3pp/pp1b1pn1/3p4/3P4/PP1BP1P1/1BQ2PP1/2RR1KNq b - -,a6a5
2rq1rk1/ppp2p2/3p3p/3Pn1BP/4P3/8/PP2B1P1/R1Q1R1K1 b - -,d8g5
rnq2rk1/5ppp/pp1ppn2/8/2P5/5NP1/PPQNPPKP/R2R4 b - -,c8c6
r1b2rk1/ppq3bp/2p5/2P1ppnn/8/1PN1B1PP/P3QPB1/R2R2K1 w - -,e2h5
1R6/4k3/6pp/1p3p2/p4P1P/3r1K2/P4P2/8 w - -,f3g2
2R5/6p1/8/P2Pp1k1/4P1P1/5P2/2p3K1/2r5 b - -,g5f4
2r2r1k/p1pb2bp/1p1n2p1/3pqp2/P7/NPP2PP1/2Q1PBBP/R4RK1 w - -,f2d4
rn1qk2r/1p1bbppp/4p3/pN1pP3/Pn1P4/3B1N2/1P3PPP/R1BQ1RK1 b kq -,b8a6
r3k2r/2qpbpp1/p3p3/np2P3/4BP2/PN4Q1/1PP2R1P/3R2K1 b kq -,e7h4
2R5/r7/3pp1k1/p5p1/1p4P1/1P2KP2/P3P3/8 b - -,g6f6
r2qk2r/1p1bnpp1/p3p1n1/2bpP2p/7P/2NB1NQ1/PPPB1PP1/R4RK1 w kq -,b2b4
r2qk2r/bpp2ppp/p2p1n2/3Pp1B1/8/2PP2PP/PP3PB1/R2QK2R b KQkq -,h7h6
3rr1k1/1p3pp1/1qp1bb1p/3n4/1B1P4/P2Q1NP1/5P1P/3RRBK1 w - -,d3d2
2rqr1k1/1b6/p2pp1pQ/8/1PP1nP2/3B1R2/1N5P/5R1K b - -,d8f6
8/8/8/8/2b4K/1r6/1p5Q/1k6 w - -,h2f4
5r2/8/1R3p2/6kp/1p1r3P/6P1/P4RK1/8 b - -,g5g6
2rr2k1/pp3ppp/4pn2/2P5/8/P1PB3P/2P2PP1/3R1RK1 b - -,g8f8
r2qr1k1/pb1n1pbp/6p1/Pp1np3/4N3/1Q1P1N2/1B3PPP/R3RBK1 w - -,d3d4
2rrb1k1/1pq2ppp/8/1P1pP3/1B1n1P2/5B2/R1P1Q1PP/5R1K w - -,e2f2
r3rk2/p2q1p2/1pn4p/2pn1Pp1/3p4/P3P1B1/1PB2PQP/2KR2R1 w - -,e3e4
8/8/6n1/Pk4P1/4p2P/6K1/8/8 w - -,h4h5
r7/3qppk1/3p2pp/r7/PR2P3/2Q3P1/5PKP/R7 b - -,f7f6
r1bq2k1/ppp3pp/2n1pr2/3p4/1bnP4/2NQ1P2/PPP1NBPP/2KR1B1R b - -,b7b5
8/1p2r1k1/2bq1p2/3p4/p2PPbP1/2R2P1p/Q6B/1R4K1 w - -,h2f4
8/3r1p2/4pbk1/5p1p/3P1P2/3KB2P/2R3P1/8 b - -,f6g7
r2r2k1/1p3ppp/p2p4/4n1P1/2P1P3/1P4P1/3q2BP/1R1R3K w - -,d1d2
8/1p6/2n1k3/3pPp2/1pr5/PR4P1/1P3K2/4B3 w - -,a3b4
8/3k1p1p/3n2p1/3q2P1/4p2P/1p6/1Q4BK/8 w - -,g2h3
r1bq1r1k/pppnn1bp/3p2p1/3Ppp2/2P1P3/2NN4/PPQBBPPP/R4RK1 b - -,f5e4:c7c5
3r3r/Qpk3p1/2bq1p2/1pNp1p2/3P3p/3PP3/4NPPb/R1R4K w - -,c5b7
r1b2rk1/p2nq2p/1ppNpb2/3n2p1/3P3B/1Q3N2/PP2BPPP/R4RK1 w - -,h4g3
r6k/1pp3pp/p2p3n/5q2/5n2/2P1R3/PP2QPN1/R5K1 w - -,g2f4
5k2/p3bppB/2n1p2p/p2pPP2/3P2P1/1P1K4/1B5P/8 b - -,c6b8
4nbk1/5p1p/5n1p/1Q6/1p6/5P1P/3r2P1/6K1 b - -,d2d5
r3nrk1/p3b1pp/8/2pqPp2/1nNp1P2/1P3Q2/PB1N2PP/R4RK1 b - -,a8d8
5r2/2q2Rbk/2Bp2pp/p2Pp2n/P1P4Q/4B2P/6P1/R5K1 b - -,c7f7
1r4k1/p1q3pp/5p2/2p1p3/brP5/2Q1P2P/P2R1PP1/3RN1K1 w - -,d1c1
r1b2rk1/1p1n3p/p2p1qp1/3Pbp2/2P1p3/PPN3P1/2Q1BP1P/1RB2RK1 w - -,c3a4
6k1/1b1n2rp/p6q/2p5/5r2/1P2ppP1/PQ1N1P1P/3R1R1K w - -,d1e1
