8/b5pk/Q5p1/8/1q4Pp/5B1P/P4PK1/8 b - -,b4d4
2r4k/4R2p/5p2/8/R1p5/7P/1P1r1PPK/8 w - -,a4a7
r5k1/ppp4p/2n4P/2PpP1p1/3P1r2/4K3/PP2B3/R6R w - -,a1g1
8/1k4pp/1P2bp2/2p5/2p5/4P3/1P3PPP/3R2K1 b - -,e6f5
2r3k1/3bqppp/8/8/1ppP4/2Q1P1P1/5PKP/R5N1 w - -,c3c1
2r3k1/p3rp1p/bp1Pp1p1/n3N2n/2P5/3B4/PB3PPP/2RR2K1 b - -,e7b7
8/5bk1/3p3p/5P2/1pP1PNK1/1P2bB2/8/8 w - -,f4d3
4r1k1/5pp1/1Bp1b3/4p2p/P1P1Pb1q/1P3P2/2B1Q2P/3R3K b - a3,h4e7
r1b1q1k1/pp1nb3/4prpB/3pNp1p/2pP3P/2P1P1Q1/PPB2PP1/1R2K2R b K -,g8h7
5rk1/5p2/4bP2/4P1p1/6P1/r7/P4R1K/R7 w - -,a1g1
8/8/p2r4/4kpPp/3p3P/R4K2/8/8 w - -,a3a5
3R4/1Npr2kp/6p1/5p2/1P1b1P2/3r1KP1/7P/2R5 w - -,f3e2
1r2rn2/4qpk1/1p3npp/p1p1p3/2P1P3/3R1NNP/PP1Q1PPK/3R4 w - -,h2g1
5rk1/1R2Qp1p/6p1/8/4P3/5P1P/q5PK/8 b - -,h7h5
r3k2r/4pp1p/1qp1b1p1/1p1nP3/p3Q1P1/P6P/BPPB1P2/2KR3R w kq -,h1f1
4R3/2r3kp/P2b1pp1/8/4P3/3B2P1/1PP2r1P/2K4R b - -,h7h5
rn2k2r/1p1q1ppp/p3p3/1P1pP3/P1nP4/RN3N2/5PPP/3Q1RK1 w kq -,b3c5
r3r1k1/1p3p1p/2Pb2p1/nB3p2/7q/4PQN1/PP3PPP/1K2R2R b - -,b7c6
8/p1R5/5kp1/1P1K3p/P7/8/6rP/8 w - h6,c7c6
4r2k/6bp/p2q1np1/4n3/Pp1p1N2/1P1B1Q1P/1B3PP1/3R2K1 w - -,f3g3
8/8/7p/3k1p1P/P7/5K2/3b4/6N1 w - -,g1e2
4r1k1/2Q2pb1/8/3p2Pp/8/7P/n5P1/5B1K b - -,a2c3
3rr1k1/1pb2p1p/pN2b1p1/3p4/3QB2q/4B2P/PP3PP1/3RR1K1 b - -,d5e4
r6r/pb3Pb1/2pk3p/1p4pQ/2p5/2p5/PP3PPP/5RK1 w - -,h5g6
2rqkb1r/1p1n1ppb/p1p1p2p/P2pPn2/2PP4/1N3N2/1P1BBPPP/R2Q1RK1 b k c3,d5c4
8/2k1p3/3p1ppr/3P3p/2N1PP2/8/2B3PP/6K1 b - -,h6h8
2r4k/1R3rpp/p1nQ4/8/2B5/8/P1q3PP/6K1 w - -,c4f7
r2q1rk1/pb2bppp/1p2pn2/2np4/2P2B2/2N1PN1P/PP2BPP1/2RQ1RK1 b - -,d5c4
r3kb1r/1b3ppp/p2ppn2/q7/np1NP1P1/PP2BP2/2PQ3P/2KR1B1R w kq -,a3b4
4k3/1p6/p1n1P2p/3B1K1P/P7/2B1b3/8/8 w - -,d5c6
1r2b1k1/1q3p1p/1n1ppbp1/p7/P1BNP3/2R1BP2/1P1Q2PP/6K1 w - -,c4b5
r2qk2r/pp3ppp/2b1p3/2bpPn2/3N1P2/8/PPP1N1PP/R1BQ1RK1 b kq -,d8b6
7k/pp2rqp1/1b5p/3p4/1P1PrP2/P1BR1QPP/3R2K1/8 w - -,d2f2
8/Q4pkp/8/8/6P1/8/P1q2K1P/8 w - -,f2g3
