8/6Q1/q1K4P/8/8/k7/8/8 w - -,c6d7
rq2r1k1/1ppn1p2/p2p2p1/2PPPnNp/1P3P2/2Q4P/P5B1/4RRK1 b - -,d6e5
7r/1p1knp1p/8/3pP3/1b3B2/2N5/PP3P1P/4K2R w K -,f4d2
2rq1rk1/pb2bpp1/1p2p2p/4P3/2BpPBP1/P1N2P2/1PQ4P/3R1RK1 b - -,c8c4
2r2rk1/pp1qnpb1/4b1pp/nP2p3/P3p3/N2P1NPP/5PBK/1RB1QR2 w - -,d3e4
r4rk1/1p2bppp/1nqpb3/4p1Pn/p3P3/2N1BP2/PPPQ3P/N1KR1BR1 w - -,c3d5
r1bq1rk1/pppn2b1/3pp1pp/5n2/2PP3P/2N2NP1/PP3PB1/R1BQR1K1 b - -,d7f6
r2qkbnr/pp3pp1/2n1p3/2ppP2p/5Pb1/2PP1N2/PP2B1PP/RNBQK2R b KQkq -,g7g6
r4rk1/5ppp/p2b4/1p1pqb2/8/2PPBQP1/PP3P1P/RN2R1K1 b - -,f5d3
3rrbk1/2qb1pp1/7p/1p1Pp3/8/1QP1BN1P/1P3PP1/R3R1K1 b - -,d8a8
2r2knr/pp4p1/2q1p2p/3pPp1P/2nP1PQ1/P5N1/P5PK/R1BR4 w - f6,g3f5
r5k1/3pbr1p/P3p1p1/8/1q1p1PQP/3B2P1/1P1R4/R5K1 w - -,d2c2
3r1r1k/pp2qbpp/1np2p2/5P2/3PP1P1/P2B1N2/2Q4P/R4RK1 b - g3,c6c5
3R4/1p2r3/6k1/5ppp/8/2P1K1P1/7P/8 w - -,e3f2
8/p4kp1/1pbqpb1p/2p5/P1Q1P3/6PB/1P2NP1P/6K1 b - -,g7g5
r1b1r1k1/1pq1bppp/p2p1n2/4p3/3BPPP1/2N2B2/PPP4P/R2Q1R1K w - -,d4e3
r1bq1rk1/pp4pp/2n1p3/5p2/5b2/2PB1N2/PP2QPPP/RN3RK1 w - -,d3b5
rn4k1/pp4q1/2pn2b1/3p4/3P4/P1PBPP2/5K1R/2BQ4 w - -,d3g6
1r2q2k/1Q3pbp/4n1p1/1ppNp3/4P3/4P1PB/1P5P/5RK1 w - -,b7a7
r5k1/B2R2bp/2p1n1p1/8/N1P5/1P5P/1Pr3P1/3R1K2 w - -,a7e3
8/1r6/2pp1kp1/p4p1p/P1P2RrP/1PK1P1P1/6R1/8 b - -,f6e5
8/6k1/ppp4p/2b3p1/1PK1P1P1/7P/8/8 b - -,c5d6
r1bq1rk1/pp1nppbp/2p2np1/8/2BPP3/2N2N1P/PP3PP1/R1BQK2R b KQ -,b7b5
brnr2k1/5ppp/1q2pn2/1pNp4/1P3P2/P3PNP1/3RQ1BP/3R2K1 b - -,c8d6
2r5/6k1/1pbp1pp1/p1n1p3/PnP1P1P1/1PN1P1K1/3N4/1B5R b - -,c6e8
8/p7/1p1r1pk1/2p2Rp1/P1PpP1K1/1P1P4/8/8 w - -,e4e5
r1b1qrk1/pp4bp/n1pp1ppn/4p3/2PPP2B/2N2N1P/PP3PP1/R2QRBK1 b - -,h6f7
r1b1kb1r/1p3ppp/2pp1n2/q1nPp3/p1P1P3/2N1BP2/PP1QN1PP/R3KB1R w KQkq -,e2c1
5rk1/1p5B/p1b5/8/2Pp4/7P/2P4K/5R2 b - -,g8g7
2br3r/1p2kn1p/2p2pp1/p3p3/P3P3/1BN1KPP1/1PP4P/R2R4 w - -,c3e2
6k1/2rR2p1/1b2ppp1/p7/1pP4P/6Pn/PB2PPK1/8 w - -,d7c7
2n5/p6k/2Nb1ppP/8/1PP3p1/8/P2BK3/8 b - -,f6f5
4b3/1p1kn1b1/4p3/2Pp2NP/3P2K1/2BB4/5P2/8 b - -,e7c6
2kr3r/pbpnqp2/1p1pp3/6pp/2PPB3/P3PNBP/1P2QPP1/2KR3R b - -,b7e4
r1b1kb1r/ppppqppp/2n2n2/1B2p3/4P3/5N2/PPPPQPPP/RNB2RK1 b kq -,g7g6
8/1p6/2p1pk1p/5p1P/3P4/R7/PPP3r1/3K4 b - -,e6e5
r2qk2r/1pp3pp/p1pb1pn1/4p3/2NPP1b1/2P2N1P/PP3PP1/R1BQ1RK1 b kq -,g4e6
R7/6k1/5p2/5p2/6p1/4P1P1/P4PK1/4r3 w - -,a2a4
r1b2r1k/pp4p1/1nnbpq1p/3p4/P2P4/2NBBN2/1PQ2PPP/R4RK1 w - -,d3e2
2r4r/R4pk1/Q3p1p1/3qP2p/3P4/7P/5PP1/1R4K1 b - -,h8f8
8/p6k/1p6/4rRK1/P1B3PP/1P6/8/4r3 b - -,h7g7
r1bqkbnr/pp1n1ppp/3pp3/1Bp5/4P3/1P6/PBPP1PPP/RN1QK1NR w KQkq -,f2f4
1r2r1k1/p2n1pbp/3p1np1/qppP4/P3PP2/1QN2B1P/1P1B2P1/R3R1K1 b - -,c5c4
r1b1r3/2p2k2/1p1p2pp/p4p2/2PB4/1P2P2P/P2R1PP1/2R3K1 w - -,f2f3
r4rk1/pp3pp1/2n3p1/4P3/6P1/1QN4P/Pq2nP2/R3R1K1 w - -,c3e2
rnbq1rk1/pp4bp/2pp1n2/4pp2/2P5/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,d3d4
1rb1rq2/pp1n2pk/3P3p/2pBpp2/2P5/1R2B1P1/PP2QP1P/3R2K1 b - -,b7b6
1q1rrbk1/1p3bpp/pP1n1p2/P2Pp3/8/1Q1PN1PP/1BR2PB1/2R3K1 b - -,d6b5
1n1r1rk1/1pq1bppp/p1b3n1/3P4/1P6/PB2BN2/4QPPP/2RR2K1 b - -,c6b5
rn1qrbk1/pb3ppp/1p2pn2/3p4/2PP1B2/2NB1N2/PP3PPP/R2Q1RK1 w - d6,f1e1
rnb2rk1/ppq2pbp/2pp1np1/4p1B1/2PP4/2N1PN1P/PP1QBPP1/R3K2R w KQ -,d2c2
r5k1/p1pq2pn/1p2rp2/3p3N/3Q4/8/PPP2PPP/4RRK1 w - -,e1e6
r4rk1/p3qppp/2pb4/n7/5n2/2NP4/PP2BPPP/R1BQK2R w KQ -,c1f4
6k1/pp1R1pb1/r7/8/3P4/1P1KN1P1/P4RP1/r7 b - -,a6a2
3rr2k/p5pp/1pq2p2/2p1p3/P4n2/1P1PNPQP/2P2P2/3RRK2 b - -,c6e6
r2q1rk1/6pp/p2p4/3Npbb1/p7/2P5/1P2BPPP/R2Q1RK1 w - -,a1a4
r4rk1/pp3pbp/2n3p1/1P1Nn3/5B2/6P1/q4PBP/2RQ1RK1 b - -,c6d4
5bk1/5pp1/8/3pP3/3P1p2/3r1N1P/R4KP1/8 b - -,f8a3
8/R7/1p6/1kp4b/3pKB2/8/p1r5/8 b - -,h5e2
4r1k1/pq5p/5npQ/1pP2p2/2bP4/3N1P2/P2R2PP/2R3K1 b - -,b7d5
6r1/p4B2/1p6/2k3P1/P7/1P2K3/8/8 b - -,g8g5
2br1k2/1pR1n1pp/4P3/rB1p1N2/P7/8/5PPP/4R1K1 b - -,e7f5
4r1k1/1pp3p1/p2rqpnp/4p3/4P3/P1PP1NPP/1P2Q1K1/3R1R2 w - -,f3h2
2b2rk1/1pp1q1bp/2n3p1/3p1p2/2PPp3/1P4P1/rB1QPPBP/3RNRK1 w - -,e2e3
r3kb1r/pp1n1ppp/2pq1n2/4p3/2BP4/PQ2PN2/1P3PPP/1RB1K2R b Kkq -,e8c8
3r2k1/1pq2p1p/p1pPr1pB/7n/Q7/2P3PP/P4PK1/1R2R3 b - -,c7d7
r1b2rk1/pp3ppp/2n1pn2/2b5/2B5/4P3/PP1N1PPP/RNBR2K1 w - -,d2b3
r1bqkb1r/pp1npppp/2p2n2/3p4/3P1B2/4PN1P/PPP2PP1/RN1QKB1R b KQkq -,d8b6
8/1p1r4/1K1P1k1p/2P3p1/6P1/4R2P/8/8 b - -,f6f7
