8/5p2/1K2p2p/3k2p1/PR4P1/8/5r2/8 w - -,a4a5
8/4kpB1/4p1pK/4P3/5PPP/8/4b3/8 w - -,h6g5
2b1rbk1/r2n1p1p/pq2pnp1/3pN3/3P1P2/2NBP3/1PQ3PP/R1B2RK1 b - -,d7b8
8/6k1/1P2pp2/3b2p1/8/8/5qP1/1Q3B1K b - -,g5g4
5rk1/p3r1pp/bq1p1b2/2pPpp2/2P2P2/1P2B1P1/P2QR1BP/3R2K1 b - -,f8d8
8/1p2kp2/6pp/4p1q1/1PP3Q1/5P2/5PKP/8 b - -,g5f6
r2qr1k1/pp2p1n1/1np1bppQ/4B1N1/4B1P1/2NP4/PP2PP2/R3K3 b Q -,b6d7
5r1k/p5pp/6q1/8/8/5N1P/PP1pQ1K1/3R4 w - -,g2h2:g2f2
1rb2rk1/5pbp/1qB1p1p1/2Np4/3P4/3QPN1P/1P3PP1/2R2RK1 b - -,b6c6
4k2r/5pp1/2p2b1p/1p3b2/1P6/5N1P/K1PB1PP1/3R4 w - -,c2c3
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,e1g1
rn2q1k1/p4ppp/1p1b4/3p4/3P2b1/2PB1N2/P4PPP/1RBQ2K1 w - -,b1b5
8/7R/1k2p3/3b4/3r1K1P/6N1/8/8 w - -,f4e3
r3k1nr/pp1qppb1/2np2pp/2p5/2P5/2NP1NPb/PP1BPP1P/R2QR1KB b kq -,g8f6
r4rk1/5ppp/1q2p3/p2nP3/4Q1P1/1N1R4/PP5P/1KR5 w - -,b3d4
r1b2bk1/1pN1qr1n/1B1p2n1/P2Pp2p/1P2Pp2/5Pp1/4B1PP/2RQNRK1 w - -,c7e6
2kr1b1r/pppqnpp1/2n3b1/1P1pP2p/6P1/2P1PN1P/P2N1P2/R1BQKB1R b KQ -,h5g4
8/8/8/4p2p/4K2k/8/8/8 w - -,e4e5
R3n2b/p1r1k2p/1p3pp1/4p3/6P1/2P1BPN1/PP4P1/5K2 b - -,h8g7
r4rk1/pp2bp1p/3q2p1/1Q1pN3/3Pn3/4BR2/PPP3PP/3R2K1 b - -,f7f6
r2nk3/1bqn1prp/4p2R/p2pP3/1ppP2N1/2P3PP/PP1QN1B1/R5K1 b q -,d8c6
br2r3/2p1np1k/3q1bpp/3n4/NpR5/1P1Q2PP/P1N2BB1/4R1K1 b - -,e7f5
r1bqk2r/1p2npb1/p2p2pp/2pPn3/P3P3/2N1BP2/1P4PP/R1NQKB1R b KQkq -,f7f5
8/2R5/5p1k/R6P/P7/br2pK2/8/8 w - -,a5b5
6k1/p6p/6p1/b1p2p2/2P1b3/8/Pp3KPP/1B6 w - -,b1e4
