2r1k3/8/2nK4/n6R/P7/8/8/8 b - -,c8d8
8/5p2/1KBp1kp1/3P3p/5P1P/p4r2/2b5/R7 b - -,f3f4
r3r1k1/p4p2/1p3nnQ/3p4/2qpP3/P1P2PN1/5RPP/5RK1 b - -,e8e6
8/7r/8/4P1k1/2KP2P1/7p/8/7R b - -,g5g4
r6k/1p4rp/p1n2p2/P2qpQ1P/R5pR/3pP1P1/1P1B1P2/4K3 w - -,a4g4
5rk1/Q3R3/6pp/8/1P6/P5P1/1r3q1P/2R3K1 w - -,a7f2
r4rk1/2qnpp1p/P2p2p1/3P4/2p1P3/2P2NP1/4QPKP/RR6 b - -,f8b8
6k1/1p1bqpp1/p4n1p/3p4/1P1B3Q/P2BP3/5PPP/6K1 w - -,d4f6
1r6/5pkp/3q2p1/2RP1b2/2BP1p2/1p3QP1/r4P1P/1R4K1 w - -,b1f1
1r1r1q2/p2n1pk1/2p2npp/P1b1p3/2B1P3/1P2NQ1P/1B3PP1/R2R2K1 w - -,d1d3
8/4K1k1/7R/6PP/8/8/8/4r3 w - -,h6e6
r2qk2r/4npbp/3p1p2/p2Pp3/1pP5/3BN3/PP3PPP/R2Q1RK1 b kq -,d8d7
r4r2/1p2p1kp/1nbq1pp1/p2p4/P2P4/1P1NP3/3QBPPP/R1R3K1 b - -,f8c8
r4rk1/1pqn1pb1/2p2n1p/p3p1p1/P3P3/1BN2QBP/1PPR1PP1/R5K1 b - -,d7c5
2k5/1b3pRp/1p2p3/p1r5/Pn1p1q2/3B3P/2P1QPP1/4R1K1 w - -,d3h7
r3r1k1/pp1nqp1p/2p1n1pQ/3pP3/3P2P1/5N2/PPP1N1K1/4RR2 b - -,e7f8
r1qrn1k1/pb2bpp1/1p3n1p/2ppN3/3P1B1P/2N1PQP1/PP3PB1/2R1R1K1 w - -,g3g4
r3r1k1/pq3pp1/2p1p2p/2R2n2/Q4B2/2P4P/P4PP1/3R2K1 b - -,e8d8
1nk3rr/1pp2p2/p2p4/3P1Pq1/PP6/2P1N3/2B2K2/R2QR1q1 w - -,e1g1
3q1rk1/1b1rbppp/pp1ppnn1/8/2P1P3/2N1NPBP/PP2B1P1/2RQ1RK1 b - -,f6h5
rn1qkb1r/1pp2ppp/4pn2/pP1p1b2/3P4/P3P3/1BP2PPP/RN1QKBNR b KQkq -,c7c6
r4k2/5p1p/3p3r/pB1Pn3/2P1Pp2/8/P2R2PP/5RK1 b - -,h6f6
r2q1r2/2p2p1k/1p1pn1pb/p2Np2p/P1P1P2P/BPP3P1/2Q2P2/3RR1K1 b - -,h7g7
2r5/p1P5/3r2kp/2R5/3p1P2/8/P6P/3R2K1 b - -,d6d7
8/8/R4k2/5P2/5P1P/5K2/8/6r1 b - -,f6f5
3k4/7R/1r6/1N4p1/2PpN1P1/3Pb2P/4K2n/8 b - g3,b6a6
5rk1/ppq1pp1p/5bp1/P1p2r2/4R2B/2P2P1P/1P2Q3/4K1R1 w - -,h4f2
5bk1/p3q3/1pr1pp2/4p1p1/4P3/1PNQ4/1PP3PP/3R3K w - -,h2h3
8/p5k1/1p4p1/2p1p2p/2PbP3/PP3P2/6PP/4NK2 w - -,e1c2
1rq5/1p2Qpk1/p3n1p1/P3PP2/8/2N1P3/1PP3Bp/3r1R1K w - -,f1d1
r1bq1b1r/pppp1kpp/2n5/4p3/4N3/3P4/PPP2PPP/RNBQK2R b KQ -,f8e7
8/2kp1pr1/3qp3/1p1b1pNp/5P1P/2QR4/r1P3PK/8 b - -,c7b7
8/2K5/8/5k1p/p6P/8/P7/8 w - -,c7b6
r2r2k1/5pb1/1qn1p1pp/pp2P3/1P1pRPP1/3P1Q2/P4BP1/R4BK1 w - a6,b4a5
8/5rk1/4p3/3pP1p1/2pR1pPP/2P2P2/2R3K1/r7 w - -,h4g5
r1br4/p1k2p1p/1pp3pb/4n3/4PpB1/2N4P/PPPB4/2KR1N1R w - -,g4c8
8/2R3pk/5n1p/p7/8/6RP/r4PK1/8 b - -,f6h5
8/8/3b4/3p1kp1/3P4/4K2b/5N2/8 b - -,h3g2
3R4/1pr1rpk1/p5p1/P6p/1PP4P/5B2/3R1KP1/8 w - -,c4c5
3rrbk1/1p1n1pp1/2ppn3/8/1PP1NpPq/p2QP2P/P2B2B1/1R1R2K1 w - -,e3f4
3rr1k1/1p3ppp/p1p5/Pn6/8/4B2P/5P1P/RR3K2 w - -,b1b4
2r2krb/pR3p1p/8/2q3P1/2Pp4/6B1/P2Q1P1P/4R1K1 b - -,c5g5
1r5k/1r4b1/p2p3p/1qpP2p1/3pn3/P2N3P/1PQ3P1/KR2BR2 b - -,c5c4
rnb1kb1r/1p1Qpppp/p4n2/3P4/3p4/2P2N2/PP3PPP/RNB1KB1R b KQkq -,b8d7
2k4r/8/8/1ppb1R2/8/6R1/2P4P/5K2 b - -,d5c4
r1bq1rk1/1p2b1pp/1nn1p3/p2pPp2/3P1PP1/PP3N1N/7P/R1BQKBR1 b Q g3,f5g4
r4rk1/2pb2p1/1p1p4/p2PpPq1/P1P1B3/1P4P1/4Q1K1/4R2R w - -,h1h5
r2R2k1/ppp1pp2/4bbp1/8/8/P1P1B2P/1P2BPP1/2K4R b - -,a8d8
2R5/4K1pB/8/4k3/8/2pr4/8/8 b - -,d3g3
r2q1rk1/pbpp1ppp/8/3pP3/3Q4/4P3/PPP1B1PP/2KR3R b - -,d8e7
