6k1/8/3p2p1/8/4p2P/P1K1pn2/2P3N1/8 b - -,e3e2
3r2k1/5ppp/4p3/p3b3/PpQPP3/4q1P1/1P4BP/3R1K2 w - -,d1d3
r1b1k2r/5ppp/pqn1p3/1pnpP3/5P2/P1N2N2/RPPQ2PP/4KB1R w Kkq -,d2f2
8/4k3/3p4/2p1p2p/2P1Pp1P/1PR2P1b/1r2NK2/8 b - -,b2a2:e7d7
r1bq1rk1/1p2bppp/p1nppn2/2p5/P3P3/2NP2PP/1PP1NPB1/R1BQ1RK1 b - a3,a8b8
r4rk1/p1p3bp/P2n2p1/1pBPp3/1Pn1P3/2NR2PP/6BK/R7 w - -,d3d1
r3r1k1/p1q1pp1p/1p4p1/2pPP1Nn/P1P5/8/2Q2PPP/R3R1K1 b - -,e7e6
2br1bk1/2q2p1p/p5p1/Np2p3/1P2P3/1QP5/3r1PPP/R3RBK1 w - -,c3c4
r3k2r/ppq2b1p/2n2p1b/2NppB2/1P1P2P1/P3PN1P/4Q3/R3K2R b KQkq -,e5e4
Q7/2p1rp2/1p3k2/p1q3n1/P4p2/3R4/2P5/5BK1 w - -,g1h1
rq2nrk1/1p2b1pp/3p4/pNn1pb2/2P5/4BP2/PP2B1PP/RN1Q1RK1 w - -,b1c3
rr4k1/3b1pbp/3p2p1/2pP4/p1Q5/1qB1P1P1/RP3PKP/4RB2 b - -,g7c3
r6k/6p1/3NR2p/p1nR4/1p6/8/PP4PP/1K6 b - -,c5e6
r1b2rk1/2qn1ppp/p1pbpn2/1p6/3PP3/2NB1N2/PPQ2PPP/R1BR2K1 b - -,e6e5
r2Qr1k1/pb3pbp/6p1/8/4p3/4BP2/PP2B1PP/2R2RK1 b - -,e8d8
8/p4p2/1p2p2p/P3Pp1k/1P3P2/2n1P1K1/2N4P/8 b - -,b6b5
2r3k1/1p2qppp/p3pn2/3bN3/8/bP1BP3/PB2QPPP/5RK1 w - -,b2d4
1br2rk1/pb2qppp/1p2p3/2pn4/8/PP3NP1/1B1PPPBP/1QRR2K1 w - -,d2d4
r2q1r2/p5kp/b3pnp1/2ppNp2/P3n2P/2P1QNP1/1P2PPB1/R4RK1 w - -,b2b4
r7/4q1kp/bp3p2/2bQ4/5B2/1P3B2/5PPP/5RK1 w - -,d5a8
r1b3r1/1p2bk2/1p2pn2/3p2p1/1n1P2P1/3B1P2/PP2N2N/R1B1R1K1 w - -,d3b1
5r2/1p1kb3/1q2p2Q/pr1pP1pB/8/1P4P1/P3RP1P/2R3K1 w - -,e2c2
8/1p6/p2b4/4k3/P5p1/1P1K4/4N1P1/8 b - -,d6c5
r4rk1/1bp2ppp/p7/1p1q4/3P4/2P3P1/PP5K/RNBQ2R1 b - -,a8e8
1q4k1/3b1pb1/2p1p1p1/1r1pP2r/p2P1P1P/R1B2NQ1/PPP5/2K3R1 w - -,a3a4
8/6k1/7p/1R2P3/p7/4K1P1/1P5r/8 w - -,b5b6
r3kb1r/pp1b1ppp/1qn1p3/2ppPn2/3P4/P1P2N2/1PB2PPP/RNBQK2R w KQkq -,c2f5
r1b1k2r/pp2qpp1/2pb3p/4n3/2P5/2B2N2/PPQ1BPPP/R3K2R w KQkq -,e1c1
5k2/1p2qnp1/1p3n1p/1Pp2P2/2P2p2/P4B1P/1B2Q1P1/6K1 w - -,b2c1
5r2/b1p5/p4k2/1bp1N2p/6pR/2P1NPP1/PP3KP1/8 w - -,h4h5
8/p4p1k/1p3R2/2p2q1b/8/1P6/P5P1/6K1 w - -,f6f5
5rk1/1qr2pp1/p1nbp2p/1p1p4/1P1Pn3/PQN1PNP1/3B1P1P/R1R3K1 w - -,d2e1
2rq1rk1/1p1n1ppp/3bpn2/pP1p1b2/3P4/P3PN2/1B1N1PPP/2RQKB1R w K -,f1e2
7r/1p6/p1pk4/3Bp1pp/P3R3/1P3P1P/2P2KP1/8 b - -,c6d5
2r2rk1/pb1p2pp/1pn1p3/4P2q/4Bn2/P4N2/1P1N1PPP/1QR1R1K1 b - -,b7a6
3rr1k1/pbp3bp/1p2n1p1/4ppq1/1PP5/P1N1PP1P/4B1PB/2QRR1K1 b - -,g8h8
