8/1p6/2p1p3/P1PpP2k/3P4/6K1/P7/8 w - -,g3h3
2kr4/1ppr2pp/2n5/1pBN4/5PP1/4R2P/2K5/3R4 w - -,d5e7
3r1rk1/pp1n1pp1/1q2pb1p/2p4P/2PP4/2BQ1N2/PP3PP1/1K1R3R w - -,g2g4
r3r1k1/3b1p1p/pR1B2p1/3pPP2/3N1N2/P7/5K1P/8 b - -,g6f5
1rbq2k1/1rnnppbp/p2p2p1/P1pPP1N1/2B2P2/2BQ3P/RP4P1/3NR1K1 b - -,d7f8
r1bq1rk1/p4pbp/2p3p1/3p4/8/1B2B3/PPP2PPP/R2Q1RK1 w - -,c2c3
r1bqkb1r/pp3ppp/4pn2/8/2NB4/P7/1P2PPPP/R2QKB1R b KQkq -,b7b5
r1b2rk1/pp3p1p/2n1p1p1/8/1bP2q2/1NNB4/PP2QPPP/3RR1K1 w - -,g2g3
5rk1/p7/1pp2B1p/3P2p1/7q/3Q2n1/PP4P1/3RR1K1 b - -,f8f6
r2q1rk1/pp2ppbp/6p1/n1pPP3/5Bb1/2P2N2/P3BPPP/R2Q1RK1 b - -,d8d7
2rqnrk1/3bp1bp/3p1pp1/1p1NP3/7Q/8/PP2BPPP/1RBR2K1 w - -,c1e3
5n2/p1r2pk1/1p6/8/3P4/1P6/5R2/1K4R1 b - -,f8g6
6R1/r5pp/5p2/1kp3P1/4P2P/8/3K1P2/8 b - -,f6g5
r4rk1/2n3bp/pp2qnp1/1Pp1p3/2Np4/P2P2N1/2P2PPP/1RBQ1RK1 w - -,a3a4
6k1/1p4p1/8/2b1Bp2/4b3/P2p3K/1r6/R3R3 b - -,b2b3
r1b1k2r/2q1bppp/ppnppn2/8/P3P3/2N3PP/1PP1NPB1/R1BQ1RK1 w kq -,f2f4
r2q1rk1/1bpnnpBp/pp4p1/3p4/3pP3/2PB1NN1/PP1Q1PPP/R3R1K1 b - -,g8g7
8/1p4pk/pB3p1p/P1P2P1P/6P1/1R6/3K1P2/r1b5 w - -,d2d3
2bq1rk1/p3n3/2p4p/3pPpp1/Nr2pP2/1P4P1/P3P1BP/2RQ1RK1 b - f3,e4f3
4R3/8/7P/5PK1/2b3P1/2p5/3k4/7r w - -,e8d8
4rrk1/1p6/1q1p3p/2pPb1p1/P1P1Ppb1/1p5P/1P3BP1/1R1Q1RK1 w - -,d1g4
r2q1rk1/pp3ppp/2n1p3/2bpPn2/5B2/3B4/PPP2PPP/RN1Q1RK1 w - -,b1d2
4r1k1/1p4p1/2p1Npp1/p2n4/4B1P1/6BP/PP1q1P2/1R2R1K1 w - -,e4g6
rnbqk2r/pp4pp/2p1p3/3p1p2/1bPPn3/1P1BPN2/P2N1PPP/R1BQ1RK1 b kq -,b4d6
1rq2rk1/ppnbbppp/8/2n5/3N4/2N1BPP1/PPQ3BP/R2R2K1 w - -,a1c1
2kr1b1r/pppq1pp1/3p4/3P4/3QNPn1/1P2P1Pp/PBP4P/R4RK1 b - -,c8b8
8/6B1/1p1b4/2p2kp1/P4p2/1PPP2p1/6K1/8 w - -,d3d4
8/8/R4p2/P4P2/3rk3/3p4/3K4/8 w - -,a6f6
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/2N1BN2/PPP1BPPP/R2QK2R w KQ -,d1d2
r3r1k1/1b1n1p1p/pq4p1/1pb1p3/4P1n1/1P1B1NNP/PB2QPP1/2R2RK1 b - -,g4f6
r2q1rk1/p2n1pbp/4p1p1/4N3/2pR1P2/2N5/PPQ2PPP/5RK1 b - -,d8e8
rnbqkbnr/pp1p1ppp/4p3/8/3BP3/8/PPP2PPP/RN1QKBNR b KQkq -,b8c6
r2qkb1r/1b1n1ppp/p2ppn2/1p6/3NPP2/2NBBQ2/PPP3PP/R3K2R w KQkq -,g2g4
r2qk1nr/3n1pbp/2p1p1p1/1PPpP3/1p1P3N/6P1/1B3PBP/1R1QK2R b Kkq -,c6b5
r2qkb1r/p2p1ppp/bpn1pn2/2p5/2PP4/P3PN2/1P1N1PPP/R1BQKB1R w KQkq -,f1d3
8/1R1n4/p3k2p/1p4p1/3K1n2/P2P1B1P/1Pr5/R7 b - -,d7c5
5b2/5pk1/6pp/p7/P2qb2P/4RNP1/P4P2/2R3K1 b - -,d4a4
1r6/p5pk/4pp1p/3n4/3BP3/Pr6/1PR2K1P/3R4 b - -,d5f4
2rqr1k1/1p1nbppp/p2pb3/4n3/3NPBP1/2N1Q2P/PPP5/1K1R1B1R b - -,d8a5
1r4r1/4bpk1/2bp1p1p/p4B2/3RPN2/6P1/1PP4P/2KR4 w - -,d4d6
3b2k1/6p1/4p2p/r2pPp2/PrpP1P1P/5NP1/R4K2/R7 w - -,a2a3
2r1r1k1/7p/2p3p1/P2p4/4n2P/2P2R2/6P1/1B3R1K w - -,b1e4
r5k1/pp2r1bp/2pN2p1/P1P2p2/1P1p1P2/5RP1/4P1KP/4R3 b - -,a8b8
r3r1k1/1p2bppp/1np2n2/p2p2B1/3P4/1N1NP3/PP3PPP/2R2RK1 b - -,f6e4
r3r1k1/ppq2ppp/2p2n2/2b1p2b/4PP1N/2N3PP/PPP3B1/R3QR1K b - f3,e5f4
Rnkr2r1/2q4p/1p2pp2/1Pp1P3/5P2/5B1P/2P4K/R3Q3 b - -,c7g7
r3r1k1/Bpp1n1p1/p2ppq1p/4p3/PP2P3/2PP1N1P/5PP1/R2QR1K1 b - -,a8a7
8/8/1B2p1p1/4Pp1p/4kP1P/5n2/5K2/8 w - -,f2g3
1r2r3/1p2kp1p/p2pb1p1/8/3RBP2/8/PPP3PP/2K1R3 w - -,f4f5
8/7r/5K2/4R3/3k1P2/8/8/8 b - -,h7h1
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3PBN2/PPP2PPP/RN1QKB1R b KQkq -,d7d5
3rk1r1/p2n1p1p/1p2p3/8/2PR4/5P2/PP3P1P/2K2B1R b - -,d7e5
3r2k1/p6p/2qPn1p1/1pp1Bp2/2n5/2PQ1N2/P5PP/5RK1 w - -,f1e1
8/2QP1pk1/p5p1/4p3/1Pp1P3/P4Pqp/4K3/8 b - -,g3g2:h3h2
r1bqk2r/pppnbppp/4pn2/3pN3/3P1B2/4P3/PPPN1PPP/R2QKB1R b KQkq -,c7c5
1k1r3r/pppq4/1nNbp3/1P1n1pp1/3P3p/1Q2P1P1/P2B1PBP/1RR3K1 b - -,b7c6
5qk1/4b1np/p2p2p1/1ppPp1P1/4P1NP/1PP1Q1N1/P5K1/8 w - b6,g4h6
2k2rrb/1bqn3B/p3p2p/Pp1pP1pN/1PpP2P1/2P1B2R/4Q3/1K4R1 w - -,h7g8
r1bqk2r/pp1pnpb1/2n1p1pp/2p3B1/2P5/2NP1NP1/PP2PPBP/R2QK2R w KQkq -,g5d2
6k1/1q3pbp/4p1p1/1pPp4/1P6/1P1Q2PP/4BP2/1r4K1 w - -,d3b1
5r1k/p1qn3p/PpBpr2b/1Pp1pp2/2P5/1Q1PN3/R4PPP/5RK1 w - -,e3d5
r5k1/5p1p/b3p1p1/pr1p4/5P2/1B5P/R1P3P1/3R3K w - -,d1a1
2r2r2/pp1kp2p/3p2p1/8/2P1R3/1P3P1P/P2K2P1/R7 w - -,a1e1
1k1r3r/pppq1pp1/4bb1p/QB1p4/3P1B1P/8/PPP2PP1/2KR3R b - -,d7c8
2r1r1k1/p5p1/1pp3Pp/1n1pNq2/2nP1B2/2Q2PP1/P5K1/4R2R w - -,c3c1
8/2p1k1p1/2n1p2p/ppr2P2/2p1P1P1/PnK2N2/1P2B2P/3R4 w - a6,f5e6
2R5/8/4K1P1/P7/2pk4/5r2/8/8 b - -,f3g3
r3k2r/1bq1bppp/p1nppn2/1p6/4PP2/1NNB4/PPP1Q1PP/R1B2R1K w kq -,c1d2
r3kb1r/5ppp/p1bppB2/8/1p2PP2/3B4/qPPQN1PP/2KR3R w kq -,d2b4
2r2rk1/pbq1bppp/1p1ppn2/4n3/2P1PB2/P1N5/1P1NBPPP/R2QR1K1 w - -,a1c1
3r1rk1/3bq2p/1p1p1pp1/pNn1p3/PnPNP2P/1P2Q1P1/1R3PB1/3R2K1 w - -,d4e2
1n3r1r/pp2q1k1/3p2Pp/2p1pB1R/6P1/8/PPP2Q2/1K5R b - -,b8d7
r1bq1rk1/pppnp1bp/3p2p1/5p2/2PP4/1P3NP1/PB1nPPBP/R2Q1RK1 w - -,d1d2
r2qk2r/2p1bppp/4p3/pp6/3PR3/2P3P1/PP3P1P/R1BQ2K1 b kq -,e8g8
6k1/b4pp1/p6p/P7/2Q1r3/2pNP1P1/5P1P/5RK1 b - -,e4c4
2r1k2r/pp2bppp/1qn1pn2/3p1b2/3P1B2/P1N1PP2/1P1QN1PP/2R1KB1R w Kk -,c3a4
5k2/1r3p2/8/2R3Pp/2p5/P7/1r2RPPK/8 w - -,e2b2
4r1k1/5pp1/7p/2bpq3/1pp1N3/2P2Q1P/1P1B1PP1/4R1K1 b - -,d5e4
6k1/2b2p1p/1q2n1p1/3B4/p1P3P1/2B2R1P/8/5R1K b - -,b6d6
8/r6p/1R3kp1/5p2/8/5KP1/8/8 b - -,f6g5
r4rk1/ppp1ppb1/6p1/3q4/3P2b1/2P1BN2/PP2QPP1/R3K2R w KQ -,h1h4
r1r3k1/1b3pbp/p1n1p1p1/1p1q4/3P3B/1QR1P3/P3BPPP/2R1N1K1 b - -,d5b3
1rnR4/1p2n1pk/4q1rp/PPp2p2/2P1p3/2N1P1P1/4QPBP/3R2K1 b - -,e6e5
2r3k1/4qpp1/1n2p3/p2pP1P1/1p1PbQ2/1P2r1P1/P4P2/R4K1R w - -,h1h2
3r1rk1/Q1pqppbp/1p4p1/1b6/3PP3/P4N2/1P3PPP/R1B2RK1 w - -,c1f4
1rr3k1/1b2bpqp/p2pp3/2n1n1p1/2PNP3/1PN1BPP1/Q5BP/2RR3K b - -,g5g4
4k2r/1np5/1p1p4/3Pn3/1PP1Pp2/1R3P2/4NQ2/3NK2q w - -,f2g1
