6k1/5p2/1R4p1/2p4p/r1P5/7P/5PPK/8 w - -,h2g3
3r2k1/R5b1/8/2p5/7P/1P1pB3/P4PP1/6K1 w - -,e3d2
6B1/6R1/2pk1p2/p3nP1p/8/P1r4P/6P1/7K w - -,g7h7
8/5kpp/p2Q1p2/1p2rP2/2p1n1P1/2P3KP/PP4N1/5R2 w - -,g3f3
r5k1/1b2bppp/3q4/1p4P1/1p5P/P2p1P1B/1K1Q4/2N4R w - -,a3b4
r1bqk2r/ppp1bpp1/2n1pn1p/3p4/3P3B/3BP3/PPPN1PPP/R2QK1NR w KQkq -,c2c4
r2qkb1r/1b3p2/p1p1p3/3N1p2/3P3p/4PN2/1PQ1BPPP/2KR3R b kq -,c6d5
1r1r3k/1p3qpp/pQ3b2/3p4/5P2/1RP4B/1P5P/5RK1 w - -,g1h1
1r4k1/2qr1p1p/p3p1pb/2p1P3/1nP1QPPB/5N2/1P5P/3R1RK1 w - -,h4g3
q1r3k1/p1rn1ppp/1p2p3/2b5/2PBP3/1P4P1/P4QBP/3R1RK1 b - -,d7e5
3rr1k1/2pbqppp/p1pb1n2/1p2p3/8/1P1PPN1P/PBP2PP1/R2QRNK1 w - -,f1g3
r1bqk2r/pp2npbp/2npp1p1/8/3NPP2/2N1B3/PPP1B1PP/R2QK2R b KQkq -,e8g8
3r1bk1/p2b1p1p/5P2/1pp1r3/3pP2B/P6P/1PP3B1/R4RK1 w - -,f1f3
r5k1/p2nrpp1/2p1p2p/q1p5/3P4/3QP3/P1RN1PPP/5RK1 w - -,d2b3
4rkr1/5pp1/2pqp2p/1p5P/p1nPR3/P1P2Q2/2P2PP1/2B1R1K1 b - -,f8e7
5nk1/p1q2bn1/1pp4p/2N2pp1/2PQp3/PP4PN/4PPBP/6K1 w - -,c5a4
2r2rk1/pb1q1pbp/1pn1pnp1/2pp4/4P3/PPPP1NP1/2QN1PBP/R1B1R1K1 w - -,c1b2
2r2bk1/ppprnpp1/1nq1p1p1/4P1NP/3P2P1/P1N2P2/1PQ2B2/3R1RK1 b - -,b6d5
1r4k1/pp2nq2/4b3/N3Q2p/1P1n3P/P4PP1/3r4/2R1RBK1 w - -,e5b8
1b3r2/pr6/2p4p/2P2k2/4ppR1/7P/P2B1PP1/2R3K1 w - -,g2g3
r6k/pp1qr1bp/n1p2p2/2Np2p1/3Pn3/2P1BN2/PPQ2PPP/R3R1K1 b - -,a6c5
8/5ppp/8/8/1kb5/p5P1/2KRPP1P/8 w - -,g3g4
8/R2kpp1p/2p3p1/8/P7/1P4P1/4rPKP/8 b - -,d7d6
8/7p/p2r2pk/5p2/PQ2pP1q/8/7P/5B1K b - -,h4f2
r3r1k1/p1pqbppp/2pp1n2/8/3PP1b1/5N2/PPQN1PPP/R1B1R1K1 b - -,e7f8
