5k2/5p2/2P2p1p/8/2R3P1/2K4P/8/3r4 b - -,d1d8
2br2k1/1p3p2/2p2p2/1PB2Pb1/6P1/1R3BK1/1P6/8 b - -,c6b5
r1bqkb1r/pp2nppp/2n1p3/2pp3P/4P3/3P1NP1/PPP2P2/RNBQKB1R b KQkq -,h7h6
8/2p5/p1ppk1pp/P1P5/1P1K4/2N3P1/7P/5b2 b - -,f1g2
4k3/2b5/4p1Pp/N2p3P/P2n4/3N4/8/3K4 w - -,a5b7
q7/6kp/pN3pp1/3r1b2/8/1PQ4P/P4PP1/2R3K1 b - -,a8d8
3q1rk1/7p/3p2p1/p1pP2bn/2P1P3/3Q2P1/PPB1N1K1/5R2 b - -,f8f1
3r2k1/Bpqnb1p1/p1r1b2p/P2npp2/N7/2PN1P2/1P2B1PP/R1R3QK w - f6,c3c4
bqrr1bk1/3n1pp1/pp1ppn1p/8/1PP1P3/PNNBQ2P/1B3PP1/1R2R1K1 b - -,c8c7
8/6R1/2R3pp/p4pk1/1b2r3/6P1/P4P1P/5K2 b - -,g5g4
r1bb4/p2k2B1/4pp1p/1p1n3B/2N5/2P5/PP3PPP/3R2K1 w - b6,c4e3
2rr2k1/p6p/4ppp1/1qbp4/N5P1/P3P2P/1P3P2/2RQ1RK1 w - -,a4c5
3k4/p1n1r2p/1b2p1p1/8/B7/6P1/4RPKP/2R5 w - -,c1c6
3rrbk1/1p1n2p1/2ppn3/5p2/1PP2PPq/p2Q3P/P2B1NB1/1R1R2K1 b - -,d7f6
r1b1r1k1/pp1n1ppp/1q3n2/2b1pNB1/P1p1P3/2N3P1/1P1Q1PBP/R4RK1 w - -,a4a5
2brr3/5pk1/6p1/1p1p2bp/1PpN4/2P1PB2/1KQ2PPq/R2R4 b - -,g5f6
r1qr1bk1/2p2pp1/p1npbn1p/P3p3/2N1P3/1BPP1N1P/5PP1/R1BQR1K1 w - -,b3c2
r1b1k2r/1p1nnp2/p3p1pq/3pP2p/2pP1P2/2N2NPP/PPP2Q2/2KR1BR1 b kq -,d7b6
rn1qk2r/pbpp2pp/1p2pn2/5p2/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,b4c3:e8g8
2r4r/pk1qb1p1/n3p2p/1p1pP3/2pP2PN/2N3Q1/PPP4P/1K1R1R2 b - -,b5b4
2r3k1/5ppp/p2q1b2/1p2nP1Q/3pB3/P5RP/1P3P2/6RK b - -,d4d3
q5k1/5p1p/4p1pP/P1Q1P1P1/4BP2/5K2/1b6/8 b - -,a8b8
8/p3r2k/5bpp/3B1p2/2P1P3/8/r2PR1PP/1R3K2 b - -,f6g5
6r1/6P1/8/6R1/b7/4K1Pk/8/8 w - -,e3f3
3r3r/1pq3k1/p1p1bpn1/4p2p/2P1P1pP/PP2Q1P1/2B2P1K/3R1RN1 w - -,g1e2
4rbk1/p7/1p1p3p/1PpPnp2/8/4B1PP/1P3PB1/3R2K1 b - -,e5c4
2rr2k1/1bq1bppp/p3p3/1npN4/5P2/PQ1PP2P/1B2B1P1/R3NRK1 b - -,b7d5
2b1rrk1/2p2pp1/pp1p3p/3Pn3/2P1PR2/3BN3/P1P3P1/4R1K1 b - -,c8d7
