6k1/8/6p1/5p2/1np2PP1/5K1P/1B6/8 w - -,b2e5
8/p2rkp2/3b2p1/3R3P/8/8/P5B1/6K1 b - -,g6h5
q1r3k1/1bpnppbp/3p2p1/1N6/1RPPn3/4BNP1/r3PPBP/4QRK1 w - -,d4d5
1rb2r2/6kn/pq1p2p1/2pPnp2/4PP1p/2N4P/RP1QB1P1/5RKN b - -,e5f7
3Q4/5p1k/4p1p1/4P2p/1p2q2P/1P6/P5PK/8 w - -,d8f6
r1bq1rk1/ppn1bppp/2n1p3/2p5/3P4/P1N1PNP1/1P3PBP/R1BQ1RK1 b - d3,c5d4
r2qr1k1/1p2bpp1/1n2p1p1/1b1pP3/p2P3P/P3B3/1PBN1PP1/2RQR1K1 b - h3,e7h4
8/8/3kp1p1/1p2NbPp/3K1P1P/2P5/8/8 w - -,c3c4
r4r2/pp1bQ3/1k4p1/3p2p1/8/1P4Pq/P4P1P/2R2RK1 w - -,e7c5
3rr1k1/1pq2pb1/p1np1npp/3P2B1/4P3/5P2/PP1QN1PP/2RR2K1 w - -,g5e3
8/4k3/7R/1p2p1pP/1P2P3/1b6/3K4/8 w - -,h6g6
r2r2k1/1bq1bppp/ppn1pn2/2p5/2P5/2NPPNP1/PB2QPBP/R2R2K1 w - -,f3e1
r1q1k2r/pp3ppp/2p3b1/2b1Pp2/PnB1P3/2N4P/1P2Q1P1/R1B2R1K w kq -,e4f5
3rrqk1/1b3pnp/p2p2p1/Pp1P4/1PpQP3/4R1NP/2B2PP1/4R1K1 b - -,f7f6
3k4/1p6/p1r5/4p3/4bpR1/5B2/PP4P1/3K4 b - -,c6d6
8/5kpp/1r3n2/2ppR3/5P2/1PN3P1/2K4P/8 b - -,b6d6
r1b2rk1/pp3ppp/2n2n2/1Nqp4/8/4PP2/PPPQ2PP/R3KBNR b KQ -,c8f5
5rk1/1Rpr2pp/2n3b1/p1q1pp2/8/P1BPP3/2Q1BPPP/4R1K1 b - -,f5f4
1r6/6p1/5pPP/5B2/3k2P1/K1p5/8/8 w - -,h6h7
r2q1rk1/pp1bbppp/4pn2/6B1/PnBP4/2N2N2/1P1Q1PPP/R3R1K1 w - -,a4a5
6k1/6pp/2p5/2P1Pp2/5n2/1KB5/7P/8 b - -,g8f7
rnb1kb1r/pp3ppp/2p1pn2/q7/2pP4/4PN2/PP1NBPPP/R1BQK2R w KQkq -,e2c4
2r3k1/1p3pp1/p2Q4/8/P3PP2/6q1/8/3R3K b - -,c8c2
r1bqr1k1/pppp1ppp/1b3n2/8/3nP3/2P1B3/PPQNBPPP/R4RK1 w - -,e3d4
3k4/R6p/6p1/p1p1R1N1/q5PP/8/P4P1K/8 w - -,g5f7
2n5/4k3/4p1p1/P6p/1K3R2/r7/8/8 b - -,a3a1
2krr3/1pp3pp/p5b1/q2pB3/N2P2P1/bP2Q2P/P1PnN3/K1R4R b - -,d2c4
rnbq1rk1/ppppppbp/5np1/8/3P1B2/5N1P/PPP1PPP1/RN1QKB1R w KQ -,e2e3
6k1/5pp1/7q/p1b5/P1n2P2/1P4QB/2P4P/3R2K1 w - -,g1h1
1r1qk2r/pp2bppp/8/2pPN2n/8/2N5/PP3PPP/R2Q1RK1 b k -,h5f6
6k1/4p1bp/3pb1p1/1q6/6P1/1NnQ1P2/P1P5/2KR3R b - -,c3a2
r2q1rk1/p2pnpbp/b1p1p1p1/2p1P3/4NP2/3P1N2/PPP3PP/R1BQ1RK1 b - -,c5c4
4rkn1/2pbrpb1/p2p3p/1p3Pp1/P1N1P1P1/2P2N1P/1PB1RK2/4R3 w - b6,c4e3
r3r2k/pp4pp/2bB2n1/2P1pp2/2B4P/2N3P1/PP1n1P2/2KR4 w - -,d1d2
r1bq1rk1/p4ppp/1pn1pn2/8/2BP4/1QP2N2/P4PPP/R1B2RK1 w - -,c4b5
r5k1/pb2p2p/1p2N1p1/4p3/Q1P1Nb2/3r1P2/PP4Pn/1K2R3 b - -,a8c8
2rr2k1/pbqn1ppp/1p2pn2/8/2BP4/P1P3P1/1B1NQP1P/R1R3K1 w - -,c4d3
r1b1nrk1/pp4bp/3p2p1/2pPp1qn/2P1Pp1B/P1NN1P2/1P2B1PP/R3QRK1 b - -,g5h6
r2qk2r/pp1nbp1p/2p1pp2/5b2/2BP4/5N2/PPPB1PPP/R2QR1K1 w kq -,f3h4
1r5r/1b4bk/pn2Qp1p/1pqp1Pp1/6N1/1BN5/PP4PP/3R1R1K b - -,h8f8
3r2n1/5pkp/4p1p1/P5P1/2R2PN1/2Rr1K2/7P/8 w - -,c3d3
7k/r4prp/2Q1p3/p2pN1q1/P2P1p2/2P3P1/1P3P1P/R3R1K1 b - -,f4g3
4r1k1/pp3qpp/6n1/P2P1P2/8/1Q4BP/5P2/3R2K1 b - -,g6e7
8/8/8/7p/4p3/4kq2/7K/5Q2 w - -,f1c1
r2qk2r/1b1nppbp/p2p2p1/1p1N2Pn/3NP3/4BP2/PPPQ3P/R3KB1R w KQkq -,a2a4
r1bq1rk1/pp1n2pp/2pb4/3p1p2/3P4/3BPN2/PPP1NQPP/R4RK1 b - -,d7f6
r3nrk1/2pqbb1p/p1np1pp1/1p2p3/3PP3/2P1NN1P/PPB1QPP1/R1BR2K1 w - -,b2b3
8/3k3p/5R1p/2R3r1/2P5/p2P4/r5P1/6K1 w - -,c5g5
r3r1k1/pp1b1pbp/2n3p1/1BPp3n/8/2N2P2/PP2NBPP/2R2RK1 b - -,a7a6
r1q2rk1/ppp1ppb1/1nn3p1/6Bp/6bP/2NP1NP1/PP1QPPB1/2R2RK1 b - -,g4h3
R7/8/1B2p3/5kp1/P4n1p/r7/5P2/6K1 w - -,a4a5
8/1pq3kp/p3npp1/4p3/P1N5/2PQ3P/1P3KP1/8 b - -,c7c6
8/1pb4p/p1b1k1p1/P7/2P1p3/3rB1P1/R4K1P/4R3 w - -,f2e2
8/8/7R/3P2p1/3rp2P/4k3/6P1/6K1 b - h3,g5h4
2rr1k2/1b3p1n/p3p1p1/3n4/PpBP2Np/1P6/3N1PPP/R3R1K1 w - -,d2f3
r4rk1/ppqnb1pp/1np3b1/3pp3/6P1/1P1P1N1P/PBPQNPB1/R4RK1 b - -,a8e8
5k2/8/7p/2p2Bp1/2P3P1/4rr2/3K4/3R4 b - -,e3a3
2kr4/p5b1/5q1p/5pp1/1p1p4/1N2n1PP/PPPN1Q2/1K2R3 w - -,f2f3
8/R5k1/6p1/6K1/5PP1/1r6/8/8 b - -,g7f8
2r2rk1/ppqb1ppp/3ppb2/n7/3P4/2N2NP1/PPP2PBP/R2QR1K1 w - -,c3e4
8/5pbk/2N1b1pp/8/B6P/4q1P1/6QK/8 w - -,a4d1
rnbqk2r/4bppp/p2p4/3Pp3/6P1/RN2BQ1P/1PP2P2/4KB1R b Kkq -,e8g8
r2q1rk1/pppnn1bp/3p2p1/3PppB1/2B1P3/2N2P1P/PPP1Q1P1/R4RK1 b - -,g7f6
8/5p2/7p/3p1k1P/p1pP4/1rR5/1r1RKP2/8 w - -,c3f3
r3r1k1/1pp1qpbp/pN4p1/2n1p3/4P3/1BP1B1PP/1P2QPK1/3R1R2 b - -,c7b6
2rr2k1/pb3ppp/4pn2/1P6/3N4/8/PPB2PPP/R1R3K1 w - -,d4b3
8/2p4p/3kpn2/8/3K1P2/1PP3P1/8/8 b - -,f6h5
