3K2k1/R6p/5P2/6P1/8/8/4r3/8 b - -,e2d2
3r4/1p2r3/p2npkp1/P2p3p/1R1P1K2/2PB2P1/1P3P2/7R w - -,f4f3
r2q1rk1/1b2npbp/pp2p1p1/2p5/P3PP2/2NP1N2/1P2Q1PP/R1B2RK1 b - -,e7c6
3r1rk1/p4ppp/6q1/1pP5/8/P3PB2/Q4K1P/R6R b - -,f8e8
5rk1/1r2p2p/4N1p1/2p4n/2P1P3/6PP/5PB1/5RK1 b - -,f8c8
r2q1rk1/pp3pp1/2bp1bnp/2p3Nn/P3PP2/1BN1B2P/1PPQ2P1/3RR1K1 w - -,f4f5
rn1qk2r/1p3ppp/p1p1pn2/3p4/1bPP4/2NBPQ1P/PP1B1PP1/R3K2R b KQkq -,e8g8
1r4k1/3Q1p1p/3p2p1/3P4/3NP2q/1P6/6P1/7K w - -,h1g1
r3r1k1/p4ppp/bpn2n2/8/2PPpq2/P6P/BB1N1PP1/R2QR1K1 w - -,d1e2
r1bqr1k1/1pp2pbp/3p2p1/p1nPp2n/2P1P3/2N1BNPP/PPQ2PB1/R4RK1 b - -,f7f5
8/8/5R2/8/5p2/4k3/5r2/6K1 b - -,f2b2
r1bqkb1r/pp3ppp/n1p2n2/3p2B1/3P4/5N2/PPQ1PPPP/RN2KB1R w KQkq -,a2a3
r2qk2r/ppp1ppb1/1n1pb2p/4P1p1/3P3P/2N3Q1/PPP2PP1/2KR1BNR b kq -,d8d7
2k1r3/1ppr4/2n1p1p1/p1b1Pn1p/2PpBP1P/PP1R1NP1/1B3P2/4R1K1 w - -,e1a1
1r1q1knr/1ppbp1b1/p1n1p1Q1/3p3p/P1BP4/2N1BN1P/1PP2PP1/R3K2R w KQ -,c4b3
r1b2rk1/p2n1pp1/2p1p2p/qp1n4/3P3B/PQP1P3/3N1PPP/2R1KB1R w K -,f1e2
2k1r2r/ppp1bp1p/1nq1pp2/P7/2PP4/1P3N2/1B2QPPP/R4RK1 b - -,b6d7
4r3/p1R5/6KP/8/8/3k4/2p5/8 b - -,e8e6
r1bq1rk1/p3pp1p/p5p1/2P5/8/2P1PN2/P4PPP/R2QK2R w KQ -,d1d8
8/p2r3p/7K/6P1/8/R7/2k5/8 w - -,a3a2
8/8/8/3n3p/1Pk1pB1P/8/4K3/8 w - -,f4d6
8/1r1r2kp/1pn2pp1/p7/P2PP3/B1P2NPP/6K1/1R6 w - -,g2f2
6k1/pp3p2/2bqrn1p/3p1QpP/3P2P1/1P2PR1N/P7/3N3K w - -,h3g5
1k5r/pp3p1p/2pQ4/3n1q2/3P3P/P5B1/1P6/2KR3R b - -,b8a8
2r2rk1/pb1n1ppp/1p2pn2/8/2PP1q2/PQ3N2/1B2BPPP/2R1K2R w K -,b3e3
7r/1pk2pp1/2p2n1p/p1N5/P7/6PP/1P1rPPK1/R1R5 w - -,c5b3
8/p4pkp/2b3p1/8/1p6/1PP1P1P1/5P1P/3B2K1 w - -,c3b4
2rq1rk1/1b3R2/4p1pp/p2pn3/1p1N2Pb/3Q4/P1B4P/B1RN3K w - -,f7g7
r3kb1r/pp2ppp1/2n4p/3P1q2/2B5/1Q3P2/PP1B1P1P/R3K2R b KQkq -,c6d4
r3k2r/pp1bbpp1/5n1p/1BPp2B1/8/2P5/PP3PPP/RN2K2R w KQkq -,b5d7
1rb2rk1/p2nppbp/3p2p1/2p5/qp1nPP2/P2PBNPP/1PPQ2B1/3NRRK1 w - -,e3d4
1k6/1p6/p7/2p5/8/P2K4/1P6/8 b - -,b8c7
8/1R6/4K3/4r3/4p1B1/4k1bP/8/8 w - -,e6f6
r2qk2r/pp1nppbp/3p1np1/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4
r2qk2r/4ppbp/p3Pnpn/1p6/3BN3/5N2/PPP3PP/R2QK2R w KQkq -,e4g5
r2q1rk1/pp1nppbp/3p1np1/3P4/2B5/5N1P/PPP1QPP1/R1BR2K1 w - -,c1e3
r1bqk1nr/p2p1ppp/2p5/2b1p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq -,f1e2
4r3/2pr4/1p1p1pkp/pPn2Np1/P2RP3/1bP2PP1/5KP1/3BR3 b - -,h6h5
2k5/p3q3/Pp6/1P3p2/4r1p1/2Q5/5PP1/3R2K1 b - -,c8b8
8/4b1k1/1R4p1/4N2p/1p2b3/1P6/P5PP/7K w - -,b6e6
5r2/2r2kb1/pP2b1pp/4p3/8/R1N1B2P/1PP3P1/4R1K1 b - -,c7b7
5rk1/p5pp/1q2p1n1/4PP2/p1pr4/2Q5/1P3RBP/R5K1 w - -,g1h1
3B1rk1/3q1r1p/2p3p1/ppPp3Q/3PpPR1/4P2P/PP6/1K4R1 b - -,f8d8
6k1/1r4b1/3p2p1/p2P3p/4N2P/Pr3PP1/1n2R1K1/1RB5 w - -,e4d6
8/1p4B1/2b1k3/7p/p6P/R1P2r2/7K/8 w - -,a3a2
3k1b1r/1q3p2/3pnp2/3Np2p/4P3/4B3/Q4PPP/5RK1 w - -,f1b1
5rk1/b1qp2p1/p1b1prp1/1p2p1Q1/1P2P2P/2PN2P1/P4PB1/3R1RK1 b - -,d7d6
r4rk1/2nb1qpp/2p2p2/p3pP2/PpPbP1PP/1P3B2/R3Q3/2BN1R1K w - -,c1e3
2r1r1k1/1pqb1ppp/3ppn2/p7/1nPP4/NQ3NPP/1P2PPB1/2RR2K1 b - -,b7b6
3r1bk1/1Pqn1ppp/4b3/N2n2N1/2BB4/3Q4/5PPP/R5K1 b - -,g7g6
r1Bq1r1k/1p2p1bp/p1pn1np1/6N1/P2B4/2N4P/1PP2PP1/R2QK2R b KQ -,d8c8
r4r1k/8/pp2N1p1/8/P1B1QRp1/1P5P/6PK/3q4 b - -,g4g3
1br1q1k1/p4p1p/1nb3p1/2N5/1P2B3/4BP2/P3QP2/3R2K1 w - -,e2d3
6k1/5pp1/7p/1Q6/3q4/1P1P3P/4r1P1/5R1K w - -,b5c4
r2q1rk1/pp1bpp1p/3p2p1/5P2/3Q2P1/2N1B3/PPP1B2P/R5K1 b - -,d8b6
2b1qbk1/2p2rpp/1pp2p2/p3n3/P1P1P3/1P1rB1NP/3NQPP1/3R1RK1 b - -,f7d7
rn3rk1/1q1pbpp1/1p2p2p/2P5/Qp1NN3/5PP1/P3P1KP/1R1R4 w - -,a4b4
rnbqk2r/ppp1bppp/4pn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R b KQkq -,b8d7:e8g8
4n1k1/5p1p/p1rPp1p1/6P1/5P1P/5K2/P2RBP2/8 b - -,e8d6
8/2r2p1p/p3bkp1/R1n5/1R4PP/P4P2/4PK2/8 b - h3,f6e7
2rqr1k1/4p1bp/2p2pp1/2Pn4/2N5/5QB1/PP3PPP/3RR1K1 b - -,c8a8
r1b1r1k1/1p2bppp/p3pn2/q7/3N3B/2PB4/PP2QPPP/R3R1K1 b - -,a5h5
r1bqr1k1/pp1n4/4pbp1/5pNp/B1P5/4B1Q1/PP3PPP/3R1RK1 w - -,g5f3
4r1k1/5pq1/1pp1r1p1/p2nP1P1/5P2/7Q/1P5P/1B2RR1K w - -,f1f3
r5k1/p4pp1/1p1prn1p/1q6/1P1P1B2/1Q5P/P4PP1/2R1R1K1 b - -,a8e8
r1bq1rk1/ppp1ppb1/3p1n1p/6pn/2PP4/2N1PNB1/PPQ1BPPP/2KR3R b - -,f6g4
6k1/1pp2r1p/3pN1n1/3Pq3/r1P2p2/8/1P1Q1RPP/5RK1 w - -,b2b3
b1rq1rk1/p3npb1/1p2p1p1/1N4p1/1PPN4/1Q4P1/4PPBP/3R1RK1 b - -,a8g2
q4r1k/1p2n1pp/2n2p2/r3p2b/P3P3/R2P1NPB/1Q1N1P1P/R5K1 b - -,a8a7
r4rk1/ppqb2pp/4p3/n2p4/2PPpb2/4B2P/PP1NBPP1/2RQ1R1K b - -,f4e3
5bk1/Np3p1p/3nr1p1/q3p3/8/1P2P1P1/PB3P1P/2QR2K1 w - -,a7c8
8/8/1K6/p1p5/P1P3k1/7p/8/8 b - -,h3h2
r7/1q3pbk/2p1b2p/p1B1p1pP/2P1P1P1/1PQ2P2/1P6/1K1R1N2 b - -,a8b8
rnbr4/ppp2pkp/3p1np1/8/8/1P2PN1P/P1PN1PP1/R3KB1R w KQ -,e1c1
2rqkb1r/5ppp/pn1Pb3/Q7/4P3/1N5P/PPP3P1/2KR1B1R b k -,b6d7
8/6pk/1p1r3p/1Q3p1b/4P3/P5PP/2q2P2/1R3BK1 w - -,e4f5
r2q1rk1/2p3pp/p1n2nb1/2bp4/Pp6/1NPQ1N2/1PB2PPP/R1B2RK1 w - -,d3d1
k3r2q/p1p5/1bp1N3/3bRp2/Q2p1Ppp/P2P4/1PP3PP/1K4R1 b - -,h8e5
3r1rk1/2Q2pb1/p1p4p/1p2nP1n/7q/1BN3P1/PP4PB/R3R1K1 b - -,h5g3
5rk1/p3pp1p/2pr2p1/2p5/2P1n2P/1P1qP1P1/PQ3PK1/RN2R3 b - -,f8d8
4Q2k/pp4b1/8/8/1P6/P1Pr4/2K2P1P/qN6 b - -,h8h7
2rqr1k1/pp3pbp/6p1/3p4/2n5/1BBQP2P/PP3PP1/1R1R2K1 b - -,g7c3
4k3/8/1p1K4/pPpP4/P1P5/3B4/8/8 w - -,d6c7
8/8/8/7R/p2p3P/k7/7r/2K5 w - -,h5h8
2rr2k1/1bp1qpbp/1p3np1/pP1pn3/P2N4/3P2P1/1B1NPPBP/2RQ1RK1 w - -,g2h3
r5k1/p2b1ppp/2r2n2/3pBp2/P7/2PB1N1P/2P2P2/R4RK1 b - -,f6e4
r2qkb1r/1p1n1ppp/p1p1pnb1/8/2PPp3/1P1B1N2/P1QN1PPP/R1B2RK1 w kq -,d2e4
3n4/p2k4/1p1p4/1P1p1pNq/P2P1B1P/2P1RPPK/8/8 w - -,g3g4
8/p4kb1/1pp3pp/4p3/2P1P3/5KP1/PN3B1P/1n6 w - -,f3e3
2r2rk1/ppq1n3/4pp2/3p3p/2PPb3/PPQ2N1P/1B4P1/2R2RK1 w - -,f3h4
2rqr1k1/pp2ppbp/6p1/2NPn3/4QBb1/6P1/PP3PBP/R3R1K1 b - -,e5f3
r6r/q3bpkp/p2p2n1/1p1Pp1p1/4P1P1/1P3PP1/1P4K1/RBBR2Q1 b - -,a7d7
rn1q1rk1/4b1pp/p2P4/1p2p3/2p5/PB1QBb2/1P3P1P/2R2RK1 w - -,f1d1
6R1/6r1/1p2R1pk/pPbB3p/P1P2r2/8/6K1/8 w - -,g8h8
2r1rbk1/pp1q1pp1/7p/3P4/P3N3/1Q3P2/6PP/3R1R1K w - -,d5d6
q3r1k1/p1r1bppp/8/p2PN3/4QP2/4P3/P2RB1PP/1R4K1 w - -,e2b5
8/6p1/r4k1p/7P/6P1/8/pK6/5R2 b - -,f6g5
r4r2/1R1P1pbk/p1n3pp/2P5/4N3/5N1P/5PP1/4R1K1 w - -,e4d6
2r1kb1r/pp1npppp/1q6/3p4/3P1B2/1QN1P3/PP3PPP/R3K2R w KQk -,c3d5
r2qrbk1/ppp2ppp/1n3n2/5b2/3Pp3/P1N1P1P1/1PQ1NPBP/R1B2RK1 w - -,h2h3
r1b1k2r/2pn1pp1/pp1b1B1p/4p3/P1B1P3/2N2N1P/1PP2PP1/2KR3R b - -,d7f6
6k1/5p1p/p4p2/1p1n1B2/1P6/P1p1P2P/5PP1/5K2 b - -,d5b6
r1b2rk1/1pq1npbp/p2ppnp1/8/2P1P3/2N1B3/PPNQBPPP/1R1R2K1 b - -,f6e8
r1b4r/b3kp1p/p1nNpp2/1p6/1P6/2PB1N2/P4PPP/3RK2R w K -,d3e4
1r4k1/p2bb1n1/q1p1p1p1/4P1N1/Ppp1NP2/3n2P1/4Q1BK/1R3R2 w - -,e4f6
r4q1k/1ppbnr1p/p2p4/3PppbP/2P1P3/2N2P2/PP1QN1R1/2KR4 w - -,g2g5
r4rk1/2pb3n/1p1p3p/3P2bN/1PPq2p1/3B2B1/2Q4P/4RR1K b - -,f8f1
r1b1r1k1/ppq2p2/3b1npp/2pPp3/2P5/1Q3NN1/PP2RPPP/1B2R1K1 w - -,h2h3
3rk2r/pp3pp1/1bnqn1p1/6P1/3p1P1P/PN6/1P2Q1B1/1KBR3R w k -,h4h5
1r2k2r/2qbbppp/2npp3/pp4Pn/4P2P/1N1B1P2/PPPQN3/1K1R2BR w k -,f3f4
r1b1nrk1/p1qn1ppp/1pp1p3/4P3/P1pP4/2N2NP1/1PQ2PBP/R2R2K1 w - -,f3g5
8/4q2k/7p/4r3/2P1pQ2/4R2P/P6K/8 w - -,a2a4
r1bq1rk1/ppb3pp/2p1pn2/2Pp1p2/3PnB2/2N2NP1/PP2PPBP/R1Q1K2R w KQ -,f3e5
r1bqkb1r/pp2pppp/2N5/3n4/8/2N5/PP2PPPP/R1BQKB1R b KQkq -,b7c6
8/1B3k1p/5Np1/6P1/1p1p4/1P5n/5P2/5K2 w - -,f6h7
r4rk1/pbq1bppp/1pn1pn2/2p5/4P3/P1P2NP1/1P1N1PBP/R1BQR1K1 w - -,d1c2
5q1k/5r2/3n2QP/p1bp3p/1p1p4/3P2R1/PPPB3P/6RK b - -,d6f5
rnbqkb1r/pp1p1ppp/4p3/2pnP3/2B5/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,d5b6:d5c7:d7d6:b8c6
br2k2r/1q2bp2/4p1p1/4P2p/5P2/1P1Q3P/1PNB2P1/2R2R1K w k -,c2e3
5r1k/1pr3pp/p2p1q2/3B3b/P4R2/2P3P1/1P1Q1P1P/3R2K1 b - -,f6d8
1k1r4/1pp3p1/p2b1pB1/7p/3B2bP/4r1P1/PPP2P2/2K1R3 w - -,d4e3
2r2rk1/p1q1bpp1/1pn2n1p/3ppb2/8/PP2PNPP/1BPNRPB1/R1Q3K1 b - -,e5e4
3k4/5p1p/P2Q4/5q2/8/7P/5P1K/8 b - -,d8c8:d8e8
2q1r1k1/p3rpp1/2p1nn1p/1p1p4/3P3P/1P1Q1BP1/PNP1RP2/3R1K2 b - -,c6c5
