8/8/8/B1p1pk1p/8/1P1PbP1K/8/8 w - -,h3g3
8/8/8/7p/1p5k/1K6/rP6/1R6 b - -,a2a8
8/1p3r2/2p3kp/8/3P1R2/5P2/8/4K3 w - -,f4g4
rn1qk2r/p3ppbp/1p1p1np1/2pP4/2P1P3/2NB1b1P/PP3PP1/R1BQK2R w KQkq -,g2f3
b1r2rk1/3p1pp1/2pP2qp/Qp1PR3/P7/1BP3B1/5PPP/4R1K1 b - -,b5a4
r2q1rk1/p1pnbpp1/1p2p2p/8/3Pb3/5N2/PPP1QPPP/2BR1RK1 w - -,e2e4
8/1Q6/8/1k3K2/pq6/8/8/8 b - -,b5a5:b5c4
r2qk2r/ppp1bppp/1n6/3pPb2/3P4/PBN1BQ2/1P3PPP/R3K2R b KQkq -,f5e6
8/p3kp1p/1p2p1p1/2p3b1/2N5/2P4P/PP2RPPK/3r4 w - -,c4e5
r2qkb1r/pb1p1ppp/1pn1p1n1/2p1P3/2P1B3/1P3N2/P2P1PPP/RNBQR1K1 w kq -,c1b2
r1bqk2r/pppp1pbp/6p1/1N6/4P1Q1/4B3/PPP2PPP/2KR3R b kq -,d7d6
1r1q1rk1/1b2ppbp/p5p1/1PpnP3/2Np4/2PP2PP/1P1BP1B1/R3QRK1 b - -,a6b5
8/p4k2/4n2p/2p1R1p1/1r2N3/4P3/PPK2PPP/8 w - -,a2a3
r1b1rnk1/2p1qpb1/p5p1/Pp1Bp2n/1P2P2p/2P1BPP1/1N1Q3P/R2R1NK1 b - -,a8b8
r7/p1kr1ppp/2p5/2P1p3/8/R5P1/RP2KP1P/8 b - -,c7b8
1r4k1/r4pp1/P2np2p/2Rb4/1p1PpP1q/4B3/3Q2PP/2R2BK1 b - -,h4d8
8/p4Npk/6p1/2nB4/8/4P1PP/7K/3n4 w - -,f7g5
6r1/1p3p2/1kb5/1p1pPpb1/1P1P1Npp/PK1N4/2R2PPP/8 b - -,g4g3
2r5/4k3/1p2p3/pR1P3p/P2PK1pP/1P4r1/8/5R2 w - -,d5e6
8/2p2k2/8/pp4P1/2p5/P4K2/1P4P1/8 w - a6,f3e3
8/2k2b2/2p5/2P3p1/p2PB1K1/P7/8/8 w - -,g4g5
4rr2/p5bk/1p4p1/2pPp1qp/2P1R3/3Q1PB1/P5PP/4R1K1 w - -,d3e2
k4rr1/1p1b1pp1/p1n1p2p/q2pPn1P/2pP1B2/P1P2NPR/2PQBP1K/R7 b - -,a5b6
2q3k1/Qp5p/bP2p1pb/2Pp4/3B1P2/5NP1/6KP/8 b - -,h6f8
1r3rk1/pp2pp1p/3p2p1/nR1b4/7P/4PN2/2PPBPP1/4K2R b K -,d5f3
r7/p1Q2k1p/qp2bppB/2Pp4/3P3P/1P6/5PP1/6K1 b - -,f7e8
8/8/R7/2Br1kp1/5p1p/1PP4P/5KP1/8 w - -,c5d4
