8/8/5k2/6Np/5K1b/8/8/8 w - -,g5e4
5R2/8/8/3k4/K3n3/8/8/8 w - -,a4b4
r3k2r/pp1bbp2/q3p1p1/n2pPn1p/3P1P2/2PN2PB/P1PB3P/R2QNRK1 b kq -,a5c4
4r1k1/p4pb1/1p4p1/8/PqprP1Q1/7P/RP4P1/2B2RK1 w - -,g4f3
rq2r1k1/4ppbp/p1b3p1/4n3/Pp6/1PN1P3/1BQ1BPPP/2RR2K1 w - -,c3e4
6r1/5q1k/p3p2p/1p1bQpp1/2rB1P2/6RP/5RPK/8 b - -,c4c8
2r1r1k1/ppb2ppp/5q2/3pn3/b2N4/2P3BP/PP3PP1/R2QR1K1 w - -,d1a4
1rb2rk1/p4ppp/8/q1p2P2/2BnP3/P7/1B3QPP/R4RK1 b - -,f8d8
8/1p6/p1p5/3p4/P1PPkbp1/1P6/4K3/6B1 w - -,c4c5
2r5/7p/2N2k2/p4p2/4p3/2R3P1/5P1P/5K2 w - -,f1e2
2b3k1/1p1n1p1p/2pp1bpq/p7/PrPNrP2/1P2B2P/N4QPK/3R1R2 w - -,a2b4
3r2k1/2q1br1p/4b1pQ/2p1p2P/p2p4/P2N2P1/1P2PPB1/2RR2K1 b - -,e7f8
r2qr1k1/pp1b1pbp/1n4p1/1B1P1p2/1Q6/2N2N1P/PP3PP1/3R1RK1 b - -,g7c3
2rq1rk1/pp2ppbp/2np1np1/8/4PPb1/2NB1N2/PPP3PP/R1B1QRK1 w - -,e1h4
4kb1r/r4p1p/p1b1pPp1/q1p1P3/5Q2/3P4/N4BPP/1R3RK1 w k -,b1b8
r1b2rk1/1p2qppp/p1n2n2/2ppp3/P3PQ2/2PP1N2/1PN1BPPP/R3R1K1 w - -,f4h4
rnb2b1r/1pk2p1p/p1P1p1p1/6N1/8/2p3P1/PPP2PBP/R1B2RK1 w - -,c1f4
2r3k1/5pp1/N1n4p/2qp4/2pP4/4P3/5PPP/2R3K1 w - -,a6c5
5k2/7p/3p2p1/2pP1n2/2N2P2/2PQ3P/q7/7K w - -,h1g1
2Q2bk1/8/p7/3p2p1/1p1P4/6P1/PP2qRK1/8 b - -,e2e4
4rbk1/p1r1q1n1/1pn4B/2p1Pp2/2Pp1N2/PP1P1N1B/4R2P/2Q4K w - -,c1g1
2r3k1/pp2r1b1/3pPpp1/q4P2/8/1Q6/PP5P/R1B2RK1 w - -,f5g6
8/2R5/4p3/4Kp2/8/3k2P1/1r3P2/8 w - -,f2f4
rnb1k2r/pp1pppbp/6p1/q7/2Ppn3/2NQ1NP1/PP2PPBP/R1B1K2R w KQkq -,f3d4
8/3r1p1k/pn1P2pp/1pR3B1/1P6/3R2PP/P7/5K2 b - -,h6g5
8/8/3kbRK1/r5P1/8/8/8/8 b - -,d6e5
5rk1/3r1pb1/1p2p2p/pN1n4/Pn5P/5NB1/1PR1RPP1/6K1 w - -,c2d2
3R4/1k3p2/1P1b2p1/3b3p/3r3P/8/5PP1/1R4K1 b - -,d5c6
8/p4R2/5r2/2p2k2/2P2p2/2KP2p1/P5P1/8 w - -,f7g7
r1b1k2r/1pq2ppp/p1p1pn2/2b5/2P1PP2/3B4/PP4PP/RNBQ1R1K b kq -,e6e5
3rr1k1/1pqn1ppp/p3b3/2b1p1P1/P3P2Q/2N1BB2/1PP4P/R4R1K w - -,e3c5
3r1k2/5ppp/p2r1p2/1pn5/8/1P3B2/P1P2PPP/R2R2K1 w - -,d1d6
6k1/pr3p1p/4pnp1/3p4/3P1P2/3R3P/P3NKP1/8 w - -,f2e3
5k2/1p3p2/p2r4/3p2q1/3P4/P1P2BP1/1P4Q1/K7 w - -,g2h3
2rr4/Nb3pk1/1p2pqp1/p2p1n1p/2PPn3/PP1B1N1P/2Q2PP1/3RR1K1 b - -,c8c7
3r2k1/5pp1/Bp4p1/5nP1/q2P2Q1/7n/5P2/3RB1K1 w - -,g1h2
1r3rk1/p1p2ppp/1b3q2/5b2/1P1P1P2/P1P1BB2/6PP/R4RK1 b - -,f8e8
3b1k2/pb4pp/4pp2/8/2p5/2P2NB1/PPK2PPP/8 w - -,g3d6
1rbr2k1/p1q2pbp/2p3p1/3p1n2/1P3P2/P4B2/2P1NBPP/1R1QR1K1 b - -,c8a6
r2qkbnr/1ppb1ppp/p1np4/4p3/8/PP2P3/1BPP1PPP/RN1QKBNR b KQkq -,g7g6
r1br2k1/1p1p1pp1/p1nR3p/4p3/2B1P3/2P2N2/P1P2PPP/4K2R b K -,g8f8
8/p1R5/1p1r1kp1/5n1p/7P/6P1/P4P2/6K1 b - -,a7a5
1k1r3r/ppqnbp2/2p1pp2/7p/4b2P/3PQ1P1/PPP1NPB1/R4RK1 w - -,d3e4
8/p3Qnk1/1p2bp1p/4p1p1/4P2P/2P2P2/q4BP1/5NK1 w - -,f1g3
rn1qkb1r/ppp1ppp1/5nb1/3p2Pp/3P1B1P/4PP2/PPP5/RN1QKBNR b KQkq -,f6d7
r1bq1rk1/pp2bppp/2n2n2/2p1p3/4P3/2P2NP1/PP1N1PBP/R1BQR1K1 b - -,b7b6
r1b2r2/ppp4p/2p2k2/6p1/2B1R2n/4PPN1/PPP1K2P/7R w - -,h1g1
r3rbk1/1p3pp1/2q2n1p/p1pNp2b/P1PnP3/1PB3PP/1Q1N1P2/R3RBK1 b - -,h5g6
r4r1k/1bp3pp/p3p1n1/1p6/3PNqn1/P4NPP/BP3P2/2RQR1K1 b - -,f4f3
r2q3k/pp4pp/4b3/4n3/1Q1p1R2/5P2/PP3P1P/1B2K1R1 b - -,a8c8
8/3rkp2/1p1pb2p/p1r2P1p/P1PR2P1/1P3BK1/3R4/8 b - -,h5g4
8/6pk/5p2/5Pn1/3PPN2/4K2p/5R1P/7r b - -,h1a1
r4rk1/pB2ppbp/3q2p1/2p2b2/3n4/3PB1P1/PP1NPP1P/2RQ1RK1 b - -,a8b8
6k1/p4ppp/4p3/1pb1P3/4B3/5K1P/PP1r1n2/2R5 b - -,f2e4
rnbq1rk1/ppp1bppp/3p4/8/2BNN3/8/PPP2PPP/R1BQ1RK1 b - -,d6d5
3r1r1k/1pq5/1Q2pp2/2Pp1bp1/3P2N1/3n1PpP/PB1K2P1/R5R1 b - -,c7b6
r3k2r/3qbp2/pp1p3p/2pPp1p1/1PP1Pn2/P2Q1P1P/4N1PN/2RR2K1 w kq -,d3e3
2r2rk1/pb1qbppp/1pp1p3/8/2PPn3/3B4/PPQ2PPP/R1BR2K1 w - -,d3e4
r2q1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2NP1B2/PP1B1PPP/R2Q1RK1 w - -,a1b1
r3nrk1/ppn1p3/3pP2p/5pp1/1P1B4/1Q4P1/P3qPBP/R4RK1 w - -,f1e1
1qr3k1/2r1bppp/pp1p1n2/4pP2/1PP1P1P1/4BB2/P1RQ3P/2R3K1 b - g3,h7h6
2k5/7p/3pp3/2rn1q2/1pQ5/5r2/PP5P/K1R1R3 w - -,c4a6
r4rk1/5ppp/3Rp3/ppn1P3/8/P3NPP1/1P4KP/3R4 b - -,a5a4
QR6/5kpp/3p2r1/3P4/2p3n1/P1P3Kb/6P1/5r2 b - -,g4e3
1nr3k1/Rb5p/1p2p1p1/5p2/2P2P2/bP2N1P1/2P2B1P/6K1 w - -,a7b7
2b2rk1/2q4p/ppnr2p1/2p3N1/2Q1pP2/PP4P1/4N2P/2R2RK1 b - -,g8g7
r4rqk/3P2pp/8/1p2pbN1/nQ5R/4B2P/5PP1/3R2K1 b - -,a8d8
4brk1/p1r3p1/1pn1p2p/3pP3/5PP1/P2BB3/2P3KP/4RR2 b - -,h6h5
4r1k1/p4pbp/1pN1bnp1/2p5/8/2P1B1P1/PP3PBP/3R2K1 w - -,c6a7
8/5Pk1/1q3n1p/2p1Q1p1/1pBp2P1/3P3P/1PP5/6K1 w - -,h3h4
