3R4/4r3/3k4/5B2/4PK2/r4P2/8/8 b - -,d6c5
4r3/p1k1N3/1ppRb2r/8/5P1P/6P1/PPP2P2/2K1R3 b - -,e8e7
r4rk1/1bqn1pbp/pppp1np1/4p3/P2PP3/2N1BP1P/1PPQB1PN/3R1RK1 b - -,e5d4
r1b1qr1k/ppp3bp/2np1np1/5p2/1PPPp3/1QN1P3/PB1NBPPP/R4RK1 w - -,c4c5
1r3rk1/2p1n1pp/2npb2q/p1p2p1P/2P2P2/P1BQPB2/1PN3P1/R3K2R b KQ -,f8e8
r3rq1k/pp3bpp/2pbpp1n/3pN3/1PP5/PQ1P2PP/1B1N1PB1/R3R1K1 b - -,d6e5
4R3/6pk/7p/2r1NP2/p1P1P3/P6P/KP1n4/8 b - -,d2e4
rn3r1k/pb2qppB/1pp4p/4b3/5B2/2N3P1/PPQ1PP1P/R2R2K1 w - -,c2e4
r2qr1k1/3nbppp/3p1nb1/1pp1pN2/pP2P3/2PP2NP/P1B2PP1/R1BQR1K1 b - -,e7f8
r5k1/4pp1p/1n1p2p1/P2P4/1rp1P3/8/5PPP/3Q1RK1 w - -,a5b6
1r3rk1/3bqp1p/p1n3pb/1p2p3/1PPpP3/P2P2P1/1NQ1N1BP/1R3RK1 w - -,b2d1
6r1/5RP1/p7/Pk1K4/8/8/8/8 b - -,b5a5
r1q1r1k1/1ppb1pb1/3p2pp/pNn5/2P1n3/2N1P1BP/PPQ1BPP1/3R1RK1 w - -,c3e4
6k1/3rrp2/1Q4p1/7p/2B2P2/6PK/7P/4n3 b - -,g8g7
4k3/5R2/3b3N/1p1PpB2/8/1P4P1/r2r1PKP/8 w - -,f5e6
r3k2r/pppbq1pp/2nb1p2/5n2/4Q3/2NB1N2/PPPB1PPP/2KR3R b kq -,e8c8
5k2/1p3p2/2n2n2/p3rP1p/Pb3R2/1B5P/1P4P1/3R3K b - -,e5e2
6k1/1p1bb3/2r3pP/1n1p4/p2p1B2/q3PPN1/P5Q1/1B3RK1 w - -,g3f5
7k/2R4p/8/8/4P3/6P1/2p1r2P/5K2 b - -,e2d2
4r2k/5b1p/pnp4b/2p1pN2/2Pp4/1P1P3P/P4PP1/R3R1K1 b - -,h6f8
2rqk2r/3p2p1/N3p3/1p3p2/3QBPK1/P7/1PP4P/3R4 w k f6,e4f5
3r2k1/pp6/4P2p/2p1K1p1/P5R1/8/6PP/8 b - -,g8f8
5k2/5b2/5Q2/1p3P2/6PK/8/3q4/8 w - b6,f6h8
2bq3k/2p2Q1p/1p3bp1/p3pp2/B7/P1P1PPBP/1P4P1/6K1 b - -,c8b7
