8/7p/8/4k1P1/1rp4P/4K1P1/1PR5/8 b - -,e5d5
5k2/6p1/6bp/3R4/8/4NP1P/4r1PK/8 w - -,d5e5
5r1k/ppp3pp/5q2/2Pr4/3nb1B1/2Q1B2P/P4PP1/2R1R1K1 w - -,e1d1
2rr2k1/1b1nbpp1/pq2p2p/1ppn4/8/1P1P1NPP/PB2PPB1/1QRR1NK1 b - -,e7f6
5rk1/1R3pp1/4b2p/p3p3/P7/2n5/2P1B1PP/3R2K1 w - -,d1e1
q1n1r1k1/pp3pbp/3B2p1/8/2BpP3/6P1/PP3P1P/R2Q2K1 w - -,d6c5
r2q1rk1/pn4pp/2pb4/4pp1b/4N3/1P1P1N1P/P2P1PP1/R1BQR1K1 w - f6,e4d6
5r1k/p7/6Q1/p1p3n1/8/1P6/6K1/8 w - -,g6h5
r1bqk2r/4ppbp/2p2np1/p2p2B1/1pBP1NPP/4PP2/PPPQN3/1K1R3R b kq -,d5c4
2r3k1/1p1q1pbp/p2p2p1/P1rB4/1QRpP3/1P6/1P3PPP/2R3K1 b - -,c8c7
r7/4bp2/pr2ppk1/7p/R2PK2P/4P1P1/R2N1P2/8 b - -,b6c6
r4rk1/ppp2ppp/2n1b3/3n4/3PNQ2/5N2/PP2BPPP/R4RK1 b - -,d5f4
2r1nrk1/1pq3pp/p1ppb3/1P2p3/P1P5/3RN1P1/1Q2PPBP/5RK1 b - -,a6b5
k2r3r/1bpnqpb1/ppn1p1p1/4P2p/2P2P1P/1NN1B1P1/PP3QB1/1K1RR3 b - -,h8e8
r1bq1rk1/pp1n2bp/2p1p1p1/3p1p1n/3P3P/2PBPN2/PPQN1PPB/2KR3R b - -,b7b6
8/3b4/8/8/4Pkp1/NPpB4/2Pb2K1/8 b - -,g4g3
r1r3k1/4b1p1/p1b2q2/1p5p/5Q2/1P1B1PB1/P5PP/2RR2K1 b - -,c6b7
r1q1k2r/pp2npb1/2p2npp/4p1P1/2P4P/2N1PQ2/PP1B1P2/2KR1BR1 b kq -,f6h5
8/1k1n4/8/1p6/r4P2/p3K3/2RB2P1/8 w - -,c2a2
1rbq1rk1/4bppp/p1p1p3/P1Pn2B1/1p6/6P1/2QNPPBP/R2R2K1 w - -,g2d5
8/p2n4/3P2k1/1p4P1/2p1N3/4K3/PP6/8 b - -,g6f5
r1b1k2r/1pQpnppp/p4q2/4p3/1n2P3/2NB4/PPP2PPP/R1B1K2R b KQkq -,d7d5
r3r1k1/pp2bppb/1qp1pn1p/4n3/1PQPPB2/P1N3P1/5PBP/R3R1K1 w - -,d4e5
2r1r1k1/pb3ppp/1pnbpn2/1N1p4/2PP1q2/1P3N1P/PB2QPP1/1BRR2K1 b - -,d6b8
r1r3k1/p2bppbp/3p2p1/1N2n1Pn/3NP2P/1B2BP2/PPPq4/2KR3R w - -,d1d2
1rq2bk1/pb1r1ppp/1pnnp3/2p3P1/2P2P2/2NPPN2/PB1RQ1BP/3R2K1 b - -,d6f5
8/pp5k/2pp3p/5p1b/1PP5/2QP2P1/P3q2P/5NK1 b - -,f5f4
k7/1n1r4/p3N1p1/3q4/P7/4Q1P1/5P2/1R4K1 w - -,e6f4
rnbqk1nr/1pp1ppbp/p2p2p1/8/3PPB2/2N5/PPP2PPP/R2QKBNR w KQkq -,d1d2
2kr3r/p3qpb1/2ppb1pp/2p5/4PP2/2N1QN2/PPP3PP/2KR3R b - -,g6g5
r3bnk1/rp4qp/p1p1p3/2PpN1p1/PP1P1PP1/3BP1Q1/1R5K/5R2 w - -,b2f2
1k1b3r/p4p2/2p1q3/P3p3/1P1pP1p1/6Nr/4QPKP/2R4R b - -,d8g5
r3kbnr/pp2pppp/2pq4/3Pn2P/8/1QN2P1B/PP2PP2/R1B1K2R b KQkq -,a8b8
6k1/8/p7/3p2p1/1r1n4/PP3P2/3R2PP/3K4 b - -,b4b3
8/8/3k1n2/3p4/3Nn3/4K1p1/8/8 w - -,d4e2
4b3/4bpkp/p2n2p1/Np1Bp3/1P2P3/P3BP2/5KPP/8 w - -,e3c5
q1r3k1/1br1bppp/3p4/1p2p3/1Pn1P2P/P1R2PP1/4QBB1/1N1R2K1 b - -,d6d5
3q2k1/p3bp1p/1p2p1p1/2n1P3/2P5/4BQ2/P1B2PPP/6K1 b - -,c5d7
4rr2/2qb1pbk/3pn1p1/1p5p/2pPPp2/2P2N1P/1PBN1PP1/R2QR1K1 w - -,e4e5
2rqk2r/pb2bppp/1pn1p3/2ppP3/3Pn3/PPP2N2/1BB2PPP/RN1QR1K1 b k -,d8c7
r4rk1/ppRn1pp1/4p3/1q1p2pP/3P2P1/4PQ2/1P1B1P2/2R3K1 b - -,a7a5
N1b2bkr/pp4p1/2n2n1p/3p4/2pP1B2/2P5/P2N1PPP/R4RK1 b - -,f6h5
1r1q2rk/3bbp1p/3p2p1/2nPpP2/1pp1P2P/6NQ/PPBB2P1/R3R1K1 w - -,h4h5
4r2k/6n1/6Pp/6Q1/2B1P3/1P6/5RKP/8 b - -,h6g5
1r1q4/p2b2k1/3p2p1/1pp4p/8/2PPNRP1/PP1Q4/6K1 b - -,d7c6
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,c7c6:c7c5:d5d4:b7b6
r3k2r/1b2bppp/p2p4/1pq1pPP1/4P3/1PN2N2/1PP1Q2P/2KR3R w kq -,c3d5
7R/3r4/1p4k1/1Pb5/2B2p1P/4pP2/8/5K2 w - -,c4e2
r3r1k1/pp3pb1/2p1qnpp/8/4P3/1P2B1PP/P2Q1PB1/2RR2K1 w - -,c1c4
2rr4/pb3k2/Np3Bp1/1B1p1n1p/5P1P/8/PPP3P1/2KR3R b - -,f7f6
1n6/p3kpp1/b2pq2p/P1p1p3/Q1P1P3/2PBBP2/3K2PP/8 b - -,e6d7
8/8/5k2/1R6/1P4r1/2K5/8/8 w - -,b5d5
3b4/1k1n3p/1pp3p1/p1p1P3/5B2/P4PNP/1PPK4/8 b - -,d8c7
2rq1rk1/p2b2p1/1p2pp2/3p4/3N4/2P1Q3/PP3PPP/R2R2K1 b - -,e6e5
8/p2k1p2/4b1p1/1PPp4/5P1r/2KBR2P/8/8 w - -,e3f3
8/4b3/7R/3K1k2/8/8/8/3r4 w - -,d5c4
8/8/8/r5p1/P1k2pP1/5P2/4K3/R7 w - -,e2d2
rnbqkbnr/1p3p1p/p2pp3/6p1/3NP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq g6,f1g2
r5k1/p1qpbr1p/b1p1ppnB/2p5/2P5/3P1N2/PP1NQPPP/R4RK1 b - c3,a8e8
rn2k2r/1bqpbppp/p3p3/1p1nP3/4NP2/1N1B4/PPP1Q1PP/R1B2RK1 b kq -,f7f5
8/2R3pk/2p2r1p/3p1N2/1P4P1/7P/7r/6K1 b - -,h2h3
1rr3k1/p2bqppp/5n2/1Nbpn3/8/2N1P3/PP2BPPP/R1BQ1RK1 w - -,a2a3
7k/4bp1p/4p1p1/4P3/2q2P2/1P3Q1P/3r4/1B3R1K b - -,c4d4
6r1/8/1p1kp3/1Ppn4/P2p1P2/3P1R2/2N4K/8 b - -,g8a8
r4rk1/1p1bppbp/1pp2np1/7q/3P4/3N2P1/PPQBPPBP/R4RK1 w - -,e2e4
r4rk1/5pbp/2p3p1/1p2p1q1/1Q1P4/1PNBP2b/P4PPP/2R2RK1 w - -,d3e4
r1b1kb1r/ppq1pppp/1nn5/1Bp5/3P4/2N1PN2/PP3PPP/R1BQK2R b KQkq d3,c5d4
rq2r1k1/1b1nbpp1/2n5/3pPp1Q/p5N1/P1R1B3/1P1N2PP/5RK1 w - -,g4h6
8/4R3/kp6/3R4/p7/P1n3P1/2r2P1P/6K1 w - -,d5d3
4R1kr/1p3pp1/3q3p/QB1p2b1/3p4/P2P1P2/1Pr2P1P/1R4K1 b - -,g8h7
8/7k/2R4p/6p1/1n2P1N1/5PPP/r7/3K4 w - -,c6h6
3r2k1/rp2ppbp/p5p1/P3n3/3PB3/4Pb2/1P3PPP/R1B1K2R w KQ -,g2f3
3rrk2/pp1n1ppp/2pbbp2/8/2NP4/3B4/PPP2PPP/R1B2RK1 b - -,e6c4
2r2r2/1b2bpkp/p2p1np1/1pn1p1B1/4P3/P1NB4/1PPN1PPP/R3R1K1 w - -,d2f1
4k3/7p/8/2P3B1/1K1N2p1/8/6bP/8 w - -,c5c6
3b1r1k/p5qp/P2pn1r1/1ppNp3/1P2Qp2/2PP1N2/R4PPP/6RK w - -,a2a1
8/8/P6R/8/8/3p3p/3k1K2/7r b - -,h1a1
r2qkb1r/1p1bpppp/p4n2/4n3/3N4/1QN5/PP2BPPP/R1B2RK1 b kq -,e7e6
4r1k1/3n2b1/4r1p1/PR1N3p/8/4B2P/5PP1/1R4K1 b - -,g7e5
