8/Q7/1p6/2p5/1k6/3q4/KP6/8 b - -,d3b3
4r2k/2p2qp1/1pp4p/4n3/P4R1P/2N2P2/1P3P1K/2Q5 b - -,f7h5
5K2/5p1k/8/5P2/p5N1/1bB5/8/8 b - -,a4a3
8/p7/7p/2p2k2/3bp2p/1PN4R/P5r1/4K3 w - -,c3e2
1rbq1rk1/pp2ppbp/2np1np1/2p5/4PP2/P1NP2N1/BPP3PP/R1BQK2R b KQ -,b7b5
r4rk1/1b1nqpp1/1pp2n1p/p2p4/1P1P4/2NBPN1P/P1Q2PP1/1R3RK1 w - a6,b4b5
2r2k1r/2qp2p1/3bp1Q1/p1p3P1/2PnBP2/1P2B2p/P6P/3RR1K1 b - -,d4c6
1brq1rk1/p2n1ppp/b4n2/1pPpp3/1P6/2B2NP1/PNQ1PPBP/R3R1K1 w - -,c2f5
r4rk1/2qb1ppp/p2pp3/1pb1n3/P3PB2/6P1/1PP1QPBP/RN1R2K1 w - b6,a4a5
r3k2r/ppqbn2p/2n1pp2/3p4/P1pP4/Q1P2NP1/2PB1PBP/R3K2R b KQkq -,e6e5
4r1k1/1bqrbppp/p2p1n2/1p2p3/3BPP2/P1NB3Q/1PP3PP/4RR1K w - -,d4f2
8/5k2/3b4/pp1p2qp/2pP1p2/P1P1NPP1/1P1Q3B/7K b - -,f4e3
r1N2k2/5pp1/3P4/6p1/np6/3p2P1/1P3PKP/2R5 b - -,f8e8
3k4/1R6/4pp2/1P1p4/1b1P1pP1/1r2P1K1/6N1/8 w - -,g3f4
2rq1rk1/4bppp/1n1p1n2/p6b/P2pP3/3B1N1P/1B1N1PP1/R2QR1K1 b - -,f6d7
8/p6R/rp2p3/2k5/1r6/6P1/3R3P/2K5 w - -,d2c2
4r1k1/r1pb2qp/1p1p2p1/pPnPpp2/2P2P2/P1Q1P2P/2BN2P1/R4RK1 w - -,a1e1
3r1k2/1q6/3p1p1b/1p1PpBp1/nPp1P1Qp/R1P1B2P/6P1/7K b - -,b7f7
3r1rk1/p1qpb1p1/b1n1p2p/2p2p2/2P5/1P2QNP1/PB2PPBP/R4RK1 w - -,f1d1
8/1k6/2p3p1/5p1p/P1KB3b/5P1P/6P1/8 b - -,h4e7
2brrk2/pp3p2/3p3q/1Pp1PR2/2P1P2p/2Q4P/P3N1B1/3R2K1 b - -,c8f5
3q1rk1/3nbppp/rpp1pn2/2Pp4/1P1P1B2/2N1PN1P/5PP1/R2Q1RK1 b - -,d8a8
8/7k/8/6K1/4P1RP/8/8/5r2 b - -,h7g7
r3k3/2q2pbr/ppPp1Qp1/3Bn2p/8/4B2P/PPP3P1/R4RK1 w q -,f6f2
1r6/8/8/8/3k4/8/1PR2P2/2K5 b - -,b8b3
4k3/1pK5/2p3P1/4N3/P4p2/1P2n3/8/8 b - -,e3f5
8/6pk/p6p/2p5/P1P1Pp1n/1rB2P2/7P/5RK1 w - -,c3e5
rnb1kbnr/pp2pppp/2p5/3q4/2PP4/8/PP3PPP/RNBQKBNR b KQkq c3,d5d8:d5a5
4K3/8/3Q4/7p/6q1/5k2/8/8 w - -,d6f6
r1r5/1pp1q1b1/3p2kp/p1nPpPp1/2P2nP1/2N1BP2/PPBQ3R/1K5R b - -,g6f7
5k2/1R4p1/7p/5p2/5N1P/P4Pr1/4Kb2/8 b - -,f2g1
2r2rk1/1b1n1ppp/1p2pb2/1Pp5/2PqP3/4QP2/4B1PP/1RBNK2R w K -,e3b3
r3rb2/1b2qp1k/p3p1pP/1p1pP3/4nPQR/3BBN2/PPP4P/4R1K1 b - -,e7d7
3rr1k1/pp3pp1/q1p2bp1/2R5/3P4/PQ1Rn1P1/1P3PBP/6K1 w - -,f2e3
4n3/p3Qr1k/Pp1p2nb/1N1Pp3/1P2Pp2/2R5/3N1K1P/2B5 b - -,f7e7
2r1r1k1/p2nqpb1/bp2p1p1/3pP2p/2P4P/1P1BN1Q1/PB3PP1/2RR2K1 w - h6,f2f4
r3r1k1/3nbppp/pqb1pn2/3p4/3P4/2PB1N1P/RP1N1PPB/3QR1K1 b - -,c6b5
1b4k1/8/4pp1p/3p2pP/3P2P1/1p3B2/1PbBPP2/5K2 w - -,d2b4
5b2/5pk1/6p1/8/1p2Br1p/1K6/6Q1/8 w - -,g2b2
r2r2k1/6bp/6p1/p2Rp1Pn/1p2P3/4BP2/PPP1N3/1K5R w - a6,c2c4
3B4/p2P1kr1/4p1p1/1pP1qp2/7Q/1P2n1P1/P4R1K/7R b - -,f7g8
r2q1rk1/p2bppbp/1p4p1/n1p5/3PP3/2PBB3/P3NPPP/2RQ1RK1 b - -,a8c8
3rr1k1/5ppp/pn2q3/1p2PN2/4Q3/5N1P/PP3PP1/4R1K1 w - -,f3g5
2k1rr2/ppp3p1/5n1p/7P/2Pb1B2/1P3NK1/P1B3P1/7R b - -,f6e4
r1r3k1/1b2bp2/1p2n1p1/pP1pPp1p/q2P1P2/P2QNNP1/R2B3P/1R4K1 b - -,c8c7
r3kb1r/1bq2ppp/p1p2n2/2pp4/Q2P4/2NNP3/PP3PPP/R1B1K2R b KQkq -,c5d4
r2q1rk1/pp1n2p1/3b1n1p/3p2N1/4p1b1/2P2P2/PPQ1B1PP/R1B1RNK1 b - -,g4f5
8/7k/p1pp2p1/3b3p/1P3R2/1r4NP/3R2PK/4r3 b - -,g6g5
r1r3k1/1bq1bppp/p7/1pn1p1P1/3BP3/3B2N1/PPPQ3P/1K1R3R w - -,d4c5
2r2r2/1b1nppkp/p2pqnpN/1p4QP/4P3/2N2PP1/PPP5/2KR1B1R w - -,h6f5
8/8/p7/1p3p2/2P1k2B/P1Pn4/2K5/8 b - -,b5c4
r3n2k/1p4r1/3pB2p/pPpPpR2/P1N1P1q1/6PR/1P5K/8 w - -,h3h6
8/5p2/8/3kPb1p/p6P/P7/2p1K3/2BrR3 b - -,d5e5
5r1k/pp2b1pp/2q1p3/4P3/P1pP2Q1/2PbN3/3B2PP/4R1K1 w - -,e3d1
r2r4/pR2pk2/3p1bpp/8/P2P1Bb1/5N2/1P3PPP/4R1K1 b - -,g6g5
8/1pb5/2p5/p7/PkP2pK1/1P4p1/8/3R4 b - -,b4b3
1r1r1qk1/5ppp/8/1bb5/Q4B2/5B1P/P4PP1/3RR1K1 w - -,a4b3
3q2r1/3R1p1k/p1b2QpP/Pp2p3/1P2P3/1BP5/7K/4R3 b - -,d8f6
3r1rk1/1bq2pbp/pp1ppnp1/4n3/P1P1P3/1PN3PP/1B2NPB1/R2Q1RK1 w - -,b2a3
8/R4kp1/7p/5K2/5P2/p7/8/r7 b - -,f7g8
8/1r3pkp/3n2p1/2R5/B4PP1/8/5PKP/8 w - -,a4c2
2rr2k1/pb2bppp/1p1qp3/nB6/P2PP3/5P2/1Q1BN1PP/1RR3K1 b - -,d6a3
8/5p2/5K1k/R6p/p6P/1b4P1/8/8 w - -,a5a6
2r2rk1/pR1b1ppp/2n5/4NP2/2pPp1Pq/2P1B2P/P3P2K/3Q1R2 b - -,c6e5
2b1rbk1/8/rn4p1/2pPpPN1/2p4p/2P4P/4BPP1/1R2RNK1 b - -,c8f5
2r5/4kp2/p5pp/2p1p3/P2rP1Pb/1P1B4/2R1K2P/2R5 b - -,e7d6
7k/7p/pb4p1/1p1B2P1/1P3N2/7P/P3R1K1/2q5 b - -,c1g1
r1bqk2r/1p1n1pbp/2pp1np1/p3p3/P1PPP3/2N1BN1P/1P2BPP1/R2QK2R w KQkq e6,d4e5
r1r3k1/1Q1R1pp1/p3p3/3nR3/8/5qB1/5P1P/6K1 w - -,e5e1
8/p6p/2n2kp1/8/4K1N1/8/PP4PP/8 b - -,f6e6
