4r3/4P3/p4RP1/8/5K1k/5b2/5P2/8 b - -,e8e7
rnbqkb1r/pp3p1p/3p1np1/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq -,c8e6
r2qr1k1/1b3pbp/pn1p2p1/1PpPP3/1nB2P2/2N2NBP/1P4P1/R2QR1K1 w - -,b2b3
2r3k1/pp3pp1/4b2p/2n5/8/2P2P2/P1R2BPP/3B2K1 b - -,b7b6
1R6/7p/1P3pk1/8/4R3/1r6/r4K1P/8 w - -,e4e2
8/6k1/1PR5/6p1/6N1/6PP/4KP2/1rn5 w - -,e2e3
rn1qkb1r/pbpp1ppp/5n2/1N2p3/8/5NP1/PPPPPPBP/R1BQK2R b KQkq -,e5e4
8/1p5p/p3kbp1/3p1p2/3PrP2/2B2KP1/PP5P/3R4 b - -,e6d7
7r/3r1k2/4pPb1/Q6p/8/1P2N1Pp/P4P2/6K1 b - -,g6e4
r2q1rk1/1p1nbppp/2p1pn2/p2p3b/4P3/1P1P1NPP/PBPN1PB1/R2Q1RK1 w - a6,a2a3
8/5p2/1k2p3/4b3/1Pp2p1p/5P1P/6PK/r2RN3 w - -,d1a1
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/1PNBPN2/P2B1PPP/R2Q1RK1 b - -,d7d5
8/4k3/2p2ppp/2N1P3/nP1K1P1P/P7/8/8 b - -,f6e5
rn1qr1k1/p1n1bppp/1p1p4/2pP4/2P2Bb1/1QN2N2/PP2BPPP/R4RK1 w - -,a1e1
r2r2k1/2q2pp1/pp2pn1p/8/2P5/1P2QNP1/P4P1P/3RR1K1 w - -,f3e5
2q2nk1/5pp1/p6p/1p1r4/5PbP/1P1B2P1/PQ3B1K/4R3 w - -,d3e4
4k3/p2n4/2pb2pp/2p2p2/2Pp1P2/1P1P1NP1/P4K1P/2B5 w - -,c1d2
r2qkb1r/pp3ppp/1nn1p3/3pPb2/3P4/1BN2N2/PP3PPP/R1BQ1RK1 w kq -,f3e1
4rqk1/5p1p/6pP/6P1/3Q4/1PP2P2/1K6/3R4 b - -,e8e2
r5k1/p4p2/1ppq1p1p/4p2P/3nP3/1PQ1N1Nb/1PP2R2/4K3 w - -,e3c4
8/3r1k2/p4n2/2p2q2/1pP2B2/1P5P/P4QBK/8 w - -,f2e3
r2qk2r/pppb1ppp/2n1pn2/3pN3/QbPP4/2N5/PP2PPPP/R1B1KB1R w KQkq -,e5d7:e5c6
1r4k1/3b1pp1/pp1p1n2/2pPr1q1/P1P1P1Pp/1PNB3P/5Q2/4R1RK b - -,e5e7
5r2/1pk5/p3bppp/4p3/2P1PnP1/1P2K2P/3R4/3BN3 b - -,f8d8
2qQ2k1/4rp2/pBp3p1/P1P1P3/6P1/5n1p/7P/4RB1K b - -,c8d8
2r3k1/1r2p2p/4bnp1/3p4/3RP3/1PN2P2/3KN1P1/1R6 b - -,d5e4
7r/ppp5/2b1PR2/4R3/5Pn1/5k2/PP6/6K1 w - -,f6g6
3r1r2/pp3k2/4pn1R/4pq2/8/8/PPP3Q1/1K5R b - -,f7e8
3r2k1/r2qbppp/2b5/p1ppB3/8/3QP1P1/PP1R1PBP/3R2K1 b - -,d7e6
r2qr1k1/1b3ppp/3p1bn1/p1pP4/Pp2PP2/5N1P/1PBQ1BP1/1R2R1K1 b - -,c5c4
3R2k1/6p1/p1p3rp/PpP2n2/1Pp1p3/4P3/4KB2/8 b - -,g8h7
3rr1k1/pbp2p1p/1pn1p1pB/4P3/2q1BQ2/2P5/1P3PPP/3RR1K1 b - -,d8d1
r2qr1k1/1bpn1pbp/p5p1/3Pp3/1B2P3/5NP1/PPQ2PBP/R2R2K1 b - -,a8c8
r3r1k1/pp1qppbp/n3b1p1/3p4/3P4/1PN1P1P1/PB1Q1PBP/R1R3K1 b - -,e8c8
2k5/p2qp2p/Ppb2b2/6p1/1PP2p2/3rB3/4QPPP/2R2NK1 w - -,b4b5
2rn2k1/p4p1p/6p1/p1pBp3/2P2b2/2q3BP/Q4PPK/R7 w - -,g3f4
8/p7/1p1b2K1/2pk3p/P2p1P1r/1P6/3B1R2/8 b - -,h4h3
6k1/2b2p2/6p1/2N3p1/2R5/5PP1/r6P/6K1 w - -,c5a4
r2qkb1r/pp1n1ppp/2p1p3/3nN2b/2BP4/4P1B1/PPQ2PPP/RN2K2R w KQkq -,e1g1
4rr1k/6bp/p4q2/2Pb3p/3p4/P2B1P2/5BP1/1RQR2K1 w - -,b1b6
r4rk1/p4ppp/2p5/3b2N1/8/2P4P/PP3PP1/R4RK1 w - -,f1e1
8/2p3k1/1p1p2qp/r4p2/2P1p1pR/1P2P1P1/5PK1/7Q w - -,h1b1
3r2k1/2pb2b1/3p4/2nPp3/1p1N2P1/1P5P/P3N1B1/5RK1 w - -,d4c2
2b2rk1/1pp3pp/3n1q1r/4Rp2/5Q1P/P2P1B2/1P1NPP2/4K2R b K -,g8h8
r1b1k2r/ppp1qppp/2nppn2/8/2PP4/5NP1/PP1NPPBP/R2QK2R w KQkq -,e1g1:h2h3:e2e4
rnbq1rk1/1p3pbp/p2p2p1/2pPp2n/2P1P3/2N1B1P1/PP2NPBP/R2Q1RK1 b - -,f7f5
5rk1/3nq2p/Q2R2p1/1p3p2/1Bb5/4P1NP/5PP1/6K1 b - -,f8f6
r7/1pr3pk/4pp1p/P2p4/1RPP4/1P1KP3/5P1P/R7 b - -,e6e5
8/4R3/2k5/2n5/5p2/6r1/5KP1/8 w - -,e7f7
2r1r3/1b3pkp/p2R4/1p6/5R2/PPN5/1P4PP/6K1 b - -,c8d8
2kr4/ppq2pp1/2n1pn1r/3pN3/Q2P1Pb1/2PB4/PP1N2P1/R4RK1 b - f3,g4f5
2bq2k1/1r3pn1/pp1pp1p1/3N3p/1PP1P3/5PP1/P4Q1P/2RR2K1 w - -,d5e3
1r2kb1r/pp2pp2/2p1b2p/6p1/2PPp2N/1P6/P2KPPPP/R4B1R w k -,h4f3
qr4k1/5ppp/4p3/pQPpn2n/1p1B4/1P4P1/P3PPBP/1R4K1 w - -,b5a4
rn1q1rk1/1b3pbp/p2pp1p1/2pnP3/P7/2N1B3/1PPNBPPP/R3QRK1 w - -,c3d5
2k5/B6p/1p3p2/2P1p3/6p1/Pr4P1/1P1r1P1P/4R1K1 b - -,b3b2
6rk/p6p/Pp1pq3/1PpNbp2/2P2p2/3P4/6PP/4QRK1 w - -,d5f4
1qrnk3/pb3BQ1/1p1p1P2/4p3/2P1P3/1P6/P5P1/R4RK1 b - -,d8f7
r1b2rk1/1pp1bppp/1p3n2/8/2BP4/2N5/PP3PPP/R1B2RK1 b - -,c7c6
8/5NK1/4k3/8/8/8/8/5r2 w - -,f7d8
1rNR4/5pk1/p5pp/1pp1r2n/2P5/3B3P/PP3PP1/2K4R b - -,h5f4
3b2k1/2n3p1/r3b3/pp1pN1q1/3P1N2/P6P/1PQ3B1/5RK1 w - -,g1h1
rnb1kb1r/pp1n1ppp/1q2p3/2ppP3/3P1P2/2P2N2/PP4PP/R1BQKBNR b KQkq -,b8c6
3r1r1k/1p2q2p/p1p1pbp1/PnRn1p2/1P1P2P1/1Q1NP1BP/5PB1/4R2K b - -,f6h4
2r1r1k1/pq1n2pp/2p1pp2/1p6/2PPQ3/bP3N2/P1RB1PPP/R5K1 b - -,b5c4
3r1rk1/p1q1ppb1/1p2b1pp/2p1P3/8/1PP2Nn1/P2NQPPP/3R1RK1 w - -,h2g3
3rr1k1/1pp1bpp1/p2qb2p/P2n3N/2Bp4/3P3P/1PPBRPP1/R3Q1K1 w - -,e2e4
3rnrk1/1b2qppp/p7/np1pN3/2pP1P2/P1N1P1P1/1PQ3BP/3RR1K1 b - -,f7f6
4B2k/pb3pp1/1n5p/8/1pp5/6B1/PP2nPPP/3R2K1 w - -,g1f1
2b4k/4bQ1p/p1p1pp2/4p3/4N3/4K1R1/2q3PP/8 b - -,e7c5
rn1qr1k1/p1p3pp/bp6/3p1p1n/3P4/P1P1PPP1/4N1BP/R1BQ1RK1 w - f6,e3e4
2B4r/8/6p1/1PRp4/5k1p/5b2/8/6K1 w - -,b5b6
r4rk1/p2n1ppp/1q3n2/2P5/3pb2N/6PB/P2BPP1P/2RQ1RK1 b - -,d7c5
4rr2/6k1/p1p5/1pNp1b1n/3P1nPp/1B6/PPN2RPP/3R2K1 b - -,f5g4
1r1bqrk1/pb1n1pp1/1p2p2p/3pP3/1P1P4/P4NP1/2QN1PBP/R1R3K1 b - -,d8e7
2b5/6kp/pr1pp1p1/2p1n3/2P1P3/3PN1PP/5R2/5BK1 b - -,h7h5
r4rk1/pp6/2p1qppp/4n3/4Q1P1/2P4P/1P6/1B1R1RK1 w - -,d1e1
2r2rk1/1pq1ppbp/p1bp1np1/8/P3PP2/2N1BB2/1PPQ2PP/R4RK1 w - -,f1f2
8/2k4p/4p3/4npp1/1pP1b3/1P2P1PP/r2NB3/2R1K3 b - -,e4c2
1b6/8/B7/2P5/1P1kp3/4pp2/8/3K4 b - -,d4c3
2rr1bk1/p3nppn/b3p2p/qp2P2P/2ppBB1N/2PP2P1/PP1Q1P1N/2R1R1K1 w - -,d2c2
r4rk1/1bp2ppp/1pnnp3/6q1/p2PP2P/2BN1P2/PP3QP1/R3KB1R b KQ h3,g5e7
r2q1rk1/pp3pp1/2n1bn1p/3p4/1bpP3B/2N1P3/PP1NBPPP/R2Q1RK1 w - -,f2f4
1k2r3/1pp1q2p/p1p1np2/6pP/P1N1P1Q1/1P5P/2P2P2/3R2K1 b - -,e6f4
1k1r3r/2q2b2/pnpb1pp1/1p1p1p1p/3P1N1P/1NPBPQP1/PPK2P2/R6R b - -,b6a4
8/7p/7P/3N1kP1/P1n2N2/4PP2/1B1b1K2/3b4 w - -,g5g6
2B5/5pk1/p1p4p/3n2p1/8/8/P4RK1/8 b - -,a6a5
2n2rk1/p6p/1p1p1q2/1PpPRP2/8/1P1Q4/6BP/5R1K b - -,f6e5
8/1k6/p2brp1p/1P1Np1pP/1P2P1P1/2R5/4KP2/8 b - -,a6b5
8/7p/4R1p1/p7/1k3PP1/1p6/7r/1K6 w - -,f4f5
r2q2k1/p2pnrp1/1p2p2p/3PPb2/2PQ1p2/B7/P2N1PPP/R1R3K1 b - -,e7g6
Q3n1k1/6p1/7R/8/2PpP1K1/6p1/3BP2q/8 b - -,g7h6
rn3rk1/pp3ppb/2p1pn1p/q6P/2BP1B2/2P2PN1/PP2Q1P1/R3K2R b KQ -,b8d7
7k/p2R2p1/1p3n1p/1P6/P1p5/2N2PP1/6PK/8 b - -,f6d7
r3r1k1/1p1nbppp/2p1pn2/q7/P1BP4/2P2N2/5PPP/R1BQR1K1 w - -,c1d2
8/1p6/8/8/8/k7/2K5/8 w - -,c2b1
r3k2r/ppp2pbp/2n2np1/5b2/3Pp1qP/1PN1P3/PB1N1PP1/R2QKB1R w KQkq -,d1g4
4r3/1p5p/pnp2k2/1b4p1/1PPR2R1/P4BP1/3K1P2/8 b - -,h7h5
r2qk2r/pp1nbppp/2p1pn2/6P1/3P4/2N1BQ1P/PPP2P2/2KR1B1R b kq -,f6d5
5rk1/3qbpp1/p2pbn1p/1pr1p3/4P3/P1N1NQ1P/1PP2PP1/2BRR1K1 b - -,f8c8
8/R5p1/5pk1/4p3/6PP/2r5/6K1/8 w - -,a7b7
2kr4/5pb1/bqn1p2p/pp2P1p1/2p5/2P1NNP1/PPB1QPP1/K6R b - -,b6c5
8/4r1p1/1k3p1p/1pR5/1P5P/2P1K3/5PP1/8 w - -,e3f3
1k5r/pp1r1p2/4qp2/1R2n3/2P2Q1p/1P1pPB1P/P2P2P1/3R2K1 b - -,b8c8
r1b3k1/1p1nppbp/2n3p1/p7/2P1P3/B4P2/PP4PP/3NKBNR w K a6,g1e2
r1bqr3/pp4k1/5np1/3P4/8/1P5P/P2QP1B1/R4RK1 b - -,d8b6
rnbqk1nr/ppp2ppp/4p3/3pP3/1b6/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,c7c5
5k2/1p2rq2/3pN2b/P2P1p2/3BnP2/7P/1Q4P1/2R3K1 b - -,f8g8
8/5pb1/6p1/1P1pp1Bp/2p4P/1kP3P1/3K1P2/8 b - -,g7f8
2r4k/pq4r1/2b1R1p1/5p1p/1n6/1QN5/PP3PBP/4R1K1 w - h6,g2c6
2r1k3/3R4/2P2p1p/5PbP/2K3P1/5B2/3p4/8 b - -,c8d8
r1br2k1/3n1pbp/p3p1p1/1p1p3P/2q5/BRP2NP1/P1B1PPK1/1Q1R4 b - -,e6e5
1r1r2k1/4Qp1p/4b1p1/p7/P4BP1/2b4P/1q3PB1/2R2RK1 b - -,b8c8
6nk/5pb1/1Nr1p1p1/p1B1Pq1p/1P1R1P2/7P/3Q2PK/8 w - -,b6c4
r3r1k1/pp1b1Npp/1n6/4R3/1P2P3/q7/B5PP/3Q1RK1 w - -,e5e8
8/p3k3/3bp3/5p1p/5P1P/P5P1/1r2B3/R4K2 b - -,e6e5
4rrk1/1q3ppp/p7/4P3/Pp2Q3/8/1P4PP/4RRK1 b - -,b7b6
r6r/3nkpp1/p3p3/2b1P3/5P1p/4NN1P/P4KP1/R1R5 b - -,a8b8
rnb3k1/2p2qp1/p1P1p2p/N2pR3/1BP2r2/P2Q1P1P/1P4PK/2R5 b - c3,f4c4
r7/5p2/5Pkp/8/5K2/p6P/R7/8 w - -,f4e5
r2qrnk1/1p4pp/2p1b3/p2pPp2/Pb1NnP2/2NBB2P/1PP3P1/3RQRK1 w - -,d3e4
4r3/4P3/3K4/2p2R2/1pk1P1p1/6P1/8/8 b - -,c4d4
2rqr1k1/p4pbp/1p2p1p1/nQ6/3P1B2/2P2BP1/P4P1P/2R1R1K1 b - -,d8e7
2rr2k1/p1n1qpp1/1p4p1/2ppP3/8/P2RPN1P/1PQ2PP1/3R2K1 b - -,e7d7
3r2k1/2R2pp1/p6p/1b6/8/1P2BP2/P5PP/6K1 w - -,c7c1
r4rk1/pppbq1bp/1P1p1nn1/P2P1pp1/2P1p3/2N1P2P/2QNBPPB/1RR3K1 b - -,a7b6
r1b2rk1/2q1bppp/p2p1n2/npp1P3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 b - -,d6e5
5k1r/p2q1p2/5np1/1p5r/3P1Q2/6P1/PP5P/2R1RNK1 b - -,h5f5
6k1/8/1b1p4/4ppp1/2q1P1p1/5P1K/P5QP/B7 w - -,h3g3
1R6/1P4k1/1r4p1/5p1p/4p2P/4PPP1/6K1/8 b - -,e4f3
8/8/8/5pk1/R4pp1/P1P5/1P1rB3/5K2 w - -,a4b4
R7/1k1r4/bP4p1/2K4p/4p3/8/8/8 w - -,a8a7
2Q2nk1/2p4p/1p1p4/3Pp3/P1P5/1P6/2KN4/6q1 b - -,g1g6
4r3/5pk1/Q4pp1/3N2q1/8/7P/1PB3P1/2b2R1K b - -,g5d5
8/k1p5/1p5P/5Q2/6K1/p7/q7/8 b - -,a2c4
8/1p3p2/p1pk2p1/P1P1n3/1P1r4/1KR3P1/2B5/8 b - -,d6e6
5r1k/1p4p1/3p1q1p/1p2pP2/1Pn1P3/2Q5/6PP/2B2RK1 w - -,c3d3
rrb3k1/3qp2p/1P1p1np1/3P1p2/1Rp5/2B1Q1PP/4PPB1/3R2K1 w - -,b4c4
3rr2k/pp2qppB/2p1b2p/3nN3/3P4/5R2/PPQ2PPP/5RK1 w - -,f3f7
2kr1b1r/ppqb1ppp/2p2n2/3p1PP1/3P4/3BN3/PPPBQ2P/2KR3R b - -,f6e4
2N5/5pkp/p3p1p1/qpQp4/3P4/P3P1P1/1P3PP1/6K1 w - -,c5c3
5r1k/3q3p/1pp1bp1N/p1p1p1r1/4Pp1Q/P1PP3P/1P3PP1/R2R2K1 w - -,d3d4
r1bq1rk1/3nbpp1/3p3p/p1pP3n/Pp2P3/1P1B1N1P/1BQN1PP1/R4RK1 w - -,f1e1
1rb1kb1r/p1Rp1p2/q3p3/1p2Pnp1/4B3/6B1/P1Q2PP1/R3K1N1 w Qk -,a1c1
r1b1k1nr/pp1qppbp/3p2p1/3N4/1B2P3/3P1N2/PP3PPP/2RQK2R w Kkq -,d5c7
r1b1r1k1/pppnqppp/8/4p3/P1P1B3/2P1P3/2Q2PPP/R1B1K2R b KQ -,d7f6
8/Pb1B4/8/2Bpk1p1/4pb1p/5P1P/6P1/3K4 w - -,d7g4
1r1q3k/1r1b2b1/p2p1npp/1npPp1B1/4P3/P1N4P/BPQ1N1P1/KR3R2 w - -,g5h4
r3r1k1/pppq1ppp/4bn2/2b5/PP1P4/5N1P/1B1Q1PP1/R3R1K1 w - -,b4c5
2r2rk1/1p2bppp/pq2bn2/n2p2B1/3N4/P1N3P1/QP2PPBP/3R1RK1 b - -,a5c4
4r1k1/pB1r3p/2PBb1p1/1Q2P1q1/5p2/P1N2PP1/1P6/6RK w - -,c6d7
8/pk4p1/4pp1p/1p1pq2P/8/8/3KNPP1/2R4R b - -,a7a5
r3kn1r/2p1p1bp/p2qpnp1/1p1p2N1/3P1P2/2NQ4/PPPB2PP/R3K2R w KQkq -,e1c1
1br1nrk1/pp1b1p2/3p1qp1/P2P3p/1P2Pp2/1QN2P2/2R2BPP/2R2BK1 b - -,g6g5
3R4/pk6/1p2p2p/1P1Pq1p1/8/5QP1/5PP1/6K1 b - -,b7c7
r1br2k1/p3p1bp/2n2np1/1p1q4/2NP1B2/1Q3N2/PP3PPP/R3R1K1 w - b6,c4d2
q1b3k1/4p1bp/2p2pp1/2PpN3/3P1PP1/rrN4P/3Q1PK1/2R1R3 w - -,e5f3
r1bqk2r/1p3pb1/p1np1npp/P1pNp3/4P3/3P1N1P/BPPB1PP1/R2QK2R b KQkq -,f6d5
8/pp6/3k4/5p2/3K4/5r2/PPP3RP/8 b - -,f3f4
2r3k1/3nbppp/ppq1p3/4P3/2P1N3/PP6/1B2Q1PP/3R2K1 b - -,c8d8
6k1/1b3p2/p2n2p1/1p5p/3B4/P4P1P/1P3KP1/3B4 b - -,f7f5
r1bqr1k1/1p2bpp1/p1n2n1p/3p1P2/3P3B/1QN1P3/P2NB1PP/4RRK1 w - -,g1h1
8/8/5R2/6Bk/1pp4P/6P1/1n2b3/4rNK1 w - -,g5d2
r1bqr3/pppnp1bk/6pp/3P1p2/P1P5/1QN1BPP1/1P4BP/3R1RK1 w - -,f1e1
8/1p3ppk/p5p1/2b2r2/7Q/2P3BP/Pq3PP1/3R2K1 b - -,f5h5
1k3n1r/1bqnr1b1/p1pp2p1/1p2p1Pp/3PP2P/3BB3/PPPQNRN1/2K2R2 w - -,f2f7
8/6pk/R7/8/p4PPK/r6P/8/8 w - -,f4f5
rnbqkb1r/ppp1ppp1/5n1p/3p4/5P2/5NP1/PPPPP2P/RNBQKB1R w KQkq -,f1g2
3r3r/1p2kp1b/p6p/2RP4/P7/8/1P4PP/R1B3K1 b - -,h7e4
2r3k1/4r1pp/4p3/4N1q1/3P4/1Pp1R2P/5PQ1/4R1K1 b - -,g5f4
8/5ppk/p6p/R7/7P/4PPP1/2K5/5b2 w - -,c2c3
8/r7/1R5p/1p4k1/8/1nP3NP/5P2/6K1 b - -,a7a5
5nk1/bp3pp1/p1pr1q1p/P3p2Q/1P2P2P/2P3P1/5PK1/1R2BB2 b - -,f8e6
Br4k1/4p3/1q1p2p1/5p1p/PP3P2/4P1P1/1pQ2K2/3R4 w - -,a8d5
8/5pbk/1n2q1pp/2p2P2/3pP2N/3P3P/1Q1B2P1/6K1 b - -,e6c6
1k6/1pp5/p2r1pQ1/3n3p/7q/8/P2B1RP1/6K1 b - -,h4g4
r1bq1rk1/pp1pnpb1/4p1p1/7P/3BP1p1/2N5/PPPQ1P2/2KR1B1R b - -,g7d4
3r4/2q1b1kp/p1npprp1/Pp2p3/4P3/1NP1N2Q/1P1R1PPP/R6K b - -,g7g8
r2qr1k1/pppn1ppp/2b1pn2/8/3P4/1P1B1NP1/PBP2PP1/R2QR1K1 b - -,c6f3
r2r1qk1/pbR2pb1/1p2p1pp/4P3/3P4/3nBNQ1/P4PPP/3R2K1 w - -,c7b7
1n4k1/1p3r2/3p1n1b/3Ppbq1/1P4p1/2N5/4BPPB/1N1Q1RK1 w - -,f2f4
3r2k1/4bppp/1pR2n2/3rN3/1qBB4/8/P3Q1PP/5RK1 b - -,d5d4
1r1q1rk1/3bppbp/p2p2p1/2pP4/3nPP1N/2NQn1PP/P4RB1/2R1B1K1 b - -,e3g2
r3q2k/1b1n1r2/pppbN2B/8/P1PP2Q1/8/1P3PPP/R4RK1 b - -,d6f8
r1b3nr/3q1kpp/pRp1pp2/2Bp4/4P3/2P3Q1/P1P1BPPP/5RK1 w - -,f1b1
r1b1r1k1/1pq1b2p/p3ppp1/n3n3/3NNB2/3B4/1PP1Q1PP/R4R1K b - -,c7d8
rq3bk1/p4pp1/1pbNp2p/4P3/2P5/1PBQ4/P4PPP/3R2K1 w - -,d3g3
rnbqkb1r/pp4pp/2p2n2/3p1p2/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq d3,f8d6
1R6/6pk/1P3p2/7P/5PP1/2r5/5K2/8 b - -,c3b3
r1b2rk1/ppq2pbp/4p1p1/4nn2/2B1N3/2P2N2/PP2QPPP/R1BR2K1 w - -,c4b3
r1b2rk1/1pqnbppp/p1npp3/8/3NPPP1/2N1B2P/PPP1Q1B1/2KR3R b - f3,c6d4
5k2/1r3p2/3R1pp1/7p/1r2PP2/4K1P1/1R5P/8 w - -,b2b4
4r1k1/p1q2pbp/2N1bnp1/1PB1p3/1P1pP3/2rB4/P2Q1PPP/R1R3K1 b - -,c3c1
4rrk1/1b1qbppp/p2ppn2/Np3P2/4P3/2NP4/PP1BQ1PP/2R2R1K w - -,a5b7
r1r3k1/3nqpb1/1p1p2pp/p1pPp3/P1P1P3/2N2NP1/1PQ2P1P/R3R1K1 w - a6,c3b5
6k1/p4p2/2p3p1/4b1B1/2p4p/2Pb1N1P/PP4P1/6K1 b - -,e5d6
5r2/4k3/2R1b1pp/PpNp4/1P5P/6P1/3K1P2/8 b - -,f8f2
r4rk1/pb1n1pp1/1p2p2p/1Bpn4/3P4/P3PP2/1P3BPP/R3K1NR b KQ -,f8d8
6kn/8/4P1p1/3p3P/3Bp1p1/6P1/5P2/6K1 b - -,e4e3
3q1rk1/5pbp/p1pp1np1/8/2PNP1b1/5P2/Pr2N2P/R2QKB1R w KQ -,d4c6
