6r1/3P4/2B4p/2p4P/2P2P2/P1k5/K7/8 b - -,c3c4
rnbqr1k1/pp3pbn/3p2p1/2pP4/4P2p/2N4P/PP2BPPN/R1BQK2R w KQ -,e1g1
rnbqkbnr/pp2pp1p/3p2p1/8/2PpP3/8/PP2NPPP/RNBQKB1R w KQkq -,e2d4
R7/8/8/5pk1/7p/2r2K2/8/8 w - -,f3g2
r1b2rk1/pp3ppp/2q3n1/8/3P4/1BPQ2NP/PP3P2/R3K2R b KQ -,g6f4
8/4b3/4Pk2/6p1/2P1R1Pp/5K1P/8/8 b - -,e7c5
1r6/5k2/pr3p2/2nP3N/2R4P/2N3P1/1P3P2/6K1 b - -,c5d3
1q1r2k1/1br1bppp/pp1Np3/2nnP3/3N4/3B3P/PP2QPPB/R2R2K1 b - -,c5d3
rn2kb1r/pp2pppp/2p5/3q4/P1pPb3/B1P2NP1/4PPBP/R2QK2R w KQkq -,e1g1
r1bqk2r/ppp1p1bp/2np1np1/5p2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,f1c4
r1bqk2r/bpp2ppp/p1np1n2/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,c1e3:f1e1:b1d2:h2h3
r4rk1/1pp1qppp/pbnpbn2/4p3/PPB1P3/1QPP1N2/1B1N1PPP/R4RK1 b - -,f6h5
3r1rk1/1bR2p1p/p2qp1pQ/3Pp3/4P3/6NP/PP3PP1/2R3K1 b - -,d8d7
2rqbrk1/2n2pbp/pp1p1np1/2pP2B1/P3PQ2/2NB1N1P/1P3PP1/3R1RK1 w - -,f4h4
4r3/1p6/p1p5/P5k1/1P2Pp2/2P2B1p/4K2n/1R6 w - -,b1g1
6k1/5pbp/p3p1p1/1p1n4/1PrP1P2/P1pR2PP/5B2/2R3K1 b - -,g8f8
r3kb1r/p4pp1/2p1P2p/1bqn4/1p3p1N/1B6/PPP4P/1NKRQ1R1 b kq -,e8c8
6k1/6p1/3p1p2/p2P4/4PpK1/8/r1rN2R1/3R4 b - -,a5a4
4r1k1/p5pp/2p3r1/3np3/4N3/bP6/P2B1PPP/3RR1K1 w - -,d2c3
8/p6p/1r2k1p1/4p3/3n4/P1p1N1P1/7P/5RK1 w - -,e3c4
rnb1k2r/ppp1qp2/1b1p1n1p/3Pp1p1/2B1P3/2P2N1P/PP3PP1/R1BQRNK1 b kq -,g5g4
8/1B6/1p1q1kpp/p1b1pp2/8/1PP2PP1/1P2Q1KP/8 w - -,b7a8
q4r2/rppb2bk/3pn1pp/1P2pp2/1NP5/1N1P2P1/3QPPBP/R4RK1 b - -,e5e4
q4b2/p6k/1p2p1p1/2p3B1/2Pn2p1/2NQ4/PP5P/5RK1 w - -,f1f7
r1bqk2r/1p1p1ppp/p1n2n2/4P3/1b1NP3/2NBB3/PPP3PP/R2QK2R b KQkq -,c6e5
r1q1r1k1/pp2bppp/2pp1n2/2P1p3/3P4/1PN1PBPb/PB3P1P/R2QR1K1 w - -,d4d5
8/8/2BK4/p1p5/P1rb2k1/8/5p2/5R2 b - -,g4f4
8/6p1/7p/p1n2k2/PpB1pP2/1P2P2P/5KP1/8 w - -,f2g3
2r5/1b5p/p3k1p1/R2p2P1/3K1P2/2PB4/1P6/8 w - -,a5a1
rnbqkb1r/ppp2ppp/4p3/3p4/3PnB2/2P5/PP2PPPP/RN1QKBNR w KQkq -,b1d2
4k3/7p/2NQ2p1/pK3q2/P4P1P/5n2/8/8 w - -,b5b6
r1b2rk1/ppbnqppp/2p1p3/2P5/3PB3/5N2/PPQ2PPP/R1B2RK1 b - -,f7f5:h7h6
r3qrk1/pb2bppp/1p2pn2/2p5/2PP4/1P1B1N2/P3QPPP/R1BR2K1 w - c6,d4c5
k2r4/1pp2ppp/p1b5/6PP/1P3q2/P1Q2BR1/3r1P2/2R2K2 w - -,c3e3
8/3k1p2/3p1b1p/3P2p1/1P6/1R2P1PP/r4PK1/8 b - -,a2d2
2Q2r1k/p2Q2pp/1p6/8/7P/8/P3nqPK/8 b - -,f2f4
5rk1/p4ppp/1p2pn2/1q3r2/8/PQ2B1P1/P3PP1P/2RR2K1 w - -,d1d3
3r3r/ppp1qk1p/2n1b1p1/8/3pP3/5N2/PPQ2PPP/R1B2RK1 b - -,h7h6
r1b2rk1/2p1q1pp/1n6/p1ppP3/P7/1NP3B1/1P3PPP/R2QK2R w KQ -,e1g1
r2q1rk1/1b4pp/p7/1p2n3/1P5b/P3B3/2NQ2PP/2RK1B1R w - -,c2d4
2kr4/1bp5/p2p1qp1/1p3N2/3N4/4QP2/PPP5/1K1R4 b - -,g6f5
8/p4bp1/1p1k1p1p/1Pp1pP1P/P1PnP1P1/2K5/2R5/8 w - -,c2f2
2b2r2/2r2pkp/p1p1pNp1/1p2P3/1P6/7R/P1P3PP/2KR4 b - -,h7h6
2r2rk1/1p3pp1/pqn1bn1p/4p3/3pP3/1N1N1P2/PPPQB1PP/R4R1K b - -,c8c7
r1bq1rk1/ppp2ppp/2np4/2n5/2P1P3/2N1NP2/PP2B1PP/R2QK2R w KQ -,e1g1
r3kb1r/pp2nppp/2b1p3/3qP3/P2p4/5NP1/1PP1QPBP/R1B1K2R b KQkq a3,a8d8
1b1r3k/4qpp1/3pr2p/8/4N1P1/1P1Q1P1P/P7/2R2RK1 w - -,e4c3
r3kbnr/1pp1q1pp/p1p2p2/4p3/3PP1b1/2P1BN2/PP3PPP/RN1Q1RK1 b kq -,e5d4
rnbqkb1r/pp1ppp1p/5np1/2p5/8/3P2P1/PPP1PPBP/RNBQK1NR w KQkq -,e2e4
2rr2k1/1p3p1p/p1pqnbp1/2Np4/PP1P4/2NQP3/5PPP/1RR3K1 b - -,c8c7
8/p4pkp/P5p1/8/8/6P1/4K2P/3r4 w - -,e2d1
1k4Q1/p1p1p3/1p2p3/5r2/7p/P1N4P/1Pq3PK/6R1 b - -,b8b7
8/6p1/4Kpkn/3R4/6PP/8/8/8 w - -,d5d4
6r1/2p3r1/3p1k2/pPpPn1pp/P3Pp1P/5P2/1P2BKR1/6R1 w - -,h4g5
2bR4/2r2p1p/4pk2/p1P1b3/P7/5BP1/1PR2P1P/6K1 w - -,f3e4
8/1p1b4/1ppq2k1/4npp1/P2Np3/1P2P1P1/1QP1BPK1/8 w - -,b2c3
r3k2r/ppqnbppp/2p1pn2/8/3P3B/P1NQ1N1P/1PP2PP1/R3K2R b KQkq -,h7h6
6k1/1R3pp1/2p5/7p/3r1P1K/r5PP/6B1/8 b - -,c6c5
3r3r/1pN1kppp/p4n2/4p3/3nB1b1/4B3/PPP2PPP/2R1K2R w K -,e3g5
r1bqk2r/4npb1/p1n4p/1p1p2pP/2p5/NBPPBN2/PP2QPP1/R4RK1 w kq -,d3c4
2q1rrk1/p1p2pbp/bn1p2p1/2P1P3/4QP2/1P6/PB1N2PP/2KR1B1R b - -,a6f1
8/p1r2pk1/1b4p1/1P1R4/2P1n1P1/2K5/4N3/8 w - -,c3b4
rqnr2k1/1p1bbppp/4pn2/pP6/P2P4/1QN1BB2/4NPPP/R4R1K b - -,c8b6
8/2p2pp1/3pk2p/R7/2P5/2r2PKP/6P1/8 w - -,a5a4
r2qkbnr/ppp2ppp/2n1p3/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f7f6:f8e7
3r1r2/1qnbppbk/p2p2p1/2pP2Pp/P1B1PP2/1PNQBR1P/7K/5R2 w - -,f4f5
r6r/1p2kpp1/p3bn2/2RPp1p1/8/4NP2/PP4PP/4KB1R b K -,e7d6
7r/2k2p2/ppb1p1p1/4P3/PqPp1PPP/3P2K1/3Q3R/3B4 b - -,b4a3
2r1r3/4P1k1/3R1pp1/p6p/2p3qP/1PQ3P1/P3RP2/6K1 b - -,g4f5
q1r2k1r/1b1nbp2/pp2pnp1/4P2p/2PN4/2N2BPP/PP2QB2/2R1R1K1 b - -,f6g8
4k3/5p2/3r1bpp/1PR5/5P2/2p2K2/2N4P/8 w - -,f3e4
6k1/5p1p/1p4p1/3pPp2/1P2bP2/2P5/r3NKPP/3R4 b - -,e4g2
r4rk1/pp1qppbp/1np2np1/8/3PP3/2N1BN2/PP2QPPP/3R1RK1 w - -,f3e5
rnb1k1nr/pppq2pp/4p3/3pPp1Q/1b1P4/2N5/PPP2PPP/R1B1KBNR b KQkq -,g7g6
r3k2r/pbnqbp1p/1p1p2p1/2pP2Bn/4Q2N/2N3P1/PP2PPBP/R4RK1 b kq -,f7f5
1r1r4/pb1nQpk1/1p2pp1p/2p4q/3PP3/2PB1N2/P4PPP/R3R1K1 w - -,e1e3
rn2k2r/pbq2ppp/2p1pn2/1p4B1/2pPP3/2P2N2/P1Q1BPPP/1R3RK1 w kq -,e4e5
8/p5k1/bp2pp2/2ppbn2/6P1/2PPB3/PPNK1PB1/8 b - -,f5h4
r1b2rk1/pp2bpp1/2nq1n1p/2p5/N1Pp4/1P2PNP1/PB4BP/R2Q1RK1 w - -,e3d4
2rqkb1r/pp2pppp/2n2n2/3p1b2/NP1P1B2/P4N2/4PPPP/R2QKB1R b KQk -,e7e6
r1b1k2r/ppq1bpp1/2p2nnp/3PN3/P2Pp1P1/2N1B2P/1PPQBP2/R3K1R1 b Qkq -,f6d5
r6r/p2n1kp1/2pq4/2pPp3/8/1PN1BPb1/P3P2P/R1RQ3K w - -,c3e4
8/7p/p3k3/1p3pp1/1P1Bn1P1/P3P3/R5KP/3r4 w - -,a3a4
2kr4/1p1q1ppr/1n1b1n1P/p7/4N3/PB3Q2/1PPB1P2/2K1R1R1 b - -,f6e4
8/7b/8/4k1KP/5pB1/5P2/8/8 b - -,h7d3
r1b1k2r/pp1n2pp/2n1pq2/3p4/3P4/3B1N2/PP1QNPPP/R3K2R b KQkq -,e8g8
5rk1/3n1pbp/q1r1p1p1/pNp5/Pn1P1PP1/5N1R/1B2Q2P/R5K1 b - -,a6b6
r1b2rk1/1pq1bppp/p1nppn2/8/2PNP3/P1N1B3/1P2BPPP/2RQK2R w K -,e1g1
8/PR6/5k2/7p/5P1P/r5K1/8/8 w - -,g3f2
8/2r5/1p1k1p2/pP3p1p/P1PP1P1P/6P1/4BK2/8 w - -,f2e3
8/R1p4p/PrBk2p1/2nP4/8/6PP/5K2/8 w - -,a7c7
4rrk1/ppq1n3/2p2n1p/3p1pp1/2PP4/1B2P3/PP1NQ1PP/R4RK1 w - -,e2d3
r5r1/5bqk/1p1ppp2/p1n1b1pp/2PNP3/PP2BPP1/2RQ3P/1R3B1K w - -,b3b4
2b5/2K5/p3k3/Pp3p1p/1Pp2Pp1/6P1/7P/2B5 b - -,c8d7
r4rk1/pp3pb1/1n1ppPp1/4n1B1/2p1P3/P1NP4/BPP3PP/R4RK1 b - -,g7h8
1br3k1/p4p2/2N3pp/1Prp4/4BP1q/1Q2P2P/6P1/R3R1K1 b - -,d5e4
r3qrk1/2pb3p/3b4/3p1pp1/Pp1PpP2/1P2P3/1BQN2PP/R4RK1 b - -,d7c8
8/pp3b1p/1npk4/4p1p1/4Pp2/PPPB1P1P/3N2P1/3K4 w - -,d1c2
2r3k1/p2rp1bp/1p3pp1/n2p4/3P1B1P/2P2NPK/P3PP2/1RR5 b - -,a5c4
2kr3r/4n3/p6p/1pp2p2/2Pp4/P2P1P1P/1N3P2/1R3R1K b - -,h8g8
8/8/6pp/3k1p2/1p3P1P/1P2K1P1/8/8 b - -,d5c5
1r1q1r1k/1p2n1bp/2npb1p1/p1pNpp2/2P5/P1NPP1P1/1P1B1PBP/1R1Q1RK1 w - -,b2b4
8/8/8/p4p2/bk1K1Pp1/6P1/8/1B6 b - -,a4d7
3br1k1/5ppp/q7/8/1Q2pNb1/P3B1P1/5P1P/2R3K1 b - -,g7g5
r2r1k2/p1pqbppB/2p1b3/4B2Q/3P4/2N3PP/PPP4K/R4n2 w - -,a1f1
8/p1pr1bpk/5p1p/2p2P2/2Pq4/1P2r1NR/P4QPP/5R1K b - -,d4e5
rnbqkbnr/pp3ppp/4p3/2p5/4p3/3P2P1/PPP1QP1P/RNB1KBNR w KQkq -,d3e4
8/8/3pk1p1/2p3Pp/2b1Pn1P/1P2RN2/1r6/7K w - -,b3c4
r3k1nr/p1p2ppp/2ppBq2/2b5/4P3/5Q2/PPPN1PPP/R1B1K2R b KQkq -,f7e6
4r1kr/5q1p/p1pPpQRP/1p3p2/8/1P3P2/P1P2P2/2K3R1 b - -,h7g6
1r4k1/5pbp/pn2p1p1/q7/3P1n2/P1p1N2P/2Q1BPP1/2BR2K1 b - -,f4e2
