8/2P5/8/1PK5/8/8/6kp/1R3r2 w - -,c7c8q
2rq2k1/Q3prb1/6pp/2p2b2/2P5/4B1P1/PP2PPBP/R4RK1 b - -,g7b2
8/3nB3/2b4k/2p3p1/2P1p1P1/1K2P3/8/3B4 b - -,h6g6
8/p4p1p/1p3k2/2p3p1/1PP3P1/P3P2P/2K5/8 w - -,b4c5
5bk1/3b1pp1/2p4p/2Pp3n/1p1N1B2/1N3P2/r5PP/5RK1 w - -,f4d2
r5k1/pp3Np1/1np4p/5p2/2b1pN2/P1Q1P1P1/1P4BP/3n2K1 w - -,c3d2
5rk1/1rpnqpnp/1p6/p1bPp1P1/2P1P3/P4Q1B/NPRB4/1KR5 w - -,a2c3
rn1qk2r/1b1nbppp/p2pp3/1p4P1/3NP2P/P1N1B3/1PP2P2/R2QKB1R w KQkq -,f2f4
1k1rr3/pp4Rp/1bp1P3/5nP1/4N3/1R1B4/q1P4P/4Q2K w - -,g7f7
2r3k1/p4rpp/1p3p2/8/8/PB2P1P1/1P3P1P/3R2K1 w - -,d1d7
4r1k1/pp1q1pp1/5n1p/2Pp4/1P4b1/P4pN1/2BQ2PP/4R1K1 b - -,e8e1
8/p4p2/2pbkp2/1p1p3p/1P1Pr2P/P2KNRP1/2P2P2/8 w - -,c2c3
8/1pk5/p4p2/7R/4r3/P5P1/1PP4P/1K6 b - -,e4e2
1rbq1rk1/1p3nbp/p2p2p1/n1pP1p2/P7/1PN1P1PP/1BQN1PB1/R4RK1 w - -,c3e2
1k1r3r/1bq1bpp1/p1npp2p/2n3P1/1p2PP2/1N1BB2Q/PPP1N2P/1KRR4 w - -,g5g6
r1bq1rk1/ppp2ppp/2n5/2b5/4P3/1Q1PnN2/PP1NB1PP/R1B1K2R w KQ -,d2c4
r4rk1/2bbq1pp/n1p1p3/p1Pp1p2/1p1PnP2/3BPNP1/PPQBN1RP/2K3R1 w - -,g3g4
r2qk2r/pp1nbp1p/2p1ppb1/8/2BP3N/8/PPPB1PPP/R2QR1K1 w kq -,d2h6
r2qkb1r/1bpp1ppp/p4n2/1p2p3/4PP2/1PNP4/1PP3PP/R1BQK1NR b KQkq f3,d7d6
r1bb1rk1/ppp2npp/2np4/4pp1q/2P2P2/1PNPP1PP/PB1QN1B1/4RRK1 b - -,h5h6
r4rk1/p3q3/1n1p3p/Q1pP1bp1/2P1p3/p3P1B1/3N1PPP/2R2RK1 w - -,a5a3
