8/7K/1p4p1/8/P1p4P/2k5/8/8 w - -,h7g6
8/kpp2Q2/p2r1p2/3n4/6qp/8/P2B1RP1/6K1 w - -,d2c1
r2r1bk1/pp1n1ppp/2p5/5b2/5P2/1PN1P3/PB3PBP/2R2RK1 b - -,d7c5
r1bqrnk1/pp2ppbp/2p2np1/3p2B1/3P4/2PBPN1P/PP1N1PP1/R2Q1RK1 w - -,f3e5
r3r1k1/2p2p1p/p2q2pQ/1pR5/1n1P1N2/1b6/P4PPP/3R2K1 w - -,a2b3
5rk1/p2bqr1p/np1n1p2/2pPp1p1/2P1P1P1/P1QBNN1P/1P3RK1/5R2 b - -,a6c7
r4rk1/pp2q1pp/2pb1n2/4pb2/8/2NP2P1/PP1BQPBP/R4RK1 w - -,c3e4
2r3k1/1p2ppbp/p2p1np1/3P2Q1/4P3/Pq4PP/1Pr2PB1/1RB1R1K1 w - -,g5e3
r1b1rnk1/2q1bppp/p2p1n2/1p2p3/P2pP3/2P2NN1/1PB2PPP/R1BQR1K1 w - -,c3d4
r2r2k1/p1q1pp1p/1p4p1/2n5/8/Q1P1P3/P3BPPP/R4RK1 w - -,e2f3
3r3r/1pk2pbp/p1np1qp1/8/2QPP3/8/PP1P1PPP/R1B2RK1 w - -,d4d5
7k/2R4p/5p2/8/3p4/4P1P1/r6P/6K1 w - -,e3d4
5r1k/p3q1pp/bp2P3/2bBB3/5p2/7P/PP3PP1/2RQ2K1 w - -,b2b4
1r4k1/3P1p1p/p5p1/8/2Bb1P1B/2n4P/p5PK/5R2 b - -,d4b6
2kr3r/1b1nbpp1/ppq1p2p/2ppP3/P2P1P2/1PP2N2/1B1NQ1PP/R4RK1 b - a3,c8b8
r4b2/4k3/2p3R1/pp1pPPB1/P2P4/2P5/1P3K2/8 b - -,e7e8
6r1/p2k3p/1p2p3/8/3pnB2/P7/2P3PP/5RK1 w - -,f1d1
8/pr1rk2p/R2bp1p1/R1p2p2/5P2/2B1PKP1/P6P/8 b - -,e7d8
8/pp1k1r2/3Pn2R/4P3/1P4P1/1K6/8/8 w - -,b3c3
rn1B2k1/p4pbp/2qPb1p1/4p3/2P5/1R6/PP2B1PP/R2Q2K1 w - -,d8g5
r5k1/P3qp2/6p1/8/1P2Pp2/3P1P1p/1K1Q4/R7 w - -,d3d4
r1b2rk1/1p2bpp1/p3p2p/2pqP3/P2P4/3B1N2/1P3PPP/2RQ1RK1 w - -,d4c5
r1bq1rk1/p2p1ppp/1p2pn2/2n5/2P5/2b2NP1/PPQ1PPBP/R1B2RK1 w - -,c2c3
6k1/p1p5/2nrn2p/2R1p1p1/1P6/2P3P1/P4P1P/4R1K1 w - -,c5c4
8/2p2kpp/2p5/nqP1p3/5P2/P5P1/1B3R1P/4R1K1 w - -,b2e5
8/p3k3/1p1p4/3PbBpp/2KpP3/PP3PP1/8/8 w - -,f5g6
r7/ppp1kp2/7p/4pb2/1PP5/PN1n1B2/2K2PPP/7R w - -,c2c3
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/1B3N2/PPP1QPPP/RNB2RK1 b - -,d8c7:d6d5
r1b1k1nr/pp3p1p/3q2p1/3p4/8/1Nb5/PP2PPPP/R2QKB1R w KQkq -,b2c3
r1bq1bnr/1p2k1p1/5pQ1/pPn1p3/2Pp4/B4N2/P2P1PPP/RN2K2R w KQ -,a3c5
3rq2k/8/p4bp1/5p2/1PP1pB1P/3r3P/4QPBK/1R6 w - -,h2g1:h2h1
2rr3k/p5b1/1p1pq1pp/3N1p2/4p3/1Q4P1/P2BPPBP/3R2K1 w - -,d2e3
5k2/1pR3p1/5p2/1r5P/3Pp3/4P3/5PKP/8 b - -,b5g5
8/2R3p1/p3p1kp/3bP1b1/1P6/P7/r3N1PP/2B1K3 w - -,e2f4
8/6N1/5k1P/2r5/4K3/8/8/8 b - -,c5g5
r2q1rk1/1b1nbppp/p3p3/1pppP3/3N1PP1/2NP3P/PPP3B1/R1BQ1RK1 b - -,c5d4
1r1q1rk1/3b1p1p/p2b2p1/1p1nN3/3P4/P1N2Q2/1P3PPP/R3R1K1 w - -,c3d5
8/r3k3/p2pp1r1/1p2bp1B/4b3/8/PPP3PP/1K1R1R2 w - -,h5g6
1rr1n1k1/pp1qppb1/2np2p1/3N3p/2P5/1PN3Pb/PB2PP1P/1R1QR1KB b - -,h3f5
3r2k1/2q2p1p/1pp1n1p1/p3p3/P1Q1P3/2N4P/1PP2PP1/R5K1 w - -,a1d1
1b3rk1/1b3rnp/p3ppp1/qp6/2PBp1P1/PP2P2Q/4BP1P/2RR1NK1 w - -,c4b5
8/1r4k1/7p/6p1/3P4/P2R4/1P3K1P/8 b - -,b7b2
r1bqk2r/1ppp1ppp/p4nn1/2bPp3/2P1P3/2NB4/PP2NPPP/R1BQK2R w KQkq -,e1g1
1nrr2k1/pq2ppbp/3P1np1/1bp5/Pp2P3/5N1P/1P1BBPP1/1Q1R1RK1 w - -,a4b5
2r2n2/p3q2k/1p3bpp/3p1r2/3PpPQ1/4P2N/PP5P/3RB1RK b - -,c8c4
1qrr2k1/pb1nbppp/1p6/2pp4/4P3/1P3NP1/PB2QPBP/2RR2K1 w - -,e4d5
2b3k1/p2qpr2/1p1pNrp1/3P2Qp/P1P3p1/1P4P1/4RP1P/5RK1 w - h6,f1e1
8/pp2kppp/1br1pn2/8/5B2/1NP5/PP3PPP/3R2K1 w - -,g1f1
3rr1k1/2q3bp/1p1p1pp1/pPpRn3/4P3/1P4PP/PBQ2PB1/3R2K1 b - -,e5f7
5rk1/8/2Rbp1p1/3pNpPp/rp1P3P/P3P3/1P2BP2/6K1 b - -,d6e5
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB1QPPP/R1B1KN1R w KQ -,f1g3
1rbqk2r/2ppbppp/p1n2n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQK2R w KQk -,a4b5
r1bq1rk1/1p1pppbp/1nn3p1/p1p1P3/P7/1BP2N2/1P1PQPPP/RNB2RK1 w - -,d2d4
