5r2/6k1/pp5p/P1b1R2P/6P1/8/1P4K1/8 b - -,f8f2
5rk1/1p1r1pp1/pBnpb2p/4p3/4P3/2P4P/PPBR1PP1/R5K1 b - -,d6d5
8/4k3/6R1/5p2/4p2P/6P1/r4PK1/8 w - -,g6g5
8/r7/2pbNp2/1b1p2p1/1P1P2k1/2P1B3/5PK1/2R5 b - -,a7e7
r1b1kb1r/ppqp1ppp/2n1pn2/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq -,f8b4:a7a6
rrb3k1/4p1bp/3p2p1/qP1Pnp2/2p5/2N3PP/P2BPPB1/1RQR2K1 w - -,a2a4
r3k2r/pbqnbppp/1p1ppn2/2p5/1P2P3/P1PP1N1P/1BQN1PP1/R3KB1R b KQkq -,d6d5
5rk1/q4pb1/7p/p4p2/2Q5/2P5/PP3RPP/4R1K1 b - -,f8d8
r1bqr1k1/pp1n1ppp/2pb1n2/3p4/3P1N2/P1NBPQ1P/1P3PP1/R1B2RK1 b - -,d7f8
r1r3k1/2qn1ppp/b1nbP3/pppp4/5B2/3P1NP1/PPP1QPBP/R3R1K1 w - -,f4d6
8/q4pkp/5p2/p2Q3B/1p1n1P2/1P1Pr1P1/PR3RKP/4r3 w - -,b2d2
n7/1p2p3/3p4/4k1pN/1P2P3/3K4/2P3PP/8 b - -,a8c7
8/5k1p/2Q3p1/8/1P6/q1B3K1/8/8 w - -,c6d7
8/8/p3n3/1b1k2p1/1p1r4/1P2QPK1/P5P1/8 w - -,e3c1
8/2n5/6K1/R7/3k4/8/4r3/8 b - -,e2f2
8/3k1p1p/R2P2n1/2KB1p2/5P2/6P1/7P/3r4 b - -,d1c1
3r3r/4Np2/2pq1P2/k2nR1B1/1bQ5/pR4Pp/PP5P/2K5 b - -,a3b2
br4k1/2qp1pbp/4p1p1/6Q1/1n1pPP2/1B1P1N2/1PPB2PP/5RK1 w - -,d2b4
2k2r2/1pp4p/1n6/p3p3/4N1p1/6P1/PPP3N1/4R1K1 w - -,e4c5
r2r4/5p2/1p3k2/p4P1p/P5p1/2P3P1/1P4PP/3R1RK1 b - -,a8c8
r1bq2k1/1p3p1p/p7/2pPp2p/P7/2N4P/1P1Q1PP1/4R1K1 b - -,f7f6
8/1n2bk1p/4p3/1Pp1Pp2/2N2P2/2B2K1P/4P3/8 w - -,e2e4
4r3/1R3p2/1P4p1/1k1P4/4pK2/8/5PP1/8 b - -,f7f5
r1b2rk1/1p2bp1p/p1p3p1/q3p3/4P3/2N1BQ2/PPP2PPP/R3R1K1 w - -,a2a3
1rr3k1/7p/p7/3P1p2/1pN1p3/8/5PPP/3R1RK1 w - -,c4a5
r2qbrk1/ppn1bppp/8/2p1N3/8/2NPB1P1/PP2PP1P/R2Q1RK1 b - -,c7d5
r1r3k1/5p1p/b4Qp1/2Rp4/P2P4/1q2P1P1/5PBP/R5K1 b - -,c8c5
3r4/pbqr4/1pn1Q1Pk/2pp3p/2P5/PP1PP1P1/1b1N2BP/3R1RK1 b - -,d7e7
rnb1k2r/ppq2pbp/1np1p1p1/3PP1B1/3P4/P1N2N2/1P3PPP/2RQKB1R b Kkq -,e6d5
3rr3/1q4kp/pp1pp3/2n1np1P/P1PN4/1PN2PP1/3Q2K1/1R1R4 w - -,b3b4
4r1k1/6p1/R1p4p/p2p4/2nP1B2/8/6PK/8 b - -,e8e4
r1br2k1/pp2qppp/2n5/2pP4/8/2P2N2/P3BPPP/R2QK2R w KQ -,e1g1
r1bqk2r/4bppp/p3pn2/4p3/1pP1P3/3P4/1P2BPPP/RNBQR1K1 w kq -,c1e3
8/6k1/8/3N4/4P1p1/5nKp/P2b4/1R6 b - -,d2e1
r3k2r/pp2bppp/1q2p3/3pBb2/3P4/2P4P/PP1QBPP1/R3K2R b KQkq -,e8g8
8/3B4/8/5npp/5k2/8/7K/8 w - -,d7c8
r2q1rk1/1b1nppbp/p5p1/1p2P1N1/3Pp3/4B1NP/PP1Q1PP1/R4RK1 b - -,d7b6
r1b1qrk1/p3p1b1/n1pp1n1p/5pp1/2PBP3/2N2NP1/PP3PBP/R2QR1K1 b - e3,e7e5
6k1/pR6/6p1/8/P1p5/2P5/KP6/7r b - -,h1h7
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 b kq -,b8d7
q3r1k1/1b3r1p/p2B1b1P/6p1/N4p2/1Q6/1PPR4/2K2R2 w - -,a4b6
r1r3k1/1p2bpp1/3p1n1p/8/p1q1P3/2P2n1P/RP3BP1/2NQR2K w - -,d1f3
6k1/4rp1p/1pR5/7p/8/P6P/1P4PK/8 w - -,c6b6
r2qk2r/pp2bppp/2n1bn2/6B1/3pN3/5NP1/PP2PPBP/R2Q1RK1 w kq -,g5f6
2r5/5pkP/6p1/p1rpP3/1Pp2P2/4P3/1PR2K2/7R b - -,a5b4
rnbq1rk1/p3ppbp/2p3p1/4Bn2/3P4/2N2N2/PP2BPPP/2RQK2R b K -,g7h6
r4rk1/pp2bppp/2b1Q3/5n2/8/P2P1NP1/1P2NPnP/R1B2K1R b - -,f7e6
5rk1/R2nqpp1/2p1pn1p/2PpN3/3P4/2NQP3/5PPP/6K1 b - -,f8c8
1q2r3/p2n1p1k/3r2pp/3N3b/2BQ1P2/P3P1R1/1PKR4/8 w - -,b2b3
rn3rk1/pp1bpp1p/1Q1p2p1/3P4/6nN/2N3P1/PP2PPBP/R4RK1 b - -,a7b6
2k5/KRr5/P7/8/8/8/8/8 w - -,a7b6
4rqk1/pp1b1p1p/2pp1npb/5P2/1PPP4/P1NB1N2/4R1PP/4Q1K1 w - -,e2e8
q1r1r1k1/1b1n1pb1/2N3p1/1PpP3p/P1N1p3/1Q5P/4B1P1/R3R2K w - -,a1c1
8/5p2/R6P/3k1K1r/8/8/8/8 w - -,f5g4
2Rr2k1/1p1rqpp1/p6p/3pn3/4nQ2/P3PN1P/1P2BPP1/2R3K1 b - -,e5f3
7r/p2r2k1/4bp2/1pp1q1p1/2PpP3/PP1P1K1P/3Q1RB1/7R b - -,b5c4
4Q3/2R3p1/4pqk1/p2r1p2/8/P5P1/1P3PKP/8 b - -,g6h7
r1b1r1k1/pp3pp1/2q4p/8/1P5P/P7/2Q1PPP1/3RKB1R w K -,c2c6
rnbqk2r/pp2ppbp/6p1/2pp4/2PP1B2/2P2N2/P3PPPP/R2QKB1R w KQkq c6,c4d5:e2e3
4r3/p5kp/3pqR2/2p1n1PQ/1p2P3/1P1PB3/2r5/5R1K b - -,e6e7
8/6kp/3Q4/6p1/4P1P1/4KP2/2q5/8 b - -,c2c3
5r1k/ppp5/3p4/4b3/1PP1N1q1/3PQp2/P4P2/1R4K1 w - -,g1f1
rnb1nrk1/1p2qppp/3p4/p1pPp3/2P1PP2/2N3P1/PP1QN1BP/R4RK1 b - f3,f7f6
1q4k1/3Q1Np1/pb5p/1p5P/4P3/PP3P2/1P3P2/5K2 b - -,b6d4
rnb1k2r/ppp1qppp/3p1n2/3Pp3/2P1P3/5NP1/PP1N1PBP/R2Q1RK1 b kq -,e8g8:a7a5
r3rbk1/1p1bqppp/2n2n2/p3p3/2Pp4/PP1N1PP1/1B1NP1BP/R3QRK1 w - -,e2e4
7r/pkb2pp1/4pnb1/7p/2PN4/6P1/PP1RKP1P/R7 b - -,h5h4
r2qr1k1/1p1b1pbp/p3p1p1/n2p3P/3PPB2/2PB1N2/P1Q2PP1/R3R1K1 b - -,d5e4
r1br2k1/p2nqpp1/1ppbpn1p/3p4/2PP4/1PNBPN2/PBQ2PPP/3R1RK1 w - -,e3e4
4rbk1/p2n4/2p1bnpp/1p2p3/4P1P1/PP3B2/2P1N1KP/2BR1N2 w - -,f1e3
r3k2r/pp6/3qb1Q1/3p4/8/6P1/PP4P1/1K1RR3 b kq -,e8d7
8/8/7p/p1r1k3/1p1p1N2/3Bn1PP/PKP5/8 b - -,c5c3
r1bq1rk1/p1b3p1/2p1p2p/2pnPp2/2Np1P2/3P2N1/PPPBQ1PP/R4RK1 w - -,g3h1
7r/6pp/p1kb1n2/1pnp4/2pB4/8/PPB2PPP/3RR1K1 w - -,e1e2
2B5/3R3p/8/2p1p3/2P1nk2/1r6/8/5K2 b - -,h7h5
8/8/p1PN2pk/8/1P2P2p/1bQ4P/q5P1/6K1 b - -,a2b1
r1bq1rk1/ppp2ppp/2n2b2/3np3/8/1B1P1N1P/PPP2PP1/RNBQR1K1 b - -,f8e8
3r4/p2k1p2/2p1p3/4P3/5P2/P1p1Q3/2P4q/1K4R1 w - -,e3a7
r3r1k1/b1qb1pp1/p2p1nnB/1p1Pp3/P1p1P3/2P2NNP/1PBQ1PP1/R3R1K1 b - -,g7h6
rn4k1/q1nb1r1p/1p2p1p1/p2p2B1/3P4/PPN3PP/5P2/R2QRBK1 w - -,c3e2
5r2/p5kp/3p2rN/P1p2nP1/1p2qPQ1/6RP/1P1B3K/5R2 w - -,h6f5
r3r1k1/1b1nqpp1/ppp4p/3p4/1P1Pn3/2NBPN2/PQ3PPP/2RR2K1 b - -,e8c8
3r2k1/5pp1/p3q1p1/1p2P3/1Pp4P/2Q1R1P1/1P3P2/6K1 w - -,c3c2
r1r3k1/6p1/4pn2/1qPp1p1p/pP1P1P2/P3PQ1P/6P1/2RR2K1 w - -,g1h2
r4r2/ppqn1pkp/2npp1p1/2p5/P3PP2/1P1PN3/2PN2PP/R3QRK1 b - -,d7f6
r1bqk2r/pp1pbpp1/2n1pn1p/2p3B1/2P5/2NP1NP1/PP2PP1P/R2QKB1R w KQkq -,g5d2
3nr3/2p1rk2/2p2p2/p1Rp1Bpp/5P2/PP4PP/2PR1K2/8 b - -,g5f4
6k1/2rn1p1p/q2np1p1/2p5/p1P1N3/B1bPPQP1/P5BP/1R4K1 b - -,d7e5
r2q1rk1/pb1n2pp/3bpn2/1Ppp4/8/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,a2a4
r1bqk2r/1p1pppbp/p1n2np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,e8g8
3R1k2/8/6p1/3PP3/2pK3p/8/1P4r1/8 b - -,f8g7
6k1/7p/b1pR2pb/8/4P3/1P3r2/P3N3/4R1K1 w - -,d6c6
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQ -,d5c4:b7b6:h7h6:a7a6:c7c6
5bk1/p1p2pp1/3rq2p/1p1rp2P/8/2P2PR1/PPP1Q3/1KB3R1 w - -,a2a3
3r4/6kp/3p2p1/2p1b1q1/1pP1Pr2/pP1Q3P/P5P1/1B2RRK1 w - -,g1h1
r1bq2k1/pppp1ppp/2n2n2/8/4r3/2B3Q1/PPP2PPP/2KR1BNR b - -,d7d6
r1q4r/pp2nk2/2n3p1/3N1b1p/3P4/7P/PPP1QPB1/R1B1K2R b KQ -,h8e8
r4rk1/ppqb2b1/4p1pp/1P1pp3/P7/2P1QN2/3N1PPP/R3R1K1 w - -,f3e5
4r3/3R4/4rbk1/5p2/P4P1p/2P1p2P/1P4P1/3Q3K w - -,d1e2
2r3k1/p2b3p/4n1p1/2Np1p2/3P1Pn1/4PN2/P4PBP/1R4K1 b - -,e6c5
r2q1rk1/2pb1pp1/p1pp3p/6n1/3bPP2/1PNQ4/PBP3PP/3RR1K1 w - -,d3d4
r3k3/1p1bnp2/pq2p2p/3pP3/5P2/2P3rN/PP3QP1/R2K1B1R b q -,g3e3
r4rk1/1p2bppp/1qp1pn2/p3N2b/2PpP3/1P4P1/PBQ1PPBP/R4RK1 w - -,e5d3
r1b2rk1/p3qpb1/3p3p/1Pp5/8/4PN1P/PPB3P1/R2Q1RK1 b - -,c5c4
8/1p3k2/1P3b1p/2Pp1bp1/r2P4/4BNKP/3R1P2/8 b - -,f5d7
6k1/1p4pp/5p2/3Kpq2/1PPB4/5P2/3Q2PP/8 b - -,e5d4
1r6/2p1rp2/p1nk1Rpp/1p1p4/3P2P1/1BP4P/PP3P2/R4K2 b - -,e7e6
2r1q1k1/p4pPp/1p6/1Nb1rQ2/3p1R2/1P6/1PP3PP/R6K w - -,f5d3
8/5p2/4p1k1/1r2Pbp1/6Np/R6P/6P1/6K1 w - -,a3e3
r3r1k1/4q1pp/3pbp2/ppp1n2Q/4PR2/1P1PN1R1/PBP3PP/6K1 b - -,e7f7
r1r3k1/5pbp/1n1qp1p1/1p2N3/1P1p1P2/3P4/1RPBQ1PP/R5K1 w - -,a1a5
5r2/8/R7/2p3pp/K1k1P3/P5P1/8/8 b - -,f8h8
2r3k1/p1qb1pp1/2p3np/2Qp4/PP1N4/3NR3/2P2PPP/6K1 w - -,c2c3
r1rq4/1p2ppbk/3p2p1/p1nPP2p/2R2P2/1P2B3/P2QB1PP/2R3K1 b - -,b7b6
r5k1/5pp1/p1R4p/1p6/1P2r3/4P1P1/5P1P/1R4K1 b - -,g7g6
3r4/k6p/1b6/1R3p2/5P2/p4BP1/P2R2K1/8 b - -,d8d2
r1b1k2r/1p2bppp/1qn2n2/p2p4/3P4/P2B1N2/1P1N1PPP/R1BQ1RK1 w kq -,d1b3
r1r3k1/1q1nbpp1/4p2p/pp1bB3/2pPB3/P1P2N1P/1P2QPP1/R3R1K1 b - -,d5e4
1r3k1q/p3r1b1/3p1nB1/1ppPp1B1/2P5/P5RP/4QP2/1R3K2 w - -,h3h4
rnbqk1nr/ppp1ppbp/6p1/8/1PPp4/5NP1/P2PPP1P/RNBQKB1R w KQkq -,c1b2
r4rk1/1ppnq1pn/1b1p1pbp/3PpP2/1PP1P3/2N3PP/4N1BK/1RBQ1R2 b - -,g6f7
8/8/8/8/5Pk1/8/3R1K2/Q7 b - -,g4h5
5k2/4r1pn/1pp5/p3p1p1/P1B1P2P/1P2P3/6K1/3N4 w - -,h4g5
8/p6p/6pk/2R1Kp2/1rP4P/p7/8/8 w - -,c5a5
8/5p2/6k1/8/4r2p/8/6P1/5R1K w - -,h1h2
r2qkb1r/1p2pppp/p1n2n2/3p4/3P1Bb1/2NBP3/PP2NPPP/R2QK2R b KQkq -,a8c8:g4e2:e7e6
1rbq1rk1/1p2bppp/p1nppn2/8/P3P3/1NN3P1/1PP2PBP/R1BQ1RK1 w - -,a4a5
6k1/1ppr1ppp/8/1bN1p3/rp6/4P1P1/1R3P1P/5RK1 w - -,f1c1
r1b2rk1/pp3ppp/1bnq4/3p1n2/8/1NPB1N2/PP3PPP/R1BQR1K1 w - -,d3f5
r3kr2/pp1bbpQ1/4p2p/n3P2P/3PBB2/2q3P1/P4P2/1R3RK1 w q -,f4h6
2R3k1/p4p1p/6p1/1p6/8/5P2/PP1r2PP/5K2 b - -,g8g7
r1bqkbnr/1p3ppp/p1npp3/2p5/4PP2/1P3N2/PBPPQ1PP/RN2KB1R b KQkq -,g8f6
r4k1r/p2n1pb1/4p1p1/1q1p2Q1/2pP4/2P2BB1/5PPP/4RRK1 w - -,h2h4
4r1k1/p4p2/1p5p/1Pp4P/2Pp1b2/2n3P1/PQ4Bq/R4K2 b - -,f4e3
r1bq1r1k/pp4pp/1bn1pp2/8/1PB5/P1Q1PN2/1B3PPP/R4RK1 b - -,d8e7
8/1R6/8/4r3/P5k1/2K5/8/8 b - -,g4f5
r1bqr1k1/pp3pp1/1n3n1p/3p4/P2Pp3/2P2PP1/4PNBP/R1BQ1RK1 b - a3,c8f5
8/5pk1/5qpp/4Q3/1P3P1P/3r4/1P2RPK1/8 b - -,d3d4
r2q1rk1/ppp2ppp/2nbpn2/3p1b2/2PP4/4PNB1/PP1NBPPP/R2QK2R b KQ -,d5c4
r3k2r/1p4pp/2pp1p2/p2b4/P6P/1P2PP2/1BPP1K2/R6R b kq h3,e8f7
8/1p1rpkb1/4R1p1/pPrP1p2/7B/5B2/P4PP1/6K1 w - -,e6e2
1r3rk1/pbq2n1p/1p1p2p1/2pPp3/P1P5/4N1P1/1P1Q1PBP/R3R1K1 w - -,e1f1
2r1qrk1/1p1nb1p1/p1p1p1bP/P2nPp2/3P1P2/1N3Q2/1P2BB1P/R3NRK1 b - -,g7h6
5Q2/8/1p4P1/8/1k6/1r6/p4K2/8 b - -,b4c3
3r2k1/1p2ppbp/b4np1/3P4/8/1PB3PP/1Q3PB1/6K1 b - -,g8f8
7r/p5p1/3k4/3p1rpp/1PP1P3/8/P5KP/R2R4 b - -,f5e5
6k1/1b1q2r1/4pQ2/4P1p1/2Pp4/1P5R/2B3PK/8 w - -,f6h6
8/8/8/5r2/1PK5/8/P3Rk2/8 b - -,f2e2
r3k2r/pp1n1ppp/2pbpn2/q7/3P4/2NBBQ1P/PPP2PP1/1K1R3R w kq -,e3d2
8/r4p2/p1N1b3/2p1P3/2P3k1/4K3/P1R5/8 b - -,a7d7
8/7R/pr2k1pb/2p5/2P1p1N1/1P6/4KPPP/8 b - -,h6g5
r2qkb1r/pp1n1ppp/2p1p3/3n4/2BP4/5Q1P/PPP2PP1/RNB1R1K1 b kq -,f8e7
1rbq1rk1/2p2pp1/3p2np/4p3/1p2P3/1B1PPNQ1/1PP3PP/R4RK1 b - -,g8h7
5B2/p1R3p1/5p1p/1bPp1k2/3P4/r6P/5PPK/8 w - -,f8g7
8/1p2rpk1/p3q1p1/7p/1P5P/1Q1R2P1/5P2/6K1 w - -,b3b2
2k1r2r/p1p2p1p/3p4/1b1P3R/3bP3/3NNP2/PP1K2P1/R7 w - -,a1h1
8/5B1p/1p6/nPk4P/5P2/5K2/8/8 w - -,f7e8
r2qr1k1/3n1ppp/4pn2/p2p4/1p1P1Q2/5NP1/PPb1PPBP/R1R1B1K1 b - -,a8c8
r1bq1rk1/1ppn1ppp/3p1n2/p1b5/2P5/2N3P1/PPN1PPBP/R1BQ1RK1 b - -,f8e8
r2rbk2/p4p2/2p4Q/1pP2p2/3P1R2/8/PP1q1P1P/5RK1 b - -,f8e7
r1br2k1/4qppp/p3p3/1p2P3/4pP2/1B6/PPP3PP/R2Q1R1K w - -,d1e2
3Rr3/1p3pkp/p1p1qnp1/8/4P3/P1N2Q1P/1PP2PP1/4R1K1 b - -,e8d8
3r1bk1/1p1b1ppp/3P2n1/pN6/P4n2/1B3P2/1PP1rBPP/R2R2K1 w - -,b5c3
4r3/1p3k1p/p2p1np1/P1pP4/3q2P1/1PNQ3P/3R1PK1/8 b - -,d4f4:d4b4
1r4k1/2q3p1/2p1pb2/1rPpNn1R/3PpP2/2B1P2P/6Q1/6RK w - -,g2g6
8/1p1r1kp1/1K5p/3n4/8/2P2NPP/1P6/4R3 w - -,b6c5
r1b1r2k/pp2b2p/1qn3pB/3pp1N1/7Q/3B4/PP3PP1/R3R1K1 b - -,e5e4
r4rk1/pp2q1bp/4b3/2p2pp1/2P2Pn1/1Q2P1B1/P2NB1PP/2R2RK1 w - -,d2f3
r1b2rk1/pp2ppbp/2n3p1/q7/2BP4/2N2N2/PP1Q1PPP/R3K2R w KQ -,e1g1
2r2nk1/4rpp1/4p1p1/pp1pP1N1/2q2P2/2P4P/PP3QP1/R3R1K1 w - -,g1h1
7k/1R6/6pp/P1N5/KP5P/5r2/2n5/8 w - -,a5a6
6k1/6p1/p5r1/R7/8/5P2/P5P1/6K1 b - -,g8f7
8/5ppk/p7/2B1R2p/2bP3P/P4PK1/1r4P1/8 w - -,e5h5
r2q1rk1/pbppbppp/np2pn2/4N3/2PP4/6P1/PP2PPBP/RNBQR1K1 b - -,b7g2:d7d5
r1bq1rk1/p4pbp/3pp1p1/1ppBP3/5P2/5N1P/PPP3P1/R1BQ1RK1 b - -,e6d5
1r6/2r4k/R1n3p1/4p2p/1bBpN2P/1P4PK/P2R1P2/8 w - -,e4g5
r1r3k1/2p2qbp/3nbpp1/np2p3/p3P3/1PPBB1NP/P1QN1PP1/1R1R2K1 w - -,f2f4
4r1k1/2p2pb1/1p1p4/pP1P2pp/8/2P1PN1P/1P4P1/R4K2 b - -,g5g4
r1n2rk1/1b2qp2/2ppn2p/1P2p1p1/p3P3/P1N2PB1/B1PQ2PP/R4RK1 w - -,b5c6
1r1q1rk1/5pbp/2np2p1/1b3P2/3PPN1P/npB2NQ1/6B1/3RR1K1 w - -,g1h2
r2q1rk1/pb1nbpp1/1p2pn1p/2pp2B1/2PP4/2NBPN2/PP2QPPP/2R2RK1 w - -,g5h4
8/1p4r1/p1pPk2p/2P2Rp1/PP1K2P1/7P/8/8 b - -,g7d7
2r1qrk1/1bb3p1/pp2p1np/1P1nNp2/P2P4/1Q6/1B2NPPP/1BR2RK1 w - -,b2a3
2q2rk1/1p4pp/2p2r2/p2pR3/Pb3P2/2NQ2PP/1PP3K1/4R3 b - -,c8d7
r3rn2/1bq2pkp/p1p2np1/1p2p3/4P3/P1N2N1P/1PPQ1PP1/3RRBK1 w - -,d2d6
1b3Qqk/1p1P3p/p2N4/P4p2/4p3/4P2P/1P4P1/3R3K b - -,g8f8
8/7p/8/6P1/4b1K1/2k5/8/8 b - -,c3d4
r1bqkb1r/1pp2ppp/p1np1n2/8/B2NP3/8/PPP2PPP/RNBQ1RK1 b kq -,c8d7
1rb2rk1/2q5/p3p2b/1pPpPp1p/1P3PnP/4BN1K/2PQ2B1/R6R w - -,f3g5
2rk3r/1b1n4/p1nq1p1p/4pBp1/Pp1p4/5NB1/1P3PPP/2RQR1K1 w - -,f3d2
r1r3k1/3nqppp/2p1b1n1/p2p4/Pp1P4/1N1BP2P/1PQ1NPP1/1RR3K1 w - -,b3c5
r2qk2r/1p1n1ppp/p2bpn2/3p4/3P2b1/2N1PN2/PP1BBPPP/R2QK2R w KQkq -,h2h3
r1bqk2r/pp3pnp/2n1p1p1/3p2P1/2pP1PP1/2P1P3/PPB5/RN1QK1NR b KQkq f3,f7f5
1r2r1k1/ppq3b1/4P1p1/4p1B1/2p1NPQ1/2P5/PP6/1K1R4 w - -,d1d7
r2q1rk1/pb3ppp/1p2p3/3n2b1/3N4/P1NB4/1PQ2PPP/3R1RK1 b - -,h7h6
2r1r1k1/p2q1ppp/1b1p4/3n4/2P5/1PQ1NRP1/P6P/R1B3K1 w - -,c3d3
8/8/8/p1RKpk1r/1p6/1P6/8/8 b - -,f5f4
2q3k1/pp2Bpp1/4n1b1/P6p/1P2p3/4Q1P1/4PP1P/3R2K1 w - h6,e7c5
r1b2rk1/pp1nppb1/1q1n2p1/2pPN3/2P2BP1/2N5/PPQ1BP2/R4RK1 w - -,e5f3
r7/2p1n1p1/1p1pk2p/4p3/2P1P3/1P2BP1P/1K4P1/3R4 w - -,d1a1
8/1p3k2/6p1/p1P1np2/7P/PP4P1/3R4/6K1 w - -,d2d6
2r3r1/3qpp1k/3p2p1/p3P1Qp/Pp1N2PP/1N6/1PP5/2KR3b w - -,d1h1
r1bq1rk1/5ppp/p1np4/3Np1B1/Pp2P3/5P2/1PP3PP/R2QKB1R b KQ -,d8g5
b2r2k1/6p1/7p/5r2/1P4R1/6BP/6PK/1N6 b - -,d8d3
r4Bk1/1p1P2p1/4pp1p/3pN3/3P3P/5R2/5PP1/1b4K1 b - -,g8f8
rnb1k1nr/p1q2ppp/1p2p3/1pb1P3/4NN2/8/PBQP1PPP/2R1KB1R b Kkq -,c8d7
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/6P1/PPP2PBP/RNBQ1RK1 b kq e3,c6d4
rn1q1rk1/pbp1bpp1/1p3B1p/3pN3/2NP4/6P1/PP2PPBP/R2Q1RK1 b - -,e7f6
8/1p2rk1p/3p1np1/1Q1P4/8/6P1/5PK1/8 w - -,f2f3
r3kb1r/1pqn1p1p/p1p1p3/2Pp2n1/3P3P/1P2P3/PB1N1P2/R2QKB1R b KQkq -,g5e4
r1b1r1k1/1pp4p/p3p1p1/n2P1p2/7q/2PB4/PPQ1RPP1/R1B3K1 w - -,g2g3
