7R/3k4/8/p5N1/PpP3b1/8/1r6/5K2 w - -,h8a8
5rk1/1p2bppp/p2p4/2rP2P1/3R3P/6q1/1PPQB3/1K1R4 w - -,d4g4
rnb2rk1/1p3p1p/p4p2/q2p4/3N4/P3P3/3QKPPP/R4B1R b - -,b8c6
3r1r2/5pbk/p3qnpp/1ppp1P2/4P1n1/2P1N3/PPBB2PP/R1Q2RK1 b - -,e6d6
6Q1/2bqk3/8/1p3p2/3B4/P5P1/1P3P2/6K1 w - -,g8g7
6k1/8/1r6/pB1P1rp1/Pn3pRP/8/1P6/5RK1 b - h3,b6g6
2r1r1k1/p4pp1/5n2/4B1Qp/8/2N2PPq/PP5P/3R2K1 b - -,h3e6
8/2Bnbk1p/pp2pp2/3p4/3P2P1/1P3N2/P3KP1P/8 b - -,f7g6
8/pp3k2/8/6pp/8/1P1N4/3K4/8 w - -,d2e3
rnb1k1nr/ppp3bp/5pp1/4p3/2P4B/2N2N2/PP2PPPP/R3KB1R w KQ -,e2e3:e1c1
r2q1r1k/pppbp2p/1n4p1/3Pb3/6P1/1QN1B2P/PP3P2/3RKB1R b K -,d8e8
r3qbk1/5r1p/p1Np1np1/3Ppb2/2Q3B1/R3B2P/1P1K1P2/R7 b - -,e8c8
5R2/1k4p1/p2Kp1r1/7p/1p1PP2P/8/8/8 b - -,a6a5
4r2k/7p/2p4b/p1p5/2Ppp1nP/1P1P4/P3RP2/3R1K2 w - -,e2e4
4r1k1/p6p/5qpb/3p1p2/3Nr3/1P2P3/P2QR1PP/3KR3 w - -,d1c2
r1bq1rk1/ppp2ppp/2np4/4P3/3P4/2P2N2/P2Q1PPP/R3KB1R w KQ -,e5d6
r3r1k1/pp1nqppp/2pb1n2/4p2b/2P1P3/1P3NPP/PBQN1PB1/R4RK1 w - -,f1e1
8/5n2/3k2p1/4p2p/4P2P/5NK1/8/8 b - -,d6e6
8/2n5/1kpr2p1/p6p/2R5/1P4PK/P3RP2/8 w - -,h3h4
r2qkb1r/pp1bnppp/2n1p3/1BppP3/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,b5c6
