8/1b6/4R3/5p1k/pB5p/P6P/1r3P2/6K1 b - -,b7e4
r2q4/3n1k2/1Pp1pPp1/p2pP2r/8/4P3/PPQB4/2K3R1 b - -,d7e5
8/2q4k/p5pp/1p1Rnp2/4p2Q/1P2P1PP/1P3PK1/2r2B2 b - -,e5f3
4r2k/ppq3pp/2n2pb1/8/2BB1P1Q/P7/1PP3PP/1K1R4 b - -,g6c2
5k2/1prr1pp1/2p3p1/b7/P1RPP3/4K1P1/1R4BP/8 b - -,d7e7
r1bqr1k1/pp1nbp1p/2p2np1/3p2B1/3P4/2NBPN1P/PPQ2PP1/R4RK1 b - -,f6h5
r3kb1r/1pq1pppp/p1p1bn2/3p4/N1PP4/4P3/PPQ2PPP/R1B1KB1R w KQkq -,c4c5
2rqkb1r/1b1n1ppp/p3pn2/1pp5/3P4/4BNP1/PPQ1PPBP/RN3RK1 w k -,d4c5
r4rk1/1b3ppp/1p2p3/p3P3/PpBP4/4P3/1P4PP/R4RK1 w - -,a1c1
8/2K5/4Q3/P7/8/7P/3k4/1q6 b - -,b1g1
3r4/5k2/2p3p1/p2bRpP1/Pp3N2/1P3P2/2P2K2/8 w - -,e5e1
2r1r1k1/pBqn1ppp/1p3n2/2b2N2/2p5/1PQ3P1/PB1N1P1P/R3R1K1 b - -,c7b7
3rk3/4bp2/p5r1/1QNbP2p/3B2n1/4PN2/6PP/2R2RK1 b - -,a6b5
r3k2r/ppqn1pb1/2ppp2p/6p1/2BPPn2/2P1NPB1/PP3P1P/R2QK2R w KQkq -,d1d2
2rq2k1/1p3pp1/2n1r1p1/pN1p4/Pb1P2Q1/1P2P1P1/3B1RKP/2R5 w - -,d2b4
3r4/1pkn2pp/2p1bp2/r3p3/N1P1P3/1P3P2/1R2BKPP/2R5 b - -,d7f8
r2q1rk1/1b2b2p/p4p2/1p1PpnpP/2p5/P1N1PPB1/1P4P1/2RQKN1R w K -,g3f2
r1b1qrk1/2n1p1bp/3p2p1/p1pPn1N1/2P5/4B1NP/3Q1PP1/1RRB2K1 w - -,f2f4
R7/p3kp2/6p1/4p3/3p4/p4P2/r4P2/2K5 w - -,a8a7
r1bq1rk1/pp1n1pbp/1n4p1/3Pp3/7P/2N1BP2/PP1Q2P1/R3KBNR w KQ -,h4h5:a2a4
2r3k1/p4p1p/1p2pq2/6p1/2N2P2/1P2P1P1/P6P/R2R2K1 w - -,a1c1
4r1k1/1bn2ppp/p7/8/P3p3/1B5P/1qPQ1PP1/3R2K1 w - -,d2d7
4b3/pppk2R1/3n2Bp/2BP4/8/5P2/2PK2P1/r7 b - -,d7d8
7R/4K3/2r5/8/3nk3/8/8/8 w - -,h8h5
5r2/3nkp2/1q2p3/2p4Q/1p5P/1B4P1/1PP2P2/R5K1 b - -,f8g8
2r5/1bP5/1p1K4/1P6/8/4R1B1/4p3/3k4 b - -,c8g8
5rk1/1p4bp/p1p1nnr1/2Pp2p1/1P1Ppp2/2B1P1PP/1PN2PB1/R5KR w - -,g1h2
r3k2r/3q1pp1/p2Pp2p/5P2/1p1Nb1P1/1P4B1/P1PQ4/2KR4 b kq -,e4d5
8/8/4N3/5p1p/4b2k/6r1/4K3/2R5 b - -,g3a3
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/1P1P4/P1P2N2/5PPP/RNBQKB1R b KQkq b3,c5d4
r1r2qk1/3n1p2/p3Nbpp/1ppp4/3P4/Q1R1PNP1/PP3PBP/2R3K1 b - -,f7e6
7k/6p1/p4p1p/4p3/p3P3/P6P/1r4P1/5R1K w - -,f1c1
3q1r1k/5r2/p2p1bQ1/2pP4/P1N2Rp1/2P5/8/5RK1 w - -,g6h6
r4nrk/5pp1/2q1p2n/pp1pP2P/5N2/5P1B/PPPQ2R1/1K4R1 b - -,b5b4
r4rk1/2q2ppp/p2p3b/1p3B2/4Qp2/5P2/PPP4P/2KR2R1 w - -,f5h7
r5k1/3b3p/p1p2r2/3p2p1/1P2B3/P5P1/4PP1P/2RR2K1 b - -,a8f8
r1bqk2r/pp2bppp/2n1pn2/8/3PN3/3B1N2/PP3PPP/R1BQK2R w KQkq -,e4c3:e1g1
8/6kp/1p4p1/pPb1p3/P2n4/2NB2P1/5P2/5K2 b - -,h7h5
2r3k1/4qp1p/p2p2p1/1p1PR3/1P1r4/3Q2P1/P4P1P/1R4K1 b - -,d4d3
2r2rk1/1b1pbppp/pBn1pn2/1p6/4P3/PNN2P2/1PP3PP/1K1R1B1R w - -,b3c5
r2qk2r/pp1bbppp/2n1p3/2npP3/5B1P/2NB1N2/PPP1QPP1/2KR3R b kq -,c5d3
4k3/2rbp2p/4p1p1/2P5/pP6/2B3P1/P4P1P/3R2K1 w - -,a2a3:d1e1
3r1rk1/ppp2ppp/6n1/4P3/2Pn2B1/2Q2PB1/PP5P/4RKNq b - -,d4e6
r1bq1rk1/pp2ppbp/2N2np1/2p5/3p4/1P1P2P1/PBP1PPBP/RN1Q1RK1 b - -,b7c6
r1bq1rk1/p2nbppp/2pp1n2/1p2P1B1/4P3/2NB1N2/PPP2PPP/R2QR1K1 b - -,d6e5
r2qr1k1/1p4bn/p1p1n1p1/2Pp1p2/1P1P3p/4BBPP/P1Q1NP2/3R1RK1 w - -,d1d3
2r5/1r2nkbp/2pqppp1/2R5/PpQP4/1P1N3P/3B1PP1/2R3K1 b - -,e7f5
8/p4pp1/r5k1/8/5rPK/PRRP1P2/8/8 w - -,h4g3
r3k2r/pp1nqp2/2pn2p1/3p1b1p/3P4/P1NBPN2/1PQ2PPP/R4RK1 w kq -,c3a4
r1bq1rk1/pp1nn1bp/3p2p1/2pPpp2/2P1PP2/2NN4/PP2B1PP/R1BQ1RK1 w - f6,g1h1
2N3k1/5pbp/2qp1pp1/1p2r3/1P2P3/5QP1/2P2P1P/3RR1K1 b - -,c6c8
8/7p/6pk/8/8/2Q4P/PP2n1BK/3q4 w - -,c3e3
r4n1r/ppkbq1n1/3p1pp1/2pP3p/2P1PP1P/2PBN1Q1/P5R1/2B2RK1 b - -,a8e8
5rk1/3q2pp/3p4/p3Pr2/1pR5/1P6/P3R1PP/4Q2K w - -,c4c1
1r6/6pp/1N2kpb1/B2p4/P2P4/R2n1PPP/3K4/8 b - -,d3b2
rnb1k2r/pp1p1ppp/1q2p3/8/1b1P4/2nB1N2/PPPB1PPP/R2QK2R w KQkq -,b2c3
8/5k2/3r3p/1p1p1P2/2pP4/2P2KP1/1R5P/8 b - -,d6b6
4k3/1p1nr1p1/p1p5/5p1p/3R1P2/P2N1K1P/1PP3P1/8 b - -,e7e6
r2qr1k1/1pp2pb1/3p2p1/1P2n2p/2P1N3/3PP1P1/5P1P/1RBQ1RK1 b - -,e5c4
r3k2r/1bq1b1pp/p1npp2n/2p2pN1/Pp2PP2/3PB1PP/1PP1N1B1/R2Q1RK1 b kq -,c6d8
5k2/5p2/1R6/8/6P1/4Pp2/5r1K/8 w - -,h2g3
5r2/6kp/b2pr1p1/p3p3/Pp1pPP2/1P1N2P1/2P2R1P/5RK1 b - -,e5f4
r2q1rk1/4ppbp/p2p1np1/np1P2B1/2P5/1B1Q1N2/PP3PPP/R4RK1 w - -,c4b5
