8/8/8/2R1p3/k3KPrp/8/8/8 w - -,c5e5
4R1k1/p4ppp/5n2/1Bbb4/8/P6P/3N1PP1/6K1 b - -,f6e8
8/2pR1p2/1pr2Pkp/p5p1/P1P4n/1P5P/4r3/5RBK b - -,h4f5
1k2r3/n1p3pp/P1q5/Ppb5/2p3Q1/4B3/2P2PPP/R5K1 w - -,g4g7
r2r2k1/p1q2ppp/1p1bp3/1P6/P2N4/3nPQ1P/1B3PP1/R4RK1 w - -,b2a3
5qk1/1pQ2ppp/8/8/3nP3/1r4PP/5PBK/5R2 w - -,f1d1
8/8/8/8/5pKP/3bk3/8/8 b - -,f4f3
r4rk1/3nppbp/p2p2p1/qPpP4/4PP2/2N1B3/PP1Q2PP/R1R3K1 b - -,a6b5
3r1r2/p2q2bk/1p2n1p1/3np2p/1P2N3/1Q1PPNPP/3B2K1/1R3R2 w - -,b1d1
3qr1k1/1R3pp1/5n1p/P4b2/2Np4/3P2P1/2Q2PBP/R5K1 w - -,a5a6
6r1/4kp2/2b1p2p/p7/3r1P1p/P2N4/1PPK2PP/5BR1 w - -,c2c3
r2q1rk1/pp1nbppp/2p1pn2/3p4/2PP2b1/5NPP/PP1NPPB1/R1BQR1K1 b - -,g4h5
6k1/3n1pbp/p2N2p1/2p1P3/5P2/3r3P/1P4K1/2B1R3 b - -,d7f8
r3kr2/1pqbn1p1/pbn1p3/3pp2p/PP6/2PB1NB1/4QPPP/RN2K2R w KQq -,e1g1
r3n3/p1k3p1/2N2p1q/3P4/6p1/3QP1P1/PP3KPP/5R2 b - -,e8d6
8/8/1pKp4/3P4/4k3/p7/Nb6/8 b - -,b2e5
r1b1rbk1/pp2qp1p/2ppnnp1/8/1PP1P1P1/2N1BP2/P1NQB2P/3R1RK1 w - -,g4g5
8/8/2k5/P3B3/1K3P2/8/2b5/8 w - -,e5d4
r2q2kr/2p2pb1/1p1p1np1/p2Pp1Nn/2P1P2P/2N1BP1b/PP1Q4/2K3RR w - -,h1h3
b5k1/4qNbp/6p1/1p6/1P1p4/1BP4P/4QKP1/8 b - -,g8f8
4rk2/1p3qpQ/p2r1p1p/4pP2/4P1R1/2PP2P1/5PK1/3R4 w - -,d1h1
r1nb1rk1/q2b1ppn/p2p4/2pPp2p/2P1P2P/P1NB1PP1/1RQBNK2/1R6 b - -,c8b6
5rk1/5pp1/2p2q1p/3b4/2pP3P/Q1R2NP1/3K1P2/1R6 w - -,c3e3
1q3rk1/pbrnppbp/1p1p1np1/8/1PP5/P3PN1P/1B1NBPP1/2RQ1RK1 w - -,d1b3
2r1r1k1/p3qpp1/1pnp1b1p/2p5/2P1P1b1/3B1N2/PPQB1PPP/2R1R1K1 w - -,c1b1
4R3/8/2p5/Bp1k1K1p/6r1/8/5P2/8 w - b6,f2f4
3r2k1/pp3pp1/2n3p1/3r4/4N1P1/1P2R2P/5PK1/2R5 b - -,d5b5
r4rk1/pb3pbp/3q1np1/1P2Rp2/2pP4/2P2N1P/1PBB1PP1/R1Q3K1 w - -,d2h6
1rbq1rk1/1p1nppbp/p2p1np1/2p5/P2PP3/2N3PP/1PP1NPB1/R1BQ1RK1 w - -,a4a5
r3k2r/pppqnppp/2nb4/3p1b2/3P4/2PB1P2/PP2N1PP/R1BQKN1R w KQkq -,c1f4
8/8/3k4/R3pp2/3r4/5K2/8/8 w - -,a5a6
1r3rk1/1p1b2p1/p2p2np/q1pPpp2/PP2P2b/2NNBPnP/2PR2P1/1R1Q1BK1 b - b3,c5b4
5rk1/3qnNb1/b5pp/p1nP4/1p6/1B5P/1P1QNPPB/3R2K1 w - -,f7e5
r1b3k1/pp1r1pbp/2np1np1/qN2p3/2P1PP2/P1N1B3/1P2B1PP/R2Q1RK1 w - -,c3d5
r2r2k1/pp2b1pp/q1p3b1/4p3/4BP2/4B1PP/PPQ1N3/R2R2K1 b - -,g6e4
