8/3N4/R5p1/3r1pkp/8/b6P/6P1/5K2 b - -,d5d7
8/R3pk1p/4rpp1/8/8/B5PP/5PK1/8 b - -,e6e5
8/ppp1R3/3p1ppk/3P3r/2P3Rn/1P3P2/P2q2P1/Q5K1 w - -,a1f1
rnbqk2r/ppp1nppp/4p3/3pP3/3P4/2N5/PPP2PPP/R2QKBNR w KQkq -,g1f3
8/p1n5/5kp1/2p3N1/P1Pr2KP/4R3/8/8 w - -,g4g3
rnbqk1nr/pp1p1pbp/6p1/4p3/3BP3/2N5/PPP2PPP/R2QKBNR w KQkq e6,d4c5
r3rnk1/ppNb2bn/3p4/3Ppppq/4P3/5PNP/PPPQ1BB1/R4K1R b - -,h5f7
r1b1kb1r/pp3ppp/1nn5/1B2p3/4P3/2N5/PPN2PPP/R1B1K2R b KQkq -,c8d7
rn3r1k/pbpqn1b1/1p1pp2p/1N2P3/3P1p1B/3B1N1P/PPP1QPP1/R3R1K1 b - -,d6d5
rnbq1rk1/pp4bp/3p1np1/1Pp1pp2/2P5/2N1P1P1/P2PNPBP/R1BQ1RK1 w - -,c1b2
4r1k1/5p2/p2q2pp/1p1np3/2p1Q3/2P2R1P/Pr3PP1/1B2R1K1 b - -,f7f5
8/2pn1k1p/1p1p2p1/p2Pp1P1/2P4P/PP2P1K1/2B5/8 b - -,f7g7
rnbqkb1r/1p2pppp/p1p2n2/8/2NP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,e7e6
r6b/1p2qk1p/3p2p1/p1nQ1p2/2P3PP/1PB2P2/P7/3R1B1K b - -,c5e6
r2q1rk1/pp1nbppp/4p3/1Ppn4/2N5/1PN2Q2/2PP1PPP/R1B2RK1 b - -,e7f6
r3r1k1/1p3pbp/5qp1/3P1b2/PQ1Np3/6P1/1R1P1PBP/5RK1 w - -,d4f5
2rqkb1r/3n1ppp/p3p3/3b4/1pnN1PPP/4BBN1/PPP5/1KQR3R b k -,d7b6
2kr3r/1q3pb1/1p1pb1p1/p1pNp1P1/2PBP3/PP1P4/3QBP2/R3K1R1 b Q -,e5d4
2r1r1k1/pp1bbppp/2p2n2/7q/2P1P3/2N3P1/PBQ2PBP/R4RK1 w - -,c3e2
2nr2k1/1p2qpbp/5np1/1Pp5/P2N4/1Q2B1PP/5PBK/3R4 w - -,d4e2
4b3/3k4/3p1p2/3P1P1p/1KPN4/6PP/8/8 w - -,b4a5
r1b2r1k/ppp1q1pp/2n2n2/4p3/4Pp2/2PB1N2/PP1NQPPP/2KR3R w - -,f3h4
8/K1k4B/1p6/6p1/2P2pP1/5P1P/1P1b4/8 b - -,d2e3
8/5p2/4k1p1/6P1/2r2P2/R3PK2/8/8 b - -,c4b4
r2q1rk1/pp1n1pbp/2n1p1p1/3pN3/3P1B2/2PQ3P/PP1N1PP1/R4RK1 w - -,e5d7
rnbr2k1/ppp3b1/5ppn/3Np2p/2P1P2B/5N1P/PP2BPP1/R3K2R b KQ -,g6g5
r1bq1rk1/ppp1ppb1/3p1npp/3Pn3/4P1P1/2N1BP2/PPPQB2P/R3K1NR w KQ -,e3h6
3r1k2/5p1p/1R1P4/1p6/7P/6N1/b7/6K1 w - -,b6b5
8/4kpp1/7p/8/3Q4/3P2KP/2q2P2/8 w - -,d4e5
3r4/p2rpk2/1pp2pp1/3n1n1p/1P1P3P/2P2PB1/1PN3PK/R3R3 b - -,f5g3
6k1/2p4p/p1nBp1p1/1p6/3PP2P/8/PPPr4/2KR2R1 b - -,d2d1
r1b2rk1/pp2ppbp/2pq1np1/6B1/3PB3/2P2N1P/PP3PP1/R2QR1K1 w - -,e4c2
r4rk1/4qpbp/p5b1/1p2p1P1/2p2B1P/P4N2/1PP1Q1P1/3R1RK1 b - -,f8e8
r1q2rk1/1p1bbppp/2n5/pNn1p3/2Pp4/P2P1NP1/4PPBP/1RBQR1K1 b - -,d7f5
2r1rbk1/p4pp1/3p1qnp/2p1p3/2N1P3/2P2N1P/PP2QPP1/3RR1K1 w - -,g2g3
1rbr2k1/pp1nq2p/2pb1np1/4pp2/2PP4/2NNPPP1/PBQ3BP/R2R2K1 w - -,d1e1
r2qr3/pp3pkp/2pp2p1/2n5/2P1P1b1/1P4PP/P1QN1PB1/R4RK1 b - -,g4e6
2b5/8/1PN3p1/4k2p/4p2P/4K1P1/8/8 b - -,e5d6
r1b2r2/p4pkp/1ppq1np1/2p1p3/4P3/2NP3P/PPPQ1PPN/R3K2R b KQ -,f6h5
