8/1p6/p1k5/P5R1/2r5/4K3/2P2P2/8 w - -,e3d3
1r1qkb1r/1ppb1pp1/p1n1pn1p/8/B7/2NP1Q2/PPPBNPPP/R3K2R w KQk -,f3g3
2bq1rk1/2n1r1bp/pp1p1pp1/2pP4/P3P2B/1PN2P2/3QN1PP/R4RK1 w - -,a1b1
r1n2rk1/2q2ppp/1p1p1b2/p1nP4/P1P2BB1/7R/1P1Q2PP/2N2RK1 b - -,c8e7
4r1nr/ppkn2bp/2p1bpp1/2P1p3/4P3/2N1BN2/PP1RBPPP/2K4R b - -,g8h6
1r2r1k1/p2n2b1/2b3p1/2pp4/4pP2/2P1B1P1/PP1RN1BR/2K5 w - -,g2h3
4rrk1/pQ1nq3/1p1ppb1p/2P3p1/2P2p2/2N1P1BP/PP3PP1/3R1RK1 w - -,e3f4
r2q1rk1/pp1nb1pp/2p5/4Pp1b/2P5/P3BN1P/1PB2PP1/R2Q1RK1 b - -,d7e5
r3k2r/4bppp/p1bp4/q1nP1PP1/1p1R4/2N1B3/PPP1Q2P/2K1R3 w kq -,d4b4
r4r1k/pp1nNp1p/6p1/4P1Q1/2B1PP2/3R2P1/6KP/2q5 b - -,c1c2
r1b2r2/2qnnpbk/p2pp1pp/1pp5/3PP2P/1BP1BNN1/PP3PP1/R2QR1K1 w - -,h4h5
8/p5k1/1p4p1/4qp1p/7r/1P2P1P1/P3R3/4Q1K1 b - -,h4g4
5k2/p1p1r3/2B2nP1/p3p1p1/8/2P2PP1/P4K1P/4R3 b - -,f8g7
1r1q1rk1/pp3ppp/2p2b2/8/3P4/3QPB1P/PP4P1/2R1R1K1 b - -,d8b6
8/p3kp2/1pb1p3/3pP1pr/3P4/2P1N1K1/P5P1/1R6 b - -,c6a4
8/4k3/8/3PK1N1/5p2/7P/6P1/5n2 b - -,f1e3
1k1r3r/p4Q2/1p1q4/2pb3p/6pN/6P1/PP3PP1/3RR1K1 w - -,f7e7
r2qr1k1/pbb2ppp/1pp1pn2/3n4/1PBP1P2/P1N1P3/1B1QN1PP/R4RK1 w - -,e3e4
7r/5p2/pnn1p1k1/4P2p/2p1P3/2PP2P1/P2K2N1/3B3R b - -,c4d3
3N4/2n3pk/r3p2p/3b4/3B1P2/4P3/1R4PP/6K1 w - -,d4e5
r7/3p1k2/2bQp3/5p2/P6P/4KPP1/1q6/R5R1 b - -,a8a5
8/6pk/7p/8/3qpp2/8/2Q2PPP/6K1 w - -,h2h3
r1b1k2r/pp3pp1/2n1p2p/q1ppP3/3P1P2/2PB1N2/P1PQ2PP/1R2K2R b Kkq -,a7a6
3r4/2pr4/3b1k1p/3R1P2/6p1/1P2B1Nb/P4P1P/3R2K1 b - -,d6g3
8/pp6/8/P2p4/2pP2p1/2P2bk1/2P5/4N1K1 b - -,f3e4
rn1qkbnr/1b1p1ppp/p3p3/2p5/Pp2P3/4NN2/1PPP1PPP/R1BQKB1R w KQkq -,e4e5
4r3/p2r1p2/3P1kp1/7p/5K1P/1P6/P2R1P2/3R4 b - h3,e8b8
r1b1r1k1/ppqn1pbp/2pp1np1/4p1B1/2PP4/2N1PN2/PPQ1BPPP/2R2RK1 w - -,f1e1
2r1k2r/5p2/N3p1p1/1pp4p/5b2/P1P4P/1P4P1/2KR3R w k -,c1c2
8/4pp1k/3p3p/1Q3P2/Pq2b2P/2N5/1P6/4K3 b - -,b4d4
rn1qk2r/1p2bppp/p2pb3/3np3/4P3/1N2B3/PPP1BPPP/R2QK2R w KQkq -,e4d5
8/p2r3k/5p1p/1pp4P/3p4/P2P2P1/1PP2K2/4R3 b - -,h7g7
r3k2r/pppn1ppp/3bp3/8/2BP4/2P2P2/P1PB1P1P/R3K2R w KQkq -,h2h3
1r1q1rk1/p2b2bp/2p2np1/1pn1pp2/2P1P3/PPN3P1/1B1N1PBP/1R1Q1RK1 w - -,c4b5
5r2/6kp/3q1pp1/pp1Pp3/3nPP2/1B6/P4QPP/2R4K w - a6,f2d2
r1b2rk1/1p1ppp1p/p1n2bp1/3N4/2B1qP2/1N6/PPP3PP/R2Q1RK1 w - -,d5f6
r4rk1/ppqb2p1/2n4p/3p4/8/2B3b1/PP3PPP/1BRQ1RK1 w - -,d1d5
rn1qk2r/1b2ppbp/p5p1/2ppP3/1p1P1Pn1/P2BBN2/1PPN2PP/R2QK2R w KQkq -,e3g1
r5k1/p1q3n1/3p3P/2pPnrQ1/2P5/2P5/P2B1PP1/R4RK1 w - -,g5g3
2kr4/p7/p1P2p2/4nbpp/3R4/2P3P1/P4NP1/2K4R b - -,d8d4
8/p3kp2/8/2RP1K2/2P5/6r1/8/8 w - -,c5c7
r1bqk1nr/pp1pppbp/2n3p1/1N6/2P1P3/8/PP3PPP/RNBQKB1R b KQkq -,g8f6
1r4k1/pB2pp1p/6p1/4n3/8/1PP1P3/5PPP/2R2K2 w - -,b7e4
6N1/6RP/8/7r/5k2/4p3/6K1/8 b - -,e3e2
8/5kpp/p7/8/2nB4/P7/1P4KP/8 w - -,g2f3
r5k1/4pp1p/pq1pbbp1/1p6/4PP2/2P2B1P/1P1Q2P1/R4RK1 w - -,d2f2
7Q/5k2/2K3p1/5r1p/8/8/8/8 b - -,f7e6
r4rk1/5pbp/p2p1qp1/np1P3n/1p2P3/P1N1B2P/3NQPP1/2R2RK1 w - -,a3b4
