8/8/2p2k1p/2R2p1P/5P2/6P1/1r6/3K4 b - -,b2b6
4n3/B3kp1p/3P2p1/pp2P1P1/8/5P2/B6P/3b3K b - -,e7d7
r1b2rk1/ppq1b1pp/2n1pn2/2pp4/8/3P1NPB/PPPNQP1P/R1B1R1K1 b - -,e6e5
r2q1rk1/1bpp1pbp/np4p1/p3n3/2P2N2/1PN1P3/PB2BPPP/R2Q1RK1 w - -,d1c2
r1b2rk1/2n2pb1/3p1qpp/p1pPp3/1P2P3/4QN2/1PP1BPPP/R2N1RK1 b - -,a5b4
r2q1rk1/1b1nbppp/pp1p1n2/2pP4/P4B2/2N2N1P/1PP1BPP1/R2Q1RK1 b - -,f8e8
r1n2rk1/3R1ppp/p7/2p1P3/1b2N3/1P3N2/1B3PPP/2R3K1 b - -,a8a7
3rnbk1/2pq1p2/p5pp/1p2p3/3PP3/5QNP/PP3PP1/2BR2K1 w - -,c1e3
r5k1/p1r4p/1pp3p1/4p3/2PbPp2/3R1P2/PP2NP2/R5K1 w - -,e2d4
r2q1rk1/1pp2pb1/p2p1np1/P2Pn1Np/7P/4BP2/1PP1B1P1/R2QK2R b KQ -,f8e8
8/1Q4bk/6p1/5p2/1p3r1p/1K6/6B1/8 b - -,h7h6
8/6pk/5r1p/2p4P/1p4Q1/1P2q1P1/7K/3R4 w - -,h2h3
1r1qrbk1/2pb1ppp/p2p1n2/P3nNB1/3NP3/2P3Q1/2B2PPP/R3R1K1 b - -,e5g6
r1q1r1k1/1npb1pb1/1p1p1n1p/p2Pp1p1/1PP1P3/PNN2P2/4BBPP/R2Q1RK1 b - -,g7f8
r1bqk2r/ppp1p1bp/2np1np1/5p2/2PP4/2N1P1P1/PP2NPBP/R1BQK2R b KQkq -,e8g8
3b4/3K4/8/p4k2/2PP4/8/P7/8 b - -,f5e4
r2rnk2/N1qb1p1p/4p1p1/3pPnP1/1p3PN1/8/1PP2QBP/R1R4K w - -,c2c3
1rb2r2/1p1p1pkp/p1B1pNp1/8/4P3/8/PPP3PP/2KR1R2 b - -,d7c6
8/8/B1k5/P1b3R1/r5P1/5P2/2K5/8 w - -,a6b7
8/2p2pk1/1p3np1/pPq1p2p/4P3/P2QNP2/1PK3PP/8 w - -,c2d2
3r2k1/Nb4pp/nr1p4/3Pp3/1PB1Pp1P/2P2P2/6P1/R4RK1 w - -,a7c6
r3R1k1/pp3q1p/6b1/5pQ1/5P1P/P4R2/6P1/7K b - -,a8e8
r2q1rk1/1p2pp1p/2bp2p1/p1n5/2PbP3/1PN1Q3/P3BPPP/2RR2K1 w - -,d1d4
2rr2k1/pp1b1ppp/1q2p3/3pP3/3Q1P1P/8/PPP3P1/1K1R1B1R b - -,b6a5
rnbq1rk1/pp2ppbp/2p3p1/P1N5/3P1B2/4P3/2P1NPPP/R2Q1RK1 b - -,b8d7
4r1k1/1p3p1p/p2Q2p1/8/1P6/8/1q3PPP/3R2K1 w - -,h2h4
r5nr/1pkn2bp/p1p1b1p1/5p2/2P1p3/1P2N1P1/P3PPBP/1RB1NRK1 b - -,a8d8
8/8/8/1k3p2/2p1p3/PPpr2P1/2R1KP2/8 w - -,a3a4
4R3/8/5k2/8/5p2/4p3/4K2r/8 w - -,e2f1
r2q1rk1/pp3ppp/4b3/2bp4/Q2N2n1/2N3P1/PP2PPBP/R4RK1 w - -,d4e6
3qrbk1/rbpn1p1p/1p3np1/1N1p4/P2P4/1Q1BP1N1/5PPP/R1B2RK1 b - -,a7a8
R7/3kbp2/4p3/2prB3/1p6/1P1P3p/1PP2Pr1/4RK2 w - -,a8a7
r1bqr1k1/pp3pbp/2p2np1/3p1p2/3P4/2NBPPQ1/PPP1N1PP/R4RK1 w - -,c3d1
6k1/p2r1p2/bp2p2p/n6P/P1P2N2/1n2P3/2B2P2/BR2K3 b - -,b3a1
r2qkb1r/1b1n1ppp/p3pn2/1pp5/8/1Q1P1NP1/PP2PPBP/RNBR2K1 b kq -,f8e7
rnbq1rk1/pp1ppp1p/6p1/8/2PQN3/8/PP2PPPP/R3KB1R b KQ c3,d7d6
6nk/p5b1/1p1r2pp/5P2/2B5/1p5P/8/4RRK1 b - -,d6d8
2k1n2r/ppq3b1/2b3p1/3p3p/3P4/P1N2N1P/1P3PP1/R1BQ2K1 w - -,d1e2
8/4bk2/6p1/7p/Kp1r1P2/1P4P1/P3R2P/8 b - -,f7f6
8/8/8/kpnN4/p7/P1K5/1P2B3/8 w - -,d5c7
8/1n1k3p/2b5/pp1pPN2/2pP4/B1P4P/2P2K2/8 b - -,d7e6
r2r2k1/1p3ppp/1q1p1b2/p2Pp3/1n6/1N6/PPPQBPPP/1K1R1R2 w - -,c2c3
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,e2e3:c1g5
1k1r1r2/1bp5/1p2p3/pq2P3/P2P2Rp/2P1N1pP/1P4P1/4R1K1 w - -,a4b5
2r1r3/Rb1n1k1p/1p4pP/1P1P1pP1/8/3NPq2/PQ1K1P2/3R4 b - -,e8e7
3r2k1/6p1/1p3p2/1P6/Q6P/5P2/3pq1K1/3R4 w - -,g2g3
8/8/8/4r3/5p2/3K2k1/R7/8 w - -,a2a8
r1bqnrk1/1p3pbp/p2p2p1/2pPn3/5B2/2N1P2P/PP1NBPP1/R2Q1RK1 w - -,a2a4
4r1k1/p2q1pp1/5b1p/3p4/N4P2/4r1P1/PPR1PR1P/3Q2K1 w - -,c2d2
rnbqk2r/pp3pp1/2pb1n1p/4p3/4P2B/1BP2N2/PP3PPP/RN1QK2R b KQkq -,b8a6
2r3k1/pp3pp1/4pn1p/PP1r4/2p1b3/2P1B1PP/5P2/R1R2BK1 w - -,a1a4
r3r3/5bk1/p1p2p2/PpNp1PpP/1P1PP3/5P2/3R1K2/4R3 b - -,d5e4
3rr3/1pb2k2/p1p4p/3n2p1/1P1PpP1P/P3P3/3BR3/2R2BK1 w - -,f4g5
r2r4/p2k1pp1/1pb1pn1p/2ppb3/2P5/P1NP2P1/1P1BPPBP/1R1R2K1 w - -,c4d5
8/pbr3k1/1pnrp1Np/2p5/2P2PP1/8/PP5P/1B2RRK1 b - -,d6d2
8/7R/1pnpk3/p7/2P5/2K5/P7/8 b - -,c6b4
r1r3k1/1q1nppbp/p1b3p1/P2p4/Np1P1B2/1Q1BP2P/1P3PP1/R1R3K1 w - -,b3d1
8/7p/4p3/1b1p1p2/5P2/3k1KP1/7P/3N4 w - -,d1f2
5r2/pp5k/4prp1/2Ppbnqp/3N4/2PQ3P/PPB2BP1/5RK1 w - -,d4f3
r2qk2r/1bpnnpb1/pp1pp1pp/8/3PP3/2N1BNP1/PPPQ1PBP/3R1RK1 w kq -,d4d5
3r2k1/pp3pp1/bb5p/n7/P1rN2BP/2P1B1P1/R1R1PP2/6K1 w - -,g4h3
r3r1k1/pQ3ppp/8/8/2qp4/P7/5PPP/3R1RK1 w - -,d1c1
8/3b3p/Bb4p1/BP1pp3/K2Pk3/4P3/6PP/8 b - -,b6a7
1nqr2k1/4bppp/pp2p3/3r4/P2NQ2P/1P4P1/3RPPB1/3R2K1 b - h3,e7f6
1r2r1k1/1p2bpp1/p1b1pn2/6pP/2P5/1BN3N1/PP3PP1/3RR1K1 w - -,a2a3
rn1k1bnr/pp4pp/2p1b3/4p3/2P1p3/1P4P1/P4PBP/RNB1K1NR w KQ -,c1b2
8/8/1p2PP1k/1P1p1N1p/p1p1r3/2P3PK/1P6/8 b - -,h6g6
r3r1k1/p1q1pp1p/1p4p1/2pPP1B1/3b1P2/8/P3Q1PP/1R3R1K w - -,e2c4
r5k1/5pbp/6p1/r1pp4/P7/R1P1PNP1/5P1P/R5K1 w - -,f3d2
r2q1rk1/ppp2ppp/2n1bb2/8/2NP4/P1P5/4BPPP/R1BQ1RK1 w - -,a1b1
3n4/1r4pk/7p/p1P1N2P/P1K3P1/8/8/2R5 b - -,b7b4
6k1/3r1pp1/1rp1p2p/p2n4/Pb1P4/1P1R2B1/1K2NPP1/2R5 b - -,b4e7
r2qr1k1/pp3ppp/2p2n2/3np3/8/1P1P1BPP/P3PP2/R1BQ1RK1 b - -,d8d6
2r2rk1/1B1qbpp1/p3p2p/1p2B3/3P4/P2Q3P/1P2nPP1/2R2RK1 w - -,d3e2
8/4rk2/p1R1p1p1/5p1p/1r5P/6PK/P1P1R3/8 b - -,b4a4
7k/p2q3p/1p1r2p1/3pRp2/3P4/2P5/PP2QKPP/8 b - -,d7c6
8/6pp/2k5/R7/1pP5/8/Pr1pK1PP/8 b - -,d2d1q
4r1k1/p3bp1p/1p2p1pB/1q1nP3/4Q3/8/PP3PPP/2R2RK1 w - -,e4c2
8/p2q2k1/1pn3pp/8/P7/2Qp3P/6P1/5R1K b - -,g7g8
r1bqr1k1/pp3pbp/3p1np1/2pP4/1n2PP2/2N2N2/PP4PP/RBBQ1RK1 w - -,a2a3
5rk1/pp3p1p/5bp1/3q4/3pP3/3P2PB/PP3R1P/6K1 w - -,e4d5
2rq1rk1/1p2ppbp/p1npbnp1/8/2P1P3/2N5/PPNBBPPP/1R1Q1R1K b - -,f6d7
3r1n2/2k5/1p4p1/pKpBRp1p/2P2P1P/1P4P1/P7/8 b - -,c7d6
2kr3r/pp1b2pp/2n1pn2/q7/P3P3/B1PB3N/3Q2PP/R4RK1 w - -,d2e3
6k1/2p3p1/3p3p/p3p1N1/P1P5/1P2KPP1/7r/3R4 b - -,h6g5
8/2R2k2/p7/4r2p/PP1np3/6P1/5PKP/8 b - -,f7f6
8/8/5p2/5p1k/7p/r3P1P1/2R1KP2/8 w - -,g3h4
8/4r1k1/3Q1p2/5K2/6P1/8/8/8 b - -,e7e5
8/6R1/5P1p/3b4/3k3P/6K1/8/6q1 w - -,g3f4
r4rk1/pp2npp1/4bb1p/q2p4/2pP1PP1/2N1P3/PP4BP/R2QNRK1 w - -,d1f3
8/4kpp1/2p5/1pP3P1/pP4B1/P1K1R3/r7/8 b - -,e7d8
r4rk1/ppb1qp1p/2P3p1/3b1p2/2NP4/4P1P1/P3BP1P/1R1Q1RK1 b - -,b7c6
6k1/1bB2pbp/p1r3p1/3p3n/7q/3BP3/1P1Q1PPP/2RN2K1 b - -,c6c1
1rbq1rk1/8/1p1p3n/1B1Ppn2/NP4pp/4P3/P2NQ1PP/2R1R1K1 w - -,a4c3
2rk1r2/1B1b4/p3pq2/7P/2pn4/P3QN2/5KP1/4R2R b - -,c8b8
3rr1k1/3q1pp1/R2p1n1p/1pb1n3/4P3/2N2PB1/4N1PP/2QR3K b - -,d7b7
8/2bk4/1pR1p3/pP2P1pp/P3K3/6PP/8/8 b - -,c7d8
r4rk1/ppb1q2p/2p1p3/2PpP1pb/1P2p3/4P1P1/PB1QNP1P/R4RK1 b - -,h5f3
6k1/1p3p1p/2pqn3/6rB/3p3R/3P2P1/3QPP1K/8 b - -,h7h6
2nrkb1r/ppp2ppb/2p1P2p/8/3N4/1PN4P/PBP2PP1/R2R2K1 w - -,c3e2
1rbq1rk1/7p/3pp1p1/npp5/4N3/1P4P1/P1Q1PPBP/3R1RK1 b - -,a5b7
r2q1k1r/pbp1bp2/1p2p1n1/5n1p/B2P2p1/P1N1B3/1P3PPP/R2QNRK1 w - -,a4c2
k4r2/7Q/2p5/2q5/8/6RP/2P3BK/8 b - -,c5e5
8/1r4p1/p1p2p1p/3p3P/1PbP2k1/2P1B1P1/2K2P2/7R w - -,c2d2
r3k2r/p2nbppp/2n5/1pp1P3/5P2/2N1BN2/PP4PP/R4RK1 w kq -,c3b5
r3kb1r/pp2p1p1/n1p1P1pp/3p4/1qnP1BPP/1N3P2/2P2K2/R2Q1B1R w kq -,f1d3
6r1/1p1k2P1/4p1Q1/4B3/4pP1q/3b4/8/2R3K1 b - -,d3c4
3r2k1/p3qpn1/2Q1b1p1/1pp1P2p/7P/1P2N1P1/P4PB1/3rR1K1 w - -,e1d1
3q1rk1/pp2bppp/4pn2/3p4/2rP4/P1N1P2P/1P1BQPP1/3R1RK1 b - -,c4c6
2r5/1p1k3p/p2P1nr1/5p2/3NpP2/2Bb2PP/PP6/K2RQ3 b - -,f6d5
8/2k3pp/p1P1np2/3KpN2/6PP/P7/5P2/8 b - -,e6f4
8/2p4R/p1p1k3/3nr3/P2K4/6N1/2P4P/8 b - -,c6c5
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PPQPPP1P/RNB1KBNR w KQkq -,f1g2
8/k1Q5/1p6/2p4P/8/3b2P1/P1p2P2/6K1 b - -,a7a6
4R3/6p1/8/p3Pk1p/8/r5P1/6KP/8 b - -,a3a2
1n3k1r/5pp1/r1nNp2p/4P3/3p3N/8/5PPP/RR4K1 w - -,a1a6
5k2/pb3p1p/1p4NP/n1p1P3/4P3/2P1r3/P5P1/2R2RK1 b - -,f8e8
4k2r/1p1bbp2/1q2n2p/p2pN3/3P1B1P/1P6/P1rQ1P2/R4RK1 w k -,d2c2
3Q4/6pk/6q1/4p2r/1P1b4/P1N5/1K1B4/4R3 b - -,g6d3
r4rk1/1p2ppbp/1qn3p1/p2p4/Q2Pb3/2R1BNP1/PP2PPBP/5RK1 w - -,c3b3
8/1p2k3/2p1qnQ1/p1p5/P2b4/4BR2/1P4K1/8 b - -,f6d5
r1bq1rk1/pp3ppp/3b1n2/3pn3/8/1PN2NP1/PB2PPBP/R2QK2R w KQ -,e1g1
7r/pp1b4/n2k4/3p4/4n3/3NRp2/PPN1B1P1/3K4 w - -,e2f3
8/8/5kp1/6R1/8/4PK2/p4P2/r7 w - -,g5a5
8/R7/7p/3pkn1p/P1p4P/4P3/3K4/8 b - -,e5d6
r3r1k1/p2q3p/2pn1ppb/2Bp4/3P2P1/1P1Q2NP/P4P2/R3R1K1 w - -,d3f3
2b2rk1/r3npb1/4p1pn/q1ppP1N1/p4BBP/P1PP4/4QP1N/1RR3K1 b - -,e7f5
r1b2rk1/pp1nq1pp/2nbp3/2ppNp2/3P1P2/2PBPNB1/PP4PP/R2QK2R b KQ -,d7f6
6R1/8/K7/P7/8/5k2/1r4p1/8 w - -,a6a7
r4rk1/1bq1bppp/pp1ppn2/8/2PNPP2/1PNQ4/PB4PP/3R1R1K b - -,a8d8
6k1/1p3p1p/2p2np1/3b2r1/1P1N4/R3P2P/2B3PK/8 w - -,g2g3
rq3rk1/pb1nbppp/1p1ppn2/2p5/3P1B2/2PBPN1P/PP1N1PP1/R2QR1K1 w - -,d2c4
6k1/6pp/1p6/p1p1p3/2Pn1r2/PPN4P/8/1R4K1 w - -,c3d5
6k1/1p4Rp/8/3KB3/1r3p2/7P/2r3P1/8 b - -,g8f8
2kr2nr/pppq1pp1/2n1bb2/3p3p/3P4/P1NBBQ1P/1PP1NPP1/R3K2R w KQ h6,e1c1
5r1k/6b1/1q1p3p/6p1/2Q1P3/5N1P/2R2PP1/6K1 w - -,c4c6
4r2r/pp1k1pp1/1npp3p/5P2/1P1PPB2/P7/2P3PP/3R1RK1 w - -,f1e1
2rr1k2/5p1p/q3p1pn/2p2P2/ppNP4/P1P3P1/1P2Q1BP/5RK1 b - -,h6f5
r1b2rk1/4qppp/p1p1p3/8/3Pp3/4P3/PP1N1PPP/R2Q1RK1 b - -,f7f5
8/8/1p2k3/pb1p1pp1/3P4/P4P2/1P3Pn1/2NK1N2 w - -,f1d2
r1bq1rk1/pp1nbppp/2pp1n2/4p1B1/3PP3/2NB1N2/PPP2PPP/R2Q1RK1 w - -,f1e1
3rr1k1/pb3pb1/1p5p/2ppq3/6P1/2P1PN1P/PPB1Q1K1/2R1R3 b - -,d5d4
3r2k1/4pp1p/6pb/p1R1P3/Pp6/1r5P/4RPP1/4B1K1 w - -,c5a5
r1bq1rk1/p3ppbp/1pn2np1/2pp4/3P1B2/2P1PN1P/PP1NBPP1/R2Q1RK1 b - -,c8b7
6k1/5p2/8/3pP1pP/3n4/1p5r/3N1P2/1R2K3 w - -,e1f1
r3r1k1/pb2bppp/1ppB1q2/2P5/8/5BP1/PPQ2P1P/1R1R2K1 w - -,f3e4
3Q4/2P2k2/6n1/4p3/p3b1P1/2P3K1/Pr5P/8 w - -,d8d7
r2qrbk1/1b3ppp/p2p1n2/npp1p3/P3P3/2PP1NN1/1PB2PPP/R1BQR1K1 b - -,a5c6:g7g6
2rr2k1/1bq1ppbp/pp3np1/3Pp3/2P5/2NQB2P/PP2BPP1/3RR1K1 w - -,c3a4
6k1/1pp1r2p/p2p2p1/3P4/4p3/rP2P1P1/P1R2P1P/3R2K1 w - -,d1c1
4r1k1/pp1q1r2/2n1b3/6p1/3p2P1/P4BB1/1PP1Q1P1/4RRK1 b - -,a7a6
3qr1k1/3b3p/p2p1bp1/1p1P4/1QrB4/3B1P2/PP4PP/R4RK1 w - -,d4f6
r1bqkb1r/pp3ppp/2n2n2/3p4/8/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,f8d6
r3rbk1/5ppp/bppp1q2/p1n5/P3PP2/2NPRQ1P/1P1N1BP1/R5K1 w - -,d2c4
2r5/1k3p2/3Rp1n1/pNP1Pp2/Pb3P2/4B2P/2K5/8 w - -,d6b6
8/p2k1p2/2p5/2Pp1n2/3P1Pp1/r5P1/4N3/1R4K1 b - -,f5g3
q4rk1/p2b1pbp/1p3np1/2p5/2Pp1BP1/QN1P4/PP2PP2/R4RK1 b - -,f6g4
r1bqr1k1/1ppp1pp1/p1n2n1p/2b5/3PP3/5N1P/PPB2PP1/RNBQR1K1 b - -,c5b4
8/5p2/3kbR2/8/5K2/4N3/4r3/8 w - -,e3f5
r2qnrk1/1p2ppbp/n1p3p1/p2pP3/P4Pb1/1BNPBN2/1PP3PP/R3QRK1 w - -,d3d4
2q2rk1/p2b1p1n/2nb3p/2p1p1p1/2PpP3/P2P1BPP/4QPNK/1NB1R3 b - -,d7h3
3k4/2p2r2/1p4p1/p1p1Q3/2P2PNP/1P5K/P7/6q1 w - -,e5h8
rnb2rk1/pp3ppp/8/q2p4/1bPPnB2/1QN2N2/PP2B1PP/R4RK1 b - -,b4c3
8/6p1/3k2pb/2p2r2/1pPp3P/1P1N1R2/P5K1/8 w - -,g2g3
3Rr1k1/2B2ppp/1p6/pPb5/P1b5/7P/6P1/3R3K b - -,g8f8
6r1/5pkp/5pn1/1Q1p4/3P4/2P2p1P/PP2RPP1/1q2NK2 w - -,e2e3
r1b2rk1/ppp2ppp/2nq1b2/8/2Pp4/1P3NP1/PB1QPPBP/3R1RK1 b - -,f8d8
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/5NP1/PP1NPPBP/R1BQ1RK1 w - -,a2a3:d1c2
r2k1r2/1pq3p1/2p3Qp/p4B2/2P5/8/PP3PPP/4R1K1 b - -,c7f7
5rk1/pb1rppb1/n2p2p1/q1pP2Pp/1p2PP1P/4B1N1/PPPQ4/1K1R2NR w - -,d2e2
6k1/p4p2/1p1p1Ppp/2p4q/3b4/5R2/P5PP/4Q2K b - -,d4e5
r6r/4kppp/bnn1p3/p2pPP2/1p1P2P1/1P1BNN2/P2K3P/R6R w - -,g4g5
rnb1k2r/pp1pqppp/1b1p1n2/4p3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,c1g5
6k1/R7/7p/6N1/6K1/p7/6PP/5r2 b - -,h6g5
7k/p1q2pp1/1p5p/3Q3P/8/P3P1P1/1P3PK1/8 w - -,a3a4
5rk1/1p4pp/2bn1p2/2Np1P2/3Bp1P1/7P/8/R4B1K w - -,c5e6
r1b1r1k1/p1p2ppp/5n2/4q3/2p5/6P1/PPQ1PP1P/RNBR2K1 w - -,c2c4
8/6kp/2nr4/1p2N1P1/p3R1PP/P3K3/1P6/8 b - h3,c6e5
rnbqkb1r/1p3ppp/p1p1pn2/3p4/2PP4/2N1P3/PPQ2PPP/R1B1KBNR w KQkq -,g1f3
1r2r1k1/1pqbppb1/p2p1nn1/2pP4/P1P1P1P1/2NNB2Q/1P2B1K1/5R1R b - -,b7b5
8/3k1ppp/p2bp1n1/8/1PK2P2/P3B3/4NP1P/8 b - -,g6e7
r3k2r/pppq1ppp/2n1p3/3pb3/3P2B1/4P1B1/PPPQ1PPP/R3K2R b KQkq -,e5g3
1rbqr1k1/1pnnppbp/p2p2p1/2pP4/P1P1PP2/2NB1N2/1PQB2PP/R4RK1 w - -,a1e1
3r2k1/pB2np1p/3q1bp1/2p1p3/4P3/2P2N1P/PP2QPP1/4R1K1 b - -,c5c4
2q2rk1/3b2bp/1Q1p2p1/1N1Pp2n/2P1Pp2/1P4PP/5PBK/4NR2 b - -,f8f6
1k1r4/1q1rbpp1/p3p2p/P3P3/1pQ5/5N1P/1P3PP1/R3R1K1 w - -,a1c1
rq3rk1/4ppb1/3p2p1/Nn2n1Pp/3NP2P/1P2BP2/1P1Q1K2/R6R w - -,h1c1
