1K6/8/1P6/8/2q5/7Q/8/6k1 w - -,h3g3
8/p1R3pp/4pk2/8/4PK2/Pr1r2P1/4R2P/8 w - -,e4e5
5R2/ppp3rk/6n1/5pP1/3P1Pq1/P1P1Q3/1P4P1/6K1 w - -,f8f6
4b3/1Q5p/1p3q1k/p1p2pp1/2P5/1P4PP/P4PB1/6K1 w - -,b7c7
8/8/4P3/1N3k2/1RP5/p7/P3K2r/8 w - -,e2d3
rnbqk2r/ppppp1bp/5np1/5p2/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq c3,e8g8:d7d6
r1bqkb1r/p2n1p1p/2p2np1/1p2p3/4P3/2NBBN1P/PPP2PP1/R2Q1RK1 b kq -,c8b7
2br1rk1/pp3pbp/2p1pNp1/8/3P4/1B2P3/PP3PPP/2RRB1K1 b - -,g7f6
4r3/2pn2k1/2b3p1/pp2p2p/4Pp2/2P1KP1P/PPB2NP1/3R4 w - -,e3e2
r4rk1/2pbq1b1/2Pp4/p2Pp2p/4Pp2/P2B1p2/4QBPP/R4RK1 w - -,g2f3
3r2k1/1R5p/8/ppN2p2/8/1P5P/1bP2PK1/8 b - -,b5b4
r1br2k1/pp2p3/2q3pR/n3bp2/2pP1N2/2P1B3/P4PP1/1BRQK3 b - -,e5f4
8/2Bn4/1ppbkp2/p2p2p1/3P1PPp/2PNK2P/PP6/8 w - -,c7d8
1k5r/pp3pp1/1b2p1b1/1P5p/Q2q3P/6N1/P3BPP1/5RK1 w - -,a4d4
2bq1r1k/1p2npbp/3p2p1/rNpPp2n/P1P1P3/R4NP1/5P1P/2BQRBK1 b - -,e7g8
8/5pk1/8/6R1/1N4P1/p4PK1/1r6/8 b - -,g7f8
8/6p1/1p2k3/p5Rp/Pr5P/5KP1/8/8 b - -,e6f7
5b1k/4p2p/4p1p1/1p1bP3/5PK1/pq5P/2NQ2P1/6B1 b - -,a3a2
8/2RP4/1pR5/1P2p3/4Pk2/6p1/3K2q1/8 w - -,d2c3
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2P5/2N2NP1/PPQPPPBP/R1B2RK1 b - -,c7c6
r2q1rk1/pb3ppp/1p2pn2/3p4/1nPP4/NP3NP1/4PPBP/R2Q1RK1 w - d6,f3e5
r3k1nr/pp1b1ppp/2nb4/1B1p4/3N4/5N2/PPP1KPPP/R1B1R3 b kq -,f7f6:g8e7
4kb2/2pR2p1/1p2rp1p/pP3N1P/P3P1P1/5P2/6K1/8 w - -,d7c7
1rbq1rk1/1pb3pp/1Np2nn1/p1Pp4/3B1p2/1N4P1/PPQ1PPBP/3RR1K1 w - -,e2e4
r1bq1rk1/p2pnpb1/1pn1p1pp/2p5/4P3/2NPBNP1/PPP2PBP/R2Q1RK1 w - -,d1d2
5rk1/2B1p2p/r3p1p1/p1p5/n2bP3/N4PP1/RP4KP/3R4 w - -,a3c4
rn2k2r/pb1ppp1p/1p4p1/3PP3/4n3/2P1BN2/P4PPP/2R1KB1R w Kkq -,c3c4
rnbqk2r/ppppp3/5b1p/5pp1/3P4/6B1/PPP2PPP/RN1QKBNR b KQkq -,f5f4
b4rk1/2q1bp1p/4pnp1/p7/P1BPP3/5NN1/4Q1PP/1R4K1 w - -,c4b5
r1b2rk1/p4ppp/1q2p1n1/2ppP3/8/2PB1N2/PP1Q1PPP/R4RK1 w - -,f1e1
3r4/6pp/4k1n1/R7/B3pp2/2B5/P4PPP/6K1 w - -,a4b3
r1q2rk1/2pb1pb1/1p1p1npp/p1nPp3/1PP1P2B/P1N5/3NBPPP/R2Q1RK1 b - -,c5b7
3rn1k1/p2r1pbp/2pppqp1/8/N1P1P3/1P2B2P/P2RQPP1/3R2K1 b - -,f6e7
8/p4kp1/1p3p2/6p1/1P3p1P/P7/2bB2P1/6K1 w - -,h4g5
rn1qk2r/pp2ppbp/2p2np1/3p1b2/2PP1P2/2NBPN2/PP4PP/R1BQK2R b KQkq -,f5d3
1r3k2/p1p5/2p3bp/2Pp1np1/6P1/PrP2P1B/1P2RB1P/2K1R3 b - -,f5h4
3rrbk1/2n2ppp/8/p2nPP2/8/P4QP1/1B5P/2R3K1 b - -,d8b8
