8/8/3k4/6R1/3b4/7r/4K3/8 w - -,g5a5
8/4p1R1/2kp4/2p1r1R1/8/3K4/4P3/8 b - -,e5e6
7r/1p2kp2/3p1p1p/p1n1p1r1/P1P1P1BR/1P2R3/5PPP/5K2 b - -,h8g8
2b5/2pr1pbk/1p4pp/pPq5/P1PprP2/3B3P/2Q3P1/1RBR2K1 b - -,e4e8
r2r1bk1/6p1/N6p/2pPpn2/R1P5/4B2P/4KP2/1R6 b - -,a8a7
5r2/ppp2r2/2bppnkp/4p1p1/4P3/5PRR/PPPBN1PP/6K1 w - -,b2b3
8/1r6/6pk/1PR2p2/7p/7P/1RP2rPK/8 w - -,b5b6
r2qrnk1/p3b1pp/1np1bp2/3p2P1/1p1P1B1P/3BPN2/PPQ1NP2/2K3RR b - -,a8c8
2r2rk1/1p1bbppp/p1N2n2/q2p4/8/4BP2/PPPQN1PP/1K1R1B1R b - -,a5d2
r3rbk1/1bqn1ppp/p4n2/1p2pN2/2p1P3/2P4P/PPB2PPN/R1BQR1K1 w - -,d1f3
4k3/r1r1p3/4R1p1/3P2B1/pp1n3P/4R3/P4P2/6K1 w - -,e6b6
5r1k/p3R1bp/1p4p1/2pr1q2/P7/1QP2N1P/1P2R1P1/6K1 w - -,e7a7
r1bqrk2/1p2pp1p/p4np1/3P4/6P1/1BN1R2P/PP1Q1P2/4R1K1 b - -,d8d6
6k1/3n1p2/p1pq4/1p1p3p/1P5Q/P5PB/5P2/6K1 b - -,d7f6
4n2Q/3pkpp1/2p5/4pPP1/P3q3/5R2/2P4P/1r3BK1 w - -,f5f6
8/5k2/2n2p2/2N2P2/5KP1/8/8/8 b - -,c6e7
3qr1k1/R3pp1p/3p1bp1/1rpP4/5P1B/7P/1PP3P1/3QR1K1 w - -,h4f6
r2qr1k1/pb3pb1/1pp1pnpp/4N3/2PP4/1P1Q4/PBB2PPP/3RR1K1 w - -,d3h3
6k1/p3rpb1/1p2q1pp/8/Q3P3/7P/5PP1/1R3RK1 w - -,f1d1
r1bb3k/pp6/8/2n1P3/3N4/8/PP3PrP/R1B1K2R w KQ -,e1e2
3k4/4b3/p2pB3/1p2p1p1/4P3/7P/PPPK2P1/8 b - -,d8e8
1r3rk1/2q1bpp1/p1bp1n1p/2p1p3/2P1P3/1PN1B1P1/P4PBP/R2QR1K1 w - -,h2h3
1nn1rk2/2R2p1p/3p2p1/pP1N4/3NP3/P4PPP/8/5K2 w - -,c7b7
