3N4/p7/b6p/5R2/P2b4/3k1p2/6PP/6K1 w - -,g1h1
r7/1p1n3p/2b1k1p1/1p2p1P1/2p1P3/P1P1KN2/1PB3P1/3R4 w - -,d1h1
2qb4/5rk1/3pRp1p/pprN1Pp1/7P/1PP3Q1/P5P1/3R3K w - -,g3f3
r1b1qrk1/pppnppbp/3p1np1/8/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 w - -,f4h2:f1e1:c2c4:c2c3
3rr3/npq3kp/p2p1pp1/2pP4/P3PPP1/1PQ4P/6BK/4RR2 b - -,b7b6
r1b2rk1/1p1p1ppp/2n1p3/2q5/p1P5/P3PN2/1P1QBPPP/R3K2R w KQ -,e1g1
r4rk1/pp2ppbp/n2p2p1/8/2R1P3/PN2nP2/1P2Q1PP/5RK1 b - -,e3c4
r2q1rk1/pppn1pp1/3b1n1p/3p3b/3P3B/2PB1N1P/PP1N1PP1/R2Q1RK1 b - -,h5g6
r2qr1k1/ppbb1ppp/P7/3p4/3Nn3/4P3/1P1BBPPP/R2Q1RK1 b - -,b7a6
rn1q1rk1/1p3pbp/p2p1np1/2pP1bB1/2P5/2N2N2/PP2BPPP/R2Q1RK1 w - -,e2d3
2b1rnk1/rp3pp1/pN5p/3p4/3P4/3BP2P/PP3KP1/3R1R2 w - -,d1c1
rnb1k2r/pp2bppp/2p1pN2/4N3/2Bq4/8/P1PBQPPP/1R3RK1 b kq -,e7f6
r1bq1rk1/pp3ppp/2n5/2bN4/5n2/P1N5/1P2PPPP/R2QKB1R w KQ -,d5f4
r2k2r1/p4p2/1p2q3/1B3Np1/3P2P1/Q3P3/bP1B1P2/4K3 b - -,a2d5
3rk2r/2qnnpb1/p1bp2p1/P1P1p1Bp/2N1P2P/2P2P2/3Q2P1/1R2KBNR b Kk -,d7c5
5rk1/2r2ppp/2Nbpq2/pB1p4/P7/6P1/5P1P/R2Q1RK1 w - -,c6a5
8/p4k2/6pp/2pN1p2/n1p1P3/2P1KP1P/P5P1/8 w - -,e4f5
r2qkb1r/1p1b1pp1/p1nppn1p/6B1/3NP3/2N2P2/PPPQ2PP/2KR1B1R w kq -,g5e3
1rbr2k1/2qn1ppp/3p1n2/p1PPp3/P7/QN4P1/3N1PBP/2R1R1K1 b - -,d7c5
r3kb1r/1N1nppp1/8/1p1P2B1/8/8/P4PPP/2R2RK1 b - -,h8h5
r1b2rk1/ppb1qppp/1np1p3/3nN3/3PN3/1Q1BP1B1/PP3PPP/R4RK1 b - -,a7a5
8/8/6p1/3Q2P1/5P1K/8/1pq4k/8 w - -,d5f3
rn2kb1r/pppbpppp/1q3n2/8/2BP4/2N2P2/PPPB2PP/R2QK1NR w KQkq -,g1e2
8/R4p1p/4pNk1/4P1p1/5r2/7P/4b1P1/7K w - -,a7a2
r4rk1/pb1n1p2/4q1pp/1p1p4/2pP4/4PN2/PP3PPP/1BRQR1K1 b - -,g8g7
8/5pk1/2R5/4p2p/6pP/2p1P1P1/5P1K/2r5 w - -,h2g2
r2q1rk1/1ppnbppp/p2pbn2/4p3/1PP5/2N1PN2/PBQPBPPP/R3K2R w KQ -,e1g1
2r3k1/pb3p1p/4r3/2p2pq1/N3pbN1/PPQ4P/2R3P1/5R1K w - -,g4h2
5r2/ppp2p1k/4p2p/2P1P3/2p2P2/P1KrP3/1P5P/3R2R1 w - -,d1d3
b1rq1rk1/4bppp/pn1p1n2/Np2pP2/4P3/2N1BB2/PPPQ2PP/R4RK1 w - -,d2f2
r2q2k1/1pp2ppp/p1bb4/3N3Q/2PRr3/4B3/PP3PPP/5RK1 b - -,g7g6
8/5pk1/8/5KPP/4R3/8/8/6r1 b - -,g1f1
2N2k2/p4p1p/1p2n1p1/8/bP6/P4P2/3Q2PP/q4BK1 w - -,c8a7
8/3p1p2/1p3kp1/p2P3p/3b1PP1/BP5P/P7/5K2 b - -,h5g4
3rn1k1/1bq3bp/p3p1p1/2p1Np2/N1P1nP2/1B2P3/P3Q1PP/B2R2K1 w - -,e2e1
r1bq1rk1/2p1bppp/p1pp1n2/8/2P2P2/1P3N2/PB1P2PP/RN1Q1RK1 b - c3,c6c5
r1b2rk1/ppp1b1pp/2n3q1/8/5p2/2PP1NQ1/P1P2PBP/1RB2RK1 w - -,c1f4
6k1/3b1ppp/1p1qpn2/1P1p4/P2Q1P2/6P1/3NP2P/5BK1 b - f3,f6e8
2rrbk2/pp4bp/2n3p1/3B1p2/N4N2/1P2P3/6PP/3R1RK1 b - -,e8f7
r5k1/4ppbp/r2p1np1/2nP4/P2NP3/1pN5/1P1B1PPP/R3R1K1 w - -,d4b5
3brrk1/p2q1p1p/2npb1p1/2pBp1P1/2P1P2P/4N3/PP3PQ1/R1B1K2R w KQ -,d5c6
6Q1/3k4/2p3p1/2b5/2P5/6K1/5r2/8 w - -,g8g7
7K/5qP1/5P2/8/8/1k6/8/8 b - -,f7f6
r6r/pP2kppp/8/4p1q1/QP1b2n1/2N5/1P3PPP/R4RK1 w - -,c3d5
rnbqnrk1/4ppb1/p1pp2pp/1p2P1B1/2PP4/2N2N2/PP2BPPP/R2QR1K1 w - -,g5h4
r6r/3bkp2/2p1pp1p/3p4/1bpP4/1P2P3/P1B2PPP/RN1R2K1 b - -,h8b8
r1bqk1nr/pppnbppp/3p4/4p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,g8f6
r2q1rk1/1b2ppb1/p2p3p/1p1N2pn/1P2P3/3Q1NB1/P1P2PPP/3RR1K1 b - -,a8c8
2r1r1k1/3b1pp1/1qpb3p/1p6/1P1P4/2Q2BP1/3B1P1P/R1R3K1 w - -,d2e3
rn3rk1/pbp1qpbp/1p2p3/3P4/2P3p1/P1N4P/1PQ1NP2/2KR1B1R w - -,h3g4
7r/1p2rpk1/p7/8/P1P1p3/8/1PP4P/4RR1K b - -,h8h5
3q1r2/1p1bpp1k/p2p1P2/7p/7P/4QP2/PPP1N3/1K1R4 b - -,d8c8
8/5pkp/N2p2p1/r1nPq3/4P3/6PP/4QP2/5BK1 w - -,a6c5
6k1/4bp2/1q1p2pp/1p2n2n/p2rP2N/7P/PP2QPPB/1B2R2K w - -,h4f5
r3r1k1/2p1npp1/2qp1n1p/1p2p3/1P2P3/1QPPNNPP/5P1K/R3R3 b - -,a8a1
rnbqkbnr/1p2pppp/p2p4/2p5/2PPP3/8/PP2NPPP/RNBQKB1R b KQkq d3,b8d7
r3k2r/ppqnbp1p/2p1R3/5pN1/3P4/6P1/PPPB1PbP/R2Q2K1 w kq -,d1h5
r5k1/5pp1/2b2b1p/2p5/Pr1p2P1/R2NP3/5PP1/2B2RK1 w - -,d3b4
8/6k1/2p3p1/1p6/1P5P/r1p1RKP1/8/8 w - -,e3e1
rnb2rk1/pp2ppbp/6p1/q7/3BP3/5N2/PP1QBPPP/2R1K2R b K -,a5d2
1q3rk1/pb1nrp1p/1ppNp1p1/3nP3/PP1P4/3B1N2/2R1QPPP/1R4K1 w - -,f3d2
2r5/8/p1P5/1P3kpp/P5p1/8/2K4P/4R3 b - -,a6b5
2r3k1/5ppp/3q4/1p2N1PP/pbbPBQ2/8/P1P5/1K4R1 b - -,b4c3
r5k1/ppp1qp1p/1n1r2p1/8/2n1PP2/2P3PP/P3Q1B1/R1BR2K1 w - -,d1d6
3r2k1/qp2bpnp/2p1p1p1/8/2PP1P2/rP1R1NP1/2Q2PBP/3R2K1 b - -,h7h5
r3k2r/p3ppb1/1pnp2pp/8/2P1bP2/3N2PB/PP1BPK1P/R4R2 b kq -,e4d3
r1bq1rk1/ppp3b1/5pp1/2pPp1nP/2P1P3/2N5/PP1QB3/2KR2NR w - -,h5g6
2k5/6p1/2PK4/p3pP1R/7p/3r3P/8/8 w - -,d6e5
q7/5pbk/2pN1npp/1pP5/1P1pP1P1/5P2/Q6P/2N3K1 b - -,a8a2
8/5pp1/2p1k3/2b1P3/5Pp1/2p4P/2N1K3/8 w - -,h3g4
1rn1r1k1/1p1q1pbn/3p2p1/PppP2Pp/2N4P/1Q6/1P2PPB1/R1B2RK1 w - -,g2h3
2q4k/6R1/1p3n2/3bB2p/1P2nP2/3QR2P/6P1/6K1 b - -,c8c1
6k1/1p3pb1/p7/2r2PBP/P7/3p4/1P6/5R1K w - -,b2b4
6k1/5p1p/1Brpp1p1/P2q4/7Q/6PP/5P1K/8 w - -,b6e3
6k1/1r3p2/3R2pb/4p3/1p2P3/2r3P1/P4PK1/4NR2 b - -,c3a3
1b1q1rk1/p4ppp/5r2/2np1N2/1Q2BP2/4P3/PP4PP/R1B2RK1 b - -,c5a6
2kr4/1p2r1p1/2qbp1Qp/2P4P/p2R2PB/8/PP6/1K1R4 b - -,c6c5
2r5/1b2krRp/2p1p3/1pPpPP2/pP2p3/P3q2P/1B3QR1/6K1 b - -,e3f2
3qr1k1/1br1ppbp/pp1p1np1/3P4/7Q/1P2BNPB/P3PP1P/2RR2K1 w - -,c1c7
r2qkb1r/pp2pp1p/b1np1Pp1/8/4QP2/2N5/PPP3PP/R1B1K1NR w KQkq -,c1e3
8/1p2npk1/p7/3p4/1r1P1NP1/5P2/5K2/2R5 w - -,c1c7
rb1q1rk1/pb1p1ppp/2pP1Pn1/1p6/2N2p2/2PB2P1/PP2Q2P/RNB2RK1 b - -,b5c4
r1kr4/pp1nBn1p/2p1BNpb/8/4PN2/P5P1/1PP4P/2KR4 b - -,f7g5
