4B3/2k3p1/8/p4K2/P7/2n5/8/8 b - -,c7d6
r1br2k1/1p2bppp/1q2nn2/p1ppN3/B2P4/P1N1PP2/1P4PP/1RBQ1RK1 w - -,c3b5
r5k1/2q2rbp/1p3pp1/pP1ppb2/3P1P2/Q1P3P1/1R1N3P/2N1R1K1 w - e6,c1e2
1r6/p1p2k1p/6p1/2pb4/4NP2/1P4P1/P6P/2R3K1 w - -,e4c5
8/8/8/1R3p2/r5k1/8/5K2/8 b - -,f5f4
5r1k/pp3pbp/5n2/5Np1/8/1Q1BP2q/PP3PbP/2R1K2R w K -,f5g7
6k1/3b3p/1p2pb2/pP1p1p2/Pq1P1P1P/1Nr3P1/5B1K/3QR3 w - -,b3c1
1rb2rk1/5pbp/p2p1pp1/3P4/3p1P1B/2N3N1/PP4PP/1R3RK1 b - -,d4c3
r4rk1/p2qb1pp/npb1pn2/1N1p1pN1/P2P1B2/1Q4P1/1P2PPBP/2R2RK1 b - a3,a6b4
5rk1/6pp/2pbp3/5p2/1P6/2R2QP1/5PKP/1q6 w - -,f3c6
1n2rqk1/3bbpp1/2p4p/1pPp1P2/1P1P2N1/r2BR1PP/4Q3/1N2R1K1 b - -,a3b3
r7/p3p1k1/1p2bpp1/8/2PrP1PP/7B/P4PK1/1RR5 w - -,c4c5
4r2k/pp1qr1bp/2p2p2/2Pp2p1/4n3/2P1BN2/PPQ2PPP/R3R1K1 w - -,h2h3
2k5/4b3/6R1/r7/1p3p2/5N2/P3KPP1/8 w - -,g6c6
8/p4k1p/3b1p2/P2p1P2/6PP/3p1K2/1r1B1R2/8 w - -,g4g5
5rk1/6p1/3p3p/p1qPpr2/1pP5/1P5P/R1Q2PP1/5RK1 w - -,g1h1
r2r2k1/pq3ppp/4p1n1/1pQ5/8/P4P2/1P1B1P1P/R3RBK1 b - -,d8d2
r4rk1/pp3pp1/2n1bq1p/2bp4/Q7/2N2NP1/PP2PPBP/R4RK1 w - -,a1d1
1qrbr1k1/1b3ppp/pp1ppn2/4n3/1PPNP3/P1N1BP2/3Q2PP/2RR1B1K w - -,c3a4
6k1/2b2p2/2P3p1/1P2p3/3p1q2/7P/5PQ1/5BK1 w - -,f1d3
1kb3rr/1p2bp2/p2ppp2/2q5/Pn2PP1p/2NBRN1P/1PP2QP1/5R1K b - -,e7d8
r4rnk/p4p2/2QBpbpp/7q/3P4/P1PB2R1/5PPP/R5K1 b - -,f6e7
4r3/6p1/2r4p/p1nN1Pk1/2P1p1P1/1P1pK3/P6P/3R2R1 b - -,h6h5
6R1/1p5r/1p4k1/6p1/PP3pp1/5b2/3B1P1P/4K3 b - -,g6f5
r3r1k1/1q3pp1/7p/p2R4/Q5n1/4P1B1/P4PPP/5RK1 w - -,d5a5
6k1/pp5p/2p1r1Pb/3nP3/3P1r2/3BP2R/PP2K3/2R5 b - -,h6g7
3b4/5pp1/3k3p/3p3P/4pPP1/8/2N1K3/8 b - -,d8b6
8/2b5/8/2P1p1p1/4P1Pp/5k2/7B/5K2 w - -,f1g1
4b1r1/1p2k2r/2p2pp1/p1n1pP2/P3P1P1/1PN2BK1/2P2R2/3R4 b - -,e8d7
4kb1r/1p4pp/p2rPp2/3p4/3p3n/1PN1P3/PBP3PP/R4RK1 w k -,e3d4
2rq1rk1/pp3ppp/4pn2/2bpB3/8/1P2P2P/P1PNQPP1/R4RK1 b - -,c5b4
r4rk1/pp3pbp/q2p2p1/1b1Pp3/PB6/1P4P1/3QPPBP/R3R1K1 b - a3,b5d7
2r1bk2/pp3p2/4pQp1/8/8/6PP/P4P1K/8 w - -,f6h8
r1bq3r/1pp2kb1/1n1p2p1/p1nPp2p/2P1PpP1/1P3P1P/P1QNN1B1/1RB2RK1 b - -,d8h4
r6k/1pp3pp/p2p2nn/5q2/5P2/2P1R3/PP3PN1/R2Q2K1 w - -,d1e2
4r3/3k4/1p6/3P4/PPPb1p2/6pP/6P1/2R4K w - -,a4a5
1r5k/5R2/6pp/2bBp3/2P1P1P1/3KN2q/1p3Q1P/1R6 w - -,f2f6
r1bq1rk1/1p3pbp/p1nppnp1/8/2PNP3/2N1B3/PP2BPPP/2RQ1RK1 w - -,a2a3
r4rk1/1pq1bppp/p2p1n2/2NPp3/2P5/3QB3/PP2BPPP/R4RK1 b - -,d6c5
r1bq1rk1/pppnppbp/3p1np1/8/2PP1B2/2N2N1P/PP2PPP1/R2QKB1R w KQ -,e2e3:d1d2
3q1rk1/1r4b1/5n1p/p1pP4/Q1N1p2P/P1N1P2R/1P6/2KR4 w - -,h3g3
8/8/k4N2/P7/5n2/6Kp/8/8 b - -,a6a5
1r2r1k1/2p1bpp1/4pn1p/pq6/2NP4/1P3PP1/PB2QK1P/R2R4 w - a6,a1b1
8/6N1/1pkn4/3p1p1p/1b1P1Pp1/3KP1P1/5B2/8 w - -,d3e2
rn3rk1/4ppbp/3p1np1/q1pP4/4PP2/2N2N2/PP1BQ1PP/R3KR2 b Q -,b8a6
1n6/3r4/p4k2/1p2b3/1P4pp/R1PB3P/3K2P1/6B1 w - -,g1f2
2k5/4p1bp/5pp1/nr1PB3/8/5N2/PP3PKP/7R w - -,h1c1
2K5/8/8/2B3p1/6k1/8/5P2/8 w - -,c5d6
2r5/p7/1bp5/3kp2p/2R4P/1P2P3/P3KP2/8 w - -,c4c1
r4bk1/p1q2p1p/2b1p1p1/2p5/2B5/N1P1Q3/PP3PPP/3r1RK1 w - -,f1d1
r2qkb1r/pp3p2/2np4/3npb2/3P3p/2PNB3/PP1NQPPP/R3KB1R b KQkq -,d5e3
Qn2k2r/5p2/2p2n1p/p1b1q1p1/P1B1P1b1/2P5/1P1N1PPP/R1B1R1K1 b k -,g4c8
rqb1kbnr/pp1ppppp/2n5/1N6/4P3/8/PPP1BPPP/RNBQK2R b KQkq -,a7a6
8/8/r4k2/2R3p1/6P1/2P1K3/8/8 b - -,a6a1
3rr3/2Q4p/1p4k1/8/8/1P4P1/3p1P1P/6K1 w - -,c7c6
8/1b1RNPk1/7p/7P/6K1/5r2/8/8 w - -,d7b7
8/6k1/4q1p1/r4p2/4PPp1/1P6/PQ5P/2R4K b - -,g7g8
6k1/5p2/3p2p1/2pPq2p/4P3/5P1P/1rR3P1/1r2RQK1 w - -,e1b1
6k1/5p2/1p2p3/6p1/p2P2Pp/4P2P/P1rn1PK1/R1N5 b - -,d2e4
r4rk1/pp1n1pb1/4pq1p/P2P2p1/8/3B1QBP/1P3PP1/3R1RK1 b - -,f6f3
rnbq1rk1/p1p1bppp/4pn2/3p4/PP1P4/5NP1/1P2PPBP/RNBQ1RK1 b - -,e7b4
6k1/1bq2pbp/6p1/2pp4/1p4P1/1P2P2P/R3NPB1/2R3K1 b - -,c7b6
r2qk2r/1p1n1ppp/p1npb3/8/4PBPb/1NN2Q1P/PPP5/R3KB1R w KQkq -,f4g3
2rqr1k1/5pp1/2p2np1/ppPpn3/3Q1BP1/1PN1P2P/P4PK1/R4R2 b - -,d8e7
r1b2rk1/ppqnppbp/2pp1np1/8/P4P2/NP2PN2/1BPPB1PP/R2Q1RK1 b - -,a7a6
2b2r2/6kp/ppq1r1p1/2p5/1PQnNP2/P1N3P1/7P/2R2RK1 w - -,c1e1
kr6/1p2r2p/p4p2/3p4/3P4/2P2QP1/q4P1P/4R1K1 w - -,e1e7
5rk1/p2r4/1pn5/2pNb1p1/2P1pp2/1P4P1/R2BPPK1/1R6 w - -,b1h1
r2q1rk1/pppnppbp/2np2p1/3P4/2P1P3/2N1B2P/PP3PP1/R2QKB1R b KQ -,c6a5
5rk1/1p2ppb1/8/p3P1p1/Pr4P1/1BN3p1/1P1R2P1/4R1K1 b - -,b4b3
8/5pk1/3p3p/3P1Pp1/P2R4/5K1P/5P2/r7 b - -,g7f6
r1b1rn2/pp3pk1/2pq1bpp/4p3/1PP1P3/2N2NP1/P4PBP/1R1R2K1 w - -,d1d6
1r3r2/pp4kp/3qp1p1/2N1n3/3n4/3P2P1/P1PQ2BP/1R3RK1 w - -,c5e4
3r4/p4kpp/1p3p2/2p1pP2/P1n1P3/2Pr1RN1/5KPP/4R3 b - -,c4b2
3R3b/p7/np4k1/4q2B/2PNb3/7Q/PP5P/6K1 b - -,g6g5
rnbqk2r/pp1p1ppp/4pn2/2b5/2PN4/1QN5/PP2PPPP/R1B1KB1R w KQkq -,e2e3
8/1p1b3B/4pk2/3p4/2nP4/4P3/5K2/R7 b - -,b7b5
r2r2k1/p2nqppp/1p1bp3/8/3N4/1P2P3/PBQ2PPP/3R1RK1 b - -,a8c8
1r2rbk1/p1pq1p1p/bnp3p1/3pP3/2P2P2/1P4P1/PB1NQ1BP/2RR2K1 b - -,f8c5
4rr1k/1p4pp/p1b2n2/3p4/1P2p3/1N3P2/1PP1B1PP/1K1RR3 w - -,b3d4
r3k1nr/pp1n1ppp/2p2q2/5N2/4P3/5Q2/PPP3PP/2KR1B1R b kq -,e8c8
8/7k/7p/p5p1/2R2nRP/r7/5PK1/8 w - -,g2h2
r1b1k2r/1p1nppbp/p2p1np1/q5B1/4PP2/2N2N2/PPP1Q1PP/2KR1B1R b kq -,h7h6
2rqrnk1/1p1nbp1p/2p1b1p1/p2pN3/3P4/P1NBP2P/1PQR1PPB/5RK1 b - -,b7b5
r1rq1bk1/5p1p/2b1p1p1/1pNp4/1QnP4/3BP2P/4NPP1/RR4K1 b - -,a8a1
r2qkb1r/3b1ppp/2n1p3/pp1pPn2/1P1P4/P2B1N2/1B3PPP/RN1QK2R w KQkq a6,d3f5
3rr1k1/p2nbpp1/1q3np1/1ppp4/3P2P1/4PP2/PP2N1BP/R1BQ1R1K w - -,c1d2
1r2r1k1/p1qb1ppp/3b1n2/2pp4/5B2/1PPB1Q1P/P3NPP1/3RR1K1 w - -,f3g3
rnbqk2r/ppp1bppp/4pn2/3p4/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq d6,d2d4
2q1n3/4Q3/1p1BpPp1/1P3k1p/P7/5PK1/6PP/8 b - -,h5h4
2kr4/1b1nQ2p/1q3p2/3p1P2/1p1P4/3B1N2/1P4PK/5R2 b - -,b6c7
3r1rk1/1bqnbppp/p1n1p3/2pp4/2p1PP2/PP1P1NP1/1B1NQ1BP/R3R1K1 w - -,d3c4
8/8/1pkn4/6N1/1KP1P3/8/PP6/8 w - -,e4e5
8/5pk1/1p3r1p/p5p1/3Q4/P5P1/6PK/8 b - -,g7g6
8/5k2/7R/P5p1/4n3/8/4K1PP/2r1B3 b - -,c1a1
r2qk1nr/ppp1bppp/2n1p3/3p1b2/3P4/2P2NP1/PPN1PPBP/R1BQ1RK1 b kq -,g8f6
r4rk1/ppqn1ppp/3bbn2/3pp1B1/2P5/1B1P1N2/PP1N1PPP/2RQR1K1 b - -,d5d4
r3r1k1/1pqn1pp1/2p1bn1p/p1b2N2/2P1Pp2/1P4PP/PBQN2B1/R3R2K w - -,e4e5
6r1/1r2Q2k/4p3/1p1nBp1P/p1pP4/P4P2/1PR3PK/4R3 b - -,b7e7
2r3k1/pbq1bppp/4p3/1P6/P3PP2/2p4P/2Q3P1/4RRK1 b - -,c7c4
r2q1rk1/1p2ppbp/2p1nnp1/3P4/p1P1P3/2B2BP1/P1QN1P1P/R4RK1 b - -,c6d5
r3k2r/pppqbppp/3p2b1/4n3/4PBP1/1BNP3P/PPPQ4/2KR3R w kq -,d2h2
2r5/r2q1kbp/Q1p1ppp1/2R2n2/Pp1P4/1P1NB2P/5PP1/2R3K1 w - -,a6c4
1rbq1r2/4npbk/2np2pp/1p2p3/1P5P/2NP2P1/3BPPBN/1R1Q1RK1 w - -,e2e4
rnbqkbnr/pp3p1p/2p3p1/4p3/3pP3/3P2P1/PPP1QP1P/R1BNKBNR b KQkq -,f8g7
3R4/8/7b/8/8/5k2/2r5/4K3 w - -,d8d7
r5k1/5qb1/4pp2/8/4Q3/3R4/4PPK1/8 b - -,a8b8
8/5k2/4p3/1p2B3/p2p1PP1/Pn1P2K1/6b1/8 w - -,g3g2
k4r1r/pp1n1qb1/7p/3pn1pP/b5N1/PNP1B1P1/1RB1QPK1/7R w - -,e3d4
r3kb1r/pp2np1p/2p1p1p1/1qP1P3/5PP1/5N1P/PPQ4K/R1B2R2 w kq -,c1d2
3rr1k1/pp3pbp/2p3p1/5b2/2PqN3/3P2P1/PP1Q1PBP/R2R2K1 w - -,d2c2
7R/8/8/8/8/5K2/6rp/7k w - -,h8a8
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PPQ1N1PP/R3KB1R b KQ -,a8b8
b5k1/2qn1p1p/p2pp1p1/1p6/1P2PP2/PN1P4/1Q4PP/1N4K1 b - -,e6e5
r4r1k/pp2qppp/2n5/4p3/8/3P2P1/PP1NPPKP/R1RQ4 b - -,f7f5
2b5/6kp/p1r2pp1/1p6/1P6/P4BKP/5PP1/8 w - -,f3c6
r4rk1/1p2b3/2n1p3/p3q2p/2Pp2p1/3P2P1/PPNBQPBP/R5K1 w - -,a1e1
r2qkbnr/pp2pp1p/2np2p1/2p5/2B1PPb1/2N2N2/PPPP2PP/R1BQK2R w KQkq -,c4f7
8/7p/6p1/pp6/2kr2P1/7P/P3K3/1R6 w - -,b1c1
8/p6p/6pk/2R1Kp2/2P4P/pr6/8/8 b - -,b3b4
4rrk1/1p1bqpb1/p2p2np/2pP2n1/P1N1P3/2N1BB1P/1PQ3P1/4RRK1 w - -,e3g5
1Q6/8/8/7k/5p2/2P1q3/8/6K1 w - -,g1f1
1k3bn1/p1pr4/1p5r/1P1p1pp1/3P4/4P1P1/P1RB1PB1/R5K1 w - -,g3g4
8/8/4K3/7r/3k4/2n5/8/R7 b - -,h5e5
3r1r1k/ppp3pp/2n5/3Pp3/2B2b2/1P2N2q/PB2QP2/3R1RK1 w - -,e3g4
r5k1/p4ppp/RpN2n2/3p4/8/1Pn1P1P1/3N1P1P/6K1 b - -,c3b5
rn1q1rk1/1p3p1p/1n2p1p1/p1bpP3/P7/2P2N2/1PQ2PPP/RNBR2K1 b - -,d8c7
4rk2/1pQ2b2/p2r1p2/4pPq1/4P1p1/2P5/PPB2PKR/7R b - -,d6d2
4rrk1/p1qb2p1/2pb4/3p4/2pP2PB/2P2p2/PPB2P2/R2Q2RK w - -,d1f1
r2qr1k1/pQ3pp1/5n1p/4n3/3p3B/P2B4/1PP2PPP/R4RK1 b - -,e5d3
