8/8/p3k3/2p1Bp2/2P2P1b/P5Pp/4K2P/8 b - -,h4g3
r2q1k1r/p4ppp/1p2bn2/2ppN1B1/3P4/4PQ2/PP3PPP/R3K2R w KQ -,a1c1
3rr1k1/qp1n1pp1/2pb1nb1/3p3p/pP1N3N/P2P2PB/2Q1PP1P/B1R2RK1 b - -,d6e5
8/4pp1p/4k1p1/p3P3/1pR1PP2/2r3B1/1K4bP/8 w - -,c4d4
3r1k2/1pR1q1p1/p3p2p/3pQ3/8/P3P2P/1P3PP1/6K1 b - -,d8d7
rr4k1/4n1bp/1q1p1np1/p2Pp1B1/1pN1PpP1/3Q1P1P/PP2N3/1K1R3R b - -,b6a6
3q2k1/5pp1/p3N1np/1p2P2Q/1Pp5/P5P1/5PKP/8 b - -,d8d5
r4rk1/p1p1nppp/1p2b2q/3nN3/2BP4/6B1/PP3PPP/R2QR1K1 b - -,f7f5
r6k/r1pb2bp/1p1n2p1/3Pp2n/1B2Pp1q/1NN2P1P/2Q1B1P1/2RR3K w - -,e2f1
8/8/8/2p2kp1/r6p/2K2P1P/4R1P1/8 w - -,c3b3
3q4/5r1k/1p1p1rp1/p1pP3p/PnN1PR1P/1P4P1/3Q2K1/5R2 b - -,d8e7
r3k2r/pp1nqpp1/2pbpnp1/8/2BP4/2N1P1P1/PP3P1P/R1BQ1RK1 w kq -,c1d2
r1q1k2r/p2p3p/Qp1P2pb/1Np1Pp2/8/P4N2/1PP2P1P/R3K1R1 b Qkq -,c8c6
r4rk1/pp2q1np/2p1p1b1/3pPp2/2P3p1/1P2P1P1/PQ1N1PBP/R4RK1 w - -,b3b4
3br1k1/1p3ppp/p2pbn2/4p3/PPr1P3/2P1BPPP/3RN1B1/R5K1 b - -,d8e7
2rq2k1/5r1p/2bR1pp1/8/1p2P3/1PN2P2/1PP4Q/2K4R b - -,d8a5
2q5/2k2pp1/3p3p/5Q2/8/p4PP1/6KP/8 w - -,f5f7
8/6p1/5p1p/pp1k1B2/7P/2K3P1/5P2/8 w - -,f5d7
2r2r1k/1p4qp/p4p2/4n3/1P2PNbP/P7/2B2QP1/2R1R1K1 b - -,c8c3
r3kb1r/1p1b1ppp/1p2p3/n2pN2n/2pP1B2/2P1P3/PPN2PPP/R3KB1R w KQkq -,f4g3
r1b1kb1r/pp2pp1p/2n3p1/2pq4/3P3B/2P1PN2/P4PPP/R2QKB1R b KQkq -,c5d4
5r2/2k1n1b1/4p1pp/pp2p3/8/P1PN2RP/1P1NKPP1/8 w - -,d3c5
8/1p6/p1r1bk2/4p2r/P4p2/1P3P2/2P2R2/3RKN2 w - -,c2c4
r1bqk2r/p1npppbp/2n3p1/1pp1P3/3P4/2P2N2/PPB2PPP/RNBQ1RK1 b kq d3,c5d4
r1bqk2r/ppp1n1pp/2n1pp2/1B6/3Pp3/P1N1B3/1PP2PPP/R2QK2R b KQkq -,e8g8
rq4k1/4npp1/5b1p/1PRpp3/1P1P2P1/rB1Q4/p4P1P/R1B3K1 b - -,e5e4
2r3k1/1pr2p1p/p3p1p1/P2pq3/1Qn5/1R6/2P1NPPP/1R4K1 w - -,e2g3
r6k/pppb2pp/8/4R3/2B5/8/PPP3PP/5K2 b - -,a8e8
rnbqkb1r/pp3ppp/5n2/1Bpp4/8/2N1PN2/PP1P1PPP/R1BQK2R b KQkq -,b8c6
2r1b1rk/4p2p/3p3Q/p4PPp/1pqNP3/8/PPP5/1K1R3R w - -,g5g6
1qr2bk1/6p1/4p1Pp/1b1P4/5n2/1Q2B1N1/1P4B1/3R2K1 w - -,d5e6
r1bq1rk1/pp2ppbp/2n3p1/3n4/3NP3/4BP2/PPPQ2PP/R3KB1R w KQ -,e4d5
r1b1qr1k/pp4b1/3p2pp/2pN2N1/3nPp1P/3P2P1/PP3PB1/R2Q1RK1 w - -,d5c7
5k2/5p2/1R4pp/4P3/p4PP1/7P/P2r2K1/8 w - -,g2f3
2r3k1/5p1p/4p1p1/8/1B3P2/P7/1K2nR1P/8 b - -,e2d4
7Q/8/2Pk4/p2q2K1/8/8/P7/8 w - -,g5f4
4rr1k/p1p3pp/3bBq2/3Q4/3P1p2/1P2PP2/P4P1P/R3K2R b KQ -,e8e6
r1b1k2r/1pq1bppp/p1nppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 b kq -,e8g8:c8d7
rnbq1rk1/pp3pbp/4p1p1/2pnP3/4BP2/2P2N2/PP4PP/RNBQ1RK1 b - -,b8a6
rr4k1/4bppp/3p1n2/2qPpPB1/p1p1P3/1nP2N1P/RP2QP1K/1B4R1 b - -,g8h8
8/5pkp/p3b1p1/3n4/3rN3/1P4PP/rP2RP2/2R2BK1 b - -,d5b4
3rb3/4ppkp/N5p1/p2p4/4n3/P3P2P/5PP1/2R2BK1 b - -,e7e6
3r3r/p1R2ppp/3k4/1p1N4/2Bn2n1/8/PB3PPP/6K1 w - -,b2a3
6k1/R4p2/4pb1p/p5p1/P4nP1/1B3NK1/5P1P/2r5 b - -,c1c3
8/4k3/1Kp3p1/p3p3/Pp2P1r1/1P5p/2PR3P/8 w - -,d2d3
r2qr1k1/pp3ppp/4b3/2npP3/2p2PP1/2P1P1BP/P1Q3B1/R4RK1 w - -,f4f5
2r4r/2q3k1/3p2p1/p1nPp1b1/PpN1BpP1/1P3R2/2P1Q2P/6RK w - -,g1a1
r2qk2r/1p3pp1/p2p1bn1/2pPpN1n/P3P3/5QP1/1PP4P/R1BNR1K1 b kq -,g6f8
r4r1k/1p1b2pp/1pp2q2/3P1p2/8/3R1P2/PP4PP/1B1QR1K1 b - -,a8e8
