8/8/8/8/3k4/R3p3/6r1/4K3 w - -,a3a8
8/1R5p/5pp1/2Ppnk2/rP6/6P1/2P3P1/5K2 b - -,a4a2
rr6/p1p2pkp/6p1/8/1P1N1P2/4R2b/1PP2P1P/3R2K1 b - -,h3g4
3r4/4k3/pbpn1p2/7p/PP3P2/3RpK1P/4B3/3R4 w - -,h3h4
8/p3pkb1/1p3pp1/2p1P2p/P1P1bP1P/3N1N2/3K2P1/8 b - -,f7e6
r1bq1rk1/5pp1/2p2n1p/ppp1N3/3nP3/PBNP3P/1PP2PP1/R2QK2R b KQ -,a5a4
3r4/ppq2pkp/2p1bnp1/1r6/4PP2/1PQ2NP1/P5BP/2R2RK1 b - -,c7a5
8/7r/7P/p1p1kp2/P6R/1P3K2/8/8 b - a3,e5f6
3q1rk1/b2b2p1/5B2/3Np2Q/2p1P2p/p1P4P/Pr4P1/K2R1R2 b - -,g7f6
rnbqk2r/p4ppp/1p1bpn2/2pp4/3P4/PP2PN2/1BPN1PPP/R2QKB1R b KQkq -,e8g8
r1b1r3/1p3kbp/n1pRnpp1/p3p3/2P1P3/2NNB2P/PP3PP1/3R1BK1 w - -,d3e1
r2qk2r/pp1n1ppp/2pbpn2/3p3b/2PP4/1P1BPN1P/P1QN1PP1/R1B1K2R b KQkq -,e8g8
1N6/1K6/3k4/1B6/P4r2/4b3/8/8 b - -,f4f2
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N2/PPQ2PPP/RN3RK1 b - -,f6h5
r1r2bk1/3q1ppp/3p4/3Np2P/p3P3/1P1Q4/PP3PP1/1K1R3R b - -,a4b3
r1q2rk1/ppp2pbp/6p1/4p2n/2N1P1b1/1P3NP1/P1P2PBP/R3QRK1 b - -,g4h3
2r3k1/1p1r1p1p/p3p1p1/2P5/2P1R3/3P1P2/P4P1P/3R1K2 w - -,e4e5
8/1p1krp2/r1p3pn/4R2p/p1NPpP1P/P3P3/1P2K1P1/6R1 b - -,f7f6
8/2k5/p3r3/1p2Pp2/2pq1P2/8/1P2Q2P/4R2K b - -,d4f4
2r3k1/3qb1pp/4p3/2ppBp2/r2P4/2RQP2P/5PP1/2R3K1 w - -,d4c5
r2qk2r/p3bpp1/2n1p3/1p1bP1Np/2pP4/2P3Q1/4BPPP/R1B2RK1 w kq -,f2f4
r2qk2r/pppb1p2/2n1p1p1/2PpPn1p/1b1P1Q1P/2N2N2/PP1B1PP1/R3KB1R w KQkq -,a2a3
2kr2r1/pp1b1p1p/1b2p3/4np2/3N4/2P3N1/PP2BPPP/3R1R1K b - -,e5g4
3q2k1/6b1/p2p3p/5b2/P2n4/4Np2/1N3PBP/R4RK1 b - -,d4e2
8/2b5/1B6/1P6/Pk6/7p/4P3/7K b - -,c7b6
r1qr2k1/p3bppp/Bp2pn2/2p5/3PbB2/4PN2/PP2QPPP/2RR2K1 b - -,c8c6
4r3/2p1k3/2p3pq/p2p4/P7/Q5R1/1r2NKRP/8 b - -,b2b4
rnbq1rk1/pp2ppbp/6p1/3p4/3PB3/2P5/PP3PPP/R1BQK1NR w KQ d6,e4d3
8/1p5p/8/3b1k2/r2B4/P3Kp1P/8/R7 w - -,d4c5
5rk1/R6p/2p3p1/P1nbp3/r7/P3PN1P/3N2P1/5RK1 b - -,e5e4
4k1n1/1p2p3/2p2P2/pqPp2r1/3P4/1P2Q3/P3RP2/5K2 w - -,e3g5
r4rk1/pp2ppbp/2np2p1/8/q1P1PP2/1P2BP2/P4Q1P/1BR2RK1 b - -,a4a3
rn1qkbnr/pp2pp1p/2p3p1/3p4/3PPPb1/2N2N2/PPP3PP/R1BQKB1R w KQkq -,c1e3
5b2/r4k1p/2p2Pp1/1qP5/2R2B2/p2Q3P/6P1/6K1 w - -,g1h2
5rk1/p7/6p1/2pb3r/5Bp1/1PR3P1/P5K1/5R2 w - -,g2g1
2r1k2r/pp3pp1/q3pb2/3p3p/3P1P2/2Pb1NN1/PP1Q1RPP/R5K1 w k -,h2h4
5k2/4b3/4Pp2/3K1P2/8/1p6/8/2B5 w - -,d5c4
3R4/8/4Np1k/5qpp/1pB5/1P4P1/5P2/6K1 b - -,f5b1
5k2/1p3pp1/2p3p1/2Pp4/3r2P1/7P/PP3PK1/4R3 w - -,e1e3
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/P1N1PN2/1PQBBPPP/R3K2R b KQ -,b8d7
8/8/3np3/p1p1k1p1/PpP5/1P1KP2P/6B1/8 b - -,d6f5
