r5k1/8/7p/P7/1P1bpP2/1R6/5P2/6K1 w - -,g1g2
r4rk1/3nq1pp/1ppp4/3R1p2/1pB1n3/P3PN2/1BQ2PPP/5RK1 b - -,c6d5
r1b1k1r1/1pqnbpp1/p2pp3/6Pp/3BPPnP/1NN2B2/PPP1Q3/2KR3R b - -,b7b5
r2q1rk1/1p1b1ppp/p4n2/8/8/2BP1Q2/PP3PPP/R4RK1 b - -,d7c6
1r2r1k1/pppbqpbp/2n3p1/4p1B1/2P5/3P1NPP/P1Q1PPB1/1R3RK1 b - -,e7e6
1brqr1k1/pb3pp1/1pn1p2p/1N6/2PP2Q1/P2B3R/1B3PPP/2R3K1 b - -,d8g5
8/2k4p/3r2p1/3Ppp2/PRP5/5P2/2K3PP/8 b - -,e5e4
rnbqk1nr/pp2ppbp/3p2p1/2pP4/4P3/5N2/PPP1BPPP/RNBQK2R b KQkq -,g8f6:c8g4
r2qk2r/1p2ppbp/p2p1np1/8/4P3/1PNQ3P/1PP2PP1/R1B2RK1 b kq -,e8g8
1rb3k1/4rpp1/pp1p4/2pPn1q1/P1P1P1Pp/1P1BN2P/5Q2/4RR1K w - -,d3e2
6k1/r1p4p/1nB1p1p1/4R3/5PP1/pP6/P1K4P/8 b - -,g8f7
r3kb1r/1bq2ppp/p1nppn2/1p6/4PP2/1NN1BB2/PPP3PP/R2Q1RK1 w kq -,a2a3
8/p3r3/3p1k1p/2pP4/4pKPP/P3P3/8/1R6 b - -,e7e5
r1bqrnk1/pp3pbp/2p3p1/3np3/8/PP1PPN2/1BQNBPPP/R2R2K1 b - -,d8e7
8/5B1p/6p1/4k2P/1r2P3/5K2/6P1/8 b - -,g6g5
r5k1/3R2pp/n4r2/pBp1pp2/8/P4P2/1PP3PP/3R3K b - -,g8f8
3r3k/2nq1rb1/p7/1pB3RQ/1Pp2p1P/2P2R2/P5P1/6K1 b - -,h8g8
1k1r3r/1p1bq3/pn2p1p1/4P2p/PP1N3P/3PQ1P1/6B1/R4RK1 b - -,b6a4
r1bqk1nr/ppp2ppp/2n5/3pP3/1bP5/5N2/PP2PPPP/RNBQKB1R w KQkq -,c1d2
8/p4k2/1p3p2/4b1pp/1BK1P3/1P3P1P/P5P1/8 b - -,a7a5
