r6k/1p5p/p4Q2/6Pp/7P/2B1nq2/PP5K/8 b - -,f3f6
r2q1rk1/1p1bbpp1/p2p1n1p/4p3/2P1P3/1PNQ1N2/P4PPP/R1B2RK1 w - -,h2h3
8/6pk/8/3p4/1P1Nr1Pp/3R2nP/6K1/8 b - -,e4e1
3r1rk1/1pq3bp/pR3np1/P2Pp3/8/4BB2/1PP2R1P/3Q2K1 b - -,e5e4
r6r/p1pbq1k1/1pnpp2p/5pp1/2PP4/2P1PBP1/P1QN1PP1/1R3K1R b - -,a8f8
3q2k1/1p2npb1/rN2b1pp/P3p3/1p6/3PP1P1/4QPBP/2R2RK1 w - -,e2d2
5b2/5p2/4p1k1/1r3p1p/3P1P2/7P/R3KBP1/8 b - -,b5b3
8/8/8/2kp3p/5K1P/2P1Nb2/8/8 b - -,f3e2
r1b2rk1/pp1nq2p/2pp1b2/5pBn/2PPp1P1/2N2N1P/PP1QBP2/R3K2R w KQ -,g5f6
r1bqk2r/ppp2pbp/2np1np1/8/2BPP3/5N1P/PP3PP1/RNBQK2R w KQkq -,c4d3
2r1kb1r/pp1bnppp/1qn1p3/2ppP3/3P4/PPP2N2/1B3PPP/RN1QKB1R w KQk -,a1a2
6k1/B3ppbp/2qp2p1/p7/4P3/1P3P2/P2QB1PP/6K1 b - -,g7c3
8/4bkp1/pn2p2p/1p1pPp2/bP1P4/P2BN1P1/5PKP/2B5 b - -,a4b3
6nk/5p2/7p/3R2p1/1r6/5B1P/6P1/7K w - -,h1h2
4rrk1/3n1qp1/p4n1p/1pbPp3/2p4B/5N1P/PPBRQPP1/3R2K1 w - -,h4g3
rnbq1rk1/pppp1pbp/5pp1/8/3P4/4P1P1/PPP2P1P/RN1QKBNR w KQ -,f1g2
2b1r1k1/2Q2ppp/p3r1nq/1p6/8/BP1BP1R1/P5PP/5RK1 b - -,e6f6
7r/8/1Rp2p1n/2Pp1k1p/p2Pp2P/P1B1Pn2/5PN1/K7 b - -,h8c8
r6k/2b3pp/1ppp1p2/8/2P1PP2/1RB2R1P/4r1PK/8 w - -,e4e5
1r1q1rk1/1b1nbppp/p1p5/P2pP3/5P2/2N3P1/4P1BP/1RBQ1RK1 w - -,d1a4
5k2/3r1p2/p2Np3/1pb1P3/2p2Pp1/P1P3P1/1P6/3R1K2 w - -,f1e2
8/3r2p1/1p3pk1/5b2/3R1P2/2P5/1P1B1K1P/8 w - -,d4d7
rq1r2k1/2R1b1pp/p2p2n1/1p1Pp3/1P2p3/1Q2B2P/P2N1PP1/2R3K1 b - -,a6a5
4r3/1p2rppk/1pp4p/2n1P2P/P4P2/2N2K2/1P5P/3R2R1 w - -,b2b4
2k5/P1p2ppp/4pn2/3n4/8/1R3PP1/7P/7K b - -,d5b6
7r/1p1kb1pp/r3p3/1p1p4/1Pp1P2P/P3K3/1P2B1P1/2R4R b - -,e7f6
n1n1r1k1/1bb2pp1/2Np3p/1P1PpN2/1B2P3/6PP/5P2/2R2BK1 b - -,h6h5
3q2k1/pp2bpp1/2p1pn1p/4n3/2P1P3/1PN3PP/PB2QPB1/6K1 w - -,g1h2
8/1p2kn2/2p3R1/5P2/4B2r/4K3/8/8 b - -,f7d6
3b4/5k2/pp3ppp/2p5/2n3PP/P1B1PP2/1PK3N1/8 w - -,a3a4
rnrq2k1/1p1b1pbp/3p1np1/pP2p3/2P5/P3PN2/1B1NBPPP/2RQ1RK1 b - -,d7e6
3nk3/2R1b2p/N1p1p1p1/4Pp2/5P2/1r6/5BPP/5K2 b - -,h7h6
4rk2/3n3p/pp5N/6P1/2r2P2/2B5/PP6/5R1K w - -,h1g2
rr6/2q1b1k1/3pP1p1/p1p1pn2/2B1N2p/1RP2P1P/1P1Q2PK/3R4 w - -,b3b8
