8/3B4/5kpp/p5b1/8/6K1/5P1P/8 b - -,f6e5
6k1/1b2bp2/p2q1np1/1pnPp1Bp/4P2P/1P3P2/2B2NPK/2Q2N2 w - -,g5d2
8/p6p/1q3p1k/1p1p1Q2/3prP2/P2R2P1/KPP4P/8 b - -,b6d6
2r5/2P2pk1/p3pp1P/6p1/4q3/8/1Q3P2/K1R5 b - -,g7g6
2k5/2p4p/1p6/8/2P1QP2/1pK3rP/qR6/8 w - -,c3d4
8/4N1p1/7p/2r2P2/2pk3P/4RK2/3n4/8 w - -,f3e2
r2q1rk1/2b1n2p/2n1bppP/1p2p3/p1ppP3/P2P1NP1/1PPB1PBN/R2QR1K1 w - -,g3g4
r3r1k1/5pp1/p1bp1n1p/qp6/4P3/PQN2N1P/1P3PP1/R3R1K1 w - -,f3d2
3k3r/3n1ppp/r3pn2/p1p5/8/2N1P3/PP3PPP/R1B2RK1 w - -,b2b3
rRr5/P2k1p2/4b3/4P2p/2p1P1pP/2K1B1P1/R7/8 w - -,a2b2
r1b4k/pp1q2bp/3p3r/3N2n1/4P3/5B2/PPN2PKB/R2Q1R2 w - -,d5f4
1b3rk1/2q2ppp/2B2n2/2R5/Pp1Pp3/4P2P/P4PP1/3Q2K1 w - -,g2g3
r1bqr1k1/pp1n1ppp/2pb1n2/8/2QpP3/1P3NP1/PB1N1PBP/R4RK1 w - -,c4d4
1k1r3r/1ppB2p1/1q3bp1/p1pPp1p1/P1P1P3/1PQ2PBP/1K6/3R3R b - -,d8d7
6k1/1p4p1/p1p2p2/3p3p/P2Br3/2P1P3/2P3P1/3R2K1 b - -,g8f7
8/2Qnq1k1/1p2p1p1/1P1p3p/Pb1P1P1P/1B4P1/5NK1/8 w - -,f2d3
r1bqkb1r/pp3ppp/3ppn2/n1p5/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w kq -,b3a4
2R5/4pp1k/6pp/4b1n1/6P1/3Q3P/5qBK/8 w - -,h2h1
4Rqk1/5rnp/3p4/2pb1pQp/1r5N/1P4N1/5PP1/4R1K1 b - -,b4g4
