8/5p2/4pk2/7p/4KPp1/r5P1/4R2P/8 w - -,e2g2
r4rk1/pp2ppbp/1n3np1/1N6/2P2B2/1B3b2/PP2QPPP/R3R1K1 b - -,f3e2
5r2/Rp3rk1/4b1pp/8/1NpPpP2/6P1/5P2/4R1K1 b - -,e6f5
5r1k/2q1bppp/p2p2P1/3QnB1P/1pr1PB2/8/PPP3R1/2KR4 b - -,c4c5
r1bqkb1r/pp3pp1/2np1n1p/2p1p3/2B1P3/P1NP1N2/1PP2PPP/R1BQK2R w KQkq -,h2h3
rn2k1nr/pp2ppbp/3pb1p1/2q5/2P1P3/5N1P/PP2BPP1/RNBQK2R w KQkq -,f3d2
3r1rk1/1b2np1p/p2qpbp1/1p5P/5P2/2P1BN2/PPB2QP1/R4R1K b - -,d6d5
r2q1r1k/ppp1n1pp/1bnpbp2/8/4PP2/1NN1B3/PPP1Q1PP/1K1R1B1R w - -,h1g1
8/R5p1/3k1p2/5n1p/5P1P/5KP1/P1r5/8 w - -,a7a3
r1bq1rk1/ppp1b1pp/2nppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d4d5
2r2rk1/3nbppb/1qp1pn1p/pp1p4/2P5/PP1P1NPP/1B1NPPB1/R1Q1R1K1 b - -,f8d8
k2qr2r/pp1nbpp1/2p5/4PQBN/3P2nP/2N5/PP4P1/1KR4R b - -,h8h5
1r3r2/p6k/1ppR3p/2n1n3/4PN2/6P1/P5BP/2R3K1 w - -,c1d1
r2qkbnr/1p4pp/p1n1b3/2Pp1p2/4p3/1P2P1P1/PBPN1PBP/RN1Q1RK1 b kq -,g8f6
2rq1rk1/1p1bppbp/p1n2np1/3p4/1P1P1B2/P1NBPN2/2Q2PPP/R4RK1 b - b3,f6h5
6k1/p5p1/2n4p/2N2p2/2P3P1/1P2p3/P1r2P1P/R3K3 w - -,g4f5
1b3rk1/5ppp/p3p3/3q4/2rP1P2/P2QPP2/7P/R1B2RK1 w - -,d3e4
r4rk1/1b1nq2p/1p1bpnp1/2ppNp2/p1PP4/1P1BPP2/PB1NQ1PP/2R1R1K1 w - -,d3b1
rnbr2k1/pp4bn/2pp3p/3P3q/1PP1N1pN/1Q3pP1/PB3P1P/R3RBK1 b - -,g7b2
8/8/P7/1Bbb4/6k1/5p2/7K/5N2 w - -,f1d2
5rk1/4p2p/r1ppbqp1/p4p2/2P4P/QPR1P1P1/P4PB1/6KR w - -,c3c1
r6k/p3Rrbp/1p4p1/2pq1p2/3n1P2/3Q2PK/PB5P/1R6 w - -,b1e1
b3r1k1/1q3ppp/3p4/8/1pP1P1n1/1P4P1/Rb1NQ1BP/7K b - -,f7f5
6k1/5p2/3p1bpQ/R2P4/8/Rq1p2P1/1P2rPKP/8 b - -,e2f2
8/5p2/p4p1p/k4P2/P1K1P1P1/8/7P/8 b - -,a5a4
2kr1b1r/pp5p/2n2p2/1BPnpbp1/1P6/N1P2N2/P2B1PPP/R3K2R w - -,h2h3
r3q1k1/1r1b2p1/pPp1ppnp/P2p4/3P4/2R2N2/5PPP/1Q2RBK1 b - -,g6e7
7r/1p4R1/p1p5/P7/1P2Pp1k/2P2B1p/4K2n/8 w - -,e2f2
r1bqk2r/pppnbppp/4pn2/8/3PN3/P2Q2N1/1PP2PPP/R1B1KB1R b KQkq -,f6e4
r2r2k1/pp1nbppp/4pn2/q7/3RP3/2N1BBPP/PPQ2P2/1R4K1 b - -,d7e5
6k1/1nr2p2/3p1R2/1p1P1N1p/2pP4/2P5/rP4PP/4R1K1 w - h6,e1e8
5N2/3rq2k/8/4B3/6Q1/7P/5PPK/8 b - -,e7f8
8/4kp2/p3r1p1/3K2P1/4P3/8/R7/8 b - -,e6d6
rn1q1rk1/pbp1ppbp/1p1p2p1/8/2PPnB2/4PN1P/PP2BPP1/RN1Q1RK1 w - -,b1d2
r2qr1k1/pp1bbpp1/5n1p/n2p4/Q2N4/2N1B1P1/PP2PPBP/3R1RK1 w - -,a4c2
4r1k1/p1pQ3p/R1pb1pp1/1p6/1P2q3/2P3P1/1P3RKP/8 w - -,g2h3
5b2/5B2/5p2/p1kP1P2/P7/6K1/6P1/8 w - -,g3h4
r2br1k1/1b3q1p/1p3n2/pQ1pB1p1/P2Pp3/1P2P1PP/4NPB1/R1R3K1 b - -,b7a6
rnb1kb1r/pp2pppp/2p2n2/q7/3P4/2NB4/PPPB1PPP/R2QK1NR b KQkq -,c8g4
6n1/p2Q2kp/1q3pp1/2r5/6P1/1P5P/P3PP1K/3R4 b - -,g7h8
2rbrn1k/4q1p1/3p1p1p/pp1PpP2/2P1R2P/1P4QR/2BB1PP1/6K1 w - -,e4g4
2R5/7p/3k2p1/pp6/8/n7/4KPPP/8 b - -,a3c4
rn1qrbk1/pbp3pp/1p3p2/3pN3/Q2PnB2/5NP1/PP2PPBP/R4RK1 w - -,e5d3
3q1k1r/5p2/2pr1p1p/1p3Q2/p2PR3/2P3P1/P1P3KP/5R2 w - -,f1e1
8/8/Rr5p/8/3b1k2/4p3/4B1K1/8 b - -,b6b2
2rq2k1/pp1bprbp/3p2p1/8/3NP3/1PN1QP2/1PP3P1/1K1R3R w - -,f3f4
8/1p1k4/3P1Q2/3b4/3Nq2P/8/6PK/8 w - -,d4f3
4Q3/6kp/3q1bp1/1P1p4/2rrp3/8/5PPP/3RRNK1 b - -,d4d1
5bk1/3b1pp1/1q1p1n1p/1p2n3/p1rNP2N/6BP/PP3PP1/1B1QR2K w - -,d4f5
1k5r/1pq2pp1/p3pn1p/3rN2P/3P1PP1/8/PP2Q3/1K1R3R b - -,d5b5
1nbqr1k1/5n1p/pr1p2pb/2pP1p2/2N5/1RN1P2P/1PQ1BPPB/R6K b - -,b6b3
r1r3k1/3q1ppp/4pn2/p2pB3/R2P4/2PQP2P/5PP1/R5K1 b - -,f6e4
5b2/r2k4/2b1p1p1/3pPpPp/2pP1P1P/rnP1BN2/N1R3R1/6K1 b - -,c6a4
3br1k1/1R6/3p1p1Q/3Npq2/p1P4P/P3P3/5K2/8 w - -,f2g3
r1b1r1k1/1p2qpp1/p2p2np/2p5/2PN4/P3P1P1/1PQ1BPP1/2RR2K1 w - c6,d4f5
8/1R3p2/p3b1k1/7p/8/P4r2/1P1B1P1K/8 w - -,h2g1
2rqk2r/pp1nbppp/4pnb1/2Pp4/8/1PPBPN2/PBQN1PPP/2R2RK1 b k -,d7c5
r1bqkb1r/4n3/p1p4p/1p1pPp2/P2P1Pp1/1Q5N/1P4PP/RNB1K2R w KQkq -,h3f2
r1bqk2r/pp1nbppp/2p5/3p4/3P4/2N1P1P1/PPQ2PP1/R3KBNR b KQkq -,g7g6
6k1/p2r1pb1/1rn1p1pp/1pRbP3/3P4/P2BB2P/1K3PP1/2R1N3 w - -,f2f3
1r3bk1/r4p1p/pN2b1p1/P3p2P/2p1P3/4P1P1/1PBR4/1K5R w - -,h5g6
5B2/6P1/5k1p/P6P/2b4K/8/8/8 w - -,a5a6
8/6k1/1R6/5p2/3r3P/5P1K/6P1/8 b - -,d4c4
r2q1rk1/1p3pbp/2ppbnp1/p3p3/Pn1PP3/2N1B1PP/1PPQNPB1/R4RK1 w - -,a1d1
r1bQk2r/pp2ppbp/2n2np1/2p5/8/1N4P1/PP2PPBP/RNB1K2R b KQkq -,c6d8
1R6/p3r2k/P7/1p1B3p/8/5K2/8/8 b - -,h7g6
3qr1k1/1p3pbp/2p1pnp1/4P3/2P5/1P3QPP/1B3PB1/R5K1 b - -,f6d7
r4r2/p2n1pk1/1pp2bp1/4p3/3PP1q1/1QP1B1N1/P4PP1/3RR1K1 w - -,d1d3
3r1rk1/1p4pp/2p1bn2/p1Q5/2P2P2/PqN4P/1P1RB1P1/3R2K1 b - -,d8d2
8/2R2ppk/4p3/p2pP2p/3PbP2/4N2P/1r1b1BP1/6K1 b - -,b2b3
8/8/4k1p1/3p4/PPbK1PPP/3p4/3B4/8 w - d6,d4c5
8/4Rpk1/6p1/7p/5P2/6PK/3r3P/8 b - -,g7f8
r4r1k/pb3p2/2pR3p/1p2PB1n/8/4qNP1/PPQ3K1/R7 w - -,f5g4
r1b2rk1/pp2pp1p/5np1/2P1N3/2B5/4P3/P3KPPP/3R3R b - -,c8f5
4r1k1/2Q2p2/3N2pp/4p3/qbp5/6PP/5P2/3RR1K1 b - -,e8f8
1q4k1/5pp1/R2p3p/4p1b1/1pr1P3/1Pr5/4QPPP/3R2K1 w - -,b3c4
4r1k1/1p3pbp/1qpp2p1/4n3/rPP1P3/p3N1PP/P2Q1PB1/3RR1K1 w - -,d1b1
r4rk1/pp2bppp/2pq4/5p2/6n1/1B5Q/PPPP1PPP/R1B1R1K1 w - -,d2d3
8/2rB4/2P2p2/2P2P2/2kPK3/8/8/8 w - -,d7e6
rq3rk1/1b3ppp/1p3b2/p2p4/P2P4/1Q3N2/nP2BPPP/2RR2K1 w - -,b3a2
r2q1rk1/pp4pp/1n4b1/n1p2p2/1b1P1PP1/3B4/1P2N1NP/R1BQ1RK1 w - -,g1h1
rn2kbnr/pp2pppp/2pq4/8/3P4/2N2b1P/PPP2PP1/R1BQKB1R w KQkq -,d1f3
rn4k1/ppp3pp/3pb2q/8/2PPP1p1/2P3P1/P2NQ1B1/5RK1 w - -,e4e5
r4rk1/1p3pp1/1pnq1n1p/3p4/6b1/1NPB1N2/PPQ2PP1/R3R1K1 w - -,b3d4
2r2r2/1b3p1k/p4Ppn/1p1p1pQ1/5N2/PB4RP/1PP2q2/1K6 b - -,f8g8
2rq1rk1/pp2bppp/2b1pn2/3nN3/3P4/PP1B1N2/3B1PPP/R2QR1K1 b - -,d5b6
r7/p5bk/1p2R1p1/4Pn2/4N1p1/1P5P/P4BK1/8 w - -,h3g4
r1b2rk1/pp3p2/3p3p/2pP1B2/2PbN1nq/3Q2N1/PP3RPP/R6K w - -,f5g4
3qB2k/2p2Q1p/bp3bp1/4pp2/p7/PPP1PPBP/6P1/6K1 b - -,d8d6
8/7p/p2k2p1/2N5/2P3P1/4n3/P6P/7K w - -,c5a6
4r3/5b2/3k2p1/2pq3p/2R5/1P5P/P3QPP1/6K1 w - -,e2f1
6R1/5p1p/1n1npk2/p4p2/1rpP4/N4P2/BP5P/2K5 b - -,b6a4
r2r2k1/4bppp/p3b3/1pp1P3/8/3n1N1P/PP2BPP1/R1B2RK1 b - -,c5c4
r3k2r/p3npb1/1p4pp/2p2q2/Q1B5/4B3/PPP2PPP/3RR1K1 b - -,e8f8
8/P1Q5/8/7q/1K6/4P3/1P4pk/8 b - -,h2h3
r5rk/q2nBQbp/p7/1p6/5P2/6RP/PP4P1/3R3K b - -,d7f6
5r1k/1R3ppn/r3q2p/1R2PN2/p2P3P/8/P4QP1/6K1 w - -,b5c5
r7/pp3Qpk/1np1p2r/q3P3/P2P2P1/5R1P/1P3PK1/2R5 w - -,g4g5
4r1k1/p1p3Pp/8/4qp2/2p5/8/P1pQ2PP/2R2K2 w - -,c1c2
1rb2qk1/5pp1/3Np2p/2P5/1n6/2Q3P1/5PBP/3R2K1 w - -,d1b1
2Q5/5pk1/4r1p1/1P6/6P1/5K2/8/6b1 w - -,c8c3
1r3b1k/5b1p/2q2p2/1ppNn1p1/4Q3/2PP2P1/1R1BP2P/R5K1 w - -,c3c4
8/4r1pp/5p2/3k4/8/2K4P/1R4P1/8 b - -,d5e6
2r3k1/1b6/pp2p2p/3pNn2/3PpPN1/P3P3/1P1RK3/8 b - -,c8c1
6k1/5p1p/2p1p1p1/4r3/p3P1P1/2P2P2/3R1K1P/8 w - -,d2d8
8/R3kp2/6pp/3Bp3/4P2b/5P1P/PPr2PK1/8 b - -,e7d6
1b1r4/pp3k1p/8/4pP2/3P4/7B/PP5P/5R1K w - -,d4e5
8/5r1k/8/1P5p/P7/2K3p1/4R3/8 w - -,b5b6
r1b2rk1/ppp1n1pp/3q4/2bpnp2/3NPP2/2P1B3/PP1NB1PP/R2Q1R1K b - f3,e5g6
2bb3Q/p2kq2p/2p2p1N/1p1p1P2/1P5P/P1PB4/1KP5/8 w - -,h4h5
q1r3k1/1b1nbppp/r3p3/p1p5/PnN5/3P1NP1/1B2PPBP/Q1RR2K1 b - -,e7f8
rnbqk1nr/pp1pppbp/6p1/2P5/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,g7c3:d8a5
8/5k2/p7/5P1r/4R1Rp/P6P/1Pr3P1/6K1 w - -,g4h4
8/p6p/1p2pk2/3p2NK/1P6/3b2P1/2n2P1P/N7 w - -,a1c2
rn2kb1r/pb1ppppp/1q3n2/6B1/Pp1P4/5N2/1PPN1PPP/R2QKB1R w KQkq -,f1d3
r1bqk2r/pppn1ppp/2nbp3/3p4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,f4d6
6k1/6p1/8/1b2N1P1/p7/2K5/8/8 w - -,c3b4
2bqr2r/5kb1/p2p1pp1/2pP4/P1P2P1p/2B2NNP/1Q2R1P1/3R2K1 b - -,h4g3
3qr3/r2p1pbk/2p4p/pp2PNpP/4R3/1P2R3/1P1Q1PP1/6K1 b - -,g7f8
r2qrbk1/pb1n1ppp/1p3n2/2p5/3pP3/1P1P1NP1/PBQN1PBP/R3R1K1 w - -,b3b4
rnb2bnr/ppk3pp/2p5/5P2/4pP2/2N4N/PPP1P2P/R1B1KB1R b KQ -,c8f5
2r2rk1/4ppbp/p2p1np1/1p1Pn3/4P3/1Pq1BP2/P1NQB1PP/2R2RK1 w - -,d2c3
r4rk1/pp1bppB1/3p3p/2p5/2P1nP2/PP1P1qP1/2Q4P/R3R1K1 b - -,g8g7
2kr3r/1p3ppp/p1n1p1b1/6Pn/3P4/1PN2N1P/1P2BP1b/2RR2K1 w - -,g1h2
r2q1rk1/pp4pp/2nbNn2/1Bpp4/8/1P6/PBPP1PPP/RN1Q2K1 b - -,d6h2
2b1r1k1/1pN3p1/4P1n1/p1b3p1/P3R3/2P4P/6P1/4R2K b - -,e8e7
3B4/5p2/3K2k1/1p2P1P1/b1p5/P1P5/8/8 w - -,d6e7
r1b1kb1r/1pq1pp1p/p1p2np1/2P5/3P4/5N1P/PPQB1PP1/R3KB1R b KQkq -,c8f5
1r3rk1/1ppqbp1p/p2np3/6p1/2PP1B2/1P3BP1/P1Q2P1P/3R1RK1 w - g6,f4c1
rnbq1rk1/pp3ppp/2p1pn2/3p2B1/1bPP4/2N1PN2/PP3PPP/2RQKB1R b K -,b8d7
5r2/6bk/1p1Q2pp/4p3/2PqN3/3P2PP/5NK1/8 w - -,d6e7
