8/6pk/2R2p1p/1p6/5PPP/1rP1K3/8/8 w - -,e3e4
1rb2q1r/1p5p/p1k5/3QP3/2pp4/2P3P1/P4PBP/n4RK1 b - -,c6b6
rnb1kb1r/p1q1nppp/1pp1p3/3pP3/PP1P4/2N2N2/2P2PPP/1RBQKB1R w Kkq -,f1d3
r2r2k1/p1b1q2p/2b3p1/1p1p1p2/2pP1P2/1P2PQNP/P5P1/R1B1R1K1 w - f6,g3f1
r1br2k1/2q2pbp/4P1p1/1p2n3/4P3/PBPp2N1/PB4PP/3RQRK1 b - -,c8e6
rnbqk2r/pp3ppp/4pn2/2pp4/2PP4/P1P1P3/2Q2PPP/R1B1KBNR b KQkq -,e8g8
8/3r1kp1/1p1p4/p1p5/P2B1P2/6PR/1Pb4P/6K1 w - c6,d4c3
4rr1k/5pp1/1qp1b2p/ppN5/1P6/P5QP/2PR1PP1/3R2K1 b - -,a5b4
r1br2k1/p1n2pbp/2p3p1/1p6/N2Pn3/1P2PNP1/5PBP/R1B2RK1 w - b6,a4b2
2rq1rk1/pp1bppbp/3p2p1/3Pn1B1/8/1N6/PPP2PPP/R2QRBK1 w - -,d1d2
2krqb1r/1bn3p1/p3p2p/2p5/P1N1B3/1p3PB1/1P2QP1P/R3R1K1 w - -,a1a3
r1bq1rk1/1pp2pp1/3p3p/p2Pp3/3bP3/P2P4/1P2BPPP/R1BQ1RK1 w - -,d1c2
rn1q1rk1/pp4bp/2p1p1p1/3pPn2/5P1P/2N2B2/PPP2BP1/R2QK2R b KQ -,h7h5
4k3/4p3/8/1r2NR2/1p3P2/1Kb5/8/8 w - -,f5h5
bb3rk1/p2q1ppp/3n4/1N1p4/P1n5/1QB1PN2/4BPPP/2R3K1 b - -,f8c8
8/N1R1k3/6pp/3p1p2/1P1Pp3/n6P/5KP1/8 b - -,e7f6
6k1/r2q2pp/3bp3/1p1b1p2/1PpPpP2/2P1P2P/1BQ2NP1/5R1K w - -,f1a1
r2qr1k1/pp3pp1/1bbp1n1p/2p1n3/2NpP2B/3B1P2/PPPN2PP/R2Q1R1K b - -,e5g6
