1R6/5ppk/8/p7/6p1/1p4P1/3B3r/3K4 b - -,a5a4
r1b2rk1/3qppbp/1B3np1/3Pp3/2P5/1RNB3P/4QPP1/1R4K1 b - -,f6h5
r4r1k/1pb2pp1/2pqb2p/p2nN3/PnBP1P2/N5QP/1P1B2P1/3RR1K1 b - f3,d5b6
r4rk1/ppq2ppp/2nbpn2/3pN3/3P4/2P3B1/PP1NQPPP/R3K2R w KQ -,f2f4
2r2qk1/p2p2p1/1p1np2p/8/2P1n2P/P3B3/1P2BPP1/3QK2R b K -,d6c4
rn1qk2r/pbp2p2/1p1pp2p/6p1/2PPn3/2P1P1B1/P1QN1PPP/R3KB1R b KQkq -,e4g3
2r2rk1/1p3p2/p2pb1p1/P3p1bp/1q2P2P/R1NB2P1/1PP1QPK1/1R6 b - h3,g5h6
8/6pk/R7/3pP3/3Bp3/2K1P2p/5r2/8 b - -,f2f1
r3k2r/1b2qpp1/1pnp3p/p2Bp3/Pp1PP3/5N2/1PPQ1PPP/R4RK1 w kq -,c2c3
8/6rk/p4n2/5N1p/2n2B1P/2P2P2/P3r3/2K3R1 w - -,g1g7
r4rk1/ppq2pp1/2nbp1p1/3p4/3P2n1/2P2N1P/PP3PP1/R1BQR1K1 w - -,h3g4
2rr2k1/1b3p2/pp1pq1p1/2p4p/1PP1P1N1/P7/1Q3PPP/2b1RBK1 w - -,g4f6
r6r/pp1B2pp/5k2/2b5/2P5/P7/R4PPP/3R2K1 w - -,d1d5
8/8/4p1K1/3k1rPp/4RP1P/8/8/8 w - -,e4a4
r1bbqrk1/pp3p2/B1pp2pp/2PN4/3pP3/5N2/PP3PPP/R2QR1K1 w - -,d5f4
r2q1rk1/ppp1npp1/2npb2p/2b5/4P2B/2PB1N2/PPQN1PPP/2KR3R w - -,c1b1
8/2r2k2/R3p1p1/p6p/Nb1PP3/8/8/6K1 b - -,c7c4
R7/2k2p2/1p3pp1/p7/2P2nPr/1P2N3/P4PK1/8 w - -,g2f3
rn1qk2r/pb2ppbp/1p1p1np1/2p3B1/4P3/2NP1NP1/PPP2PBP/R2Q1RK1 b kq -,e8g8
3q1rk1/1pr1b1pp/2p1p3/p3Pn2/P7/2N1Q2P/1PP2PP1/3RR1K1 w - -,d1d8
8/6pk/8/P1P2p2/K7/5P2/4Q1P1/1q6 b - -,b1a1
2q5/1p2rpkp/8/3Rbp1Q/2B5/1P4P1/5P1P/6K1 b - -,f7f6
r1bq1rk1/p3n1b1/3p1p1p/npp1pPp1/4P1PP/2PPN3/PP2NKB1/R1BQ1R2 b - -,g8f7
rn2kb1r/pp1b1ppp/1q2pn2/2pp4/3P1B2/2N1PN2/PPP2PPP/1R1QKB1R w Kkq -,f1e2
1r3r1k/1p4p1/p1nppq1p/3n1p2/1P1P4/P3P2P/3BQPP1/2R1NRK1 b - -,e6e5
r7/ppk1rpp1/2p4p/5b2/3RpP2/P5P1/1PP4P/2KNR3 b - -,a8e8
6k1/5p1p/2p3p1/2P5/2bp4/4rPP1/4PK1P/R4B2 b - -,e3c3
5rnk/p7/5q1p/2Qp4/6R1/1P5P/2P2PPK/8 b - -,g8e7
r4rk1/4ppbp/pR4p1/8/2bP4/P1B2N2/5PPP/4R1K1 b - -,e7e6
r1bq1rk1/1p3ppp/p1nbpn2/3p4/1PP5/P1N1PN2/1BQ2PPP/R3KB1R b KQ -,d8e7
2r1qrk1/5p1p/RB4p1/3p4/8/2b1N2P/1nP1QPP1/4R1K1 w - -,e3d5
8/1pr1pknp/p4p2/2P1rP1P/1P1NP3/P7/4K3/3R3R w - -,e2f3
8/pp3k2/5p2/4p1P1/5r2/P1KPR3/1P6/8 b - -,f6g5
5nkr/p3q2r/P1Qp2n1/B1pPp1p1/2P1PpP1/3N1PN1/6KR/7R b - -,f4g3
1r3rk1/2p1b1pp/pnp2p2/4pq2/2P1NP2/1P1P2Q1/PB4PP/3R1RK1 b - f3,e5f4
r1b1k2r/2q1b1pp/pn2pp2/1p1pP3/1P1P1P2/4B3/PN1QB1PP/R3K2R w KQkq -,e1g1
rq2r1k1/1b3p1p/4p1p1/p1nnP1B1/1p1N3P/5Q2/PPB2PP1/R2R2K1 w - -,f3g3
7r/p4kp1/3p2p1/2n1pP2/7r/1PP1R1K1/P2B1P2/5R2 b - -,g6f5
3rrbk1/1pqn1b1p/n1pp1pp1/p7/P1P1PP1P/1PN2NP1/2Q2BB1/1R2R1K1 b - h3,a6b4
2B5/5k2/5p2/p1pp1R2/1p6/1PP5/PKP5/3r4 b - -,f7e7
2r2qkb/1p3r2/p1p1p1p1/PnNbPpBp/1P1P1P1Q/7R/2B3PP/3R2K1 w - h6,h3e3
2r5/3p1R2/3k4/2p2p1r/P1Bp4/1P1N4/3K1P2/8 w - -,d3f4:f7f6
2b1r2k/3n1p2/p2p3p/3Pq1p1/1N2P3/7P/3Q1PP1/4RBK1 w - -,b4c6
rnbqk2r/pp4bp/1np2pp1/3p4/2PP4/2NBBN2/PP3PPP/R2QK2R w KQkq -,c4c5
8/8/4b3/p4p2/P2p1Pp1/1k4P1/2BK4/8 b - -,b3b2:b3b4
r1bq1rk1/pp2nppp/2Nb4/1B1p4/2pP4/2P1B3/PP3PPP/RN1Q1RK1 b - -,b7c6
8/5ppp/8/p1kNnP2/4P1P1/2PK3P/8/8 w - -,d3c2
r4rk1/1p1nqppp/p4n2/3pbB2/5N2/PP2PQ1P/1B3PP1/R2R2K1 w - -,f4d5
q4kr1/5p2/b3pb2/p1p1P2Q/P1Pp1P2/3P2PK/1R6/2R5 w - -,e5f6
3r1k2/p6p/1p1pP1p1/1P2p1q1/2Q5/4nPPB/P6P/5RK1 w - -,c4c1
6rk/6bp/4Q3/8/5P2/4B2P/3R1K2/7q w - -,d2d5
