4r3/pp6/4k2p/6p1/8/8/PPB3PP/7K w - -,h1g1
4r3/6k1/7R/1p1n2P1/2ppp2P/5p2/PPP5/1K3R2 w - -,h4h5
r7/1pp3pp/1p1pk3/4r3/PP2Pp2/2P2P1P/5KP1/R2R4 w - -,c3c4
r1b1r1k1/p4p1p/2p1p1p1/q1BnR3/2BP4/1Q4P1/P4P1P/4R1K1 w - -,c4d5
1r2r1k1/2q2ppp/pp1p1bn1/3P4/Pnp1PP2/R1N4P/1P1Q2P1/1B3RBK b - -,c7c8
2q2k1r/pp2npbp/6p1/2n1P3/8/5N2/PPP1QPPP/R2R2K1 w - -,e2b5
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQK2R b KQkq -,c8e6:a7a6:c8g4:c5b6:d8e7:e8g8:c6e7:h7h6
1b6/1b1r1kp1/1P3p1p/N3p3/1B2P3/5P1P/6P1/1R4K1 b - -,f7e8
r5k1/pp3p1p/2p1r3/5pP1/6q1/P1P5/1PP4Q/1K1R3R b - -,h7h5
3b4/2R3p1/p3rpk1/1p5p/1P2P3/P4KP1/5B1P/8 w - -,c7d7
1r1r4/pp4k1/2nN1ppp/2P1p3/6b1/2P3P1/PP3PBP/R3R1K1 w - -,b2b4
3r1r2/pn3pk1/1pn1p1pp/2p5/2P5/1PN2NP1/P3PP1P/R2R1K2 w - -,h2h4
8/1p6/p1b4p/P1Bq1kp1/1P3p2/7P/4Q1PK/8 b - -,h6h5
8/1K6/4Q3/8/5k2/2B5/8/8 b - -,f4f3
r4r2/npqnb1pk/p1p1pP1p/P2p4/3P1PQ1/1N1NB3/1PP3PP/R4RK1 b - -,f8f6
1R4R1/5p2/2rnp3/1p5k/p7/6PK/5P2/8 w - -,b8d8
3r3k/1p1r1p1p/5p2/p2Bp3/1bP4N/1R5P/PP2bPP1/2R3K1 w - -,a2a3
1k1r4/ppqn1p2/2p1p1b1/3p2Q1/3P2P1/2P3R1/PP2BP2/R3KN1r w Q -,e1c1
8/8/8/3k1pp1/8/2R1K1P1/r7/8 w - -,c3b3
r4rk1/2qb2b1/p2p2pp/3Ppn2/1RB1N3/3Q4/P4PPP/2B2R1K w - -,c1d2
2r1n1k1/qp3bp1/p1rbp2p/3p4/PB1P4/3B4/1P1QNPPP/2R2RK1 w - -,b4d6
r1b1kb1r/1p1p1ppp/p1q1pn2/8/2B1P3/2N5/PPP2PPP/R1BQ1RK1 w kq -,c4d3
2kr3r/1bq3p1/pp2pnB1/2b3B1/2P1p2p/2N4P/PP2Q1P1/4RRK1 w - -,g1h1
4rk1r/p5pp/b3pnn1/2ppN1B1/2P2P2/P1P3P1/7P/3RKB1R w K -,f1d3
1r1q1kr1/3b1pp1/4p2p/pp1pPn2/2pP1NQP/P1P2RPB/2PK1P2/R7 b - -,g7g5
1rb2bk1/2qn1p1p/1B4p1/1p2p3/1p2P1B1/RNP4P/2Q2PP1/R5K1 b - -,d7b6
6k1/6p1/1p1PN2p/2pNn3/6P1/7P/rPb5/5RK1 w - -,d5e7
1r3rk1/4bppp/4bn2/q7/2p5/P1N1BQ1P/1P2BPP1/2RR2K1 w - -,d1d2
r4rk1/p1qn1ppp/1p6/2pR2b1/4P3/5N2/PPQ2PPP/R5K1 w - -,f3g5
2rr2k1/p2n1p2/b2P2p1/2q1p3/8/1P2N1P1/P2R1QBP/3R2K1 b - -,g8g7
5rk1/1pp3pp/1p1p1nn1/4p3/P3P3/6P1/P2qBPQP/R4RK1 w - -,e2c4
r2q3k/2p3pp/6n1/P2P1nP1/2Q2p2/2B2N1P/5PB1/6K1 w - -,c4e4
3q1r1k/1Q4pp/3p1b2/3B4/8/6P1/P2r1P1P/R4RK1 w - -,a1d1
r4rk1/1pqb2pp/p3pb2/3p4/P1BN1P2/2P5/1P3QPP/R1B2RK1 b - -,d5c4
r5k1/1p2n1pp/p3p3/3p4/3q4/P1NB1R2/1PQ2KP1/3R3r w - -,f2e2
r1bq1rk1/pp4bp/2ppnn2/8/1PP1pP2/2N3PP/P3N1BK/R1BQ1R2 w - -,f4f5
6k1/ppr2pp1/3q3p/3p4/5P2/P2BP2b/1P1Q1P1P/3R2K1 w - -,f2f3
6k1/1r1b1p2/4p2b/3NPnNp/2p2Pn1/B6K/1PP3B1/2R5 b - -,h6g5
rnbqkbnr/pp3ppp/2pp4/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d8c7
2k3r1/p4p2/1p2pBpp/2p1P3/2n1QP2/P1P2RK1/3q2PP/8 b - -,d2d5
1r4k1/p1q1bp1p/B5p1/n3p2P/4Q1P1/1PP2P2/1BP5/2KR4 b - -,e7a3
1rbr2k1/2q1bppp/p4n2/8/2Pp4/1P3NP1/PB2Q1BP/R4RK1 w - -,b2d4
5rk1/p4ppp/5n2/1p5q/8/1P1BNbP1/P1PP1Q1P/4R1K1 b - -,f3c6
r2r4/ppq1n1kb/2p1p2p/4P1pP/2PP1pP1/1P3B2/P2R3K/2R1Q1B1 b - -,c7a5
rn1q1rk1/p3bppp/bpp1pn2/3pN3/Q1PP4/2N3P1/PP2PPBP/R1B2RK1 b - -,b6b5
8/8/6p1/5p1p/2kP3P/r3BPP1/4K3/8 w - -,f3f4
r4q2/pp3kp1/2p1pb1p/4B3/5RQP/6P1/PP3PK1/8 w - -,g4f3
2rk4/7R/4p3/3bP3/2nN4/B2K4/7P/8 w - -,a3e7
1r6/1P1k1p2/2pbp1p1/3n2P1/3P4/5B2/3B1P2/1R4K1 w - -,f3e2
8/2r3pp/4k3/2pR4/P1Pp4/7P/P3KPP1/8 b - -,c7a7
4rbk1/1p3pp1/p3p3/2Pn2p1/1P6/P5P1/1B3P1P/R2R2K1 w - -,a1c1
r2rqbk1/1bp2p1p/p3n1p1/Pp2p3/1P2P3/1NPBBP2/5QPP/R2R2K1 w - -,b3c5
4r1k1/2pQ3p/6p1/8/1Pq2B2/5P2/5b1P/7K w - -,d7e8
1r2rbk1/3nqp1p/p4np1/4p3/PP2P3/3bBNNP/3Q1PP1/RR4K1 w - -,d2d3
2kr1b1r/pp2pp2/6p1/3p2B1/3P4/2P5/P2K1PPP/R6R w - -,h2h4
2r1r1k1/3q1pp1/3nbn1p/pp1p4/3P1Q2/2N3NP/PP3PP1/1BR1R1K1 w - -,c3e2
r2qk2r/pp1n1ppp/2pbp3/7b/2PPB3/5N2/PPQ2PPP/R1B2RK1 b kq -,d7f6
5r2/4bpkp/6p1/4P1q1/1p6/1Q3B2/PP4PP/2r1RR1K b - -,c1e1
rn1qkb1r/pp3p1p/2p1pp2/8/3P2b1/4BN2/PPP2PPP/R2QKB1R w KQkq -,g2g3
8/8/8/4K3/7R/3k4/2b5/8 w - -,h4d4
r1b2rk1/1pqnppbp/p2p1np1/3P4/2pNP3/2P1B2P/PPB2PP1/RN1Q1RK1 b - -,d7c5
2b2rk1/1p3pbp/nq1p1np1/2pPp1B1/2P1P1P1/QP5P/N2NBP2/5RK1 b - -,h7h6
r3r1k1/pp4p1/2pn1p2/3p1qp1/P2P2N1/1P1QPPP1/6P1/4RRK1 w - -,g4f2
1r6/2kn2p1/R2Np2p/2Pp3P/6P1/8/2K5/8 w - -,a6a7
7r/4q1k1/2nn4/1pNpP1p1/pP1P2P1/P1PB1R2/6K1/2Q1R2r b - -,h8h2
3rr1k1/2p2pp1/pb3q1p/1p2pN2/4P1Pn/2PQ4/PP3PP1/R1B1R1K1 w - -,d3h3
8/1pB5/2b2pk1/6pp/1R5P/3PK1P1/2r5/8 w - -,b4d4
4B3/8/8/p2kBp2/P4P2/8/4b1K1/4b3 b - -,d5e4
4r1k1/rp4p1/2p2q1p/P2p4/5P2/1RQ1P3/6PP/5RK1 w - -,c3f6
5rk1/7p/3p4/4bp1Q/4p3/6P1/5P1P/2qR1BK1 b - -,c1c5
2r2r1k/p2q1pp1/2b1p2p/4P2P/2P4Q/2npB1P1/Pb1N1P2/R3RBK1 w - -,e3h6
r1r5/3n1k2/2q1pn2/p1P2p1p/Qp1P1N2/4Pp1P/1B4P1/R1R3K1 w - -,a4c6
r1b2qk1/1pp4p/1pn3p1/3p3n/3P4/2PB1N2/PPQ3PP/R1B3K1 b - -,c8g4
