8/5R2/3P2pk/8/1p5P/8/5PK1/3r4 w - -,f7b7
r3k2r/1bqn1pb1/pp1ppnpp/8/P3PPP1/1NNB4/1PPBQ2P/R4RK1 b kq -,d7c5
5k2/6p1/pn3p2/1n4PP/4KP2/2pB4/8/B7 b - -,b6a4
7k/7p/7p/ppN1rP2/1P6/P1PBb3/8/7K b - -,e3c5
rn2r2k/pp3pbB/3pp3/2pP2q1/2P5/4P1B1/PP3PP1/R2QK2R w KQ -,d5e6
rnb2rk1/p2nq1pp/1pp1p3/3pPp2/1b1P1PP1/2N2N1Q/PPPB3P/R3KB1R b KQ g3,c8a6
8/8/8/6Pq/6Q1/4PK2/2k5/8 b - -,h5f7
6k1/6p1/4p3/1p3r2/1R5P/P3K3/8/8 w - -,a3a4
4rrk1/pppq3p/5pp1/3p1n2/3P1b2/2PQ1N1P/PP1NRPP1/4R1K1 w - -,d2f1
r2r2k1/pp2b1pp/2n1bp2/2p1pN2/4P3/1P4P1/PBP2PBP/3R1RK1 w - -,f5e3
r5k1/1bq1bppp/1p6/3pP3/8/1P2B3/4BPPP/Q4RK1 w - -,a1d4
r1bq1rk1/1ppnbppp/p2p1n2/4p3/P1BPP3/2N2N1P/1PP2PP1/R1BQ1RK1 b - -,b7b6
r5k1/1b1n1ppp/pr2pn2/8/2B5/1PB1PN2/5PPP/R2R2K1 w - -,c3d4
2r3k1/5pp1/1p2q2p/p1rp4/3Q4/P3P1P1/1P1R1P1P/3R2K1 w - a6,d4d3
r1b1k2r/4bpp1/p1p1p2p/q2pP3/8/P1NB4/1PPQ1PPP/R4RK1 w kq -,g1h1
r6r/ppqBkb1p/2n2p2/2Np2b1/1P1P2P1/P3PQ1P/8/2R2RK1 w - -,b4b5
r1bqkb1r/1p1B1ppp/p3pn2/2p1N3/3P4/2N5/PPP2PPP/R1BQK2R b KQkq -,f6d7
5k2/5p2/1p2p2r/p1bb4/3N4/2P1K3/PP1N4/6R1 b - -,e6e5
