8/5ppk/7p/R7/P7/2r2P1P/6P1/6K1 b - -,c3a3
2r5/6k1/3pq1p1/1R2n2p/1PpQPp2/5B2/5PP1/6K1 w - -,f3d1
5rk1/2q2pp1/bp2p2p/p1npP2Q/P6P/4PN2/1PBR2P1/6K1 b - -,c5e4
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8d7:a6b5
8/8/8/8/kp3r2/6R1/1K6/8 b - -,b4b3
8/1n1P1k1p/p1N1pp2/6p1/8/8/P4PPP/6K1 w - -,d7d8q
r7/7k/5Q2/2PrN2K/1p2qP2/7P/1P4P1/8 w - -,f6f7
8/8/3p2k1/N5P1/2pK4/2P3P1/8/5b2 w - -,a5c4
r4rk1/pp4pp/1bp2p1n/3pPb1q/3P1P2/2NQB1P1/PP1R2BP/2R3K1 w - -,d3e2
r4rk1/1bqnbppp/pp1ppn2/2p5/2PP4/1PN1PNP1/PBQ2PBP/R2R2K1 b - -,a8c8
1k6/1p3p2/2p1p3/p1P1P2p/5R1P/1P2n3/N5r1/1K6 b - -,e3f5
r2qr1k1/1p3pbp/p4np1/8/8/N1N2P2/PP1Q2PP/3R1RK1 b - -,d8a5
r2qkbnr/pp1b2pp/2n1pp2/3pP2P/3P2P1/5N1B/PP3P2/RNBQK2R b KQkq -,f6e5
8/8/4pkr1/1p1p1p2/p2P3p/P1P2RrP/1P3RP1/5K2 w - -,f3f4
r3k2r/2pq2pp/1pn5/1Q1p1p2/2pP1b2/P5PB/1PN1PP1P/R4RK1 b k -,a8a5
3r1r2/1p2npkp/6p1/p1P5/Pn1Q2P1/3N3P/5PB1/3R1RK1 b - -,d8d4
1r1qbrk1/6bp/pN1p4/P2Pp1n1/P3Ppp1/R4P2/2QB2PP/4NRK1 b - -,e8g6
2b1r1k1/2r1bRpp/p3p3/1p1pP3/4n3/2PNB1P1/PP2B2P/5RK1 b - -,e8f8
1k2r1nr/pp3p2/1q2p1p1/3pP1bp/2pP4/PbP2PPB/1P1Q1RNP/1R4K1 w - -,d2g5
8/2R2p1p/4pkp1/2p5/5P2/5KP1/2r5/8 w - -,f3e4
2bR4/2r2Bpk/2n5/p3pP2/Np2P3/8/PPP4P/1K6 w - -,d8f8
r4rk1/pppq2pp/2n1bb2/3p4/4n3/1BP2N1P/PP2QPP1/RNB2RK1 w - -,f1d1
8/R5bk/p5p1/1p5p/8/6BP/PP2rPPK/8 b - -,g6g5
2rq1rk1/pp2ppbp/3pbnp1/6B1/2P1P3/2N5/PP1QBPPP/2R1K2R w K -,b2b3
4r1k1/3r1p2/4q1pp/4PR2/8/2Q1P1P1/7P/5RK1 w - -,f5f6
r1r3k1/ppnbqnbp/3p1pp1/3Pp3/1PP5/P1N1BN1P/R4PP1/3QRBK1 b - -,g7h6
r1bq1rk1/1ppp1ppp/1bn2n2/p7/P3P3/1NN5/1PP1QPPP/R1B1KB1R w KQ -,c1e3
8/3b1p2/3p2p1/1pnPp1k1/1Np1P1P1/2P1qP1Q/1PB5/1K6 w - -,h3h1
1r3rk1/1p1qppbp/p2p1np1/n1pP4/NPP1P3/4B3/P1Q1BPPP/R4RK1 b - b3,b7b5
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 b - -,b8d7
rq2k2r/2bp1ppp/2b1pn2/p7/2P1P3/Q2N1P2/1P2B1PP/2R2RBK b kq -,h7h5
6k1/pb3pp1/1pp2P1p/2q5/5P1Q/P1N4P/1Pr3P1/4R2K w - -,f6g7
8/3b4/p1pk4/Pp1p1P2/1P1N2p1/2P3P1/4rK2/8 w - -,f2e2
r2q1rk1/1p2b1pp/3p4/3Pnp2/pnPBp3/2N5/PP2BPPP/R2Q1R1K b - -,e7f6
r5k1/5ppp/2p5/p1PpP3/P2Pb3/1rB3PB/7P/R1b2K2 w - -,a1c1
8/8/6K1/r5N1/4p3/p1n1k3/R7/8 w - -,a2a1
1rb1r1k1/p3qpbp/6p1/1N6/Pp2p3/1P2P1P1/4QPBP/2R1R1K1 w - -,c1c7
5r1k/1p2q2p/p1p1n2r/2Ppbp2/1P3Np1/P3P1P1/2QR1PBP/3R2K1 b - -,e6g5
1r3k2/1p3ppp/3Npn2/8/8/6P1/2PP1PKP/1R6 b - -,b7b6
8/8/6k1/2pPBQb1/2q1Pp1p/7P/6P1/6K1 b - -,g6h5
r3r1k1/2pq1pb1/pp3n1p/6p1/P2Pp1b1/2P1P1P1/1PQN1RNP/R1B3K1 w - -,c3c4
2k3rr/ppp4p/2np4/4nq2/8/2P2N1P/PP1NQ1P1/R4RK1 w - -,f3d4
8/6B1/2k5/bp3Pp1/p5P1/8/1K1r4/5R2 w - -,b2c1
r4qk1/1pp1pr2/7p/p1PpP3/1n1P2P1/1P4BP/P2Q4/R4RK1 b - -,g8h7
1r4k1/1p2rppp/2nNbn2/2P5/1p2N3/6P1/1P3PBP/R3R1K1 b - -,f6e4
8/p1p1q1kp/1r4p1/8/3Q3P/8/P4PP1/R5K1 b - -,g7h6
1r3rk1/p3bppp/b1ppP3/2pp4/P4B2/2Pq1N2/1P3RPP/R3Q1K1 w - -,f3g5
8/4qpk1/p3p1p1/4P2p/1p2PQ1P/4PN2/bP1R2PK/2r5 b - -,a6a5
r1r3k1/pp1qppbp/2n2np1/1B6/Q4B2/2N5/PPP2PPP/R4RK1 w - -,a1d1
r3qrk1/pp1nb1pp/3p4/3Ppb2/8/1QP2NP1/P4PBP/R1B2RK1 w - -,c1e3
4r1k1/ppQ2p1p/5qp1/8/2P1B1b1/1P6/P4PPP/3R2K1 w - -,f2f3
2rr2k1/5pb1/pqpp1npp/8/PP2P3/5P2/3QN1PP/2R1BR1K b - -,c6c5
rnbq1rk1/p2pbppp/1p2p3/6Bn/2P5/P1N2N2/1PQ1PPPP/R3KB1R w KQ -,h2h4
7q/8/5bk1/3Q1p2/P2P2p1/3KP1n1/5P1r/2R1B3 b - -,g3e4
5r2/4qp1k/5Rpr/p1p1P3/Pp1pNQP1/1P1P4/2P5/6K1 w - -,e4d6
8/6k1/6bR/4K1P1/7P/8/8/4r3 w - -,e5d4
3rk2r/ppqnbpp1/2p1pnp1/3p4/2PP4/1PN1P2P/P3BPP1/R1BQ1RK1 w k -,c1b2
2r1n3/1R3pkp/Q2pp1p1/8/P2bPP2/2q4P/2P1R1P1/6K1 w - -,g1h2
4r1k1/5Rpp/8/8/8/BP3pP1/P4r1P/3R2K1 b - -,f2g2
5rk1/5p1p/2p3p1/1pp1b3/2P1P3/1B2R2P/P4PP1/6K1 w - -,g1f1
5rk1/pp1q2p1/2rpb2p/P2p1p2/1QnPn2P/2NBPNP1/5PK1/2R4R b - -,f8c8
6r1/1p3k1p/p1p5/3pPP2/1P2p2P/P7/5R1K/8 w - -,h2h3
r1bq1rk1/pp1n1ppp/4pn2/2p5/2Q5/P4NP1/P2PPPBP/R1B1K2R w KQ c6,e1g1
1n3rk1/1pr1nppp/p3p3/2PpP1N1/q2P2P1/2BQ4/4BP1P/5RK1 b - -,e7g6
r2qrbk1/1b1n1ppp/p4n2/2pNp3/NpP1P3/1P4P1/PB3PBP/R2QR1K1 w - -,f2f4
8/2p1bk2/2N1b1pp/2N2p2/2P1p3/rP4P1/4PP1P/2R2K2 w - -,c5e6
r1bq1rk1/pp2ppbp/5np1/3n4/3P4/1BN2N2/PP3PPP/R1BQR1K1 b - -,e7e6
3q2k1/pp3pp1/5n1p/4p3/2Pr4/1P3PP1/PN2Q1KP/3R4 b - -,d8d6
8/2p5/1k1p2K1/8/P3P3/1NP5/8/8 w - -,g6f6
4rbk1/r4ppp/p2p1nn1/1pp1P3/5P2/1BP2q1P/PP1N1BP1/3RR1K1 w - -,d2f3
8/6p1/5k2/5p1p/p6r/P1KR3P/8/8 b - -,g7g5
1k1r3r/pp2qb2/2pb1pp1/5p1p/2pP1N1P/P3P1P1/NPPQ1P2/1KR4R w - -,a2c3
