r2r2k1/5ppp/p1B5/8/8/3nK1P1/7P/R6R b - -,a8a7
r1bq1rk1/p2nbppp/1p1p1n2/2pP4/4PB2/2NB1N1P/PP3PP1/R2QK2R b KQ -,c8b7
2r1r1k1/6bp/1p3pp1/p1p2n2/2P1N3/P5P1/1P1BnPBP/1R3R1K b - -,c8d8
r2q1rk1/pp1b1ppp/4pn2/1Bp5/8/1P3N2/P1PPQPPP/R3K2R w KQ -,b5d7
4r3/1R6/1p2k1p1/p5p1/P2bp2p/1P5P/3BK3/8 b - -,e4e3
8/RR3pk1/5r2/3p1p1p/8/6P1/3r1PKP/8 w - -,a7a4
r5k1/ppp2p1p/2rp2p1/4q3/PP6/3QP3/5PPP/R4RK1 w - -,g2g3
1r2k2r/p4pbp/n1pppnp1/8/1q2PP2/2N1BQ1P/PPP3P1/2KR1B1R w k -,f1a6
2r1kb2/1bqn1pp1/p2pp2r/1p2n3/3QP3/1NN3B1/PPP1BP1P/1K1R3R w - -,a2a3
8/7p/4n3/4k3/4Pp1P/P1R2K2/1r3B2/8 w - -,c3d3
rnbqkb1r/1p1p1ppp/p4n2/4p3/4P3/2N5/PPP1NPPP/R1BQKB1R b KQkq -,f8b4:f8c5
1r1r2k1/1p1bbppp/p2pp3/7n/2P5/P1N1B1P1/1P2PPBP/R2R2K1 w - -,e3a7
2rq1rk1/pp4pp/3pR3/3P1pN1/2P5/P2Q4/1P3PPP/R5K1 b - -,d8g5
6k1/R3N2p/1p2b1p1/1P2pp2/7P/3nPB2/5PPK/2r5 b - -,g8f8
4k3/4np2/2p2p2/4r3/2R2BP1/8/8/6K1 w - -,f4e5
r5k1/pp3q2/2pp1p1p/3b1Qp1/7P/2B3P1/PP3P2/4R1K1 w - -,c3f6
r2q1rk1/1ppbbp1n/p1np4/3Np1p1/1PB1P2p/P2P3P/1BP2PPN/R2Q1RK1 w - -,h2g4
4rrk1/2pb1qbn/1p1p2p1/p7/P1PPp2p/1QP1P2P/R2NB1PB/4R2K w - -,e1f1
r1b2r2/ppp3kp/2n2pp1/3N4/2Pb1P1B/8/PP2B1PP/2KR3R b - -,c8f5
r4r2/pb1q1pbk/1pnpp1pp/2p5/1PP1P1n1/P1NP1NPP/3B1PB1/1RQ2RK1 b - -,g4e5
5R2/5r2/5k1p/p1p5/4Bb1P/P4P2/1PP5/1K6 w - -,f8a8
8/2K1k3/2P5/1R6/8/8/4r3/8 b - -,e2e1
r1b2k2/pp3pbp/2n3p1/q2NP3/1pP3n1/5N2/P2QBPPP/R3K2R b KQ -,g4e5
3r2k1/3P1p1p/6p1/2r1p3/8/p5PB/1n3P1P/BR4K1 w - -,g1g2
Br3rk1/p1q1ppbp/6p1/2p1n3/5P2/2P1BN1P/P3Q1P1/1R3RK1 b - -,b8a8
7r/5p2/1p2k3/pPp1p3/P1P1P1Rp/3P3P/5KP1/8 b - -,e6f6
2r3k1/3b3p/3p2n1/1pnP1p2/1p1N1P2/5BP1/3N3P/1R2K3 w - -,e1d1
3r2k1/p2q1pp1/1p3r1p/2p1b3/4B1bP/1PPP2P1/P1R2Q2/4NRK1 w - -,f2e3
8/5k2/p5p1/8/2pB1PPp/5KbP/P7/8 w - -,d4c3
4r1k1/1r1n1pbp/pn1p2p1/1ppP4/4PP1q/PP3QNP/2BB2P1/1R3R1K w - -,e4e5
1nbq1rk1/1p3ppp/r7/3N4/p7/2NPB1P1/PP4BP/R2Q1K2 w - -,c3a4
rr3nk1/1bn1qpbp/p2p2p1/1ppPp2P/P1P1P1P1/1PNBBPN1/3Q1K2/6RR w - -,g3f5
r3kb1r/pppbqpp1/3p1n2/1B1Pn2p/4p3/1P2P1N1/PBP2PPP/RN1Q1RK1 w kq -,b5d7
r1b2rk1/1p2q1p1/p2bp2p/4np2/3NQ3/4B1P1/PP2PPBP/R2R2K1 w - f6,e4c2
4r1k1/7n/3R2p1/3P3p/4p3/6r1/1P2RNP1/7K w - -,f2e4
1rbq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N1B1N1/1P2BPPP/R2Q1RK1 b - -,f8e8
r2qkb1r/pp1n1ppp/2p1pn2/8/4N3/1P3Q1P/PBPP1PP1/R3KB1R w KQkq -,e4f6
2rb2k1/5p1p/1p1B4/4P1p1/4bP2/P2N2P1/5K1P/3R4 w - -,f2e3
8/1r4kp/6b1/3Rp3/p3p3/2P1Nr2/2K5/3N2R1 b - -,b7a7
5rk1/2q2bp1/pb1pp1p1/1p6/1P2P1QP/2P2rPN/P5BK/5R2 w - -,f1f3
r4rk1/7p/pn1p1bp1/q1pPp3/PpP1P3/3B4/P1Q3PP/1KNR3R w - -,c1e2
rn3rk1/pp2ppbp/2pp1np1/q7/2PPP1b1/2N2NPP/PP3PB1/R1BQ1RK1 b - -,g4f3
1rbkq1r1/p3p3/1p3n1B/2ppQP2/4P1P1/1P1P3P/2R5/5RK1 b - -,b8b7
r2qkb1r/pp3pp1/2n1pnp1/1Bp3P1/P2P4/2N1P2P/1P3P2/R1BQ1K1R b kq -,c5d4
r2qr1k1/1p1b1p2/p4bpB/3pn3/1P1N4/P1P5/2B4P/R3QRK1 w - -,e1g3
1k6/1p4rp/5rp1/1PBnN3/R2N4/3K2P1/7P/8 b - -,h7h5
r1b2rk1/ppq2pp1/3bp2p/3n4/8/3B1N2/PPPBQPPP/3R1RK1 w - -,f1e1
3r2k1/p2rppbp/1p4p1/2n5/4Nq2/P1P2NP1/1P2RPP1/4R1K1 w - -,g3f4
r4rk1/2qnppbp/p2p2p1/nPpP2N1/4P3/1PN5/P2BQPPP/1R3RK1 b - -,f8b8
6k1/5pp1/Q5bp/P7/3qp1P1/8/2r2P1P/3B1RK1 b - -,c2d2
rn1q1rk1/p2p1ppp/4p3/2p1Q3/2P5/P2BPP2/1P3P1P/R3K2R b KQ -,b8c6
3rr1k1/p4qp1/1b1p1p2/1p1R1P2/4nBQ1/3RPB2/P5K1/8 b - -,f7c7
5r1k/6pp/2p5/p2pP3/P1pP1P2/1r3n1q/1P6/R1Q1KRB1 w - -,e1e2
r1bqk2r/pp2bpp1/2nppn2/7P/3NP2P/2N1B3/PPP2P2/R2QKBR1 b Qkq -,f6h5
3r3r/2pk4/pp3bp1/PN3p1p/2P5/4PPP1/R4KP1/1R6 w - -,b5d4
8/2k4p/2p3p1/pp2r3/P2R3P/2P2K2/1P6/8 w - b6,d4f4
R7/1p6/3p3p/3kbpp1/1B2b3/2P1K1P1/1P5P/8 w - g6,a8a5
2b5/8/2P5/3N3p/1p3Kp1/k7/8/8 w - -,d5b6
8/8/8/8/4k3/8/5Kr1/8 w - -,f2g2
rnbq1rk1/1p3pbp/2pp1np1/p3p3/1P2P3/3P1NP1/P1PN1PBP/R1BQ1RK1 w - a6,b4a5
r3qrk1/pppb1pbp/n2p1np1/3Pp1B1/2P1P3/2N5/PP1QNPPP/R2BK2R b KQ -,a6c5
rnbq1rk1/pp2ppbp/5np1/2pp4/3P4/2PBPN2/PP2QPPP/RNB2RK1 b - -,d8c7
8/p3b2p/1p2b1k1/4pp2/2P1p3/1P2P1P1/PB3K1P/3B4 b - -,e7d6
rnb1k2r/1p2bppp/p7/2qp4/8/1PP2N2/P4PPP/RNBQ1RK1 b kq -,c8g4
8/1b2qpkp/pp1r2p1/1B2p3/3bP3/8/P1Q2PPP/2R2R1K w - -,c2c7
r4r1k/ppq3p1/1np2nQp/8/3PN1bN/1B2P3/PP3PPb/R1BR3K b - -,g4d1
r1bqr1k1/bpp2pp1/p1np1n1p/3Np3/P1B1P3/2P2N1P/1P1P1PP1/R1BQR1K1 w - -,b2b4
8/3k2K1/5B1P/7r/R3b3/8/8/8 b - -,e4c2
4rrk1/1pp2ppp/p2p4/8/P1PB2bP/R1N5/1P1KB2q/5Q2 b - -,g4e2
r1b2rk1/1p1pqppp/p1n2n2/4p3/4P3/2NB4/PPP2PPP/R1BQK2R b KQ -,h7h6
3r4/2p1rpk1/6p1/pP1BP2p/PbP2R2/1N2R1P1/6K1/3b4 w - -,f4f1
3q1rk1/1R1b3p/2nN3Q/2P5/3pP3/5p2/6rP/2R4K w - -,h6h5
r1b1k2r/2ppqppp/1pp2n2/4P3/2B5/2P5/PP3PPP/RN1Q1RK1 b kq -,f6e4
q1r2rk1/1b1nbp1p/pp1ppnp1/6P1/1PP1PP2/P1NBB2P/3N4/2RQ1RK1 b - -,f6h5
r1b2rk1/ppqnppbp/2pp1np1/8/3PP3/2N1BN1P/PPP1BPP1/R1Q2RK1 w - -,e3h6
r2qk2r/1p2ppbp/p1np1np1/8/2P1P3/2N1QB1P/PP3PP1/R1B2RK1 b kq -,f6d7
r2q1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1QN2/PP2BPPP/R1BR2K1 b - -,a8c8
rnb2rk1/1pp1qppp/p3pn2/3P4/3P4/2N1PN2/PP1Q1PPP/2R1KB1R b K -,e6d5
r1b1qrk1/pppn2bp/3p2p1/4pp2/2PPn3/4PN1P/PP1NBPPB/2RQ1RK1 b - -,g8h8
r1b1r1k1/2qn1ppp/1ppb1n2/p3p3/P2Pp3/2P2NPP/1P1N1PB1/R1BQR1K1 w - -,d2e4
r2qk2r/pp1n2pp/4pbbn/3p4/2pP2P1/1PP5/P2BBP1P/R1NQNRK1 b kq -,c4b3
5r1k/2Q3pp/p4q2/5p2/8/N7/PrP2PPP/R3R1K1 b - -,f6g5
1r2r1k1/5p1p/p1Pp2p1/Pp1P2B1/1Pnp3P/6P1/5P1K/4RB2 w - -,c6c7
8/7p/1p2k1p1/2rN4/K3PPPP/8/5b2/1R6 b - -,c5c4
3qb1r1/6rk/2p1p2p/1pPpPp1n/pP1P2p1/P1N1P1P1/3Q1R1P/5BRK b - -,g7g5
r5k1/1p1n1rpp/p1n1p2q/3p4/2pP2P1/2P1Q2P/PP3PN1/R3NRK1 b - -,h6e3
r3kb1r/pbpp1ppp/1np1q3/4P3/2P5/2N5/PP1BQPPP/R3KB1R w KQkq -,e1c1
4r1k1/1p2qppp/r2p4/2p5/b1P1n3/P2BPP1P/1B4P1/R1Q2RK1 b - -,e4g3
r3q1k1/1p3ppp/5n2/3p4/pPr3b1/P3PNP1/3Q1PBP/2R1R1K1 b - -,a8c8
5r2/8/6p1/4R2r/KP1PpP2/4Pk2/2R2P2/8 b - -,f8a8
5rk1/1pp3b1/3pq2p/p3pr2/P5N1/2P3PQ/1P6/R1B3K1 w - -,c1h6
2r2rk1/pp1b2pp/1qnbpp2/8/3pPP2/3P1NPB/PPRB3P/R2Q2K1 w - -,d1e2
8/8/7p/p3N2k/P3pP2/7K/8/4b3 b - -,e1c3
8/3kb3/1R4p1/1P6/4K3/1r2B1P1/5P2/8 w - -,e4d5
5rk1/pppn4/3pp3/1P2b1p1/2P1P3/P2B1PB1/6KP/5R2 b - -,g8g7
r3r1k1/p4pbp/2NP1np1/1Pp1p3/2B5/P1N4q/1P2QP2/R4RK1 w - -,f1d1
rn2kb1r/p3pq1p/b1p3p1/5p2/PppPnN2/5BN1/1P3PPP/R1BQ1RK1 b kq -,e4g5
r4rk1/1bq2pbp/p5p1/1p2p2n/3NP3/PPN2Q1P/1P3BP1/R4RK1 w - -,d4f5
2r1k2r/p3npb1/4q3/2B1P2p/3p4/1N3Q2/PP4PP/R4RK1 b - -,g7e5
2r2rk1/pp1nbppp/4p3/q1Pp4/3P1B2/1P1Q1N2/P4PPP/1R3RK1 b - -,h7h6
2rq1rk1/3n2pp/pp1p1bb1/3Ppp2/2P2P2/1N2B3/PPRQB1PP/3R2K1 b - -,f8e8
r1b1r1k1/1p3ppp/p1n1p3/nQ1q4/P1pP4/B1P5/2PNBPPP/R4RK1 w - -,b5c5
8/1R3p1p/4p1k1/8/7P/6K1/2r2P2/8 w - -,b7b8
8/pp1k3p/5p2/3P3b/3K4/1P1R2P1/1P1Nr2P/8 w - -,d2e4
1n4k1/6pp/4p3/bN1p4/1p3rP1/8/PPP1B2P/1K5R b - -,f4f2
8/6r1/2P2p2/1k1B1P2/2PP4/3K4/8/8 b - -,b5b4
r1b1k1nr/1pq2p1p/p1p3p1/4p3/2NbP2Q/2PB4/PP3PPP/R1B2RK1 b kq -,d4a7
5nk1/5pp1/2p4p/1p1p2PP/1q1P1P2/pP6/P2rr3/KBQR3R w - -,d1d2
8/6p1/8/1P2k1Np/1r6/3BK3/8/8 b - -,h5h4
2q5/8/1r1p2pk/3Pp3/1Pp1Nb1p/2Q2P1P/6P1/1R5K w - -,b1d1
rnnq3k/4b1pp/1pp2r2/5p2/3P1Nb1/1QNB4/PP3PPP/R1B2RK1 b - -,g7g6
8/8/7P/8/5kB1/3pb1n1/8/3K4 b - -,f4g4
r2q1rk1/pb1nb1pp/4p3/2pnP3/1p6/2N2NP1/PP2QPBP/R1BR2K1 w - -,c3e4
rn1q1rk1/1p2b1pp/p2pp3/4p3/N3P3/3QnN2/PPP2PPP/R4RK1 w - -,d3e3
r2qr1k1/1ppbnpp1/3p4/3Pp1Q1/2p1P3/1P4PP/PB3PB1/R4RK1 w - -,b3c4
1rrq2k1/1b1npp1p/p2p2p1/1P6/N1P1P3/6PP/3Q1PB1/1R3RK1 w - -,f1c1
k2rR3/ppq2Q1p/5pp1/2P5/6P1/P5P1/1P3P2/6K1 b - -,c7c8
rnbq1rk1/ppp1ppbp/5np1/3p4/8/P2P1NP1/1PP1PPBP/RNBQ1RK1 b - -,a7a5
rnb1k2r/ppq1bppp/3ppn2/8/2P1P3/1NN3P1/PP2QP1P/R1B1KB1R b KQkq -,b7b6
2r5/3kp1b1/3p3p/pp1P1pp1/2r5/P1PR1PBP/1P1K2P1/R7 w - -,d2c2
r2r2k1/1p4pp/1b2pnn1/pp6/1P2P3/P4P2/1B2N1PP/3RR1K1 w - -,b2d4
r3r1k1/pp1b2pp/2nbpq2/4Np2/2BP4/2P5/P3QPPP/R1B1R1K1 b - -,d6e5
7k/5p2/3P1n2/2p1p3/p1P1Pq2/Pr6/3Q2R1/5BK1 b - -,f4d2
rnb2rk1/pp3pb1/2p1pqpp/4N3/2pP4/2NBP3/PP3PPP/R2Q1RK1 w - -,e5c4
4r1k1/5p2/RP4p1/Q1pB3p/8/4P1qP/6P1/6K1 b - -,g3e3
8/7p/1p4k1/1p1P1NP1/1Pb2K2/p7/8/8 w - -,d5d6
r2q1rk1/pp2ppbp/2n1b1p1/8/2BP4/2N1BN2/PP1Q1PPP/R4RK1 b - -,e6c4
2q3k1/p2nQppp/Ppb2n2/3p4/3Pp3/2N1P3/1PN1BPPP/6K1 b - -,h7h6
2Q5/p4pk1/2pp2p1/8/2q5/8/P7/6K1 w - -,c8c7
8/1p1k1B1p/p1pP2pb/2P1p2n/1P2P3/2N4P/P3N3/6K1 w - -,c3a4
3r1rk1/pp1bq1pp/1bn1p3/2p2p2/2P2Pn1/PPNBP1NP/1BQ3P1/4RRK1 b - -,g4f6
