r7/8/5kp1/7p/7P/P3RKP1/5P2/8 b - -,a8a4
8/p4pk1/1b4p1/5r2/P1B5/1Pq3PP/4QP2/5RK1 w - -,e2d3
r3qr1k/pp4bp/2p5/2PnNp2/2Q5/4pN1P/PP4P1/1K1RR3 w - -,e5d3
3r1nk1/r5b1/3p3p/P1pPp2R/2N1P3/6P1/1P1BR1K1/8 b - -,g8h7
8/6pk/6qp/1p6/nP3P2/P1p1N2P/5P2/2Q3K1 w - -,g1h2
3r2k1/1b3p1p/4pnp1/4q3/1p2P3/3B1P2/5QPP/2R1N1K1 b - -,e5a5
1r5k/4BP1r/b1p1p3/4P3/2p3Q1/1P2q1N1/6K1/5R2 b - -,e3d2
1r3r2/p2q1pbk/3p2pp/2p5/PnQ2R2/1P1P2P1/3BP1NP/1R5K b - -,b4c6
r1bq1rk1/1pp2pb1/3p2pp/p1nPp2n/2P1P3/P2B1N2/1P2NPPP/1RBQ1RK1 w - -,d3c2
N1b1r1k1/p4p1p/1p2p1p1/4P3/4B2B/8/P6P/2R3K1 b - -,c8d7
4k3/8/3P3p/2K1P3/1P1n1p2/8/7P/3B4 b - -,d4e6
2r2k2/pp3ppp/3pr3/8/8/2bRP3/PPP3PP/5RK1 w - -,b2c3
2r3kr/p1n3b1/1p2q2p/2p1PR2/2PpB3/1P1P2R1/P2B2KQ/8 b - -,c8f8
8/6kp/3R2p1/N3p3/p4rP1/7P/n4P2/6K1 w - -,a5c6
8/3N1n2/5Pk1/3K4/3NP3/8/1b6/8 w - -,d7e5
8/8/1p2kn1p/pP1p1p2/P1pP1P2/2P3K1/8/3N4 b - -,f6g4
5b2/7B/2R4p/4k3/3rp3/2p2P2/4K2P/8 b - -,d4d2
3k4/p4pbp/1np1p1p1/8/P1P1N3/1P2B1P1/5PKP/8 b - -,d8e7
r4k2/p2p3p/5P2/R5p1/8/1Br2b2/P4K1P/4R3 b - -,d7d5
1rr3k1/p1p1Rp2/1p4pp/2NP4/1P3B2/1P5P/P4PP1/b5K1 w - -,c5a6
2bn1r1k/1r4qp/p3pNp1/1p4P1/1PpN1P2/P3Q3/2P4P/4RRK1 b - -,b7e7
2rqn1k1/ppr3bp/4bp2/1P2p1pP/P2pP1B1/3P2P1/3B1P1N/R2QR1K1 b - -,d8d7
rn1qk2r/pb2bppp/1p1ppn2/2p3B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQkq c6,e1g1
2k2b1r/pp1npQp1/6r1/2p4q/3P3p/2P2PP1/PP1N3P/R1B2RK1 w - -,g3g4
5nk1/p5pp/2n1p3/1pPpPp1P/2q5/P4P2/1P3BP1/2NQ2K1 w - -,c1e2
6k1/6p1/7p/1p5P/5p2/2P4P/1P2r3/3K1R2 b - -,e2b2
8/5Bk1/7N/6K1/8/8/8/8 w - -,f7d5
