8/k5p1/8/2p2p1P/P7/3KpPp1/8/8 w - -,d3e3
5Q2/kp6/2p1p2p/p7/P1P2PP1/1qb5/1P6/K7 w - -,b2c3
7k/R6p/2p5/8/1P1n1pP1/8/P1P4P/4K3 w - -,e1f2
r2q1rk1/pb1n1pbp/1pn1p3/2ppPP2/3P4/2PBBN2/PP2N2P/R2Q1RK1 b - -,e6f5
8/4kp2/p2b2r1/1p6/3NK3/4P3/PPR3P1/8 w - -,c2c6
6rk/1p5p/p1p1p1b1/2P1Npr1/PP1Pp1PR/4P2P/1R5K/8 b - -,g8g7
r2qkbr1/pR3p1p/2n1p1p1/3pB3/3P4/2P2B1P/P1PQ1PP1/5RK1 w - -,e5c7
4r1k1/bp4p1/3pp2p/1Pn4N/2R1r3/5N1P/5PP1/2R3K1 w - -,c4e4
6n1/pp1kp3/2p3r1/1qPp2B1/3P1P2/1P5Q/P3RP2/5K2 b - -,d7e8
8/1p6/2bN4/p3kPp1/P1P1p3/1r6/3R1P2/4K3 b - -,b3b4
6k1/1p6/1Np1b3/2P1p3/1P2qbPp/P3NR1P/6B1/7K b - -,e4d4
8/8/1k4rp/pR4p1/2K2pPP/5P2/5P2/8 b - -,b6a6
rnbq1rk1/pp2ppbp/6p1/6N1/3Pp3/2P3P1/P4PBP/R1BQ1RK1 b - -,b8c6
r5k1/ppp3bp/n2pb1p1/8/2P1q1P1/8/PP1NB1PP/R1BQ1K2 b - -,a8f8
r4rk1/pppbq1pp/4p3/3pPp2/5P2/3BP3/PPP1Q1PP/R4RK1 b - -,a8d8
8/6p1/1pbkp2p/4p3/1PP1P1P1/1K1B3P/4Nb2/8 w - -,e2c1:e2c3
r2qk2r/2p5/pp2Pn2/5pp1/2NPP3/2P5/PP4Kb/R3BQ2 b kq -,h2f4
r4rk1/1bp1q1pp/1p1p1n2/2nPpp2/pNP5/2P1PP1P/P1Q1B1PB/3R1RK1 w - -,d1e1
k1r5/pp1r2p1/4pb2/2P5/6p1/4B3/P3BPP1/3R2K1 w - -,d1d7
4rr2/p6k/1p1p2np/2pP1bpB/2P5/1R4P1/Pb1N1P1P/5RK1 w - -,b3b2
6k1/1p1r1pp1/p1p2n1p/2npr3/1PP5/R1N1P3/1P3PPP/3RBK2 b - -,c5e4
3r2k1/p3p2p/1p4pb/3r4/2p4q/2P1BP1N/6P1/2Q2RK1 b - -,d5d1
8/8/4p3/8/kq6/8/2KQ4/8 b - -,b4d2
r1bqkb1r/p2ppp1p/2p1Pnp1/8/3Q4/8/PPP2PPP/RNB1KB1R w KQkq -,e6d7
6k1/3rqpp1/4r2p/p1p1P3/PpNn1QP1/1P1PR2P/8/4R1K1 w - -,e1f1
5b1k/1r3pp1/8/p1p2q2/4N3/Pb2BP2/2Q3PP/4R1K1 w - -,c2d2
r3r1k1/1pn2ppp/3qbn2/p1pp4/Q2P4/P1NNP1P1/1P3PBP/2R1R1K1 b - -,c5c4
8/p2nkp2/1p2p3/8/PPP3p1/3B4/5PP1/6K1 w - -,g1f1
r1bq1rk1/pp3pp1/2np1n1p/2b1p3/4P3/P2B1N2/1PPN1PPP/R1BQ1RK1 w - -,b2b4
2b5/R4p2/2p1k3/Pr6/6P1/4B1KP/5P2/8 b - -,c8d7
5k2/7p/1R4p1/p3K3/6B1/6P1/4nr1P/8 w - -,b6b2
7r/2R3pp/8/Bk3p2/2p5/p4P2/5P1P/6K1 w - -,a5c3
8/5p2/5P1k/p2pR1p1/2bK4/5rP1/2B4P/8 w - -,c2f5
2rqk2r/pb1nbppp/1p2pn2/3p4/2NPP3/3B1N2/PP2QPPP/R1B2RK1 w k -,e4d5
3R4/p1p1qpkp/2br2p1/4p3/8/2N1Q2P/P1r2PP1/3R2K1 w - -,d8d6
1rbq1rk1/pp2npb1/2npp1p1/2p3Pp/4PP2/2NPBN2/PPP3BP/R2Q1RK1 b - -,c6d4
r1b2rk1/5ppp/2p1pq2/3p4/p3P3/1P1Q1N2/P1P2PPP/1R1R2K1 w - -,b3b4
r3k2r/1b4pp/p1n1Rn2/1pb3B1/8/1BN5/PPP2PPP/2KR4 b kq -,c6e7
3r4/1p2kp1R/4b1p1/pPPp2K1/P2P4/6P1/7R/8 b - -,d8g8
2r5/1pr2ppk/p3p3/6pn/PP1RP3/5n1P/4NP2/1B1R1K2 w - -,d4d7
r1bqk1nr/pp1p1ppp/2n1p3/8/1bB1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,g8f6
r3r1k1/pb5p/1p1q2pb/1P1Pp3/QP2n2B/5N2/2R1BPPP/3R2K1 b - -,e8c8
8/8/2R1nk2/R5p1/8/1r6/2K3P1/8 b - -,b3e3
3r4/pp1q1kpp/3pbn2/2p5/4P3/2NQ4/PPP2PPP/3RR1K1 b - -,f7g8
1r5k/1q1bp1bp/nPpp2p1/5p2/2PN2n1/BQ2P1P1/4NPBP/1R4K1 b - -,a6c5
5r2/bp3p1k/3R4/2P1pp1P/1p2pq2/1Q6/P7/4K1R1 w - -,d6d7
rnbq1rk1/ppppbppp/6n1/8/2P2P2/P1NBP3/1P1B2PP/R2QK1NR b KQ -,f8e8
3r2nk/5qb1/1R2R2p/2p5/2PpQP2/1P4PP/7K/8 w - -,b6b7
