8/3r3k/3BR2P/4Kp2/4nP2/6P1/8/8 b - -,e4g3
r6r/1p1q1pk1/3pbnp1/p1p1p3/2PnP3/2BPNPP1/PP5P/1R1QR1KB w - a6,b2b3
r4rk1/pppbq1bp/3pp1p1/1P3nN1/2PPR2P/1Q4P1/PB3PB1/5RK1 b - -,c7c6
4Q3/p1rq1n1k/1p4pp/8/3B4/5P2/P5PP/4R1K1 w - -,e8e3
b1rrn1k1/4qpp1/P3p2p/8/3B1P2/3BPN2/1Q4PP/4R1K1 w - -,b2f2
1rbq1rk1/4bppp/pn2p3/1ppPP3/5P2/2P3P1/PP1NQ1BP/R1B2RK1 b - -,b6d5
8/p2k3p/1p1n4/6p1/2P2bP1/3B1K2/P6P/4R3 b - -,a7a5
3r1rk1/4bpp1/p3p2p/1p1n4/1n1P4/NN2B3/PP3PPP/R4RK1 b - -,b4d3
3r1k2/4bppp/n3p3/1R2P2P/1P1p1P2/3P2P1/3B2B1/6K1 w - -,b5b6
8/pp4R1/6p1/5p1k/4bP2/1P1p4/P2K4/8 w - -,g7h7
b4rk1/Q3Rp2/p4rp1/1pp5/6P1/PPN2n1P/2P1R3/4K3 w - -,e1d1
1r1q1rk1/1bpp1pp1/p1n4p/P1bnp3/Rp2P3/1B1P1N2/1PPB1PPP/3QK2R w K -,b3d5
r2nk3/3nbpp1/bp2p3/p2pP3/3B3P/P1P2N1R/1PQK1PP1/R2N1q2 b q -,d8c6
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/P2PP3/2N1BN1P/1PP1BPP1/R2QK2R w KQ e6,e1g1:d4e5
4r1k1/p1p3p1/1p5p/n3pP2/2r5/2PR1K1P/P1PB2P1/4R3 b - -,e5e4
8/8/8/1p1q2p1/k6p/P3Q3/6P1/7K w - -,e3e7
3rk2r/pp6/2n5/2R2ppp/4p3/6P1/PP2KPBP/7R b k -,h5h4
r4rk1/pbqp2pp/1p2pb2/3nnp2/3P4/PP3N2/1BP2PPP/R2QRBK1 w - -,d4e5
rn3rk1/2qp1ppp/b1p2n2/p1bPp3/N3P3/P5P1/1P1QNPBP/R1BR2K1 b - -,c5a7
8/R6p/pr3pk1/4p3/8/P3P1P1/5P1P/6K1 w - -,g1g2
2q1nrk1/5rbp/pp1p2p1/2pPp1B1/P1P1N3/R4PP1/1P1Q2KP/2R5 w - -,c1f1
4r3/5n1p/kpRP1pp1/8/1B2p3/1P2P1P1/5P1P/6K1 b - -,a6b5
6k1/pbq2p1p/6p1/8/8/4r3/PP1p1QPP/4NBK1 w - -,f2d2
8/4p3/2k5/1r2P2R/1pK5/8/8/8 b - -,b5b7
r1bq1rk1/pp3ppp/3b4/4P3/4n3/P4N2/1P3PPP/R1BQ1RK1 w - -,e5d6
3k4/3n3r/3Qpb2/1B6/8/4P3/PP3P1P/4K3 w - -,b5d7
5bk1/5p1p/pprP1np1/2n3N1/1P6/P1N4P/5KP1/3RR3 b - -,c5d7
rn1q1rk1/pp2ppbp/1np3p1/8/3P2b1/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c1e3
2r2rk1/pp1q1pbp/1n2p1p1/3p3n/P2P4/1QPBB2P/1P1N1PP1/R3R1K1 b - -,d7c7
r3n1k1/p4ppp/bp2r3/3pN1n1/1B1P4/1P4P1/P1R2PBP/2R3K1 b - -,a6b7
8/5pk1/1R5p/P4pp1/1K6/5P2/3r2PP/8 w - -,a5a6
3r3r/ppqk2b1/4ppp1/1RPpPn1p/3P1P2/5B2/P2Q1BPP/5RK1 w - -,f1b1
3q2k1/4bppp/2b1pn2/2p5/2P5/1PB3P1/4QPBP/6K1 w - -,g2c6
8/8/r4k2/6b1/2KR2B1/4p3/8/8 w - -,c4d3
1rb2rk1/2qpbppp/ppn2n2/3P4/3N4/1P4P1/PB2PPBP/2RQ1RK1 b - -,f8d8
8/8/8/8/2n5/2k5/3b4/1K6 w - -,b1a2
8/7p/8/2kp4/4p2P/4K3/8/8 b - -,d5d4
1q1r1bk1/5ppp/pp2p3/6n1/1nRP2Q1/6PB/PB3P1P/3R2K1 b - -,g5h3
8/pkpr3p/1p3q2/1b1p2p1/1P1P4/2Q3BP/P5PK/4R3 w - g6,e1e5
1r2r1k1/pbn4p/3p2p1/2pPq1Q1/1P2p3/P1p2BP1/2N4P/4RRK1 w - -,g5e5
2r4Q/q1P1kb1p/p2p1Bp1/1p6/1P2pP2/6PP/P6K/2R5 b - -,e7e6
2r1R1k1/1b1q1p1p/p4bp1/8/2Pp4/3B1P2/P1QB2PP/1R4K1 b - -,c8e8
3B4/8/6p1/7b/4k2P/5nK1/8/8 b - -,f3d4
2k5/pbq3b1/1p2p2p/2p1NpP1/2Pr1P2/1BQ2PP1/PP2R3/2K5 b - -,h6g5
r4rk1/1p3pbp/p3b1p1/3n2B1/3qN3/7P/PP1Q1PP1/R3RBK1 w - -,d2d4
rn2k2r/pp3ppp/2pq1n2/3p1B2/3P4/2N1P3/PP3PPP/R2QK2R b KQkq -,b8d7
2rr1nk1/q4p1p/pp1p2p1/1P1Pp3/4P3/4QP2/P3B1PP/2RR2K1 w - -,b5a6
3rr1k1/1bpqbpp1/p1n4p/1p6/3PN3/1B2nN1P/PP3PP1/R2QR1K1 w - -,f2e3
8/1npb1k2/1p1p2pr/p2P1p2/1PPNpPP1/P7/4PKB1/1R6 w - -,f2g3
5k2/p2q1p1p/1p2p3/6R1/1P2P3/3r2P1/Q4RKP/2r5 b - -,c1d1
b3rbk1/1q3pp1/3r1n1p/2p1N3/1pP2P1B/3B3R/1P2Q1PP/4R1K1 w - -,e2f1
5Q2/p1pqn1R1/2pp4/3k3P/5p2/2Pb4/PP6/2K5 w - -,g7e7
r1bqk2r/4bppp/p3pn2/3p4/4P3/2NB4/PP3PPP/R1BQ1RK1 w kq -,e4d5
r3k2r/1bq3pp/pbp1pp2/3pn3/5B2/1NPB4/PPQ3PP/R4R1K w kq -,b3d4
r3b1k1/pp2ppbp/3r2p1/2p2PQ1/q1B1P3/2P5/P3N1PP/2R2RK1 w - -,e4e5
3r1r1k/p3q1pp/Bb6/4n3/1P3p2/2P5/P3QP1P/R1B2R1K b - -,d8d6
q2rn1k1/4ppbp/r1p3p1/1p6/P1NPQ3/6P1/PB2PP1P/2R2RK1 w - b6,c4e5
7k/6bp/1p3r2/2p1p1p1/2P1Q3/q2PBnP1/1R3PKP/1R6 b - -,a3a5
8/1B6/4n3/4p1k1/7p/5P1K/8/8 w - -,b7c6
2bq2rk/4p1bp/p2p1n2/5pB1/B1NP3Q/7P/1P3PP1/2R3K1 b - -,c8b7
4r1k1/3b1ppp/2p5/B2Pp3/n1P3P1/4PP2/7P/4K1NR w K -,g1e2
r1bq1rk1/ppp1nppp/1bnp4/7Q/2BNP3/2P1B3/PP3PPP/RN3RK1 w - -,d4f3
1r2r1k1/2q3pp/2nbp3/pp1pPp1Q/3P3B/P1P3R1/1P1N2PP/R5K1 b - -,d6f8
8/3n1kpp/1p1p4/p1p2p2/2PP4/P1BK1PP1/1P5P/8 b - -,g7g6
r1b2rk1/1p3ppp/p1pqn3/8/1P6/2B1P2P/P4PP1/R2QKB1R b KQ -,d6e7
r3r1k1/1p3pbp/1Pp5/p7/N1P1Qp2/6P1/P4P1P/3R1RK1 b - -,e8e4
r1b3k1/pp2b1pp/n1pp1r2/4p2q/2P1P1P1/2N4P/PP2NPB1/R2Q1RK1 b - -,h5h4
r3k2r/pp3ppp/2n5/3p4/3P4/B1R2P2/PP4P1/R5K1 w kq -,a1e1
r1bq1rk1/pp3pbp/2p1pnp1/6B1/2BP4/5N1P/PPP2PP1/R2QR1K1 b - -,d8b6
r1b1k2r/pppqppbp/2n3p1/3P4/5P2/2N2N1P/PPPQ2P1/R4K1R b kq -,c6d8
r2q1rk1/pb2bppp/1p1p1n2/3P2B1/8/2NQ1N2/PP3PPP/R4RK1 w - -,a1d1
rnbqkb1r/1p5p/p3pnN1/8/3P3Q/2N5/PP3PPP/R1B1K2R b KQkq -,h8g8
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -,g8f6:f7f5:f8b4:d7d6:g7g6
2r5/5k1p/prN5/3P1p2/1p2p3/8/5PPP/1R3RK1 b - -,b4b3
2R3k1/3qnpp1/pb2pn1p/1p6/3pPBP1/P2P3P/1P1QNPB1/6K1 b - -,e7c8
r1b2rk1/ppp2pb1/5qpp/4p3/8/2PBPN2/PP3PPP/R2QK2R w KQ -,d1a4
