8/7k/R6P/5PK1/8/6P1/p7/r7 b - -,a1g1
8/4k1B1/7P/3n1P2/7P/1p6/3K4/8 b - -,e7f7
2r1k3/2r3p1/4P2p/8/8/nNBR4/2P4P/2K5 w - -,c3e5
r7/5pbk/n1q2npp/pp2r3/3B4/P1N4P/3Q2PK/1B1R1R2 b - -,a8d8
1r4k1/3rq2p/6pQ/p1p1PP2/P1p1n1P1/3p1R2/1PP3RK/2B5 b - -,g6g5
2r4r/pp1k1p1p/4pN2/1q6/3P4/P3P3/1PQ2PPb/R1R4K b - -,d7e7
2r1k2r/1b3ppp/8/pN1pb3/P3p3/1P4P1/R3PPBP/5RK1 b k -,e8g8
1rb2rk1/p3Qp2/2p3pp/5P2/3bN1P1/3P4/P1P1B2P/q4R1K w - -,f1a1
1br2n2/6pp/1kp1pp2/1p3P2/4P3/1PN2KP1/1P5P/2R5 b - -,c8d8
rnbq1rk1/ppp3bp/3p2p1/4p2n/1PP2p2/2NP2P1/P2NPPBP/1RBQ1RK1 b - b3,b8c6
1r6/3nkppp/4p3/1b1n4/2BP4/1P6/3B1PPP/2N2RK1 b - -,d7f6
r2qk1nr/pppb1ppp/2Bb4/3pp3/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,d7c6
2r2rk1/qp1nnppp/p3p3/PP1p3b/2P5/Q3PN1P/3NBPP1/2RR2K1 b - -,a7c5
1r1q2rk/p1pnppbp/1pBp1np1/8/PP2PP2/2PP2P1/R6P/1NBQ1RK1 w - -,c1e3
8/8/6p1/3p4/1bk2K2/7P/8/4B3 w - -,e1f2
rnbqkbnr/1p1p1ppp/2p5/pP2p3/2P5/1QN5/P2PPPPP/R1B1KBNR b KQkq -,g8f6
r3r1k1/ppb2pp1/2p1bqnp/P2pP3/1P2Pn2/2P1BN1P/2QN1PP1/R3RB1K b - -,c7e5
r1b2rk1/p3qnbp/1pp3p1/2p1p1P1/4P2P/2NPB3/PPP1Q3/R3K1NR w KQ -,e1c1
4r1k1/4rpp1/p6p/3Pp3/3q1PP1/3R1Q2/P4R1P/6K1 b - -,d4a7
q2b2k1/5pp1/1p1R3p/5b2/3P1B2/4P2P/1Q3PP1/rN3BK1 b - -,a1b1
rn1q1rk1/pp2ppbp/2pp1npB/3P4/4P1b1/2N2N2/PPPQBPPP/R3K2R w KQ -,h2h3
2r3k1/1pq1n2p/4p1p1/p2pP1P1/P2P1P2/1P1bB1N1/1Q3K2/1R6 w - -,b1c1
