8/1r4pk/R6p/8/p1r2B1P/P5PK/8/8 w - -,f4d6
6k1/1p3p1p/5np1/p4b2/1bP5/4p1P1/4P1BP/R2K3R b - -,f6g4
8/1R4p1/6kp/4K3/7P/7r/8/8 w - -,b7b4
rnbqr1k1/pp3p1p/6p1/3p4/P2Q4/6PP/1PP1NPB1/3RK2R b K -,d8a5
r3k2r/3nqpp1/Bp2p2p/p1ppP3/5P2/2P1P3/PP1N2PP/R2Q1RK1 b kq -,a8a6
r3r1k1/1p3p2/2p3p1/p7/2P1NB1P/1P5q/P2R4/1R1Q2K1 b - -,e8e4
5rk1/p5pp/2p1r3/4p3/2p3Q1/2P5/PP3qPP/1R2R2K b - -,e6g6
3r1r1k/2pbqppp/3b4/pp2p2n/4P3/PBP1BP2/1P1Q2PP/3RRN1K b - -,a5a4
r3k2r/pp4pp/2p1q3/4Pb2/P7/2NnQ2P/1P4P1/R1B2R1K w - -,c3e2
3q1r2/2nbppk1/3p4/p1rP2Q1/1p1N4/1P4P1/P3PPBP/3R2K1 b - -,g7h8
2rQqbk1/2P2p1p/p3r3/2n5/5B2/6P1/P4P1P/2RR2K1 w - -,c1b1
r2q1rk1/pb1pn1pp/4p3/7P/QP1P1p1R/P2BPN2/1B3nP1/2R1K3 w - -,e1f2
r5k1/3p1r1p/3qpbp1/8/p2P1P2/3bB1R1/P3Q1PP/1R5K w - -,e2d3
1q4k1/p4pbp/6p1/B1rrP3/b2p1P2/3Q4/P5PP/1BR1R1K1 w - -,a5d2
7r/p7/1p2pkp1/3p1p2/3P1b2/2P1N3/PP2KPP1/6R1 w - -,e3c2
2r2rk1/1p2bppp/p2p4/3P3q/3B1Qb1/1B6/PPP3PP/4RRK1 b - -,f8e8
8/7k/5R2/5PP1/6K1/8/8/7r b - -,h1g1
6k1/p1r1b2p/4pp2/1R1n4/8/4N1P1/P2B1P1P/6K1 b - -,d5b6
rnbq1rk1/pp3ppp/3p1n2/2p1p3/2P5/2PP2P1/P1Q1PPBP/R1B1K1NR w KQ -,g1f3
2r2r1k/1b5p/8/5p2/1P1RpP2/4N1P1/1P2B2P/7K b - -,f8d8
3rk2r/ppp2ppp/2n1b3/8/1b2B3/1Pp2N2/P1P2PPP/R1BR2K1 w k -,c1f4
2r2rk1/p4ppp/1q2p3/1P6/8/1Qn2NP1/5PKP/R4R2 b - -,c3b5
2R5/p4p2/4kr2/2bpp3/4P3/1P4N1/P3K3/8 b - -,c5d6
r1bq1rk1/ppp1nppp/3p1n2/bB2p3/4P3/2PP1N2/PP2NPPP/R1BQ1RK1 w - -,e2g3
4B3/2p3k1/R6p/3b2p1/1p4P1/2b3P1/P4P2/6K1 w - -,f2f4
8/p4kpp/5p2/1p1p4/1Bb2P2/P1P1K1P1/1P5P/8 w - -,b4c5
8/p2n4/1p1k1p1p/1Pp1pPpP/2P1K1P1/P1B2P2/8/8 b - -,d7f8
5rk1/2r2ppp/4n3/1B6/PQ1P4/1R2Pq2/7P/3R2K1 w - -,b4d2
2r3k1/5p2/6p1/1b1Nn2p/1p2P3/1P1P2PP/3R2B1/7K b - -,c8c1
8/8/1b1pk1pp/p4p2/1p3P2/1P4P1/P2NK2P/8 b - -,g6g5
2n1rrk1/1pqb1pbp/p2p2p1/2pP2Nn/2P2B2/2NB3P/PPQ2PP1/1R2R1K1 w - -,f4h2
r1bqr1k1/1pp2pp1/pn3b1p/3p4/PP1P4/2N1PN2/2Q1BPPP/R4RK1 b - a3,c8g4
2rr2k1/pp1q1pbp/5np1/3pn3/3NP3/1PN1B2P/P3QPP1/2R2RK1 w - -,f2f4
r4rk1/5pb1/p5p1/1pp3Q1/7P/5N1N/q4PP1/3R1RK1 b - -,a2e6
8/6p1/7p/5p2/3k1P2/K3p1P1/4B2P/8 b - -,d4c3
8/p3kp2/1p4pp/8/4PP2/1Pr2P2/P2R2KP/8 b - -,c3c1
r4rk1/pB4pp/1p2p3/n4pq1/3P4/P1NQ4/1P3PPP/R4RK1 b - -,a5b7
2b2r2/1p1p4/2pP2N1/2P4p/R2PK1kP/8/8/8 b - -,f8e8
4r3/6bk/p5pP/3PR3/3q4/PQ6/K3R3/8 b - -,e8e5
