r7/P7/3P4/5k2/8/R3P1K1/8/8 b - -,f5e6
2b5/4kp1p/6pK/p1pB4/1pP1P3/2r2P2/P2R2PP/8 b - -,a5a4
2k5/1p4pp/p1b5/5N2/3R1pP1/PP5P/2P1r3/6K1 w - -,d4f4
r2qk2r/p3np1p/b2pp3/1pp1n3/2P1PN2/1P1P2P1/P2Q2BP/R2NK2R b KQkq -,h7h5
4rbk1/5p2/3p1p1p/1p1P4/4P1P1/1Br2N1P/P6K/R7 w - -,f3d4
8/5p2/5K2/7p/5P1P/2k2b2/1p6/1R6 b - -,f3e4
r3r1k1/1ppqbppp/2n1bn2/p3p3/2Pp4/PP1P2P1/2NNPPBP/1RBQ1RK1 w - -,b3b4
3b3r/p1p2kp1/1p3p2/2p1Pb2/2P1NP1p/1P2BK1P/P2R2P1/8 w - -,e3f2
2kr3r/1ppbR2p/5b2/2P5/2B5/8/P4PPP/5RK1 w - -,e7f7
r5k1/p2r2bp/2p1b1p1/2Bnppq1/2N5/1B3P2/PPP3PP/2KRQ2R w - -,c1b1
r1bqkb1r/p4ppp/2p1p1n1/2pp4/4P3/3PBN2/PPP1QPPP/RN3RK1 b kq -,f8e7
8/p4pk1/1p3np1/1P2q2p/4P2P/3QNPP1/6K1/8 b - h3,e5b2
7k/8/8/R6K/6PP/8/5r2/8 b - -,f2f4
3r3k/1bq2pp1/p3p2p/1p1r4/3N1P2/P1P1Q2P/1P1R2P1/4R2K b - -,d8d7
8/3Q4/p4p1k/8/7P/1P2q1PK/8/8 b - -,e3b3
2r2rk1/3qppbp/3p1np1/1p3b2/8/1PN1B1P1/P2QPPBP/2RR2K1 b - -,b5b4
5rk1/2pq1pp1/1bppb2p/r2nP3/3P4/5N1P/P1Q2PPK/RNB1R3 w - -,c1d2
1r6/6P1/4k3/8/3B1p2/p1NK4/8/8 b - -,e6f5
r1bq1rk1/ppp1bppp/2n1pn2/2Pp4/3P4/5NP1/PP1BPPBP/RN1Q1RK1 b - -,e6e5
8/5k2/1p3p1K/p2N1p2/P2P4/1P2P1P1/Nb6/5b2 b - -,b6b5
r1b2rk1/1p1n1ppp/p3pn2/q7/2PN4/P1P1B3/2Q1BPPP/R4RK1 b - -,a5c7
r1bqkbnr/pp1npppp/2p5/8/4N3/5N2/PPPP1PPP/R1BQKB1R w KQkq -,d2d4:f1c4
8/4rp2/2B1bk2/p1P3p1/Pp4Pp/1P3P1P/2K5/3R4 b - -,e7c7
rnb1kb1r/1p4pp/p4p2/3np3/8/2P2N2/PP1N1PPP/R1B1KB1R w KQkq -,d2c4
2b5/8/p1n2k1p/1p1p1P2/1P3K2/P2B3P/5B2/8 b - -,c8d7
r2q1rk1/ppp1ppbp/1nB3p1/6B1/3PP1b1/2N2N2/PPQ2PPP/3RK2R b K -,b7c6
8/5pk1/3p3p/pp2q3/3NP1b1/P1Q3P1/r5P1/5RK1 w - -,g1h2
r3k2r/5ppp/p1bppn2/1p6/1b1BP3/2NB1PP1/PPP3P1/R3K2R w KQkq -,e4e5
2kr1r2/ppp2ppp/4pn2/2q1N3/8/3P3P/PPP1QPP1/R3R1K1 w - -,c2c3
4r2k/1p2rnbp/pBnppq2/5p1N/2P2P2/1P3B2/P2Q2PP/3RR1K1 b - -,f6g6
r4rk1/1b1nbppp/pq1pp3/8/P1PpPPP1/1PN4P/5BB1/R2Q1RK1 b - -,e6e5
rnbqkb1r/p2ppppp/5n2/1ppP2B1/2P5/8/PP2PPPP/RN1QKBNR b KQkq -,f6e4
3r2k1/2p1qp1p/p1nr2pb/1pQ2p2/1P1P4/P3PNP1/1KB2P1P/1R1R4 b - -,a6a5
8/p4pk1/1p2p1p1/7r/Pn6/3q1PQ1/5P2/3BK1R1 b - -,h5d5
3r1rk1/1b2bpp1/1qp2n1p/pp1pBB2/3P4/P1N1P3/1PQ2PPP/R3R1K1 w - -,a1c1
rn1q1rk1/1b3pp1/1p5p/pPppP3/8/2N1P3/P3BPPP/R2Q1RK1 b - -,d5d4
2rr2k1/pq1bppbp/n4np1/2pP4/Pp2P3/2N2N1P/1P1BBPP1/1Q1R1RK1 w - -,c3b5
3r2k1/2p2pp1/2n1pq1p/1N6/3P4/6P1/1P2PP1P/3Q1RK1 b - -,c6d4
8/2Q2pkp/1p4p1/1p1P4/1P2K3/4P2P/8/q7 b - -,a1b1
2br2k1/p1q4p/4pnp1/2prNP2/8/2PB1P2/PP2Q2P/3RR1K1 b - -,g6f5
1r1qr3/3b2kp/p2p1pp1/2p5/2PpPP2/1P4PP/P2Q2BK/4RR2 b - -,d8c7
3k4/1R3pN1/p3p2n/4P3/6P1/1P1PbN2/2r5/4K3 b - -,d8c8
2r2rk1/pb4pp/1b2qp2/n1p5/4P1RN/PPN5/1B1R2PP/3Q3K b - -,e6b3
8/2K5/3P1k2/2R2b2/8/3r4/8/8 w - -,c5f5
2r3k1/p5pp/4pp2/3pN3/1n6/4R3/1P2K1PP/r4B1R w - -,e5d3
r3r1k1/1p3ppp/2p5/p2q4/5Q2/P3BK2/4BPPP/6NR w - -,f3g3
r4rk1/ppqnnpbp/3p2p1/3Pp3/4P3/1Q1N2PP/PP1N1PB1/R1B3K1 b - -,f7f5
8/5k1p/4p1p1/2b5/2P2P2/1P4PP/6B1/5K2 w - -,f1e2
r3q3/pp6/2n3pk/2Q5/2Pr4/6Pb/P3PP1P/R3R1K1 b - -,e8e4
3r4/1p4pp/1k3n2/6B1/1R1p4/1P4P1/1P2PP1P/6K1 b - -,b6a6
1r4k1/5p1p/q2nn1p1/2pNR3/P7/8/3Q1PPP/Br2R2K w - -,h2h3
2r2rk1/5ppp/R3p3/4P3/5Q2/2q5/5PPP/3R2K1 b - -,c8c5
7r/8/1p2k1p1/1b1pPp1p/pPp2P2/P1PnP1PP/2B3R1/3R2K1 b - -,h8h7
7k/p4p2/4pn2/1p3q2/3Ppp1P/P1P5/1P1N3P/3BR2K b - -,f4f3
8/8/2p1p1k1/4B1P1/1P3P2/4K3/8/7b w - -,e3d4
r4rk1/pp1b1pp1/2n1p2p/2qp4/4P3/2PB1NP1/PP1Q1PP1/R4RK1 b - -,f8d8
6b1/7p/1p1k2p1/3p2P1/1P1K1P1P/8/8/3B4 b - -,g8e6
3r2k1/p4pp1/5n1p/q1pp1B2/8/1P3Q1P/P1P2PP1/4R1K1 w - -,e1e7
2b1r1k1/1p3p1p/p2p2pb/2pPr3/P1P1Pp1q/2NB1P1P/1P1Q1RP1/4R1K1 b - -,e5g5
rn1q1r1k/pp2pPbp/3p2b1/2p5/2nP1P2/2N2N2/PPP3P1/R1BQK2R w KQ -,f4f5
4rk2/1bp2pp1/4P3/r1pP2p1/8/1PR3PP/8/4RBK1 w - -,f1c4
r1r3k1/1q1n1ppp/4p3/1p4P1/p2PpP2/1PP1P3/PB2Q2K/2R2R2 b - -,a4b3
6k1/3nQ1b1/r3b1pp/qp2P3/2rB1P2/P1N5/1P4PP/1BR2RK1 b - -,c4d4
7k/6p1/5n2/2q1p2p/8/1P1Q1BPP/P5RK/4r3 w - -,d3c2
r4rk1/p4p2/1p1pbq2/2p2p2/4P3/2PQ2P1/PP4BP/R4RK1 b - -,f5e4
2rr3k/p5p1/1p2q2p/nB3p2/PQ1Pp3/2P1RP2/6PP/3R2K1 b - -,a5c4
r4rk1/pp3qpp/2p1bn2/4p3/2P5/1P2B1PP/P1Q2PB1/3R1RK1 w - -,c2e2
8/8/6b1/8/2k2pBP/7K/5P2/8 w - -,h4h5
8/3r4/4n3/3bk1p1/3p1pB1/5P2/2PK1BP1/4R3 b - -,e5d6
1r4k1/5pp1/4N2p/8/8/4P3/5PPP/2R2K2 b - -,f7e6
6k1/p4p1p/6p1/8/2b1N3/P4PK1/2r3PP/1R6 w - -,b1b8
r5k1/1p1b2rp/1qpNp1p1/p1pnP3/P2b1P1P/R5P1/1P4BK/2BQ1R2 b - -,b6c7
1rnr2k1/1bqn1ppp/p1p1p3/PpB1P3/2pP1P2/2P3PB/1Q1N3P/RR4K1 w - -,d2e4
4Q3/8/3k4/5q2/3P3p/7r/1K2R3/8 b - -,h3h1
r4rk1/1bnq2pp/5p2/3p4/1ppP1PP1/4PB2/1P3NQP/2R1R1K1 b - -,a8a2
2rqk2r/2p2pbp/bp1p1np1/p1nPp3/2P1P2P/2N1BP2/PPBQN1P1/2KR3R w k -,c3b5
2rr2k1/1b3pnp/1q2p3/p1b3Pp/1p1N1P2/2P1Q2B/PP1RN3/1K1R4 w - -,b1a1
r1r3k1/1p3ppp/p2R4/2N5/1P6/8/P1b2PPP/5RK1 b - b3,a6a5
rn1q1rk1/pb3ppp/1p3n2/1Pb5/3P1N2/P1N5/1B1QBPPP/R3K2R b KQ -,d8d4
r2q1rk1/pbpn1ppp/1p1ppn2/6B1/2PP4/P2QP3/1P2NPPP/R3KB1R b KQ -,b7e4:f8e8:d6d5
2rr2k1/pp2ppbp/4bnp1/4N3/3PP3/2N2P2/PP4PP/3RKB1R b K e3,f6d7
r2q1rk1/pb1n1ppp/1p1bpn2/2pp4/3P4/1PPBPN2/PBQN1PPP/R4RK1 b - -,a8c8
1r2k3/4pp1p/3p2p1/2nP4/p3P3/Rn3PPP/6B1/1R4K1 w - -,g2f1
8/5k2/4p2p/3pPp2/B1bP3P/2P1K3/8/8 b - -,f7e7
r2q1rk1/p2n1ppp/bp2p3/2pp4/P1PPn3/1P3NP1/1Q2PPBP/RNR3K1 w - -,b1a3
