Q7/1Q6/4k3/8/K2q4/8/8/8 w - -,a4b3
r2q1rk1/pnpn1pbp/1p1p2p1/3Pp3/1PP1P3/1NN1B3/P3QPPP/2R2RK1 b - -,a7a5
5k2/p1p2ppp/1p6/2P1r3/1P6/1P6/3r1PPP/3R1K2 w - -,d1d2
6k1/R1p5/2pb2p1/1p4p1/1P2q3/2P4K/1P3R1P/8 b - -,g5g4
8/1p2b2p/p1k1p1p1/P2pPpP1/1P2nP1P/1K2P3/4B3/4B3 b - -,e7f8
r2q1rk1/1ppn1pbp/p2p1np1/4p3/3PP3/2PBBQ1P/PP1N1PP1/R4RK1 w - -,f3e2
2r2q1r/pk1n1nRp/1pp1p2P/3pPp2/3P1B2/2P1QN2/PP3P2/2KR4 b - -,c8c7
r4rk1/pb2qppp/1p3n2/4NP2/PbBPp3/1P6/1B2Q1PP/R4RK1 b - -,a8d8
r2q1rk1/p1p1nppp/1pn1p3/1B3P2/3P4/2N3P1/PP1Q1P1P/R3K2R w KQ -,f5e6
r1bqkb1r/pp2pp1p/2n3p1/3np3/3pB3/1QP2N2/PP3PPP/RNB2RK1 b kq -,d5f6
3rr1k1/5pbp/p1b3p1/2qp4/5P2/1RNQ1BP1/2P1R1KP/8 b - -,e8e2
rq3rk1/1p1b1pbp/2pp1np1/p1nPp1P1/2P1P2P/2N1B3/PP1NBP2/R2QK1R1 b Q -,f6e8
r1br2k1/p1p3bp/1p3pp1/3np3/8/1PPP1N2/1P1N1PPP/R3RBK1 w - -,d3d4
6k1/p1nn1pp1/1p1ppb1p/1b6/1P1PPP2/P4NPP/1B1N4/1B4K1 b - -,f6e7
r7/pp1nbpk1/4p1pp/3pP3/3P4/1R6/PPrNBPPP/5RK1 w - -,b3b7
5rk1/p4p2/2B1b2p/8/1p6/5R2/P1Pn1BPP/2K5 w - -,c1d2
r1b2rk1/p3q3/1n1p3p/Q1pP2p1/1pP1p3/4P1B1/P2N1PPP/2R2RK1 b - -,c8f5
5rnk/1p1q4/3Nnp1p/1P1N2pQ/4B3/6P1/5P1P/B1R3K1 w - -,d5f6
r4rk1/1p1b2pp/p1n1pq2/3p1P2/3P4/3B3P/PP1QN1P1/2R2R1K w - -,f5e6
2b4r/1pk4p/p5p1/2P1pn2/1P2Nb2/1BP2N1P/PK4P1/3R4 b - -,f5e3
2R5/k3b3/p1P5/3K2p1/1P3rB1/5p1P/1P6/8 w - -,c8c7
r1qb1r2/p4p1k/3p1PpP/2p1p3/2P4Q/PPR1N3/1B2nK1P/5R2 b - -,a8b8
r1b2rk1/ppqn4/2p1pn1p/2PpNp2/3P1Pp1/6P1/PP2PNBP/R2Q1RK1 b - -,d7e5
8/6n1/6P1/8/k6p/2P2N1P/2K5/8 w - -,f3h4
4n3/2K1P3/4B1k1/6p1/8/5P2/7P/8 w - -,c7d8
2rq2k1/1p3n1p/p3pbp1/3p2B1/8/2N5/PP2QPPP/4R1K1 w - -,g5f6
1r4k1/1bqn2np/pp1pprp1/2P5/1P2PPB1/P1R1B3/3NQ2P/5RK1 w - -,c5c6
r2qk2r/pp1bppbp/2np2pn/8/2PP4/2N3P1/PP2NPBP/R1BQK2R w KQkq -,d4d5
2r5/1pqkr3/p3p1Q1/3pP3/P2n4/6P1/1PB2PK1/2R4R w - -,c2d3
1k1r1r2/ppq5/8/5N1p/4Q1pP/2P5/PP3PP1/4R1K1 w - -,f5d4
3r1bk1/1b3p2/6pp/2ppP3/r3P3/1RpB4/5PPP/2R3K1 w - -,b3b7
6k1/pp3pp1/2p1p2p/2P5/8/PPR3P1/3r1PBP/5K2 b - -,g8f8
8/2k5/2p2pp1/2P1p2p/1P1pPP1P/n2K2P1/3B4/8 w - -,d2e1
1r1q1r2/pb2ppkp/2n3p1/2pn4/1p6/P2P2PP/1PPQNPB1/R2N1RK1 b - -,a7a5
3r4/6k1/Q4pp1/4p2p/4P2q/2R3N1/5PP1/6K1 w - -,c3d3
8/8/6p1/3r3k/R6p/7P/6K1/8 w - -,a4a2
r1bqk2r/pppnbppp/4pn2/6B1/3PN3/5N2/PPP1QPPP/R3KB1R b KQkq -,f6e4
r1b2rk1/ppp1qppp/2n1pn2/3p4/1bPP4/2N2NP1/PP1BPPBP/R2QK2R w KQ d6,c4d5
4K3/4B2p/6p1/8/2R3P1/1rp4k/7P/8 b - -,c3c2
r2q2k1/1b1rn1bp/pp2p1p1/5p2/3Pp3/BP2P1P1/P1RN1P1P/2Q1RBK1 w - -,a3e7
3r4/3q1kb1/2n2ppp/1p1p4/2pP1B1P/2P3P1/1P2QPBK/4R3 w - -,g2h3
8/1r6/3kn2p/K4p1P/1BP1p3/8/7R/8 b - -,d6c6
R7/8/2nk1p2/1p3P2/p1r5/2P3BP/7K/8 b - -,d6d5
5K2/8/4P3/7p/8/1k6/R7/8 b - -,b3a2
r1b1k2r/4ppbp/p2p1np1/q1pPn3/2P1P3/2N1BP2/P2Q1NPP/2R1KB1R b Kkq -,a8b8
3N4/1R6/3kpn1p/P2p4/3n1p1P/6P1/5P2/6K1 b - -,f4f3
8/3k2p1/p2n1p1p/1r1p1P1P/PB1R2P1/3KP3/8/8 b - -,b5b6
