3R4/1P3pk1/2K3p1/8/7P/4PP2/3r4/8 b - -,d2d8
4r1k1/4q1p1/p1p2r2/Pp1p1P1p/1b1P2P1/4PR2/2Q2N1P/1R4K1 b - g3,c6c5
r2qr1k1/ppp2ppp/2n2b2/3np3/8/2PP1QNP/PPB2PP1/R1B1R1K1 w - -,c2b3
5k2/pp3pp1/6p1/2r1n3/2n1P1P1/P1N4P/BP6/K2R4 b - -,f8e7
r2q1rk1/ppnbb1pp/2n2p2/2p5/2N2B2/2NP2P1/PP2P1BP/R2Q1RK1 w - -,d1b3
2rqkb1r/pp3ppp/4p3/1N6/3n4/P4N1P/1PQ2PP1/5K1R w k -,c2a4
r1b1kb1r/5pp1/p2p3p/1q1PpN2/1p4P1/4BP2/PPPQ3P/R3K2R w KQkq -,e1c1
8/p2r4/2p4p/5R2/1P2k1PP/P5K1/8/8 w - -,f5f4
8/5pk1/q7/P3P1pp/1R6/7P/6P1/R6K b - -,h5h4
r1b2rk1/pp1n2pp/3Q2q1/2p3B1/2P5/P1P2N2/6PP/R4RK1 w - -,d6d5
2r3k1/1p3p1p/p3p1p1/P7/1P6/R1P2qP1/3Q3P/6K1 w - -,a3b3
2rq1rk1/3b3p/p2p1bp1/1p1P4/1Q6/3BBP2/PP4PP/R4RK1 b - -,f8e8
r2qr1k1/1b3pbp/pn3np1/2pp4/8/1PN3P1/PBQ1PPBP/2RRN1K1 w - -,e1d3
1r4k1/3p2p1/bqpPp1Qp/p7/nPP5/P4RP1/5P1P/5RK1 w - -,f1d1
8/8/4pk2/6p1/r7/6RP/5K2/8 w - -,g3b3
2k5/ppp2qpp/8/3Pn3/2P3p1/6P1/PPQNK1P1/8 b - -,h7h5
r1b2rk1/ppqnbpp1/2p1p2p/3n4/2BPN3/5N2/PPPB1PPP/R2QR1K1 w - -,c4d3
7R/1p2bpk1/1qp1n1p1/3pP1P1/5B2/1p1P1NQ1/1PP5/7K b - -,g7h8
7k/2R3bp/6p1/5n2/3P1r2/8/1P3PBP/3R2K1 w - -,c7c8
r7/1b1nkppp/1p1np3/3p4/3P4/2N1P1P1/1P1N1P1P/2R2BK1 w - -,d2b3
rn2k2r/pp2p2p/3pN1p1/1qp5/5Pn1/6K1/PPPQ2PP/R1B4R b kq -,b5d7
1r6/1p1n1ppp/p2kp3/8/3P4/R3PB2/PP4PP/6K1 w - -,a3b3
4r3/4r1k1/7p/1p1R2p1/4n3/P5P1/5PB1/4R1K1 w - -,d5b5
2b1R2r/pp3pp1/2pk1n1p/3p4/3P4/P1N2B1P/1PP2PP1/4R1K1 b - -,h8e8
6k1/5p2/2p3p1/4P1Pp/1r6/4B2P/3N2BK/1b6 w - -,d2b1
2r1r1k1/1p1q1pbp/pB1pp1p1/P2P4/2P5/1P3PP1/3Q2KP/2R1R3 w - -,d5e6
8/pp4Bp/4k1p1/6P1/2p5/P7/6P1/2K5 w - -,g7d4
r2qrbk1/1bpn1p1p/p2p1np1/1p2p3/3PP3/1PP2NNP/P1B2PP1/R1BQR1K1 b - -,f8g7:c7c6:a6a5:a8b8:d6d5
r1bq1rk1/ppp1p1bp/3p1n2/3Pnp2/2P2P2/2N5/PP1NP1BP/R1BQ1RK1 b - -,e5g6
rnbqkb1r/ppp2p1p/3p1np1/8/3p4/1P2P3/PBP1NPPP/RN1QKB1R w KQkq -,e2d4
r4rk1/5ppp/b1p1pq2/3pP3/1P6/p3QN2/P1P2PPP/1R1R2K1 b - -,f6g6
rnbqkb1r/pppp1ppp/4pn2/8/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -,c7c5
8/5pk1/2R2p2/1pB1p2p/nP2P2P/5P2/3r2P1/6K1 b - -,d2d7
2rqr1k1/1b2ppbp/ppnp2p1/8/2P1PP2/2N1BB2/PP1Q2PP/2R2RK1 b - -,c6b8
5rk1/pp1n1p1p/6p1/2bN1p2/P2BP3/5P2/6PP/1R5K w - -,d5f6
6rk/1p5p/p2pPP1R/P2P4/2p2K2/2Nb4/1P6/8 b - -,d3g6
2bqk2r/pr2p1bp/2pp1np1/2p5/8/2NP2NP/PPP1QPP1/1RB1R1K1 b k -,e8g8
1r3rk1/n2bppbp/1qpp1np1/1p6/3PP3/1P1N2P1/PB1N1PBP/2RQ1RK1 b - e3,f8d8
2n1k2r/3b1p2/4p1pp/1PppP3/3Q1PP1/r7/p3B2P/R5K1 w k -,d4c5
r4rk1/1p2np1p/pqn1pQp1/3pP3/5PP1/2N5/PPP1N2P/R4R1K b - -,b6b2
3r2k1/p4pp1/1pq1p1np/1Np1P3/Q1P2b2/P4N2/1P3PPP/4R1K1 b - -,a7a6
5k2/6pp/n7/1p1N4/p2KN3/5r2/7P/2R5 b - -,f3b3
r5k1/pbR3pp/1p2pp2/5n2/3rpP2/NP4B1/P4KPP/R7 b - -,e4e3
6k1/5ppp/1p6/rNnP4/4P3/P4P2/6PP/1R4K1 b - -,g7g5
8/1b3pk1/pn1b1qp1/1p1p4/1P1P4/P5P1/3Q1PB1/2NR2K1 w - -,c1b3
r2qkb1r/pp3ppp/2n1bn2/3p2B1/3p4/2N2NP1/PP2PPBP/R2QK2R w KQkq -,f3d4
R3br1k/pp4pp/4p3/R7/1b1n4/1Q1B1N2/PP3PPP/6K1 b - -,d4b3
4k2r/1p2bpp1/3p3p/4p3/1q4PP/pPr1P1N1/P2R1Q2/1K1R4 w k -,g3f5
rr4k1/2q1ppbp/2p3p1/2N3P1/2RP1nQP/1P6/P4B2/R5K1 b - -,f4h5
r2q1rk1/4ppbp/bnpp1np1/p7/3PP3/1PN1BP2/P2QBNPP/R3K2R b KQ -,a5a4
