5rk1/6pp/p2Q4/3N2q1/8/6PP/6BK/8 b - -,g7g6
8/R3p1k1/p2p4/8/5p1r/5K2/P3P3/8 w - -,a7e7
r1b1qrk1/ppp2pbp/n2p1np1/4P3/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 b - -,f6g4
8/3b4/6k1/6p1/7r/1PP1R2N/4K1P1/8 w - -,e2f2
r1bqrnk1/1p3pp1/p3p2p/3p4/P1pPnB2/2P1PN1P/2P1BPP1/R3QRK1 w - -,a4a5
5k2/5p2/2p4p/1pNb2p1/1P6/2P2R1P/1r1r1PP1/4R1K1 w - -,f3f5
2r3k1/p2Rbpp1/4p1p1/1n2P3/6N1/5r2/5P1P/1B3R1K b - -,c8c7
r5k1/ppqr2pp/2npbp2/2p5/2P1PQ2/1P3PP1/PB5P/3RR1KB w - -,f4h4
3r2k1/4qppp/Q4n2/8/1P3P2/P3p1P1/4P1BP/2R3K1 b - f3,h7h5
1r1q1rk1/1pp2pbp/3p1np1/p2P4/P1PpP1b1/1PN2NP1/5PBP/R2Q1RK1 w - -,d1d4
1r6/p2k3p/3P2p1/1p1Bnbn1/1P2pR1P/4P3/P1P5/2KR4 b - -,g5e6
rn3rk1/p3ppb1/2P2np1/1p4B1/2pq4/2N2Q2/PP2BPPP/2R1K2R b K -,d4c5
r7/1Q2npkp/6p1/2Np4/p2P4/2q1P2P/5PP1/R5K1 w - -,a1f1
8/7p/2R5/6k1/1Bp3P1/8/r7/6K1 b - -,g5g4
4r1k1/1p2q1pp/1pn2p2/8/4n3/4P1P1/PBb2PBP/Q2R1NK1 w - -,d1c1
8/2k5/3p4/3Pp2p/bp2Pp1B/2b2P2/P3B1P1/1K6 w - -,b1c1
8/4b1k1/4P3/2p2p2/1pPp1B1p/1P1P3K/8/8 b - -,g7g6:g7f8
r2q1rk1/p1n1pp2/5bp1/3p3p/1Q6/1PN5/1PP2PPP/R1BR2K1 b - -,d8c8
6k1/5p1p/6p1/4P3/1b3P1P/3qp1P1/5QBK/8 w - -,f2f3
r2q1rk1/2p1bppp/p1n1bn2/P3p1B1/1p1pP2N/1B1P4/1PPN1PPP/R2QR1K1 b - -,f6d7
3R4/p1r2pk1/4p1pp/1p2P2P/2PK2P1/1P6/P7/8 b - -,b5c4
5R2/1p4k1/p5Np/n7/3PN3/4P1B1/PPq3P1/6K1 w - -,g3e5
r1b1kb1r/1p1npp1p/pq1p1np1/8/4P3/1NN1Q2P/PPP2PP1/R1B1KB1R b KQkq -,b6c7
r1q2rk1/p1p1n1b1/1p1p2p1/3Pp3/2P1P1b1/2N1B3/PPQN1P2/2KR2R1 w - -,d1f1
r3r1k1/2q4p/p1bbp1pB/1p3pN1/3P3P/1PPQ4/5PP1/3RR1K1 w - b6,g5e6
6k1/8/p7/P5rp/1p1b1p2/1P1N1P1b/4R2P/4R2K b - -,d4e3
2r2rk1/p7/1pqnnp2/4p2p/4P1pP/2PBBRQ1/P1P3P1/3R3K w - h6,e3h6
r2qk2r/pp1n3p/2pbbpp1/3p1p2/3P4/2PBP3/PPQNNPPP/R3K2R w KQkq -,b2b4
r3r3/1ppb2k1/n2p3p/p2P4/1PPN1pp1/P2BqN2/6PK/1R1Q1R2 w - -,d3f5
7k/1p3p1p/2Pp1R2/p7/P2P3p/3Br2P/1P4P1/6K1 b - -,b7c6
r2r2k1/pbq1bppp/1p2pn2/2p1N3/1nP5/2NPP1PP/PB3P2/R2QRBK1 w - -,c3b5
5rk1/4nbpp/1q3p2/1pp5/3pPPP1/3P1N1P/1Q1B2B1/R5K1 b - -,e7c6
3r4/p3Q3/4kP2/4p3/1P6/4b3/q7/4K3 b - -,e6f5
r1b1r1k1/1pqnbppp/p1npp3/8/3NPPP1/2N1BB2/PPP1Q2P/R4R1K b - -,c6d4
1r1qr1k1/3n1pp1/p2p1n1p/1ppP4/P6B/2P1P2P/2Q1BPP1/3RR1K1 b - -,g7g5
8/5p2/4p1k1/8/3K2pP/7r/5R1P/8 w - -,d4e5
1r1r2k1/p3q1np/2pp1bp1/7P/N1P1PP2/1P2Q3/P3B3/3R1KR1 b - -,d8f8
r2q1rk1/1b1n1ppp/pp1bpn2/8/P1BN4/1P2PN2/4QPPP/R1B2RK1 b - -,d8e7
3r1rk1/p3q3/2p3Np/2p5/2P2p2/1P4Pb/P3PP1P/R1Q2RK1 b - -,e7e4
r2r4/1b2kpp1/p1n1p2p/P7/1p2n3/1B2P3/1P1N1PPP/R1BR2K1 b - -,e4c5
4r1k1/1R3pp1/8/p2P3p/8/6P1/qP1Q1PKP/8 w - h6,d2g5
8/3Q4/4pk1p/2p5/P2p4/7P/6PK/5r2 b - a3,f6e5
