8/8/bBr1kpp1/P5p1/8/7P/5PP1/1R4K1 w - -,b6e3
3q1nk1/1pbb1r1p/4p3/1NPpPpp1/5P2/3BP3/1BQ3PP/R5K1 w - -,b5d6
1r2n2k/1r4bp/p2p2p1/2p3B1/2NN4/8/PP3PPP/3RR1K1 b - -,g7d4
7k/1b5p/p5p1/Pp2n3/3R4/2P4P/r2NBK2/8 b - -,a2a5
3rr1k1/pp1q1pbp/2p3p1/3n4/3p4/N1P1B3/PP1Q1PPP/R3R1K1 w - -,e3d4
4r1k1/1b3pp1/p1p2nn1/1p6/1P1BP2p/2N2PP1/P3BK2/3R4 w - -,g3h4
r1b1k2r/pp1n1pb1/2p1pqpp/8/2pP4/2N1P1P1/PP1N1PBP/R2Q1RK1 b kq -,d7b6
r4rk1/p1p2ppp/bb1p4/3Bp3/q7/BN5R/P4PPP/3Q1RK1 w - -,d1h5
r2q1rk1/p4ppp/1p1ppB2/2p5/1PP5/P4QP1/3PPP1P/R4RK1 b - -,d8f6
8/1r3pkp/5p2/4pP2/4P1P1/1B1bb1N1/P2p3P/1K1R4 w - -,b1b2
rb2r3/pp2kppp/5n2/1N2n3/2BP1pb1/8/PPP3PP/R1B2RK1 w - -,d4e5
2R2nk1/p2b1ppp/Pp2qn2/3p4/1Q1Pp3/4P3/1P2BPPP/1N2N1K1 b - -,d7c8
7k/1q4pp/pn6/1Pr2p2/1nN5/1P4P1/PB3P1P/R2R2K1 w - -,d1d8
r1b1k2r/ppq2pbp/2p2Bp1/4p3/4P3/2PQ1N2/PP3PPP/R3KN1R b KQkq -,g7f6
r5k1/pp4pp/2p1pr2/7b/3PPq1P/2P3Q1/P6P/R3RBK1 w - -,f1g2
3r2k1/2q1ppb1/7p/2nrP1pP/pR4N1/2B1QP1K/1P4P1/R7 b - -,c7d7
1k1r4/p1q4p/2p1QPp1/8/1bP3P1/3p4/5R1P/3K4 b - -,c7d7
8/3r1k2/5pp1/R2p3p/3P1K1P/4PPP1/8/8 b - -,f7g7
5r1k/7q/2RQ4/p2P4/4PPp1/1P1N2p1/8/5K1r w - -,f1e2
8/8/5p2/r5k1/8/2R2K1P/6P1/8 w - -,g2g3
2r3k1/p1q2rp1/2p1Rp1p/2Q5/8/3P3P/PPP2PP1/4R1K1 b - -,c7b7
2r1k2r/pp3p2/5p1p/2nQ4/8/4P3/PqP2PPP/R4RK1 w k -,d5f5
2r3k1/q1r1bpp1/n3p2p/p1p1P3/PpNP4/1N2P3/1PR1Q1PP/2R3K1 w - -,c4d6
6k1/8/8/p1b1NR1p/1p4pP/2r1P1P1/5P2/6K1 b - -,b4b3
r3bnk1/2R3b1/r2p2p1/Np1Pp1Pp/1P2B2P/4B3/4K1P1/R7 b - -,e8d7
r4rk1/2q1bppp/ppb1pn2/2p5/P3NP2/3P2P1/1PP3BP/R1BQ1R1K w - -,e4f6
b1rr4/5p1k/pp1pp1pb/2q4p/2PNPPnP/1P4P1/PB1RQ1B1/4R2K w - -,d4f3
1r2rbk1/7p/1B2qpp1/1Q6/2PP1P2/8/P3p1PP/1R3RK1 w - -,f1e1
